success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,stimulus,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,phase,ans,ISI,webgazer_data,webgazer_targets,size,target,response_answer,correct,webgazer_targets_data
TRUE,fullscreen,0,435985,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,preload,1,436295,0.0-1.0,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,
,survey-text,2,440409,0.0-2.0-0.0,,,,,4112,"{""name"":""罗晨曦"",""age"":""23""}",,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,443745,0.0-2.0-1.0,,,,,3335,{"sex":"女"},[0],,,,,,,,,,,,,,,,,,
,html-keyboard-response,4,444545,0.0-3.0,,,,,798, ,,<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按"space"键继续。</p>,,,,,,,,,,,,,,,,,
,webgazer-init-camera,5,453800,0.0-4.0,,,,,,,,,2217,,,,,,,,,,,,,,,,
,html-button-response,6,454528,0.0-5.0-0.0,,,,,726,0,,"
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ",,,,,,,,,,,,,,,,,
,webgazer-calibrate,7,464472,0.0-5.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,html-button-response,8,465400,0.0-5.0-2.0,,,,,927,0,,"
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ",,,,,,,,,,,,,,,,,
,webgazer-validate,9,483842,0.0-5.0-3.0,,,,,,,,,,"[[{""x"":417,""y"":380,""dx"":-74,""dy"":99,""t"":990},{""x"":401,""y"":369,""dx"":-90,""dy"":88,""t"":1024},{""x"":397,""y"":368,""dx"":-94,""dy"":87,""t"":1057},{""x"":419,""y"":376,""dx"":-72,""dy"":95,""t"":1091},{""x"":445,""y"":384,""dx"":-46,""dy"":103,""t"":1126},{""x"":467,""y"":390,""dx"":-24,""dy"":109,""t"":1158},{""x"":471,""y"":390,""dx"":-20,""dy"":109,""t"":1193},{""x"":478,""y"":379,""dx"":-13,""dy"":98,""t"":1227},{""x"":507,""y"":366,""dx"":16,""dy"":85,""t"":1262},{""x"":500,""y"":366,""dx"":9,""dy"":85,""t"":1296},{""x"":514,""y"":336,""dx"":23,""dy"":55,""t"":1329},{""x"":534,""y"":350,""dx"":43,""dy"":69,""t"":1364},{""x"":560,""y"":327,""dx"":69,""dy"":46,""t"":1397},{""x"":562,""y"":338,""dx"":71,""dy"":57,""t"":1431},{""x"":557,""y"":317,""dx"":66,""dy"":36,""t"":1466},{""x"":533,""y"":325,""dx"":42,""dy"":44,""t"":1500},{""x"":510,""y"":365,""dx"":19,""dy"":84,""t"":1534},{""x"":490,""y"":400,""dx"":-1,""dy"":119,""t"":1566},{""x"":440,""y"":425,""dx"":-51,""dy"":144,""t"":1602},{""x"":428,""y"":408,""dx"":-63,""dy"":127,""t"":1636},{""x"":403,""y"":405,""dx"":-88,""dy"":124,""t"":1670},{""x"":401,""y"":403,""dx"":-90,""dy"":122,""t"":1703},{""x"":386,""y"":398,""dx"":-105,""dy"":117,""t"":1738},{""x"":395,""y"":395,""dx"":-96,""dy"":114,""t"":1772},{""x"":374,""y"":394,""dx"":-117,""dy"":113,""t"":1806},{""x"":365,""y"":392,""dx"":-126,""dy"":111,""t"":1839},{""x"":352,""y"":393,""dx"":-139,""dy"":112,""t"":1874},{""x"":404,""y"":380,""dx"":-87,""dy"":99,""t"":1909},{""x"":440,""y"":353,""dx"":-51,""dy"":72,""t"":1941},{""x"":483,""y"":332,""dx"":-8,""dy"":51,""t"":1977},{""x"":502,""y"":314,""dx"":11,""dy"":33,""t"":2010},{""x"":513,""y"":324,""dx"":22,""dy"":43,""t"":2044},{""x"":537,""y"":316,""dx"":46,""dy"":35,""t"":2078},{""x"":530,""y"":332,""dx"":39,""dy"":51,""t"":2112},{""x"":526,""y"":318,""dx"":35,""dy"":37,""t"":2147},{""x"":502,""y"":359,""dx"":11,""dy"":78,""t"":2179},{""x"":498,""y"":361,""dx"":7,""dy"":80,""t"":2215},{""x"":491,""y"":398,""dx"":0,""dy"":117,""t"":2248},{""x"":481,""y"":397,""dx"":-10,""dy"":116,""t"":2282},{""x"":495,""y"":415,""dx"":4,""dy"":134,""t"":2315},{""x"":499,""y"":390,""dx"":8,""dy"":109,""t"":2350},{""x"":503,""y"":378,""dx"":12,""dy"":97,""t"":2384},{""x"":498,""y"":341,""dx"":7,""dy"":60,""t"":2418},{""x"":479,""y"":317,""dx"":-12,""dy"":36,""t"":2451},{""x"":433,""y"":315,""dx"":-58,""dy"":34,""t"":2485},{""x"":412,""y"":325,""dx"":-79,""dy"":44,""t"":2520},{""x"":391,""y"":361,""dx"":-100,""dy"":80,""t"":2554},{""x"":338,""y"":385,""dx"":-153,""dy"":104,""t"":2588},{""x"":320,""y"":405,""dx"":-171,""dy"":124,""t"":2621},{""x"":307,""y"":405,""dx"":-184,""dy"":124,""t"":2656},{""x"":435,""y"":418,""dx"":-56,""dy"":137,""t"":2689},{""x"":427,""y"":446,""dx"":-64,""dy"":165,""t"":2725},{""x"":483,""y"":470,""dx"":-8,""dy"":189,""t"":2756},{""x"":476,""y"":486,""dx"":-15,""dy"":205,""t"":2792},{""x"":472,""y"":435,""dx"":-19,""dy"":154,""t"":2826},{""x"":472,""y"":386,""dx"":-19,""dy"":105,""t"":2859},{""x"":497,""y"":374,""dx"":6,""dy"":93,""t"":2894},{""x"":509,""y"":364,""dx"":18,""dy"":83,""t"":2928},{""x"":512,""y"":348,""dx"":21,""dy"":67,""t"":2961}],[{""x"":1371,""y"":90,""dx"":-80,""dy"":-191,""t"":4017},{""x"":1367,""y"":96,""dx"":-84,""dy"":-185,""t"":4051},{""x"":1353,""y"":97,""dx"":-98,""dy"":-184,""t"":4084},{""x"":1359,""y"":129,""dx"":-92,""dy"":-152,""t"":4117},{""x"":1348,""y"":139,""dx"":-103,""dy"":-142,""t"":4152},{""x"":1329,""y"":136,""dx"":-122,""dy"":-145,""t"":4186},{""x"":1323,""y"":136,""dx"":-128,""dy"":-145,""t"":4220},{""x"":1318,""y"":130,""dx"":-133,""dy"":-151,""t"":4253},{""x"":1305,""y"":139,""dx"":-146,""dy"":-142,""t"":4288},{""x"":1294,""y"":145,""dx"":-157,""dy"":-136,""t"":4322},{""x"":1290,""y"":154,""dx"":-161,""dy"":-127,""t"":4356},{""x"":1289,""y"":157,""dx"":-162,""dy"":-124,""t"":4390},{""x"":1286,""y"":158,""dx"":-165,""dy"":-123,""t"":4424},{""x"":1286,""y"":178,""dx"":-165,""dy"":-103,""t"":4458},{""x"":1282,""y"":202,""dx"":-169,""dy"":-79,""t"":4491},{""x"":1275,""y"":232,""dx"":-176,""dy"":-49,""t"":4526},{""x"":1274,""y"":240,""dx"":-177,""dy"":-41,""t"":4559},{""x"":1285,""y"":257,""dx"":-166,""dy"":-24,""t"":4594},{""x"":1298,""y"":253,""dx"":-153,""dy"":-28,""t"":4629},{""x"":1253,""y"":298,""dx"":-198,""dy"":17,""t"":4662},{""x"":1160,""y"":293,""dx"":-291,""dy"":12,""t"":4696},{""x"":1082,""y"":283,""dx"":-369,""dy"":2,""t"":4727},{""x"":1006,""y"":304,""dx"":-445,""dy"":23,""t"":4764},{""x"":1021,""y"":340,""dx"":-430,""dy"":59,""t"":4798},{""x"":1024,""y"":351,""dx"":-427,""dy"":70,""t"":4832},{""x"":1023,""y"":357,""dx"":-428,""dy"":76,""t"":4866},{""x"":1013,""y"":339,""dx"":-438,""dy"":58,""t"":4900},{""x"":1020,""y"":337,""dx"":-431,""dy"":56,""t"":4934},{""x"":1062,""y"":308,""dx"":-389,""dy"":27,""t"":4968},{""x"":1097,""y"":299,""dx"":-354,""dy"":18,""t"":5001},{""x"":1095,""y"":270,""dx"":-356,""dy"":-11,""t"":5036},{""x"":1098,""y"":241,""dx"":-353,""dy"":-40,""t"":5069},{""x"":1122,""y"":229,""dx"":-329,""dy"":-52,""t"":5104},{""x"":1141,""y"":231,""dx"":-310,""dy"":-50,""t"":5138},{""x"":1148,""y"":220,""dx"":-303,""dy"":-61,""t"":5173},{""x"":1153,""y"":203,""dx"":-298,""dy"":-78,""t"":5205},{""x"":1182,""y"":187,""dx"":-269,""dy"":-94,""t"":5240},{""x"":1202,""y"":211,""dx"":-249,""dy"":-70,""t"":5274},{""x"":1257,""y"":230,""dx"":-194,""dy"":-51,""t"":5308},{""x"":1234,""y"":219,""dx"":-217,""dy"":-62,""t"":5342},{""x"":1272,""y"":224,""dx"":-179,""dy"":-57,""t"":5377},{""x"":1227,""y"":219,""dx"":-224,""dy"":-62,""t"":5411},{""x"":1256,""y"":203,""dx"":-195,""dy"":-78,""t"":5444},{""x"":1224,""y"":193,""dx"":-227,""dy"":-88,""t"":5478},{""x"":1204,""y"":209,""dx"":-247,""dy"":-72,""t"":5512},{""x"":1243,""y"":224,""dx"":-208,""dy"":-57,""t"":5546},{""x"":1248,""y"":209,""dx"":-203,""dy"":-72,""t"":5580},{""x"":1262,""y"":181,""dx"":-189,""dy"":-100,""t"":5613},{""x"":1248,""y"":152,""dx"":-203,""dy"":-129,""t"":5648},{""x"":1242,""y"":195,""dx"":-209,""dy"":-86,""t"":5682},{""x"":1258,""y"":161,""dx"":-193,""dy"":-120,""t"":5716},{""x"":1300,""y"":185,""dx"":-151,""dy"":-96,""t"":5750},{""x"":1334,""y"":196,""dx"":-117,""dy"":-85,""t"":5784},{""x"":1294,""y"":198,""dx"":-157,""dy"":-83,""t"":5818},{""x"":1320,""y"":224,""dx"":-131,""dy"":-57,""t"":5852},{""x"":1317,""y"":260,""dx"":-134,""dy"":-21,""t"":5885},{""x"":1326,""y"":282,""dx"":-125,""dy"":1,""t"":5920},{""x"":1332,""y"":265,""dx"":-119,""dy"":-16,""t"":5954},{""x"":1300,""y"":216,""dx"":-151,""dy"":-65,""t"":5989}],[{""x"":822,""y"":478,""dx"":-149,""dy"":-73,""t"":7009},{""x"":839,""y"":477,""dx"":-132,""dy"":-74,""t"":7042},{""x"":851,""y"":502,""dx"":-120,""dy"":-49,""t"":7076},{""x"":836,""y"":492,""dx"":-135,""dy"":-59,""t"":7111},{""x"":831,""y"":491,""dx"":-140,""dy"":-60,""t"":7143},{""x"":839,""y"":487,""dx"":-132,""dy"":-64,""t"":7179},{""x"":855,""y"":496,""dx"":-116,""dy"":-55,""t"":7212},{""x"":854,""y"":483,""dx"":-117,""dy"":-68,""t"":7246},{""x"":851,""y"":495,""dx"":-120,""dy"":-56,""t"":7279},{""x"":849,""y"":467,""dx"":-122,""dy"":-84,""t"":7314},{""x"":833,""y"":438,""dx"":-138,""dy"":-113,""t"":7349},{""x"":879,""y"":466,""dx"":-92,""dy"":-85,""t"":7383},{""x"":877,""y"":544,""dx"":-94,""dy"":-7,""t"":7416},{""x"":894,""y"":570,""dx"":-77,""dy"":19,""t"":7450},{""x"":909,""y"":586,""dx"":-62,""dy"":35,""t"":7485},{""x"":940,""y"":599,""dx"":-31,""dy"":48,""t"":7518},{""x"":955,""y"":610,""dx"":-16,""dy"":59,""t"":7552},{""x"":965,""y"":627,""dx"":-6,""dy"":76,""t"":7586},{""x"":969,""y"":609,""dx"":-2,""dy"":58,""t"":7620},{""x"":943,""y"":575,""dx"":-28,""dy"":24,""t"":7654},{""x"":975,""y"":576,""dx"":4,""dy"":25,""t"":7688},{""x"":998,""y"":564,""dx"":27,""dy"":13,""t"":7721},{""x"":1002,""y"":559,""dx"":31,""dy"":8,""t"":7756},{""x"":1010,""y"":561,""dx"":39,""dy"":10,""t"":7790},{""x"":993,""y"":547,""dx"":22,""dy"":-4,""t"":7823},{""x"":979,""y"":546,""dx"":8,""dy"":-5,""t"":7858},{""x"":947,""y"":531,""dx"":-24,""dy"":-20,""t"":7893},{""x"":941,""y"":519,""dx"":-30,""dy"":-32,""t"":7926},{""x"":933,""y"":513,""dx"":-38,""dy"":-38,""t"":7960},{""x"":921,""y"":498,""dx"":-50,""dy"":-53,""t"":7994},{""x"":909,""y"":491,""dx"":-62,""dy"":-60,""t"":8029},{""x"":937,""y"":498,""dx"":-34,""dy"":-53,""t"":8062},{""x"":935,""y"":498,""dx"":-36,""dy"":-53,""t"":8096},{""x"":918,""y"":496,""dx"":-53,""dy"":-55,""t"":8130},{""x"":917,""y"":494,""dx"":-54,""dy"":-57,""t"":8163},{""x"":911,""y"":495,""dx"":-60,""dy"":-56,""t"":8197},{""x"":892,""y"":504,""dx"":-79,""dy"":-47,""t"":8232},{""x"":876,""y"":512,""dx"":-95,""dy"":-39,""t"":8264},{""x"":880,""y"":502,""dx"":-91,""dy"":-49,""t"":8300},{""x"":859,""y"":497,""dx"":-112,""dy"":-54,""t"":8333},{""x"":846,""y"":491,""dx"":-125,""dy"":-60,""t"":8369},{""x"":830,""y"":485,""dx"":-141,""dy"":-66,""t"":8401},{""x"":819,""y"":475,""dx"":-152,""dy"":-76,""t"":8436},{""x"":817,""y"":467,""dx"":-154,""dy"":-84,""t"":8470},{""x"":820,""y"":457,""dx"":-151,""dy"":-94,""t"":8504},{""x"":802,""y"":457,""dx"":-169,""dy"":-94,""t"":8537},{""x"":789,""y"":462,""dx"":-182,""dy"":-89,""t"":8573},{""x"":786,""y"":462,""dx"":-185,""dy"":-89,""t"":8606},{""x"":817,""y"":503,""dx"":-154,""dy"":-48,""t"":8640},{""x"":806,""y"":504,""dx"":-165,""dy"":-47,""t"":8673},{""x"":796,""y"":501,""dx"":-175,""dy"":-50,""t"":8708},{""x"":788,""y"":497,""dx"":-183,""dy"":-54,""t"":8742},{""x"":779,""y"":496,""dx"":-192,""dy"":-55,""t"":8775},{""x"":791,""y"":488,""dx"":-180,""dy"":-63,""t"":8810},{""x"":794,""y"":480,""dx"":-177,""dy"":-71,""t"":8844},{""x"":819,""y"":471,""dx"":-152,""dy"":-80,""t"":8878},{""x"":815,""y"":459,""dx"":-156,""dy"":-92,""t"":8913},{""x"":813,""y"":453,""dx"":-158,""dy"":-98,""t"":8946},{""x"":825,""y"":468,""dx"":-146,""dy"":-83,""t"":8980}],[{""x"":450,""y"":653,""dx"":-41,""dy"":-168,""t"":10033},{""x"":456,""y"":657,""dx"":-35,""dy"":-164,""t"":10067},{""x"":476,""y"":655,""dx"":-15,""dy"":-166,""t"":10102},{""x"":486,""y"":674,""dx"":-5,""dy"":-147,""t"":10136},{""x"":490,""y"":685,""dx"":-1,""dy"":-136,""t"":10170},{""x"":494,""y"":716,""dx"":3,""dy"":-105,""t"":10204},{""x"":500,""y"":723,""dx"":9,""dy"":-98,""t"":10238},{""x"":506,""y"":728,""dx"":15,""dy"":-93,""t"":10269},{""x"":509,""y"":706,""dx"":18,""dy"":-115,""t"":10305},{""x"":496,""y"":700,""dx"":5,""dy"":-121,""t"":10340},{""x"":500,""y"":725,""dx"":9,""dy"":-96,""t"":10374},{""x"":502,""y"":740,""dx"":11,""dy"":-81,""t"":10408},{""x"":509,""y"":738,""dx"":18,""dy"":-83,""t"":10441},{""x"":490,""y"":734,""dx"":-1,""dy"":-87,""t"":10477},{""x"":553,""y"":675,""dx"":62,""dy"":-146,""t"":10510},{""x"":614,""y"":641,""dx"":123,""dy"":-180,""t"":10544},{""x"":644,""y"":634,""dx"":153,""dy"":-187,""t"":10577},{""x"":631,""y"":647,""dx"":140,""dy"":-174,""t"":10612},{""x"":590,""y"":663,""dx"":99,""dy"":-158,""t"":10646},{""x"":555,""y"":693,""dx"":64,""dy"":-128,""t"":10680},{""x"":548,""y"":691,""dx"":57,""dy"":-130,""t"":10714},{""x"":532,""y"":707,""dx"":41,""dy"":-114,""t"":10748},{""x"":533,""y"":739,""dx"":42,""dy"":-82,""t"":10782},{""x"":532,""y"":759,""dx"":41,""dy"":-62,""t"":10817},{""x"":538,""y"":776,""dx"":47,""dy"":-45,""t"":10850},{""x"":525,""y"":784,""dx"":34,""dy"":-37,""t"":10884},{""x"":524,""y"":808,""dx"":33,""dy"":-13,""t"":10918},{""x"":530,""y"":823,""dx"":39,""dy"":2,""t"":10952},{""x"":516,""y"":790,""dx"":25,""dy"":-31,""t"":10986},{""x"":522,""y"":779,""dx"":31,""dy"":-42,""t"":11020},{""x"":531,""y"":786,""dx"":40,""dy"":-35,""t"":11054},{""x"":532,""y"":795,""dx"":41,""dy"":-26,""t"":11087},{""x"":548,""y"":777,""dx"":57,""dy"":-44,""t"":11122},{""x"":555,""y"":788,""dx"":64,""dy"":-33,""t"":11156},{""x"":570,""y"":776,""dx"":79,""dy"":-45,""t"":11189},{""x"":560,""y"":761,""dx"":69,""dy"":-60,""t"":11223},{""x"":558,""y"":765,""dx"":67,""dy"":-56,""t"":11258},{""x"":565,""y"":742,""dx"":74,""dy"":-79,""t"":11292},{""x"":547,""y"":720,""dx"":56,""dy"":-101,""t"":11326},{""x"":533,""y"":727,""dx"":42,""dy"":-94,""t"":11360},{""x"":550,""y"":713,""dx"":59,""dy"":-108,""t"":11394},{""x"":565,""y"":700,""dx"":74,""dy"":-121,""t"":11425},{""x"":567,""y"":704,""dx"":76,""dy"":-117,""t"":11462},{""x"":591,""y"":655,""dx"":100,""dy"":-166,""t"":11496},{""x"":582,""y"":672,""dx"":91,""dy"":-149,""t"":11530},{""x"":586,""y"":685,""dx"":95,""dy"":-136,""t"":11564},{""x"":576,""y"":670,""dx"":85,""dy"":-151,""t"":11598},{""x"":581,""y"":649,""dx"":90,""dy"":-172,""t"":11632},{""x"":576,""y"":640,""dx"":85,""dy"":-181,""t"":11666},{""x"":583,""y"":659,""dx"":92,""dy"":-162,""t"":11700},{""x"":586,""y"":676,""dx"":95,""dy"":-145,""t"":11733},{""x"":575,""y"":693,""dx"":84,""dy"":-128,""t"":11768},{""x"":569,""y"":730,""dx"":78,""dy"":-91,""t"":11802},{""x"":565,""y"":762,""dx"":74,""dy"":-59,""t"":11834},{""x"":562,""y"":788,""dx"":71,""dy"":-33,""t"":11870},{""x"":561,""y"":797,""dx"":70,""dy"":-24,""t"":11903},{""x"":573,""y"":781,""dx"":82,""dy"":-40,""t"":11937},{""x"":568,""y"":762,""dx"":77,""dy"":-59,""t"":11972},{""x"":578,""y"":722,""dx"":87,""dy"":-99,""t"":12005}],[{""x"":1497,""y"":640,""dx"":46,""dy"":-181,""t"":13026},{""x"":1435,""y"":643,""dx"":-16,""dy"":-178,""t"":13060},{""x"":1296,""y"":587,""dx"":-155,""dy"":-234,""t"":13093},{""x"":1125,""y"":568,""dx"":-326,""dy"":-253,""t"":13127},{""x"":1007,""y"":568,""dx"":-444,""dy"":-253,""t"":13162},{""x"":968,""y"":538,""dx"":-483,""dy"":-283,""t"":13195},{""x"":978,""y"":512,""dx"":-473,""dy"":-309,""t"":13230},{""x"":1044,""y"":554,""dx"":-407,""dy"":-267,""t"":13265},{""x"":1113,""y"":558,""dx"":-338,""dy"":-263,""t"":13298},{""x"":1158,""y"":560,""dx"":-293,""dy"":-261,""t"":13333},{""x"":1236,""y"":567,""dx"":-215,""dy"":-254,""t"":13366},{""x"":1291,""y"":568,""dx"":-160,""dy"":-253,""t"":13400},{""x"":1299,""y"":546,""dx"":-152,""dy"":-275,""t"":13432},{""x"":1356,""y"":558,""dx"":-95,""dy"":-263,""t"":13468},{""x"":1391,""y"":562,""dx"":-60,""dy"":-259,""t"":13502},{""x"":1414,""y"":566,""dx"":-37,""dy"":-255,""t"":13536},{""x"":1463,""y"":583,""dx"":12,""dy"":-238,""t"":13569},{""x"":1447,""y"":585,""dx"":-4,""dy"":-236,""t"":13604},{""x"":1444,""y"":580,""dx"":-7,""dy"":-241,""t"":13638},{""x"":1434,""y"":589,""dx"":-17,""dy"":-232,""t"":13672},{""x"":1407,""y"":587,""dx"":-44,""dy"":-234,""t"":13706},{""x"":1387,""y"":588,""dx"":-64,""dy"":-233,""t"":13741},{""x"":1397,""y"":583,""dx"":-54,""dy"":-238,""t"":13774},{""x"":1417,""y"":591,""dx"":-34,""dy"":-230,""t"":13807},{""x"":1433,""y"":597,""dx"":-18,""dy"":-224,""t"":13839},{""x"":1413,""y"":607,""dx"":-38,""dy"":-214,""t"":13876},{""x"":1371,""y"":604,""dx"":-80,""dy"":-217,""t"":13910},{""x"":1386,""y"":590,""dx"":-65,""dy"":-231,""t"":13944},{""x"":1331,""y"":608,""dx"":-120,""dy"":-213,""t"":13978},{""x"":1359,""y"":592,""dx"":-92,""dy"":-229,""t"":14011},{""x"":1398,""y"":603,""dx"":-53,""dy"":-218,""t"":14046},{""x"":1407,""y"":590,""dx"":-44,""dy"":-231,""t"":14080},{""x"":1427,""y"":602,""dx"":-24,""dy"":-219,""t"":14113},{""x"":1449,""y"":619,""dx"":-2,""dy"":-202,""t"":14148},{""x"":1439,""y"":609,""dx"":-12,""dy"":-212,""t"":14182},{""x"":1461,""y"":627,""dx"":10,""dy"":-194,""t"":14216},{""x"":1464,""y"":629,""dx"":13,""dy"":-192,""t"":14250},{""x"":1434,""y"":634,""dx"":-17,""dy"":-187,""t"":14284},{""x"":1444,""y"":628,""dx"":-7,""dy"":-193,""t"":14319},{""x"":1440,""y"":609,""dx"":-11,""dy"":-212,""t"":14352},{""x"":1431,""y"":594,""dx"":-20,""dy"":-227,""t"":14386},{""x"":1425,""y"":584,""dx"":-26,""dy"":-237,""t"":14420},{""x"":1430,""y"":569,""dx"":-21,""dy"":-252,""t"":14455},{""x"":1434,""y"":565,""dx"":-17,""dy"":-256,""t"":14488},{""x"":1407,""y"":568,""dx"":-44,""dy"":-253,""t"":14522},{""x"":1408,""y"":556,""dx"":-43,""dy"":-265,""t"":14556},{""x"":1390,""y"":580,""dx"":-61,""dy"":-241,""t"":14590},{""x"":1403,""y"":580,""dx"":-48,""dy"":-241,""t"":14625},{""x"":1423,""y"":586,""dx"":-28,""dy"":-235,""t"":14657},{""x"":1419,""y"":577,""dx"":-32,""dy"":-244,""t"":14692},{""x"":1420,""y"":576,""dx"":-31,""dy"":-245,""t"":14725},{""x"":1462,""y"":571,""dx"":11,""dy"":-250,""t"":14760},{""x"":1476,""y"":572,""dx"":25,""dy"":-249,""t"":14794},{""x"":1484,""y"":569,""dx"":33,""dy"":-252,""t"":14828},{""x"":1495,""y"":577,""dx"":44,""dy"":-244,""t"":14863},{""x"":1471,""y"":591,""dx"":20,""dy"":-230,""t"":14896},{""x"":1420,""y"":579,""dx"":-31,""dy"":-242,""t"":14929},{""x"":1433,""y"":589,""dx"":-18,""dy"":-232,""t"":14963},{""x"":1375,""y"":599,""dx"":-76,""dy"":-222,""t"":14996},{""x"":1418,""y"":595,""dx"":-33,""dy"":-226,""t"":15032}]]","[94.91525423728814,33.89830508474576,96.61016949152543,94.91525423728814,10]","[{""x"":-30.47457627118644,""y"":93.35593220338983,""r"":60.257886847447075},{""x"":-221.64406779661016,""y"":-63.813559322033896,""r"":87.57984496714971},{""x"":-95.13559322033899,""y"":-43.05084745762712,""r"":65.72067720027933},{""x"":53.813559322033896,""y"":-100.01694915254237,""r"":56.107503923741916},{""x"":-79.6,""y"":-235.9,""r"":94.09081967043501}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]",29.42,validate,,,,,,,,,,
