"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","6259","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6263","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9467","0.0-2.0-0.0","","","","","3202","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12482","0.0-2.0-1.0","","","","","3014","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13201","0.0-3.0","","","","","718"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","19337","0.0-4.0","","","","","","","","","1440","","","","","","","","","","","","","","","",""
"","html-button-response","6","20417","0.0-5.0-0.0","","","","","1078","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","31833","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","32641","0.0-5.0-2.0","","","","","807","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","50857","0.0-5.0-3.0","","","","","","","","","","[[{""x"":412,""y"":270,""dx"":-79,""dy"":-11,""t"":991},{""x"":430,""y"":263,""dx"":-61,""dy"":-18,""t"":1025},{""x"":446,""y"":296,""dx"":-45,""dy"":15,""t"":1057},{""x"":480,""y"":291,""dx"":-11,""dy"":10,""t"":1091},{""x"":506,""y"":283,""dx"":15,""dy"":2,""t"":1125},{""x"":495,""y"":302,""dx"":4,""dy"":21,""t"":1160},{""x"":492,""y"":321,""dx"":1,""dy"":40,""t"":1194},{""x"":477,""y"":319,""dx"":-14,""dy"":38,""t"":1228},{""x"":478,""y"":337,""dx"":-13,""dy"":56,""t"":1262},{""x"":481,""y"":344,""dx"":-10,""dy"":63,""t"":1295},{""x"":515,""y"":365,""dx"":24,""dy"":84,""t"":1330},{""x"":518,""y"":393,""dx"":27,""dy"":112,""t"":1365},{""x"":528,""y"":358,""dx"":37,""dy"":77,""t"":1398},{""x"":506,""y"":381,""dx"":15,""dy"":100,""t"":1433},{""x"":532,""y"":339,""dx"":41,""dy"":58,""t"":1466},{""x"":513,""y"":310,""dx"":22,""dy"":29,""t"":1499},{""x"":529,""y"":307,""dx"":38,""dy"":26,""t"":1534},{""x"":527,""y"":318,""dx"":36,""dy"":37,""t"":1567},{""x"":538,""y"":306,""dx"":47,""dy"":25,""t"":1603},{""x"":545,""y"":337,""dx"":54,""dy"":56,""t"":1635},{""x"":545,""y"":318,""dx"":54,""dy"":37,""t"":1670},{""x"":543,""y"":347,""dx"":52,""dy"":66,""t"":1703},{""x"":534,""y"":383,""dx"":43,""dy"":102,""t"":1737},{""x"":524,""y"":399,""dx"":33,""dy"":118,""t"":1772},{""x"":554,""y"":370,""dx"":63,""dy"":89,""t"":1805},{""x"":547,""y"":409,""dx"":56,""dy"":128,""t"":1839},{""x"":577,""y"":361,""dx"":86,""dy"":80,""t"":1873},{""x"":547,""y"":377,""dx"":56,""dy"":96,""t"":1907},{""x"":565,""y"":342,""dx"":74,""dy"":61,""t"":1941},{""x"":573,""y"":350,""dx"":82,""dy"":69,""t"":1976},{""x"":563,""y"":361,""dx"":72,""dy"":80,""t"":2010},{""x"":545,""y"":363,""dx"":54,""dy"":82,""t"":2044},{""x"":556,""y"":370,""dx"":65,""dy"":89,""t"":2078},{""x"":551,""y"":376,""dx"":60,""dy"":95,""t"":2113},{""x"":550,""y"":386,""dx"":59,""dy"":105,""t"":2146},{""x"":560,""y"":404,""dx"":69,""dy"":123,""t"":2180},{""x"":541,""y"":403,""dx"":50,""dy"":122,""t"":2213},{""x"":524,""y"":414,""dx"":33,""dy"":133,""t"":2248},{""x"":491,""y"":421,""dx"":0,""dy"":140,""t"":2279},{""x"":487,""y"":417,""dx"":-4,""dy"":136,""t"":2316},{""x"":495,""y"":414,""dx"":4,""dy"":133,""t"":2349},{""x"":496,""y"":390,""dx"":5,""dy"":109,""t"":2384},{""x"":495,""y"":384,""dx"":4,""dy"":103,""t"":2418},{""x"":474,""y"":374,""dx"":-17,""dy"":93,""t"":2452},{""x"":466,""y"":367,""dx"":-25,""dy"":86,""t"":2485},{""x"":488,""y"":378,""dx"":-3,""dy"":97,""t"":2520},{""x"":469,""y"":366,""dx"":-22,""dy"":85,""t"":2554},{""x"":461,""y"":380,""dx"":-30,""dy"":99,""t"":2588},{""x"":470,""y"":362,""dx"":-21,""dy"":81,""t"":2622},{""x"":477,""y"":333,""dx"":-14,""dy"":52,""t"":2656},{""x"":483,""y"":308,""dx"":-8,""dy"":27,""t"":2689},{""x"":482,""y"":307,""dx"":-9,""dy"":26,""t"":2724},{""x"":489,""y"":289,""dx"":-2,""dy"":8,""t"":2757},{""x"":508,""y"":281,""dx"":17,""dy"":0,""t"":2792},{""x"":500,""y"":290,""dx"":9,""dy"":9,""t"":2825},{""x"":512,""y"":279,""dx"":21,""dy"":-2,""t"":2860},{""x"":498,""y"":288,""dx"":7,""dy"":7,""t"":2894},{""x"":493,""y"":301,""dx"":2,""dy"":20,""t"":2928},{""x"":485,""y"":316,""dx"":-6,""dy"":35,""t"":2962}],[{""x"":1524,""y"":400,""dx"":73,""dy"":119,""t"":4016},{""x"":1486,""y"":429,""dx"":35,""dy"":148,""t"":4050},{""x"":1471,""y"":435,""dx"":20,""dy"":154,""t"":4085},{""x"":1452,""y"":425,""dx"":1,""dy"":144,""t"":4118},{""x"":1444,""y"":408,""dx"":-7,""dy"":127,""t"":4152},{""x"":1449,""y"":405,""dx"":-2,""dy"":124,""t"":4186},{""x"":1470,""y"":412,""dx"":19,""dy"":131,""t"":4220},{""x"":1434,""y"":410,""dx"":-17,""dy"":129,""t"":4254},{""x"":1408,""y"":409,""dx"":-43,""dy"":128,""t"":4285},{""x"":1396,""y"":416,""dx"":-55,""dy"":135,""t"":4322},{""x"":1393,""y"":440,""dx"":-58,""dy"":159,""t"":4356},{""x"":1405,""y"":415,""dx"":-46,""dy"":134,""t"":4389},{""x"":1409,""y"":412,""dx"":-42,""dy"":131,""t"":4424},{""x"":1403,""y"":403,""dx"":-48,""dy"":122,""t"":4458},{""x"":1409,""y"":402,""dx"":-42,""dy"":121,""t"":4493},{""x"":1411,""y"":400,""dx"":-40,""dy"":119,""t"":4526},{""x"":1417,""y"":393,""dx"":-34,""dy"":112,""t"":4560},{""x"":1422,""y"":370,""dx"":-29,""dy"":89,""t"":4594},{""x"":1403,""y"":395,""dx"":-48,""dy"":114,""t"":4628},{""x"":1410,""y"":375,""dx"":-41,""dy"":94,""t"":4661},{""x"":1415,""y"":377,""dx"":-36,""dy"":96,""t"":4696},{""x"":1424,""y"":368,""dx"":-27,""dy"":87,""t"":4730},{""x"":1433,""y"":362,""dx"":-18,""dy"":81,""t"":4764},{""x"":1406,""y"":389,""dx"":-45,""dy"":108,""t"":4798},{""x"":1411,""y"":400,""dx"":-40,""dy"":119,""t"":4832},{""x"":1412,""y"":403,""dx"":-39,""dy"":122,""t"":4866},{""x"":1446,""y"":432,""dx"":-5,""dy"":151,""t"":4899},{""x"":1441,""y"":426,""dx"":-10,""dy"":145,""t"":4935},{""x"":1428,""y"":430,""dx"":-23,""dy"":149,""t"":4969},{""x"":1423,""y"":429,""dx"":-28,""dy"":148,""t"":5001},{""x"":1430,""y"":400,""dx"":-21,""dy"":119,""t"":5035},{""x"":1422,""y"":374,""dx"":-29,""dy"":93,""t"":5069},{""x"":1418,""y"":380,""dx"":-33,""dy"":99,""t"":5104},{""x"":1424,""y"":393,""dx"":-27,""dy"":112,""t"":5138},{""x"":1424,""y"":399,""dx"":-27,""dy"":118,""t"":5172},{""x"":1424,""y"":382,""dx"":-27,""dy"":101,""t"":5207},{""x"":1423,""y"":409,""dx"":-28,""dy"":128,""t"":5240},{""x"":1420,""y"":400,""dx"":-31,""dy"":119,""t"":5274},{""x"":1430,""y"":386,""dx"":-21,""dy"":105,""t"":5308},{""x"":1433,""y"":400,""dx"":-18,""dy"":119,""t"":5342},{""x"":1410,""y"":414,""dx"":-41,""dy"":133,""t"":5376},{""x"":1407,""y"":411,""dx"":-44,""dy"":130,""t"":5411},{""x"":1427,""y"":379,""dx"":-24,""dy"":98,""t"":5444},{""x"":1420,""y"":394,""dx"":-31,""dy"":113,""t"":5478},{""x"":1426,""y"":402,""dx"":-25,""dy"":121,""t"":5511},{""x"":1414,""y"":396,""dx"":-37,""dy"":115,""t"":5546},{""x"":1417,""y"":396,""dx"":-34,""dy"":115,""t"":5580},{""x"":1419,""y"":401,""dx"":-32,""dy"":120,""t"":5614},{""x"":1420,""y"":439,""dx"":-31,""dy"":158,""t"":5648},{""x"":1413,""y"":429,""dx"":-38,""dy"":148,""t"":5682},{""x"":1414,""y"":439,""dx"":-37,""dy"":158,""t"":5716},{""x"":1419,""y"":403,""dx"":-32,""dy"":122,""t"":5749},{""x"":1424,""y"":386,""dx"":-27,""dy"":105,""t"":5784},{""x"":1409,""y"":408,""dx"":-42,""dy"":127,""t"":5818},{""x"":1411,""y"":410,""dx"":-40,""dy"":129,""t"":5850},{""x"":1409,""y"":435,""dx"":-42,""dy"":154,""t"":5886},{""x"":1421,""y"":403,""dx"":-30,""dy"":122,""t"":5919},{""x"":1414,""y"":380,""dx"":-37,""dy"":99,""t"":5953},{""x"":1432,""y"":383,""dx"":-19,""dy"":102,""t"":5987}],[{""x"":1026,""y"":598,""dx"":55,""dy"":47,""t"":7008},{""x"":1028,""y"":555,""dx"":57,""dy"":4,""t"":7042},{""x"":1026,""y"":532,""dx"":55,""dy"":-19,""t"":7076},{""x"":1032,""y"":495,""dx"":61,""dy"":-56,""t"":7110},{""x"":1012,""y"":499,""dx"":41,""dy"":-52,""t"":7144},{""x"":987,""y"":488,""dx"":16,""dy"":-63,""t"":7177},{""x"":1017,""y"":535,""dx"":46,""dy"":-16,""t"":7213},{""x"":1016,""y"":527,""dx"":45,""dy"":-24,""t"":7245},{""x"":1022,""y"":505,""dx"":51,""dy"":-46,""t"":7280},{""x"":1060,""y"":496,""dx"":89,""dy"":-55,""t"":7313},{""x"":1096,""y"":530,""dx"":125,""dy"":-21,""t"":7348},{""x"":1114,""y"":555,""dx"":143,""dy"":4,""t"":7381},{""x"":1115,""y"":577,""dx"":144,""dy"":26,""t"":7415},{""x"":1115,""y"":596,""dx"":144,""dy"":45,""t"":7447},{""x"":1119,""y"":615,""dx"":148,""dy"":64,""t"":7484},{""x"":1130,""y"":643,""dx"":159,""dy"":92,""t"":7518},{""x"":1142,""y"":602,""dx"":171,""dy"":51,""t"":7552},{""x"":1161,""y"":612,""dx"":190,""dy"":61,""t"":7586},{""x"":1178,""y"":580,""dx"":207,""dy"":29,""t"":7620},{""x"":1170,""y"":605,""dx"":199,""dy"":54,""t"":7653},{""x"":1171,""y"":573,""dx"":200,""dy"":22,""t"":7687},{""x"":1192,""y"":560,""dx"":221,""dy"":9,""t"":7722},{""x"":1166,""y"":563,""dx"":195,""dy"":12,""t"":7756},{""x"":1156,""y"":553,""dx"":185,""dy"":2,""t"":7791},{""x"":1147,""y"":546,""dx"":176,""dy"":-5,""t"":7822},{""x"":1148,""y"":538,""dx"":177,""dy"":-13,""t"":7858},{""x"":1109,""y"":528,""dx"":138,""dy"":-23,""t"":7892},{""x"":1078,""y"":568,""dx"":107,""dy"":17,""t"":7925},{""x"":1072,""y"":574,""dx"":101,""dy"":23,""t"":7960},{""x"":1079,""y"":572,""dx"":108,""dy"":21,""t"":7994},{""x"":1076,""y"":569,""dx"":105,""dy"":18,""t"":8027},{""x"":1065,""y"":551,""dx"":94,""dy"":0,""t"":8061},{""x"":1086,""y"":555,""dx"":115,""dy"":4,""t"":8096},{""x"":1103,""y"":578,""dx"":132,""dy"":27,""t"":8130},{""x"":1119,""y"":573,""dx"":148,""dy"":22,""t"":8164},{""x"":1109,""y"":584,""dx"":138,""dy"":33,""t"":8199},{""x"":1098,""y"":582,""dx"":127,""dy"":31,""t"":8232},{""x"":1089,""y"":587,""dx"":118,""dy"":36,""t"":8266},{""x"":1115,""y"":595,""dx"":144,""dy"":44,""t"":8299},{""x"":1100,""y"":590,""dx"":129,""dy"":39,""t"":8334},{""x"":1103,""y"":598,""dx"":132,""dy"":47,""t"":8369},{""x"":1095,""y"":598,""dx"":124,""dy"":47,""t"":8402},{""x"":1104,""y"":576,""dx"":133,""dy"":25,""t"":8436},{""x"":1116,""y"":564,""dx"":145,""dy"":13,""t"":8471},{""x"":1120,""y"":568,""dx"":149,""dy"":17,""t"":8504},{""x"":1119,""y"":583,""dx"":148,""dy"":32,""t"":8538},{""x"":1105,""y"":595,""dx"":134,""dy"":44,""t"":8572},{""x"":1119,""y"":601,""dx"":148,""dy"":50,""t"":8605},{""x"":1115,""y"":597,""dx"":144,""dy"":46,""t"":8640},{""x"":1138,""y"":592,""dx"":167,""dy"":41,""t"":8675},{""x"":1126,""y"":600,""dx"":155,""dy"":49,""t"":8707},{""x"":1139,""y"":588,""dx"":168,""dy"":37,""t"":8743},{""x"":1178,""y"":589,""dx"":207,""dy"":38,""t"":8777},{""x"":1181,""y"":587,""dx"":210,""dy"":36,""t"":8810},{""x"":1177,""y"":593,""dx"":206,""dy"":42,""t"":8844},{""x"":1188,""y"":580,""dx"":217,""dy"":29,""t"":8879},{""x"":1165,""y"":599,""dx"":194,""dy"":48,""t"":8911},{""x"":1159,""y"":611,""dx"":188,""dy"":60,""t"":8946},{""x"":1180,""y"":610,""dx"":209,""dy"":59,""t"":8980}],[{""x"":632,""y"":820,""dx"":141,""dy"":-1,""t"":10034},{""x"":657,""y"":814,""dx"":166,""dy"":-7,""t"":10067},{""x"":643,""y"":838,""dx"":152,""dy"":17,""t"":10103},{""x"":640,""y"":822,""dx"":149,""dy"":1,""t"":10136},{""x"":668,""y"":857,""dx"":177,""dy"":36,""t"":10169},{""x"":656,""y"":878,""dx"":165,""dy"":57,""t"":10204},{""x"":643,""y"":906,""dx"":152,""dy"":85,""t"":10239},{""x"":626,""y"":876,""dx"":135,""dy"":55,""t"":10272},{""x"":611,""y"":852,""dx"":120,""dy"":31,""t"":10305},{""x"":659,""y"":842,""dx"":168,""dy"":21,""t"":10339},{""x"":667,""y"":853,""dx"":176,""dy"":32,""t"":10375},{""x"":664,""y"":863,""dx"":173,""dy"":42,""t"":10408},{""x"":642,""y"":864,""dx"":151,""dy"":43,""t"":10442},{""x"":680,""y"":884,""dx"":189,""dy"":63,""t"":10476},{""x"":661,""y"":864,""dx"":170,""dy"":43,""t"":10510},{""x"":673,""y"":847,""dx"":182,""dy"":26,""t"":10544},{""x"":649,""y"":826,""dx"":158,""dy"":5,""t"":10577},{""x"":633,""y"":850,""dx"":142,""dy"":29,""t"":10612},{""x"":639,""y"":865,""dx"":148,""dy"":44,""t"":10646},{""x"":646,""y"":893,""dx"":155,""dy"":72,""t"":10682},{""x"":625,""y"":865,""dx"":134,""dy"":44,""t"":10714},{""x"":676,""y"":896,""dx"":185,""dy"":75,""t"":10748},{""x"":717,""y"":862,""dx"":226,""dy"":41,""t"":10782},{""x"":698,""y"":834,""dx"":207,""dy"":13,""t"":10816},{""x"":692,""y"":806,""dx"":201,""dy"":-15,""t"":10850},{""x"":667,""y"":799,""dx"":176,""dy"":-22,""t"":10885},{""x"":657,""y"":781,""dx"":166,""dy"":-40,""t"":10917},{""x"":643,""y"":768,""dx"":152,""dy"":-53,""t"":10952},{""x"":658,""y"":776,""dx"":167,""dy"":-45,""t"":10985},{""x"":671,""y"":783,""dx"":180,""dy"":-38,""t"":11017},{""x"":654,""y"":776,""dx"":163,""dy"":-45,""t"":11054},{""x"":671,""y"":782,""dx"":180,""dy"":-39,""t"":11089},{""x"":675,""y"":776,""dx"":184,""dy"":-45,""t"":11121},{""x"":697,""y"":789,""dx"":206,""dy"":-32,""t"":11156},{""x"":689,""y"":789,""dx"":198,""dy"":-32,""t"":11189},{""x"":677,""y"":786,""dx"":186,""dy"":-35,""t"":11224},{""x"":678,""y"":800,""dx"":187,""dy"":-21,""t"":11257},{""x"":668,""y"":814,""dx"":177,""dy"":-7,""t"":11292},{""x"":692,""y"":818,""dx"":201,""dy"":-3,""t"":11325},{""x"":709,""y"":819,""dx"":218,""dy"":-2,""t"":11360},{""x"":723,""y"":820,""dx"":232,""dy"":-1,""t"":11393},{""x"":731,""y"":822,""dx"":240,""dy"":1,""t"":11428},{""x"":697,""y"":828,""dx"":206,""dy"":7,""t"":11461},{""x"":665,""y"":838,""dx"":174,""dy"":17,""t"":11497},{""x"":654,""y"":881,""dx"":163,""dy"":60,""t"":11530},{""x"":652,""y"":910,""dx"":161,""dy"":89,""t"":11564},{""x"":659,""y"":935,""dx"":168,""dy"":114,""t"":11597},{""x"":663,""y"":948,""dx"":172,""dy"":127,""t"":11633},{""x"":679,""y"":958,""dx"":188,""dy"":137,""t"":11665},{""x"":684,""y"":964,""dx"":193,""dy"":143,""t"":11699},{""x"":694,""y"":931,""dx"":203,""dy"":110,""t"":11735},{""x"":668,""y"":893,""dx"":177,""dy"":72,""t"":11769},{""x"":674,""y"":887,""dx"":183,""dy"":66,""t"":11802},{""x"":679,""y"":855,""dx"":188,""dy"":34,""t"":11836},{""x"":651,""y"":857,""dx"":160,""dy"":36,""t"":11870},{""x"":671,""y"":843,""dx"":180,""dy"":22,""t"":11904},{""x"":679,""y"":832,""dx"":188,""dy"":11,""t"":11937},{""x"":681,""y"":826,""dx"":190,""dy"":5,""t"":11971},{""x"":686,""y"":811,""dx"":195,""dy"":-10,""t"":12006}],[{""x"":1396,""y"":824,""dx"":-55,""dy"":3,""t"":13026},{""x"":1388,""y"":816,""dx"":-63,""dy"":-5,""t"":13060},{""x"":1365,""y"":812,""dx"":-86,""dy"":-9,""t"":13093},{""x"":1360,""y"":791,""dx"":-91,""dy"":-30,""t"":13128},{""x"":1352,""y"":788,""dx"":-99,""dy"":-33,""t"":13162},{""x"":1335,""y"":803,""dx"":-116,""dy"":-18,""t"":13195},{""x"":1314,""y"":796,""dx"":-137,""dy"":-25,""t"":13230},{""x"":1312,""y"":802,""dx"":-139,""dy"":-19,""t"":13264},{""x"":1312,""y"":807,""dx"":-139,""dy"":-14,""t"":13298},{""x"":1302,""y"":804,""dx"":-149,""dy"":-17,""t"":13332},{""x"":1280,""y"":799,""dx"":-171,""dy"":-22,""t"":13365},{""x"":1285,""y"":807,""dx"":-166,""dy"":-14,""t"":13399},{""x"":1286,""y"":797,""dx"":-165,""dy"":-24,""t"":13434},{""x"":1276,""y"":810,""dx"":-175,""dy"":-11,""t"":13467},{""x"":1284,""y"":807,""dx"":-167,""dy"":-14,""t"":13503},{""x"":1277,""y"":799,""dx"":-174,""dy"":-22,""t"":13535},{""x"":1296,""y"":822,""dx"":-155,""dy"":1,""t"":13569},{""x"":1296,""y"":824,""dx"":-155,""dy"":3,""t"":13603},{""x"":1328,""y"":844,""dx"":-123,""dy"":23,""t"":13637},{""x"":1334,""y"":845,""dx"":-117,""dy"":24,""t"":13671},{""x"":1355,""y"":853,""dx"":-96,""dy"":32,""t"":13705},{""x"":1361,""y"":857,""dx"":-90,""dy"":36,""t"":13740},{""x"":1389,""y"":838,""dx"":-62,""dy"":17,""t"":13774},{""x"":1350,""y"":820,""dx"":-101,""dy"":-1,""t"":13808},{""x"":1363,""y"":818,""dx"":-88,""dy"":-3,""t"":13841},{""x"":1370,""y"":828,""dx"":-81,""dy"":7,""t"":13875},{""x"":1370,""y"":836,""dx"":-81,""dy"":15,""t"":13909},{""x"":1379,""y"":860,""dx"":-72,""dy"":39,""t"":13944},{""x"":1357,""y"":852,""dx"":-94,""dy"":31,""t"":13977},{""x"":1362,""y"":848,""dx"":-89,""dy"":27,""t"":14012},{""x"":1360,""y"":857,""dx"":-91,""dy"":36,""t"":14046},{""x"":1352,""y"":855,""dx"":-99,""dy"":34,""t"":14080},{""x"":1351,""y"":850,""dx"":-100,""dy"":29,""t"":14113},{""x"":1353,""y"":855,""dx"":-98,""dy"":34,""t"":14148},{""x"":1342,""y"":857,""dx"":-109,""dy"":36,""t"":14182},{""x"":1305,""y"":840,""dx"":-146,""dy"":19,""t"":14216},{""x"":1263,""y"":827,""dx"":-188,""dy"":6,""t"":14249},{""x"":1236,""y"":817,""dx"":-215,""dy"":-4,""t"":14284},{""x"":1219,""y"":819,""dx"":-232,""dy"":-2,""t"":14318},{""x"":1218,""y"":810,""dx"":-233,""dy"":-11,""t"":14352},{""x"":1232,""y"":805,""dx"":-219,""dy"":-16,""t"":14386},{""x"":1216,""y"":808,""dx"":-235,""dy"":-13,""t"":14420},{""x"":1214,""y"":813,""dx"":-237,""dy"":-8,""t"":14453},{""x"":1242,""y"":813,""dx"":-209,""dy"":-8,""t"":14488},{""x"":1285,""y"":828,""dx"":-166,""dy"":7,""t"":14522},{""x"":1305,""y"":833,""dx"":-146,""dy"":12,""t"":14555},{""x"":1321,""y"":837,""dx"":-130,""dy"":16,""t"":14588},{""x"":1310,""y"":824,""dx"":-141,""dy"":3,""t"":14623},{""x"":1306,""y"":831,""dx"":-145,""dy"":10,""t"":14658},{""x"":1322,""y"":818,""dx"":-129,""dy"":-3,""t"":14692},{""x"":1337,""y"":827,""dx"":-114,""dy"":6,""t"":14725},{""x"":1315,""y"":827,""dx"":-136,""dy"":6,""t"":14760},{""x"":1342,""y"":823,""dx"":-109,""dy"":2,""t"":14794},{""x"":1347,""y"":818,""dx"":-104,""dy"":-3,""t"":14828},{""x"":1322,""y"":813,""dx"":-129,""dy"":-8,""t"":14861},{""x"":1310,""y"":826,""dx"":-141,""dy"":5,""t"":14896},{""x"":1287,""y"":805,""dx"":-164,""dy"":-16,""t"":14930},{""x"":1268,""y"":788,""dx"":-183,""dy"":-33,""t"":14962},{""x"":1249,""y"":783,""dx"":-202,""dy"":-38,""t"":14997}]]","[100,100,84.7457627118644,74.57627118644068,86.4406779661017]","[{""x"":18.593220338983052,""y"":65.0677966101695,""r"":48.358308472033606},{""x"":-26.779661016949152,""y"":122.40677966101696,""r"":21.407913600413774},{""x"":138.67796610169492,""y"":20.406779661016948,""r"":44.50459533613073},{""x"":176.67796610169492,""y"":24.28813559322034,""r"":46.20734715758489},{""x"":-136.3728813559322,""y"":1.271186440677966,""r"":44.219510682097}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
