"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","4347","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4353","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","13528","0.0-2.0-0.0","","","","","9172","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","15616","0.0-2.0-1.0","","","","","2087","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","16592","0.0-3.0","","","","","974"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","21455","0.0-4.0","","","","","","","","","1526","","","","","","","","","","","","","","","","",""
"","html-button-response","6","22672","0.0-5.0-0.0","","","","","1215","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","37599","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","39111","0.0-5.0-2.0","","","","","1511","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","56596","0.0-5.0-3.0","","","","","","","","","","[[{""x"":368,""y"":168,""dx"":-123,""dy"":-113,""t"":990},{""x"":373,""y"":167,""dx"":-118,""dy"":-114,""t"":1023},{""x"":380,""y"":169,""dx"":-111,""dy"":-112,""t"":1056},{""x"":374,""y"":165,""dx"":-117,""dy"":-116,""t"":1093},{""x"":376,""y"":166,""dx"":-115,""dy"":-115,""t"":1126},{""x"":404,""y"":167,""dx"":-87,""dy"":-114,""t"":1159},{""x"":397,""y"":183,""dx"":-94,""dy"":-98,""t"":1195},{""x"":381,""y"":188,""dx"":-110,""dy"":-93,""t"":1228},{""x"":388,""y"":198,""dx"":-103,""dy"":-83,""t"":1262},{""x"":377,""y"":198,""dx"":-114,""dy"":-83,""t"":1295},{""x"":390,""y"":231,""dx"":-101,""dy"":-50,""t"":1330},{""x"":383,""y"":236,""dx"":-108,""dy"":-45,""t"":1364},{""x"":387,""y"":247,""dx"":-104,""dy"":-34,""t"":1398},{""x"":395,""y"":257,""dx"":-96,""dy"":-24,""t"":1432},{""x"":424,""y"":276,""dx"":-67,""dy"":-5,""t"":1466},{""x"":428,""y"":284,""dx"":-63,""dy"":3,""t"":1500},{""x"":423,""y"":281,""dx"":-68,""dy"":0,""t"":1534},{""x"":418,""y"":283,""dx"":-73,""dy"":2,""t"":1568},{""x"":411,""y"":288,""dx"":-80,""dy"":7,""t"":1602},{""x"":439,""y"":288,""dx"":-52,""dy"":7,""t"":1636},{""x"":453,""y"":285,""dx"":-38,""dy"":4,""t"":1671},{""x"":469,""y"":276,""dx"":-22,""dy"":-5,""t"":1704},{""x"":465,""y"":281,""dx"":-26,""dy"":0,""t"":1738},{""x"":485,""y"":264,""dx"":-6,""dy"":-17,""t"":1772},{""x"":475,""y"":264,""dx"":-16,""dy"":-17,""t"":1806},{""x"":488,""y"":261,""dx"":-3,""dy"":-20,""t"":1840},{""x"":493,""y"":262,""dx"":2,""dy"":-19,""t"":1873},{""x"":492,""y"":273,""dx"":1,""dy"":-8,""t"":1909},{""x"":490,""y"":266,""dx"":-1,""dy"":-15,""t"":1942},{""x"":495,""y"":274,""dx"":4,""dy"":-7,""t"":1976},{""x"":488,""y"":279,""dx"":-3,""dy"":-2,""t"":2010},{""x"":474,""y"":277,""dx"":-17,""dy"":-4,""t"":2045},{""x"":469,""y"":274,""dx"":-22,""dy"":-7,""t"":2078},{""x"":458,""y"":279,""dx"":-33,""dy"":-2,""t"":2112},{""x"":505,""y"":280,""dx"":14,""dy"":-1,""t"":2145},{""x"":504,""y"":279,""dx"":13,""dy"":-2,""t"":2180},{""x"":556,""y"":278,""dx"":65,""dy"":-3,""t"":2212},{""x"":586,""y"":268,""dx"":95,""dy"":-13,""t"":2248},{""x"":530,""y"":267,""dx"":39,""dy"":-14,""t"":2282},{""x"":507,""y"":268,""dx"":16,""dy"":-13,""t"":2317},{""x"":487,""y"":266,""dx"":-4,""dy"":-15,""t"":2351},{""x"":524,""y"":275,""dx"":33,""dy"":-6,""t"":2384},{""x"":517,""y"":282,""dx"":26,""dy"":1,""t"":2418},{""x"":508,""y"":298,""dx"":17,""dy"":17,""t"":2452},{""x"":503,""y"":289,""dx"":12,""dy"":8,""t"":2486},{""x"":514,""y"":285,""dx"":23,""dy"":4,""t"":2520},{""x"":521,""y"":277,""dx"":30,""dy"":-4,""t"":2554},{""x"":498,""y"":279,""dx"":7,""dy"":-2,""t"":2588},{""x"":488,""y"":289,""dx"":-3,""dy"":8,""t"":2619},{""x"":505,""y"":286,""dx"":14,""dy"":5,""t"":2657},{""x"":545,""y"":276,""dx"":54,""dy"":-5,""t"":2690},{""x"":561,""y"":275,""dx"":70,""dy"":-6,""t"":2725},{""x"":555,""y"":277,""dx"":64,""dy"":-4,""t"":2758},{""x"":541,""y"":272,""dx"":50,""dy"":-9,""t"":2792},{""x"":541,""y"":280,""dx"":50,""dy"":-1,""t"":2826},{""x"":518,""y"":289,""dx"":27,""dy"":8,""t"":2860},{""x"":518,""y"":294,""dx"":27,""dy"":13,""t"":2894},{""x"":516,""y"":280,""dx"":25,""dy"":-1,""t"":2928},{""x"":504,""y"":270,""dx"":13,""dy"":-11,""t"":2962},{""x"":474,""y"":277,""dx"":-17,""dy"":-4,""t"":2996}],[{""x"":1725,""y"":316,""dx"":274,""dy"":35,""t"":4016},{""x"":1707,""y"":278,""dx"":256,""dy"":-3,""t"":4050},{""x"":1706,""y"":266,""dx"":255,""dy"":-15,""t"":4084},{""x"":1702,""y"":253,""dx"":251,""dy"":-28,""t"":4118},{""x"":1686,""y"":250,""dx"":235,""dy"":-31,""t"":4152},{""x"":1676,""y"":241,""dx"":225,""dy"":-40,""t"":4186},{""x"":1664,""y"":236,""dx"":213,""dy"":-45,""t"":4219},{""x"":1634,""y"":244,""dx"":183,""dy"":-37,""t"":4254},{""x"":1633,""y"":249,""dx"":182,""dy"":-32,""t"":4288},{""x"":1627,""y"":246,""dx"":176,""dy"":-35,""t"":4321},{""x"":1614,""y"":247,""dx"":163,""dy"":-34,""t"":4355},{""x"":1619,""y"":248,""dx"":168,""dy"":-33,""t"":4389},{""x"":1609,""y"":249,""dx"":158,""dy"":-32,""t"":4425},{""x"":1611,""y"":257,""dx"":160,""dy"":-24,""t"":4457},{""x"":1573,""y"":259,""dx"":122,""dy"":-22,""t"":4492},{""x"":1600,""y"":248,""dx"":149,""dy"":-33,""t"":4526},{""x"":1575,""y"":259,""dx"":124,""dy"":-22,""t"":4559},{""x"":1543,""y"":275,""dx"":92,""dy"":-6,""t"":4594},{""x"":1532,""y"":269,""dx"":81,""dy"":-12,""t"":4627},{""x"":1552,""y"":275,""dx"":101,""dy"":-6,""t"":4663},{""x"":1552,""y"":276,""dx"":101,""dy"":-5,""t"":4696},{""x"":1542,""y"":261,""dx"":91,""dy"":-20,""t"":4730},{""x"":1544,""y"":258,""dx"":93,""dy"":-23,""t"":4764},{""x"":1551,""y"":271,""dx"":100,""dy"":-10,""t"":4797},{""x"":1551,""y"":264,""dx"":100,""dy"":-17,""t"":4834},{""x"":1552,""y"":262,""dx"":101,""dy"":-19,""t"":4866},{""x"":1580,""y"":253,""dx"":129,""dy"":-28,""t"":4901},{""x"":1589,""y"":243,""dx"":138,""dy"":-38,""t"":4934},{""x"":1602,""y"":239,""dx"":151,""dy"":-42,""t"":4968},{""x"":1586,""y"":243,""dx"":135,""dy"":-38,""t"":5002},{""x"":1600,""y"":239,""dx"":149,""dy"":-42,""t"":5036},{""x"":1588,""y"":250,""dx"":137,""dy"":-31,""t"":5069},{""x"":1603,""y"":244,""dx"":152,""dy"":-37,""t"":5104},{""x"":1592,""y"":241,""dx"":141,""dy"":-40,""t"":5138},{""x"":1607,""y"":235,""dx"":156,""dy"":-46,""t"":5172},{""x"":1618,""y"":231,""dx"":167,""dy"":-50,""t"":5205},{""x"":1617,""y"":234,""dx"":166,""dy"":-47,""t"":5239},{""x"":1603,""y"":239,""dx"":152,""dy"":-42,""t"":5273},{""x"":1616,""y"":247,""dx"":165,""dy"":-34,""t"":5308},{""x"":1617,""y"":244,""dx"":166,""dy"":-37,""t"":5343},{""x"":1618,""y"":238,""dx"":167,""dy"":-43,""t"":5375},{""x"":1609,""y"":244,""dx"":158,""dy"":-37,""t"":5411},{""x"":1615,""y"":233,""dx"":164,""dy"":-48,""t"":5444},{""x"":1610,""y"":249,""dx"":159,""dy"":-32,""t"":5513},{""x"":1606,""y"":246,""dx"":155,""dy"":-35,""t"":5547},{""x"":1600,""y"":242,""dx"":149,""dy"":-39,""t"":5580},{""x"":1606,""y"":244,""dx"":155,""dy"":-37,""t"":5613},{""x"":1633,""y"":247,""dx"":182,""dy"":-34,""t"":5649},{""x"":1632,""y"":247,""dx"":181,""dy"":-34,""t"":5682},{""x"":1646,""y"":249,""dx"":195,""dy"":-32,""t"":5715},{""x"":1635,""y"":246,""dx"":184,""dy"":-35,""t"":5751},{""x"":1625,""y"":243,""dx"":174,""dy"":-38,""t"":5782},{""x"":1625,""y"":235,""dx"":174,""dy"":-46,""t"":5818},{""x"":1618,""y"":234,""dx"":167,""dy"":-47,""t"":5852},{""x"":1623,""y"":227,""dx"":172,""dy"":-54,""t"":5886},{""x"":1609,""y"":221,""dx"":158,""dy"":-60,""t"":5919},{""x"":1612,""y"":217,""dx"":161,""dy"":-64,""t"":5954},{""x"":1626,""y"":219,""dx"":175,""dy"":-62,""t"":5988}],[{""x"":1069,""y"":658,""dx"":98,""dy"":107,""t"":7043},{""x"":1081,""y"":629,""dx"":110,""dy"":78,""t"":7076},{""x"":1069,""y"":610,""dx"":98,""dy"":59,""t"":7110},{""x"":1071,""y"":606,""dx"":100,""dy"":55,""t"":7144},{""x"":1077,""y"":592,""dx"":106,""dy"":41,""t"":7178},{""x"":1106,""y"":599,""dx"":135,""dy"":48,""t"":7212},{""x"":1113,""y"":598,""dx"":142,""dy"":47,""t"":7245},{""x"":1111,""y"":595,""dx"":140,""dy"":44,""t"":7280},{""x"":1119,""y"":573,""dx"":148,""dy"":22,""t"":7314},{""x"":1150,""y"":585,""dx"":179,""dy"":34,""t"":7347},{""x"":1175,""y"":595,""dx"":204,""dy"":44,""t"":7379},{""x"":1188,""y"":578,""dx"":217,""dy"":27,""t"":7416},{""x"":1192,""y"":574,""dx"":221,""dy"":23,""t"":7450},{""x"":1204,""y"":587,""dx"":233,""dy"":36,""t"":7484},{""x"":1216,""y"":582,""dx"":245,""dy"":31,""t"":7519},{""x"":1177,""y"":596,""dx"":206,""dy"":45,""t"":7552},{""x"":1194,""y"":584,""dx"":223,""dy"":33,""t"":7586},{""x"":1172,""y"":592,""dx"":201,""dy"":41,""t"":7620},{""x"":1169,""y"":603,""dx"":198,""dy"":52,""t"":7654},{""x"":1154,""y"":588,""dx"":183,""dy"":37,""t"":7688},{""x"":1156,""y"":600,""dx"":185,""dy"":49,""t"":7722},{""x"":1176,""y"":601,""dx"":205,""dy"":50,""t"":7755},{""x"":1185,""y"":604,""dx"":214,""dy"":53,""t"":7787},{""x"":1175,""y"":599,""dx"":204,""dy"":48,""t"":7824},{""x"":1170,""y"":606,""dx"":199,""dy"":55,""t"":7858},{""x"":1196,""y"":608,""dx"":225,""dy"":57,""t"":7892},{""x"":1218,""y"":594,""dx"":247,""dy"":43,""t"":7927},{""x"":1213,""y"":596,""dx"":242,""dy"":45,""t"":7960},{""x"":1217,""y"":601,""dx"":246,""dy"":50,""t"":7994},{""x"":1196,""y"":594,""dx"":225,""dy"":43,""t"":8028},{""x"":1193,""y"":589,""dx"":222,""dy"":38,""t"":8062},{""x"":1191,""y"":586,""dx"":220,""dy"":35,""t"":8095},{""x"":1165,""y"":591,""dx"":194,""dy"":40,""t"":8131},{""x"":1149,""y"":581,""dx"":178,""dy"":30,""t"":8164},{""x"":1133,""y"":592,""dx"":162,""dy"":41,""t"":8198},{""x"":1143,""y"":592,""dx"":172,""dy"":41,""t"":8232},{""x"":1121,""y"":587,""dx"":150,""dy"":36,""t"":8267},{""x"":1106,""y"":574,""dx"":135,""dy"":23,""t"":8301},{""x"":1127,""y"":578,""dx"":156,""dy"":27,""t"":8334},{""x"":1118,""y"":582,""dx"":147,""dy"":31,""t"":8368},{""x"":1128,""y"":593,""dx"":157,""dy"":42,""t"":8402},{""x"":1136,""y"":592,""dx"":165,""dy"":41,""t"":8436},{""x"":1122,""y"":588,""dx"":151,""dy"":37,""t"":8470},{""x"":1123,""y"":580,""dx"":152,""dy"":29,""t"":8504},{""x"":1127,""y"":583,""dx"":156,""dy"":32,""t"":8538},{""x"":1151,""y"":594,""dx"":180,""dy"":43,""t"":8572},{""x"":1148,""y"":605,""dx"":177,""dy"":54,""t"":8605},{""x"":1150,""y"":583,""dx"":179,""dy"":32,""t"":8641},{""x"":1144,""y"":585,""dx"":173,""dy"":34,""t"":8674},{""x"":1141,""y"":582,""dx"":170,""dy"":31,""t"":8708},{""x"":1129,""y"":565,""dx"":158,""dy"":14,""t"":8742},{""x"":1120,""y"":571,""dx"":149,""dy"":20,""t"":8776},{""x"":1130,""y"":579,""dx"":159,""dy"":28,""t"":8810},{""x"":1117,""y"":563,""dx"":146,""dy"":12,""t"":8844},{""x"":1107,""y"":547,""dx"":136,""dy"":-4,""t"":8878},{""x"":1100,""y"":548,""dx"":129,""dy"":-3,""t"":8913},{""x"":1075,""y"":542,""dx"":104,""dy"":-9,""t"":8946},{""x"":1091,""y"":565,""dx"":120,""dy"":14,""t"":8980},{""x"":1069,""y"":546,""dx"":98,""dy"":-5,""t"":9014}],[{""x"":648,""y"":730,""dx"":157,""dy"":-91,""t"":10034},{""x"":624,""y"":735,""dx"":133,""dy"":-86,""t"":10068},{""x"":664,""y"":719,""dx"":173,""dy"":-102,""t"":10102},{""x"":652,""y"":707,""dx"":161,""dy"":-114,""t"":10136},{""x"":639,""y"":714,""dx"":148,""dy"":-107,""t"":10171},{""x"":683,""y"":718,""dx"":192,""dy"":-103,""t"":10204},{""x"":710,""y"":722,""dx"":219,""dy"":-99,""t"":10238},{""x"":732,""y"":697,""dx"":241,""dy"":-124,""t"":10271},{""x"":758,""y"":711,""dx"":267,""dy"":-110,""t"":10305},{""x"":777,""y"":694,""dx"":286,""dy"":-127,""t"":10340},{""x"":734,""y"":706,""dx"":243,""dy"":-115,""t"":10373},{""x"":685,""y"":718,""dx"":194,""dy"":-103,""t"":10408},{""x"":699,""y"":718,""dx"":208,""dy"":-103,""t"":10442},{""x"":716,""y"":716,""dx"":225,""dy"":-105,""t"":10476},{""x"":714,""y"":714,""dx"":223,""dy"":-107,""t"":10511},{""x"":724,""y"":702,""dx"":233,""dy"":-119,""t"":10543},{""x"":696,""y"":721,""dx"":205,""dy"":-100,""t"":10578},{""x"":674,""y"":720,""dx"":183,""dy"":-101,""t"":10612},{""x"":644,""y"":715,""dx"":153,""dy"":-106,""t"":10646},{""x"":648,""y"":707,""dx"":157,""dy"":-114,""t"":10680},{""x"":615,""y"":700,""dx"":124,""dy"":-121,""t"":10714},{""x"":625,""y"":694,""dx"":134,""dy"":-127,""t"":10748},{""x"":636,""y"":693,""dx"":145,""dy"":-128,""t"":10782},{""x"":638,""y"":687,""dx"":147,""dy"":-134,""t"":10816},{""x"":611,""y"":692,""dx"":120,""dy"":-129,""t"":10851},{""x"":620,""y"":684,""dx"":129,""dy"":-137,""t"":10883},{""x"":612,""y"":687,""dx"":121,""dy"":-134,""t"":10918},{""x"":605,""y"":690,""dx"":114,""dy"":-131,""t"":10950},{""x"":629,""y"":686,""dx"":138,""dy"":-135,""t"":10986},{""x"":621,""y"":698,""dx"":130,""dy"":-123,""t"":11020},{""x"":608,""y"":692,""dx"":117,""dy"":-129,""t"":11054},{""x"":598,""y"":687,""dx"":107,""dy"":-134,""t"":11088},{""x"":607,""y"":696,""dx"":116,""dy"":-125,""t"":11122},{""x"":604,""y"":706,""dx"":113,""dy"":-115,""t"":11155},{""x"":592,""y"":706,""dx"":101,""dy"":-115,""t"":11190},{""x"":590,""y"":703,""dx"":99,""dy"":-118,""t"":11224},{""x"":591,""y"":707,""dx"":100,""dy"":-114,""t"":11259},{""x"":598,""y"":705,""dx"":107,""dy"":-116,""t"":11292},{""x"":590,""y"":699,""dx"":99,""dy"":-122,""t"":11325},{""x"":583,""y"":694,""dx"":92,""dy"":-127,""t"":11357},{""x"":579,""y"":692,""dx"":88,""dy"":-129,""t"":11394},{""x"":617,""y"":678,""dx"":126,""dy"":-143,""t"":11428},{""x"":604,""y"":674,""dx"":113,""dy"":-147,""t"":11463},{""x"":632,""y"":679,""dx"":141,""dy"":-142,""t"":11496},{""x"":631,""y"":662,""dx"":140,""dy"":-159,""t"":11530},{""x"":635,""y"":663,""dx"":144,""dy"":-158,""t"":11564},{""x"":635,""y"":678,""dx"":144,""dy"":-143,""t"":11598},{""x"":636,""y"":682,""dx"":145,""dy"":-139,""t"":11632},{""x"":677,""y"":687,""dx"":186,""dy"":-134,""t"":11665},{""x"":693,""y"":698,""dx"":202,""dy"":-123,""t"":11700},{""x"":668,""y"":693,""dx"":177,""dy"":-128,""t"":11734},{""x"":667,""y"":700,""dx"":176,""dy"":-121,""t"":11768},{""x"":690,""y"":697,""dx"":199,""dy"":-124,""t"":11802},{""x"":673,""y"":701,""dx"":182,""dy"":-120,""t"":11836},{""x"":696,""y"":700,""dx"":205,""dy"":-121,""t"":11870},{""x"":698,""y"":692,""dx"":207,""dy"":-129,""t"":11904},{""x"":712,""y"":687,""dx"":221,""dy"":-134,""t"":11938},{""x"":713,""y"":677,""dx"":222,""dy"":-144,""t"":11972},{""x"":694,""y"":678,""dx"":203,""dy"":-143,""t"":12005}],[{""x"":1538,""y"":704,""dx"":87,""dy"":-117,""t"":13060},{""x"":1535,""y"":695,""dx"":84,""dy"":-126,""t"":13094},{""x"":1533,""y"":683,""dx"":82,""dy"":-138,""t"":13127},{""x"":1527,""y"":670,""dx"":76,""dy"":-151,""t"":13162},{""x"":1524,""y"":671,""dx"":73,""dy"":-150,""t"":13196},{""x"":1502,""y"":660,""dx"":51,""dy"":-161,""t"":13230},{""x"":1493,""y"":652,""dx"":42,""dy"":-169,""t"":13264},{""x"":1472,""y"":661,""dx"":21,""dy"":-160,""t"":13298},{""x"":1465,""y"":656,""dx"":14,""dy"":-165,""t"":13329},{""x"":1455,""y"":647,""dx"":4,""dy"":-174,""t"":13366},{""x"":1425,""y"":654,""dx"":-26,""dy"":-167,""t"":13401},{""x"":1418,""y"":658,""dx"":-33,""dy"":-163,""t"":13434},{""x"":1412,""y"":637,""dx"":-39,""dy"":-184,""t"":13468},{""x"":1391,""y"":649,""dx"":-60,""dy"":-172,""t"":13502},{""x"":1362,""y"":657,""dx"":-89,""dy"":-164,""t"":13536},{""x"":1339,""y"":673,""dx"":-112,""dy"":-148,""t"":13570},{""x"":1350,""y"":673,""dx"":-101,""dy"":-148,""t"":13604},{""x"":1372,""y"":668,""dx"":-79,""dy"":-153,""t"":13638},{""x"":1391,""y"":668,""dx"":-60,""dy"":-153,""t"":13672},{""x"":1418,""y"":665,""dx"":-33,""dy"":-156,""t"":13706},{""x"":1421,""y"":652,""dx"":-30,""dy"":-169,""t"":13740},{""x"":1443,""y"":643,""dx"":-8,""dy"":-178,""t"":13774},{""x"":1448,""y"":641,""dx"":-3,""dy"":-180,""t"":13808},{""x"":1464,""y"":630,""dx"":13,""dy"":-191,""t"":13842},{""x"":1469,""y"":629,""dx"":18,""dy"":-192,""t"":13876},{""x"":1467,""y"":634,""dx"":16,""dy"":-187,""t"":13910},{""x"":1477,""y"":636,""dx"":26,""dy"":-185,""t"":13943},{""x"":1462,""y"":647,""dx"":11,""dy"":-174,""t"":13977},{""x"":1451,""y"":638,""dx"":0,""dy"":-183,""t"":14012},{""x"":1440,""y"":642,""dx"":-11,""dy"":-179,""t"":14046},{""x"":1448,""y"":637,""dx"":-3,""dy"":-184,""t"":14079},{""x"":1438,""y"":641,""dx"":-13,""dy"":-180,""t"":14114},{""x"":1430,""y"":640,""dx"":-21,""dy"":-181,""t"":14148},{""x"":1427,""y"":646,""dx"":-24,""dy"":-175,""t"":14182},{""x"":1438,""y"":649,""dx"":-13,""dy"":-172,""t"":14215},{""x"":1432,""y"":656,""dx"":-19,""dy"":-165,""t"":14250},{""x"":1426,""y"":665,""dx"":-25,""dy"":-156,""t"":14284},{""x"":1423,""y"":669,""dx"":-28,""dy"":-152,""t"":14317},{""x"":1423,""y"":670,""dx"":-28,""dy"":-151,""t"":14351},{""x"":1415,""y"":659,""dx"":-36,""dy"":-162,""t"":14386},{""x"":1416,""y"":648,""dx"":-35,""dy"":-173,""t"":14420},{""x"":1403,""y"":649,""dx"":-48,""dy"":-172,""t"":14454},{""x"":1392,""y"":649,""dx"":-59,""dy"":-172,""t"":14486},{""x"":1405,""y"":653,""dx"":-46,""dy"":-168,""t"":14521},{""x"":1412,""y"":627,""dx"":-39,""dy"":-194,""t"":14557},{""x"":1415,""y"":621,""dx"":-36,""dy"":-200,""t"":14589},{""x"":1440,""y"":620,""dx"":-11,""dy"":-201,""t"":14624},{""x"":1423,""y"":627,""dx"":-28,""dy"":-194,""t"":14698},{""x"":1414,""y"":625,""dx"":-37,""dy"":-196,""t"":14727},{""x"":1404,""y"":627,""dx"":-47,""dy"":-194,""t"":14760},{""x"":1396,""y"":634,""dx"":-55,""dy"":-187,""t"":14794},{""x"":1413,""y"":624,""dx"":-38,""dy"":-197,""t"":14828},{""x"":1409,""y"":650,""dx"":-42,""dy"":-171,""t"":14863},{""x"":1402,""y"":650,""dx"":-49,""dy"":-171,""t"":14894},{""x"":1368,""y"":662,""dx"":-83,""dy"":-159,""t"":14930},{""x"":1358,""y"":674,""dx"":-93,""dy"":-147,""t"":14964},{""x"":1365,""y"":683,""dx"":-86,""dy"":-138,""t"":14998},{""x"":1360,""y"":683,""dx"":-91,""dy"":-138,""t"":15032}]]","[100,87.93103448275862,66.10169491525424,49.152542372881356,94.82758620689656]","[{""x"":-22.066666666666666,""y"":-22.483333333333334,""r"":79.02032069167086},{""x"":160.13793103448276,""y"":-32.37931034482759,""r"":33.34221871746054},{""x"":172.4406779661017,""y"":36.96610169491525,""r"":33.19447713500833},{""x"":162.28813559322035,""y"":-122.55932203389831,""r"":42.77579624756993},{""x"":-20.67241379310345,""y"":-168.74137931034483,""r"":48.680032147195675}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.21","validate","","","","","","","","","","",""
