"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2191","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2201","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5508","0.0-2.0-0.0","","","","","3302","{""name"":""syx"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6995","0.0-2.0-1.0","","","","","1486","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7476","0.0-3.0","","","","","478"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13875","0.0-4.0","","","","","","","","","2182","","","","","","","","","","","","","","","",""
"","html-button-response","6","14788","0.0-5.0-0.0","","","","","910","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25310","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","26043","0.0-5.0-2.0","","","","","732","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","43619","0.0-5.0-3.0","","","","","","","","","","[[{""x"":513,""y"":259,""dx"":22,""dy"":-22,""t"":990},{""x"":531,""y"":272,""dx"":40,""dy"":-9,""t"":1025},{""x"":527,""y"":271,""dx"":36,""dy"":-10,""t"":1058},{""x"":545,""y"":278,""dx"":54,""dy"":-3,""t"":1091},{""x"":557,""y"":288,""dx"":66,""dy"":7,""t"":1126},{""x"":567,""y"":307,""dx"":76,""dy"":26,""t"":1160},{""x"":583,""y"":317,""dx"":92,""dy"":36,""t"":1194},{""x"":584,""y"":320,""dx"":93,""dy"":39,""t"":1227},{""x"":583,""y"":320,""dx"":92,""dy"":39,""t"":1262},{""x"":586,""y"":317,""dx"":95,""dy"":36,""t"":1296},{""x"":581,""y"":309,""dx"":90,""dy"":28,""t"":1331},{""x"":583,""y"":305,""dx"":92,""dy"":24,""t"":1364},{""x"":576,""y"":307,""dx"":85,""dy"":26,""t"":1398},{""x"":569,""y"":308,""dx"":78,""dy"":27,""t"":1429},{""x"":566,""y"":307,""dx"":75,""dy"":26,""t"":1467},{""x"":564,""y"":311,""dx"":73,""dy"":30,""t"":1501},{""x"":518,""y"":284,""dx"":27,""dy"":3,""t"":1534},{""x"":496,""y"":262,""dx"":5,""dy"":-19,""t"":1568},{""x"":477,""y"":261,""dx"":-14,""dy"":-20,""t"":1603},{""x"":473,""y"":253,""dx"":-18,""dy"":-28,""t"":1636},{""x"":472,""y"":244,""dx"":-19,""dy"":-37,""t"":1670},{""x"":471,""y"":249,""dx"":-20,""dy"":-32,""t"":1703},{""x"":484,""y"":254,""dx"":-7,""dy"":-27,""t"":1738},{""x"":491,""y"":256,""dx"":0,""dy"":-25,""t"":1773},{""x"":494,""y"":259,""dx"":3,""dy"":-22,""t"":1806},{""x"":497,""y"":262,""dx"":6,""dy"":-19,""t"":1837},{""x"":506,""y"":270,""dx"":15,""dy"":-11,""t"":1874},{""x"":507,""y"":272,""dx"":16,""dy"":-9,""t"":1908},{""x"":503,""y"":277,""dx"":12,""dy"":-4,""t"":1941},{""x"":514,""y"":280,""dx"":23,""dy"":-1,""t"":1977},{""x"":515,""y"":277,""dx"":24,""dy"":-4,""t"":2010},{""x"":510,""y"":268,""dx"":19,""dy"":-13,""t"":2043},{""x"":511,""y"":274,""dx"":20,""dy"":-7,""t"":2077},{""x"":514,""y"":273,""dx"":23,""dy"":-8,""t"":2112},{""x"":522,""y"":289,""dx"":31,""dy"":8,""t"":2146},{""x"":525,""y"":287,""dx"":34,""dy"":6,""t"":2180},{""x"":518,""y"":292,""dx"":27,""dy"":11,""t"":2214},{""x"":509,""y"":294,""dx"":18,""dy"":13,""t"":2248},{""x"":515,""y"":290,""dx"":24,""dy"":9,""t"":2283},{""x"":525,""y"":298,""dx"":34,""dy"":17,""t"":2316},{""x"":536,""y"":302,""dx"":45,""dy"":21,""t"":2350},{""x"":542,""y"":305,""dx"":51,""dy"":24,""t"":2384},{""x"":544,""y"":307,""dx"":53,""dy"":26,""t"":2417},{""x"":542,""y"":301,""dx"":51,""dy"":20,""t"":2453},{""x"":548,""y"":302,""dx"":57,""dy"":21,""t"":2487},{""x"":548,""y"":298,""dx"":57,""dy"":17,""t"":2520},{""x"":551,""y"":299,""dx"":60,""dy"":18,""t"":2554},{""x"":558,""y"":296,""dx"":67,""dy"":15,""t"":2587},{""x"":554,""y"":294,""dx"":63,""dy"":13,""t"":2622},{""x"":540,""y"":296,""dx"":49,""dy"":15,""t"":2657},{""x"":544,""y"":298,""dx"":53,""dy"":17,""t"":2690},{""x"":547,""y"":298,""dx"":56,""dy"":17,""t"":2723},{""x"":537,""y"":306,""dx"":46,""dy"":25,""t"":2758},{""x"":527,""y"":309,""dx"":36,""dy"":28,""t"":2792},{""x"":524,""y"":292,""dx"":33,""dy"":11,""t"":2842},{""x"":521,""y"":278,""dx"":30,""dy"":-3,""t"":2858},{""x"":544,""y"":286,""dx"":53,""dy"":5,""t"":2893},{""x"":527,""y"":264,""dx"":36,""dy"":-17,""t"":2928},{""x"":513,""y"":260,""dx"":22,""dy"":-21,""t"":2962}],[{""x"":1442,""y"":325,""dx"":-9,""dy"":44,""t"":4015},{""x"":1439,""y"":334,""dx"":-12,""dy"":53,""t"":4051},{""x"":1442,""y"":332,""dx"":-9,""dy"":51,""t"":4083},{""x"":1442,""y"":321,""dx"":-9,""dy"":40,""t"":4118},{""x"":1452,""y"":322,""dx"":1,""dy"":41,""t"":4153},{""x"":1464,""y"":328,""dx"":13,""dy"":47,""t"":4186},{""x"":1467,""y"":312,""dx"":16,""dy"":31,""t"":4220},{""x"":1463,""y"":310,""dx"":12,""dy"":29,""t"":4254},{""x"":1458,""y"":316,""dx"":7,""dy"":35,""t"":4288},{""x"":1441,""y"":298,""dx"":-10,""dy"":17,""t"":4322},{""x"":1448,""y"":300,""dx"":-3,""dy"":19,""t"":4356},{""x"":1435,""y"":294,""dx"":-16,""dy"":13,""t"":4390},{""x"":1444,""y"":296,""dx"":-7,""dy"":15,""t"":4423},{""x"":1436,""y"":289,""dx"":-15,""dy"":8,""t"":4458},{""x"":1445,""y"":287,""dx"":-6,""dy"":6,""t"":4492},{""x"":1451,""y"":299,""dx"":0,""dy"":18,""t"":4527},{""x"":1450,""y"":282,""dx"":-1,""dy"":1,""t"":4559},{""x"":1464,""y"":285,""dx"":13,""dy"":4,""t"":4594},{""x"":1464,""y"":284,""dx"":13,""dy"":3,""t"":4627},{""x"":1457,""y"":274,""dx"":6,""dy"":-7,""t"":4661},{""x"":1452,""y"":288,""dx"":1,""dy"":7,""t"":4696},{""x"":1457,""y"":301,""dx"":6,""dy"":20,""t"":4730},{""x"":1462,""y"":299,""dx"":11,""dy"":18,""t"":4764},{""x"":1463,""y"":302,""dx"":12,""dy"":21,""t"":4798},{""x"":1465,""y"":302,""dx"":14,""dy"":21,""t"":4832},{""x"":1470,""y"":306,""dx"":19,""dy"":25,""t"":4866},{""x"":1454,""y"":308,""dx"":3,""dy"":27,""t"":4899},{""x"":1443,""y"":302,""dx"":-8,""dy"":21,""t"":4934},{""x"":1435,""y"":314,""dx"":-16,""dy"":33,""t"":4968},{""x"":1428,""y"":324,""dx"":-23,""dy"":43,""t"":5000},{""x"":1424,""y"":332,""dx"":-27,""dy"":51,""t"":5036},{""x"":1435,""y"":320,""dx"":-16,""dy"":39,""t"":5070},{""x"":1430,""y"":316,""dx"":-21,""dy"":35,""t"":5104},{""x"":1433,""y"":312,""dx"":-18,""dy"":31,""t"":5138},{""x"":1439,""y"":306,""dx"":-12,""dy"":25,""t"":5172},{""x"":1444,""y"":318,""dx"":-7,""dy"":37,""t"":5205},{""x"":1445,""y"":309,""dx"":-6,""dy"":28,""t"":5240},{""x"":1440,""y"":293,""dx"":-11,""dy"":12,""t"":5273},{""x"":1429,""y"":290,""dx"":-22,""dy"":9,""t"":5308},{""x"":1422,""y"":274,""dx"":-29,""dy"":-7,""t"":5342},{""x"":1422,""y"":274,""dx"":-29,""dy"":-7,""t"":5376},{""x"":1416,""y"":277,""dx"":-35,""dy"":-4,""t"":5408},{""x"":1417,""y"":275,""dx"":-34,""dy"":-6,""t"":5444},{""x"":1411,""y"":296,""dx"":-40,""dy"":15,""t"":5478},{""x"":1414,""y"":286,""dx"":-37,""dy"":5,""t"":5512},{""x"":1415,""y"":280,""dx"":-36,""dy"":-1,""t"":5546},{""x"":1419,""y"":276,""dx"":-32,""dy"":-5,""t"":5580},{""x"":1406,""y"":270,""dx"":-45,""dy"":-11,""t"":5614},{""x"":1415,""y"":274,""dx"":-36,""dy"":-7,""t"":5648},{""x"":1426,""y"":292,""dx"":-25,""dy"":11,""t"":5682},{""x"":1428,""y"":290,""dx"":-23,""dy"":9,""t"":5715},{""x"":1427,""y"":282,""dx"":-24,""dy"":1,""t"":5750},{""x"":1429,""y"":266,""dx"":-22,""dy"":-15,""t"":5784},{""x"":1424,""y"":262,""dx"":-27,""dy"":-19,""t"":5817},{""x"":1426,""y"":261,""dx"":-25,""dy"":-20,""t"":5852},{""x"":1426,""y"":257,""dx"":-25,""dy"":-24,""t"":5886},{""x"":1434,""y"":255,""dx"":-17,""dy"":-26,""t"":5920},{""x"":1446,""y"":253,""dx"":-5,""dy"":-28,""t"":5955},{""x"":1445,""y"":252,""dx"":-6,""dy"":-29,""t"":5988}],[{""x"":951,""y"":671,""dx"":-20,""dy"":120,""t"":7008},{""x"":962,""y"":674,""dx"":-9,""dy"":123,""t"":7041},{""x"":977,""y"":671,""dx"":6,""dy"":120,""t"":7076},{""x"":990,""y"":668,""dx"":19,""dy"":117,""t"":7110},{""x"":991,""y"":662,""dx"":20,""dy"":111,""t"":7144},{""x"":1000,""y"":657,""dx"":29,""dy"":106,""t"":7177},{""x"":1005,""y"":650,""dx"":34,""dy"":99,""t"":7212},{""x"":1005,""y"":651,""dx"":34,""dy"":100,""t"":7246},{""x"":1009,""y"":650,""dx"":38,""dy"":99,""t"":7280},{""x"":1021,""y"":657,""dx"":50,""dy"":106,""t"":7314},{""x"":1029,""y"":655,""dx"":58,""dy"":104,""t"":7349},{""x"":1030,""y"":643,""dx"":59,""dy"":92,""t"":7383},{""x"":1014,""y"":633,""dx"":43,""dy"":82,""t"":7416},{""x"":1024,""y"":619,""dx"":53,""dy"":68,""t"":7450},{""x"":1009,""y"":625,""dx"":38,""dy"":74,""t"":7484},{""x"":987,""y"":627,""dx"":16,""dy"":76,""t"":7519},{""x"":958,""y"":595,""dx"":-13,""dy"":44,""t"":7552},{""x"":918,""y"":582,""dx"":-53,""dy"":31,""t"":7586},{""x"":888,""y"":569,""dx"":-83,""dy"":18,""t"":7620},{""x"":881,""y"":562,""dx"":-90,""dy"":11,""t"":7653},{""x"":881,""y"":561,""dx"":-90,""dy"":10,""t"":7688},{""x"":892,""y"":556,""dx"":-79,""dy"":5,""t"":7722},{""x"":889,""y"":549,""dx"":-82,""dy"":-2,""t"":7756},{""x"":896,""y"":541,""dx"":-75,""dy"":-10,""t"":7790},{""x"":895,""y"":536,""dx"":-76,""dy"":-15,""t"":7824},{""x"":926,""y"":562,""dx"":-45,""dy"":11,""t"":7857},{""x"":936,""y"":576,""dx"":-35,""dy"":25,""t"":7891},{""x"":955,""y"":587,""dx"":-16,""dy"":36,""t"":7926},{""x"":966,""y"":598,""dx"":-5,""dy"":47,""t"":7960},{""x"":976,""y"":603,""dx"":5,""dy"":52,""t"":7994},{""x"":988,""y"":618,""dx"":17,""dy"":67,""t"":8027},{""x"":1000,""y"":628,""dx"":29,""dy"":77,""t"":8062},{""x"":1006,""y"":633,""dx"":35,""dy"":82,""t"":8097},{""x"":1012,""y"":644,""dx"":41,""dy"":93,""t"":8129},{""x"":997,""y"":643,""dx"":26,""dy"":92,""t"":8164},{""x"":995,""y"":643,""dx"":24,""dy"":92,""t"":8198},{""x"":1001,""y"":640,""dx"":30,""dy"":89,""t"":8232},{""x"":998,""y"":630,""dx"":27,""dy"":79,""t"":8266},{""x"":993,""y"":633,""dx"":22,""dy"":82,""t"":8301},{""x"":993,""y"":616,""dx"":22,""dy"":65,""t"":8334},{""x"":991,""y"":602,""dx"":20,""dy"":51,""t"":8369},{""x"":995,""y"":602,""dx"":24,""dy"":51,""t"":8403},{""x"":994,""y"":591,""dx"":23,""dy"":40,""t"":8435},{""x"":996,""y"":578,""dx"":25,""dy"":27,""t"":8469},{""x"":991,""y"":583,""dx"":20,""dy"":32,""t"":8505},{""x"":986,""y"":574,""dx"":15,""dy"":23,""t"":8538},{""x"":982,""y"":567,""dx"":11,""dy"":16,""t"":8571},{""x"":976,""y"":567,""dx"":5,""dy"":16,""t"":8606},{""x"":971,""y"":573,""dx"":0,""dy"":22,""t"":8640},{""x"":974,""y"":585,""dx"":3,""dy"":34,""t"":8674},{""x"":980,""y"":593,""dx"":9,""dy"":42,""t"":8708},{""x"":980,""y"":594,""dx"":9,""dy"":43,""t"":8742},{""x"":972,""y"":601,""dx"":1,""dy"":50,""t"":8776},{""x"":975,""y"":601,""dx"":4,""dy"":50,""t"":8811},{""x"":979,""y"":609,""dx"":8,""dy"":58,""t"":8843},{""x"":977,""y"":618,""dx"":6,""dy"":67,""t"":8877},{""x"":981,""y"":623,""dx"":10,""dy"":72,""t"":8912},{""x"":993,""y"":628,""dx"":22,""dy"":77,""t"":8946},{""x"":986,""y"":614,""dx"":15,""dy"":63,""t"":8980}],[{""x"":461,""y"":727,""dx"":-30,""dy"":-94,""t"":10035},{""x"":476,""y"":724,""dx"":-15,""dy"":-97,""t"":10067},{""x"":494,""y"":727,""dx"":3,""dy"":-94,""t"":10102},{""x"":499,""y"":729,""dx"":8,""dy"":-92,""t"":10136},{""x"":512,""y"":728,""dx"":21,""dy"":-93,""t"":10170},{""x"":515,""y"":735,""dx"":24,""dy"":-86,""t"":10204},{""x"":513,""y"":716,""dx"":22,""dy"":-105,""t"":10237},{""x"":515,""y"":732,""dx"":24,""dy"":-89,""t"":10272},{""x"":511,""y"":722,""dx"":20,""dy"":-99,""t"":10306},{""x"":520,""y"":729,""dx"":29,""dy"":-92,""t"":10340},{""x"":517,""y"":706,""dx"":26,""dy"":-115,""t"":10374},{""x"":519,""y"":709,""dx"":28,""dy"":-112,""t"":10408},{""x"":514,""y"":714,""dx"":23,""dy"":-107,""t"":10442},{""x"":513,""y"":714,""dx"":22,""dy"":-107,""t"":10475},{""x"":511,""y"":715,""dx"":20,""dy"":-106,""t"":10508},{""x"":517,""y"":726,""dx"":26,""dy"":-95,""t"":10543},{""x"":502,""y"":730,""dx"":11,""dy"":-91,""t"":10577},{""x"":510,""y"":744,""dx"":19,""dy"":-77,""t"":10612},{""x"":508,""y"":741,""dx"":17,""dy"":-80,""t"":10646},{""x"":516,""y"":737,""dx"":25,""dy"":-84,""t"":10679},{""x"":514,""y"":720,""dx"":23,""dy"":-101,""t"":10714},{""x"":531,""y"":717,""dx"":40,""dy"":-104,""t"":10749},{""x"":529,""y"":705,""dx"":38,""dy"":-116,""t"":10783},{""x"":533,""y"":711,""dx"":42,""dy"":-110,""t"":10816},{""x"":522,""y"":704,""dx"":31,""dy"":-117,""t"":10851},{""x"":537,""y"":696,""dx"":46,""dy"":-125,""t"":10884},{""x"":541,""y"":692,""dx"":50,""dy"":-129,""t"":10917},{""x"":539,""y"":702,""dx"":48,""dy"":-119,""t"":10951},{""x"":529,""y"":703,""dx"":38,""dy"":-118,""t"":10985},{""x"":521,""y"":699,""dx"":30,""dy"":-122,""t"":11020},{""x"":513,""y"":696,""dx"":22,""dy"":-125,""t"":11054},{""x"":509,""y"":704,""dx"":18,""dy"":-117,""t"":11088},{""x"":507,""y"":701,""dx"":16,""dy"":-120,""t"":11122},{""x"":514,""y"":702,""dx"":23,""dy"":-119,""t"":11157},{""x"":515,""y"":701,""dx"":24,""dy"":-120,""t"":11191},{""x"":519,""y"":702,""dx"":28,""dy"":-119,""t"":11224},{""x"":515,""y"":698,""dx"":24,""dy"":-123,""t"":11258},{""x"":519,""y"":697,""dx"":28,""dy"":-124,""t"":11291},{""x"":536,""y"":702,""dx"":45,""dy"":-119,""t"":11326},{""x"":536,""y"":708,""dx"":45,""dy"":-113,""t"":11360},{""x"":535,""y"":708,""dx"":44,""dy"":-113,""t"":11394},{""x"":528,""y"":714,""dx"":37,""dy"":-107,""t"":11427},{""x"":533,""y"":721,""dx"":42,""dy"":-100,""t"":11462},{""x"":523,""y"":723,""dx"":32,""dy"":-98,""t"":11496},{""x"":534,""y"":733,""dx"":43,""dy"":-88,""t"":11530},{""x"":527,""y"":734,""dx"":36,""dy"":-87,""t"":11564},{""x"":522,""y"":731,""dx"":31,""dy"":-90,""t"":11597},{""x"":508,""y"":738,""dx"":17,""dy"":-83,""t"":11632},{""x"":493,""y"":738,""dx"":2,""dy"":-83,""t"":11666},{""x"":477,""y"":741,""dx"":-14,""dy"":-80,""t"":11700},{""x"":463,""y"":741,""dx"":-28,""dy"":-80,""t"":11734},{""x"":463,""y"":740,""dx"":-28,""dy"":-81,""t"":11768},{""x"":467,""y"":737,""dx"":-24,""dy"":-84,""t"":11801},{""x"":464,""y"":745,""dx"":-27,""dy"":-76,""t"":11836},{""x"":471,""y"":743,""dx"":-20,""dy"":-78,""t"":11869},{""x"":474,""y"":745,""dx"":-17,""dy"":-76,""t"":11904},{""x"":478,""y"":738,""dx"":-13,""dy"":-83,""t"":11938},{""x"":477,""y"":730,""dx"":-14,""dy"":-91,""t"":11972},{""x"":492,""y"":730,""dx"":1,""dy"":-91,""t"":12006}],[{""x"":1248,""y"":793,""dx"":-203,""dy"":-28,""t"":13026},{""x"":1228,""y"":815,""dx"":-223,""dy"":-6,""t"":13060},{""x"":1229,""y"":814,""dx"":-222,""dy"":-7,""t"":13094},{""x"":1226,""y"":824,""dx"":-225,""dy"":3,""t"":13127},{""x"":1236,""y"":846,""dx"":-215,""dy"":25,""t"":13161},{""x"":1239,""y"":843,""dx"":-212,""dy"":22,""t"":13196},{""x"":1246,""y"":836,""dx"":-205,""dy"":15,""t"":13230},{""x"":1261,""y"":838,""dx"":-190,""dy"":17,""t"":13263},{""x"":1253,""y"":815,""dx"":-198,""dy"":-6,""t"":13298},{""x"":1271,""y"":806,""dx"":-180,""dy"":-15,""t"":13332},{""x"":1276,""y"":812,""dx"":-175,""dy"":-9,""t"":13365},{""x"":1280,""y"":828,""dx"":-171,""dy"":7,""t"":13400},{""x"":1295,""y"":819,""dx"":-156,""dy"":-2,""t"":13434},{""x"":1304,""y"":832,""dx"":-147,""dy"":11,""t"":13468},{""x"":1311,""y"":815,""dx"":-140,""dy"":-6,""t"":13502},{""x"":1329,""y"":824,""dx"":-122,""dy"":3,""t"":13537},{""x"":1330,""y"":845,""dx"":-121,""dy"":24,""t"":13570},{""x"":1347,""y"":840,""dx"":-104,""dy"":19,""t"":13604},{""x"":1354,""y"":836,""dx"":-97,""dy"":15,""t"":13638},{""x"":1359,""y"":832,""dx"":-92,""dy"":11,""t"":13670},{""x"":1355,""y"":844,""dx"":-96,""dy"":23,""t"":13706},{""x"":1362,""y"":851,""dx"":-89,""dy"":30,""t"":13740},{""x"":1367,""y"":831,""dx"":-84,""dy"":10,""t"":13774},{""x"":1319,""y"":805,""dx"":-132,""dy"":-16,""t"":13808},{""x"":1312,""y"":799,""dx"":-139,""dy"":-22,""t"":13841},{""x"":1314,""y"":796,""dx"":-137,""dy"":-25,""t"":13876},{""x"":1313,""y"":792,""dx"":-138,""dy"":-29,""t"":13910},{""x"":1304,""y"":792,""dx"":-147,""dy"":-29,""t"":13944},{""x"":1279,""y"":777,""dx"":-172,""dy"":-44,""t"":13977},{""x"":1292,""y"":781,""dx"":-159,""dy"":-40,""t"":14011},{""x"":1294,""y"":797,""dx"":-157,""dy"":-24,""t"":14046},{""x"":1265,""y"":793,""dx"":-186,""dy"":-28,""t"":14079},{""x"":1276,""y"":804,""dx"":-175,""dy"":-17,""t"":14115},{""x"":1283,""y"":798,""dx"":-168,""dy"":-23,""t"":14147},{""x"":1299,""y"":807,""dx"":-152,""dy"":-14,""t"":14183},{""x"":1291,""y"":814,""dx"":-160,""dy"":-7,""t"":14216},{""x"":1284,""y"":827,""dx"":-167,""dy"":6,""t"":14250},{""x"":1307,""y"":820,""dx"":-144,""dy"":-1,""t"":14284},{""x"":1316,""y"":836,""dx"":-135,""dy"":15,""t"":14318},{""x"":1315,""y"":852,""dx"":-136,""dy"":31,""t"":14352},{""x"":1323,""y"":868,""dx"":-128,""dy"":47,""t"":14386},{""x"":1316,""y"":880,""dx"":-135,""dy"":59,""t"":14420},{""x"":1307,""y"":890,""dx"":-144,""dy"":69,""t"":14454},{""x"":1307,""y"":893,""dx"":-144,""dy"":72,""t"":14487},{""x"":1304,""y"":896,""dx"":-147,""dy"":75,""t"":14522},{""x"":1291,""y"":898,""dx"":-160,""dy"":77,""t"":14556},{""x"":1298,""y"":878,""dx"":-153,""dy"":57,""t"":14590},{""x"":1289,""y"":875,""dx"":-162,""dy"":54,""t"":14624},{""x"":1287,""y"":876,""dx"":-164,""dy"":55,""t"":14658},{""x"":1287,""y"":884,""dx"":-164,""dy"":63,""t"":14706},{""x"":1282,""y"":879,""dx"":-169,""dy"":58,""t"":14730},{""x"":1286,""y"":873,""dx"":-165,""dy"":52,""t"":14760},{""x"":1300,""y"":861,""dx"":-151,""dy"":40,""t"":14794},{""x"":1286,""y"":862,""dx"":-165,""dy"":41,""t"":14828},{""x"":1309,""y"":850,""dx"":-142,""dy"":29,""t"":14863},{""x"":1309,""y"":847,""dx"":-142,""dy"":26,""t"":14896},{""x"":1315,""y"":838,""dx"":-136,""dy"":17,""t"":14930},{""x"":1299,""y"":848,""dx"":-152,""dy"":27,""t"":14964},{""x"":1304,""y"":846,""dx"":-147,""dy"":25,""t"":14999}]]","[100,100,100,100,88.13559322033898]","[{""x"":40,""y"":5.6440677966101696,""r"":24.147665282193795},{""x"":-11.677966101694915,""y"":13.610169491525424,""r"":26.74584863898895},{""x"":3.9661016949152543,""y"":59.52542372881356,""r"":38.73406855272907},{""x"":18.338983050847457,""y"":-100.7457627118644,""r"":21.904102711569035},{""x"":-154.9322033898305,""y"":14.101694915254237,""r"":41.89148235821147}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
