"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2084","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2088","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10772","0.0-2.0-0.0","","","","","8683","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12004","0.0-2.0-1.0","","","","","1231","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12524","0.0-3.0","","","","","518"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16308","0.0-4.0","","","","","","","","","1358","","","","","","","","","","","","","","","",""
"","html-button-response","6","16996","0.0-5.0-0.0","","","","","686","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","29458","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","30219","0.0-5.0-2.0","","","","","760","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","47539","0.0-5.0-3.0","","","","","","","","","","[[{""x"":410,""y"":401,""dx"":-67.25,""dy"":147.75,""t"":989},{""x"":411,""y"":392,""dx"":-66.25,""dy"":138.75,""t"":1024},{""x"":437,""y"":382,""dx"":-40.25,""dy"":128.75,""t"":1058},{""x"":447,""y"":357,""dx"":-30.25,""dy"":103.75,""t"":1093},{""x"":471,""y"":350,""dx"":-6.25,""dy"":96.75,""t"":1126},{""x"":463,""y"":359,""dx"":-14.25,""dy"":105.75,""t"":1160},{""x"":472,""y"":343,""dx"":-5.25,""dy"":89.75,""t"":1194},{""x"":461,""y"":351,""dx"":-16.25,""dy"":97.75,""t"":1228},{""x"":461,""y"":362,""dx"":-16.25,""dy"":108.75,""t"":1262},{""x"":454,""y"":343,""dx"":-23.25,""dy"":89.75,""t"":1296},{""x"":454,""y"":348,""dx"":-23.25,""dy"":94.75,""t"":1331},{""x"":458,""y"":334,""dx"":-19.25,""dy"":80.75,""t"":1364},{""x"":458,""y"":344,""dx"":-19.25,""dy"":90.75,""t"":1398},{""x"":451,""y"":330,""dx"":-26.25,""dy"":76.75,""t"":1432},{""x"":447,""y"":326,""dx"":-30.25,""dy"":72.75,""t"":1466},{""x"":447,""y"":315,""dx"":-30.25,""dy"":61.75,""t"":1501},{""x"":445,""y"":309,""dx"":-32.25,""dy"":55.75,""t"":1533},{""x"":435,""y"":309,""dx"":-42.25,""dy"":55.75,""t"":1568},{""x"":439,""y"":304,""dx"":-38.25,""dy"":50.75,""t"":1602},{""x"":441,""y"":320,""dx"":-36.25,""dy"":66.75,""t"":1636},{""x"":439,""y"":350,""dx"":-38.25,""dy"":96.75,""t"":1671},{""x"":439,""y"":340,""dx"":-38.25,""dy"":86.75,""t"":1703},{""x"":420,""y"":339,""dx"":-57.25,""dy"":85.75,""t"":1738},{""x"":417,""y"":342,""dx"":-60.25,""dy"":88.75,""t"":1772},{""x"":426,""y"":359,""dx"":-51.25,""dy"":105.75,""t"":1806},{""x"":429,""y"":373,""dx"":-48.25,""dy"":119.75,""t"":1841},{""x"":444,""y"":386,""dx"":-33.25,""dy"":132.75,""t"":1874},{""x"":457,""y"":418,""dx"":-20.25,""dy"":164.75,""t"":1908},{""x"":466,""y"":396,""dx"":-11.25,""dy"":142.75,""t"":1941},{""x"":475,""y"":404,""dx"":-2.25,""dy"":150.75,""t"":1976},{""x"":482,""y"":410,""dx"":4.75,""dy"":156.75,""t"":2008},{""x"":481,""y"":413,""dx"":3.75,""dy"":159.75,""t"":2045},{""x"":480,""y"":412,""dx"":2.75,""dy"":158.75,""t"":2078},{""x"":478,""y"":400,""dx"":0.75,""dy"":146.75,""t"":2112},{""x"":484,""y"":396,""dx"":6.75,""dy"":142.75,""t"":2146},{""x"":486,""y"":389,""dx"":8.75,""dy"":135.75,""t"":2181},{""x"":479,""y"":398,""dx"":1.75,""dy"":144.75,""t"":2213},{""x"":473,""y"":376,""dx"":-4.25,""dy"":122.75,""t"":2248},{""x"":471,""y"":353,""dx"":-6.25,""dy"":99.75,""t"":2282},{""x"":467,""y"":335,""dx"":-10.25,""dy"":81.75,""t"":2317},{""x"":457,""y"":338,""dx"":-20.25,""dy"":84.75,""t"":2350},{""x"":466,""y"":323,""dx"":-11.25,""dy"":69.75,""t"":2384},{""x"":474,""y"":312,""dx"":-3.25,""dy"":58.75,""t"":2416},{""x"":481,""y"":323,""dx"":3.75,""dy"":69.75,""t"":2451},{""x"":474,""y"":319,""dx"":-3.25,""dy"":65.75,""t"":2486},{""x"":473,""y"":331,""dx"":-4.25,""dy"":77.75,""t"":2520},{""x"":473,""y"":323,""dx"":-4.25,""dy"":69.75,""t"":2553},{""x"":475,""y"":366,""dx"":-2.25,""dy"":112.75,""t"":2589},{""x"":470,""y"":361,""dx"":-7.25,""dy"":107.75,""t"":2622},{""x"":471,""y"":362,""dx"":-6.25,""dy"":108.75,""t"":2656},{""x"":474,""y"":362,""dx"":-3.25,""dy"":108.75,""t"":2691},{""x"":478,""y"":365,""dx"":0.75,""dy"":111.75,""t"":2724},{""x"":476,""y"":353,""dx"":-1.25,""dy"":99.75,""t"":2758},{""x"":477,""y"":357,""dx"":-0.25,""dy"":103.75,""t"":2792},{""x"":481,""y"":356,""dx"":3.75,""dy"":102.75,""t"":2826},{""x"":474,""y"":346,""dx"":-3.25,""dy"":92.75,""t"":2860},{""x"":472,""y"":373,""dx"":-5.25,""dy"":119.75,""t"":2893},{""x"":480,""y"":357,""dx"":2.75,""dy"":103.75,""t"":2927},{""x"":485,""y"":353,""dx"":7.75,""dy"":99.75,""t"":2962}],[{""x"":1566,""y"":278,""dx"":156.25,""dy"":24.75,""t"":4013},{""x"":1554,""y"":279,""dx"":144.25,""dy"":25.75,""t"":4050},{""x"":1540,""y"":283,""dx"":130.25,""dy"":29.75,""t"":4084},{""x"":1532,""y"":290,""dx"":122.25,""dy"":36.75,""t"":4118},{""x"":1525,""y"":299,""dx"":115.25,""dy"":45.75,""t"":4152},{""x"":1523,""y"":309,""dx"":113.25,""dy"":55.75,""t"":4186},{""x"":1511,""y"":310,""dx"":101.25,""dy"":56.75,""t"":4220},{""x"":1512,""y"":306,""dx"":102.25,""dy"":52.75,""t"":4254},{""x"":1510,""y"":300,""dx"":100.25,""dy"":46.75,""t"":4288},{""x"":1494,""y"":302,""dx"":84.25,""dy"":48.75,""t"":4322},{""x"":1491,""y"":299,""dx"":81.25,""dy"":45.75,""t"":4355},{""x"":1494,""y"":307,""dx"":84.25,""dy"":53.75,""t"":4390},{""x"":1492,""y"":306,""dx"":82.25,""dy"":52.75,""t"":4423},{""x"":1498,""y"":307,""dx"":88.25,""dy"":53.75,""t"":4458},{""x"":1495,""y"":300,""dx"":85.25,""dy"":46.75,""t"":4492},{""x"":1479,""y"":305,""dx"":69.25,""dy"":51.75,""t"":4527},{""x"":1478,""y"":305,""dx"":68.25,""dy"":51.75,""t"":4559},{""x"":1473,""y"":305,""dx"":63.25,""dy"":51.75,""t"":4594},{""x"":1474,""y"":302,""dx"":64.25,""dy"":48.75,""t"":4628},{""x"":1474,""y"":302,""dx"":64.25,""dy"":48.75,""t"":4663},{""x"":1463,""y"":305,""dx"":53.25,""dy"":51.75,""t"":4696},{""x"":1462,""y"":296,""dx"":52.25,""dy"":42.75,""t"":4730},{""x"":1464,""y"":290,""dx"":54.25,""dy"":36.75,""t"":4764},{""x"":1464,""y"":284,""dx"":54.25,""dy"":30.75,""t"":4798},{""x"":1467,""y"":277,""dx"":57.25,""dy"":23.75,""t"":4832},{""x"":1476,""y"":284,""dx"":66.25,""dy"":30.75,""t"":4867},{""x"":1492,""y"":286,""dx"":82.25,""dy"":32.75,""t"":4900},{""x"":1486,""y"":285,""dx"":76.25,""dy"":31.75,""t"":4934},{""x"":1484,""y"":281,""dx"":74.25,""dy"":27.75,""t"":4967},{""x"":1482,""y"":283,""dx"":72.25,""dy"":29.75,""t"":5001},{""x"":1474,""y"":278,""dx"":64.25,""dy"":24.75,""t"":5036},{""x"":1465,""y"":304,""dx"":55.25,""dy"":50.75,""t"":5071},{""x"":1471,""y"":305,""dx"":61.25,""dy"":51.75,""t"":5104},{""x"":1463,""y"":299,""dx"":53.25,""dy"":45.75,""t"":5139},{""x"":1467,""y"":295,""dx"":57.25,""dy"":41.75,""t"":5171},{""x"":1475,""y"":292,""dx"":65.25,""dy"":38.75,""t"":5206},{""x"":1467,""y"":286,""dx"":57.25,""dy"":32.75,""t"":5241},{""x"":1471,""y"":286,""dx"":61.25,""dy"":32.75,""t"":5274},{""x"":1474,""y"":290,""dx"":64.25,""dy"":36.75,""t"":5334},{""x"":1474,""y"":290,""dx"":64.25,""dy"":36.75,""t"":5345},{""x"":1478,""y"":275,""dx"":68.25,""dy"":21.75,""t"":5376},{""x"":1483,""y"":276,""dx"":73.25,""dy"":22.75,""t"":5409},{""x"":1482,""y"":280,""dx"":72.25,""dy"":26.75,""t"":5444},{""x"":1490,""y"":281,""dx"":80.25,""dy"":27.75,""t"":5478},{""x"":1493,""y"":287,""dx"":83.25,""dy"":33.75,""t"":5513},{""x"":1490,""y"":294,""dx"":80.25,""dy"":40.75,""t"":5546},{""x"":1489,""y"":294,""dx"":79.25,""dy"":40.75,""t"":5578},{""x"":1490,""y"":294,""dx"":80.25,""dy"":40.75,""t"":5614},{""x"":1487,""y"":309,""dx"":77.25,""dy"":55.75,""t"":5648},{""x"":1485,""y"":319,""dx"":75.25,""dy"":65.75,""t"":5682},{""x"":1482,""y"":317,""dx"":72.25,""dy"":63.75,""t"":5716},{""x"":1484,""y"":316,""dx"":74.25,""dy"":62.75,""t"":5750},{""x"":1486,""y"":312,""dx"":76.25,""dy"":58.75,""t"":5784},{""x"":1475,""y"":308,""dx"":65.25,""dy"":54.75,""t"":5819},{""x"":1480,""y"":308,""dx"":70.25,""dy"":54.75,""t"":5852},{""x"":1478,""y"":309,""dx"":68.25,""dy"":55.75,""t"":5887},{""x"":1473,""y"":318,""dx"":63.25,""dy"":64.75,""t"":5920},{""x"":1474,""y"":317,""dx"":64.25,""dy"":63.75,""t"":5954},{""x"":1474,""y"":313,""dx"":64.25,""dy"":59.75,""t"":5986}],[{""x"":944,""y"":456,""dx"":0.5,""dy"":-39.5,""t"":7008},{""x"":957,""y"":457,""dx"":13.5,""dy"":-38.5,""t"":7042},{""x"":952,""y"":453,""dx"":8.5,""dy"":-42.5,""t"":7076},{""x"":958,""y"":452,""dx"":14.5,""dy"":-43.5,""t"":7110},{""x"":963,""y"":450,""dx"":19.5,""dy"":-45.5,""t"":7144},{""x"":968,""y"":450,""dx"":24.5,""dy"":-45.5,""t"":7176},{""x"":977,""y"":453,""dx"":33.5,""dy"":-42.5,""t"":7212},{""x"":977,""y"":445,""dx"":33.5,""dy"":-50.5,""t"":7246},{""x"":967,""y"":456,""dx"":23.5,""dy"":-39.5,""t"":7280},{""x"":963,""y"":457,""dx"":19.5,""dy"":-38.5,""t"":7314},{""x"":950,""y"":462,""dx"":6.5,""dy"":-33.5,""t"":7348},{""x"":942,""y"":460,""dx"":-1.5,""dy"":-35.5,""t"":7382},{""x"":948,""y"":457,""dx"":4.5,""dy"":-38.5,""t"":7417},{""x"":936,""y"":467,""dx"":-7.5,""dy"":-28.5,""t"":7450},{""x"":925,""y"":483,""dx"":-18.5,""dy"":-12.5,""t"":7484},{""x"":933,""y"":478,""dx"":-10.5,""dy"":-17.5,""t"":7519},{""x"":929,""y"":495,""dx"":-14.5,""dy"":-0.5,""t"":7551},{""x"":937,""y"":492,""dx"":-6.5,""dy"":-3.5,""t"":7583},{""x"":929,""y"":481,""dx"":-14.5,""dy"":-14.5,""t"":7620},{""x"":923,""y"":500,""dx"":-20.5,""dy"":4.5,""t"":7654},{""x"":923,""y"":480,""dx"":-20.5,""dy"":-15.5,""t"":7689},{""x"":924,""y"":481,""dx"":-19.5,""dy"":-14.5,""t"":7722},{""x"":926,""y"":482,""dx"":-17.5,""dy"":-13.5,""t"":7756},{""x"":935,""y"":472,""dx"":-8.5,""dy"":-23.5,""t"":7789},{""x"":925,""y"":478,""dx"":-18.5,""dy"":-17.5,""t"":7824},{""x"":932,""y"":460,""dx"":-11.5,""dy"":-35.5,""t"":7858},{""x"":949,""y"":460,""dx"":5.5,""dy"":-35.5,""t"":7891},{""x"":965,""y"":466,""dx"":21.5,""dy"":-29.5,""t"":7926},{""x"":981,""y"":460,""dx"":37.5,""dy"":-35.5,""t"":7961},{""x"":990,""y"":465,""dx"":46.5,""dy"":-30.5,""t"":7994},{""x"":997,""y"":457,""dx"":53.5,""dy"":-38.5,""t"":8027},{""x"":1007,""y"":468,""dx"":63.5,""dy"":-27.5,""t"":8061},{""x"":1014,""y"":464,""dx"":70.5,""dy"":-31.5,""t"":8097},{""x"":1010,""y"":462,""dx"":66.5,""dy"":-33.5,""t"":8130},{""x"":998,""y"":472,""dx"":54.5,""dy"":-23.5,""t"":8164},{""x"":998,""y"":467,""dx"":54.5,""dy"":-28.5,""t"":8198},{""x"":992,""y"":465,""dx"":48.5,""dy"":-30.5,""t"":8232},{""x"":992,""y"":461,""dx"":48.5,""dy"":-34.5,""t"":8266},{""x"":988,""y"":455,""dx"":44.5,""dy"":-40.5,""t"":8301},{""x"":993,""y"":448,""dx"":49.5,""dy"":-47.5,""t"":8334},{""x"":993,""y"":441,""dx"":49.5,""dy"":-54.5,""t"":8369},{""x"":995,""y"":465,""dx"":51.5,""dy"":-30.5,""t"":8402},{""x"":993,""y"":468,""dx"":49.5,""dy"":-27.5,""t"":8436},{""x"":991,""y"":484,""dx"":47.5,""dy"":-11.5,""t"":8470},{""x"":999,""y"":491,""dx"":55.5,""dy"":-4.5,""t"":8505},{""x"":996,""y"":482,""dx"":52.5,""dy"":-13.5,""t"":8538},{""x"":988,""y"":475,""dx"":44.5,""dy"":-20.5,""t"":8572},{""x"":993,""y"":479,""dx"":49.5,""dy"":-16.5,""t"":8606},{""x"":1001,""y"":483,""dx"":57.5,""dy"":-12.5,""t"":8640},{""x"":1005,""y"":501,""dx"":61.5,""dy"":5.5,""t"":8674},{""x"":1010,""y"":481,""dx"":66.5,""dy"":-14.5,""t"":8708},{""x"":1007,""y"":476,""dx"":63.5,""dy"":-19.5,""t"":8742},{""x"":999,""y"":495,""dx"":55.5,""dy"":-0.5,""t"":8776},{""x"":1004,""y"":483,""dx"":60.5,""dy"":-12.5,""t"":8810},{""x"":995,""y"":494,""dx"":51.5,""dy"":-1.5,""t"":8844},{""x"":989,""y"":483,""dx"":45.5,""dy"":-12.5,""t"":8878},{""x"":984,""y"":495,""dx"":40.5,""dy"":-0.5,""t"":8913},{""x"":974,""y"":495,""dx"":30.5,""dy"":-0.5,""t"":8946},{""x"":967,""y"":491,""dx"":23.5,""dy"":-4.5,""t"":8981}],[{""x"":612,""y"":722,""dx"":134.75,""dy"":-15.75,""t"":10002},{""x"":607,""y"":709,""dx"":129.75,""dy"":-28.75,""t"":10034},{""x"":610,""y"":705,""dx"":132.75,""dy"":-32.75,""t"":10067},{""x"":604,""y"":694,""dx"":126.75,""dy"":-43.75,""t"":10101},{""x"":627,""y"":692,""dx"":149.75,""dy"":-45.75,""t"":10136},{""x"":622,""y"":684,""dx"":144.75,""dy"":-53.75,""t"":10170},{""x"":645,""y"":685,""dx"":167.75,""dy"":-52.75,""t"":10204},{""x"":639,""y"":696,""dx"":161.75,""dy"":-41.75,""t"":10238},{""x"":630,""y"":677,""dx"":152.75,""dy"":-60.75,""t"":10272},{""x"":614,""y"":694,""dx"":136.75,""dy"":-43.75,""t"":10306},{""x"":601,""y"":695,""dx"":123.75,""dy"":-42.75,""t"":10340},{""x"":607,""y"":715,""dx"":129.75,""dy"":-22.75,""t"":10375},{""x"":599,""y"":734,""dx"":121.75,""dy"":-3.75,""t"":10408},{""x"":590,""y"":724,""dx"":112.75,""dy"":-13.75,""t"":10442},{""x"":606,""y"":723,""dx"":128.75,""dy"":-14.75,""t"":10476},{""x"":622,""y"":722,""dx"":144.75,""dy"":-15.75,""t"":10510},{""x"":614,""y"":708,""dx"":136.75,""dy"":-29.75,""t"":10543},{""x"":635,""y"":715,""dx"":157.75,""dy"":-22.75,""t"":10578},{""x"":618,""y"":714,""dx"":140.75,""dy"":-23.75,""t"":10612},{""x"":617,""y"":696,""dx"":139.75,""dy"":-41.75,""t"":10646},{""x"":613,""y"":688,""dx"":135.75,""dy"":-49.75,""t"":10681},{""x"":611,""y"":691,""dx"":133.75,""dy"":-46.75,""t"":10714},{""x"":624,""y"":705,""dx"":146.75,""dy"":-32.75,""t"":10745},{""x"":617,""y"":703,""dx"":139.75,""dy"":-34.75,""t"":10782},{""x"":627,""y"":743,""dx"":149.75,""dy"":5.25,""t"":10815},{""x"":614,""y"":746,""dx"":136.75,""dy"":8.25,""t"":10851},{""x"":601,""y"":738,""dx"":123.75,""dy"":0.25,""t"":10884},{""x"":594,""y"":722,""dx"":116.75,""dy"":-15.75,""t"":10918},{""x"":593,""y"":705,""dx"":115.75,""dy"":-32.75,""t"":10952},{""x"":591,""y"":695,""dx"":113.75,""dy"":-42.75,""t"":10985},{""x"":585,""y"":688,""dx"":107.75,""dy"":-49.75,""t"":11020},{""x"":586,""y"":696,""dx"":108.75,""dy"":-41.75,""t"":11054},{""x"":579,""y"":690,""dx"":101.75,""dy"":-47.75,""t"":11088},{""x"":580,""y"":686,""dx"":102.75,""dy"":-51.75,""t"":11122},{""x"":596,""y"":701,""dx"":118.75,""dy"":-36.75,""t"":11154},{""x"":607,""y"":707,""dx"":129.75,""dy"":-30.75,""t"":11190},{""x"":606,""y"":706,""dx"":128.75,""dy"":-31.75,""t"":11224},{""x"":616,""y"":715,""dx"":138.75,""dy"":-22.75,""t"":11258},{""x"":627,""y"":704,""dx"":149.75,""dy"":-33.75,""t"":11292},{""x"":632,""y"":707,""dx"":154.75,""dy"":-30.75,""t"":11326},{""x"":634,""y"":730,""dx"":156.75,""dy"":-7.75,""t"":11360},{""x"":641,""y"":732,""dx"":163.75,""dy"":-5.75,""t"":11394},{""x"":632,""y"":737,""dx"":154.75,""dy"":-0.75,""t"":11429},{""x"":627,""y"":728,""dx"":149.75,""dy"":-9.75,""t"":11462},{""x"":630,""y"":733,""dx"":152.75,""dy"":-4.75,""t"":11496},{""x"":621,""y"":736,""dx"":143.75,""dy"":-1.75,""t"":11530},{""x"":620,""y"":721,""dx"":142.75,""dy"":-16.75,""t"":11564},{""x"":613,""y"":716,""dx"":135.75,""dy"":-21.75,""t"":11598},{""x"":592,""y"":706,""dx"":114.75,""dy"":-31.75,""t"":11632},{""x"":593,""y"":714,""dx"":115.75,""dy"":-23.75,""t"":11665},{""x"":579,""y"":705,""dx"":101.75,""dy"":-32.75,""t"":11701},{""x"":573,""y"":702,""dx"":95.75,""dy"":-35.75,""t"":11735},{""x"":575,""y"":703,""dx"":97.75,""dy"":-34.75,""t"":11769},{""x"":577,""y"":694,""dx"":99.75,""dy"":-43.75,""t"":11801},{""x"":559,""y"":667,""dx"":81.75,""dy"":-70.75,""t"":11836},{""x"":554,""y"":666,""dx"":76.75,""dy"":-71.75,""t"":11870},{""x"":553,""y"":697,""dx"":75.75,""dy"":-40.75,""t"":11904},{""x"":563,""y"":692,""dx"":85.75,""dy"":-45.75,""t"":11938},{""x"":580,""y"":697,""dx"":102.75,""dy"":-40.75,""t"":11973},{""x"":588,""y"":691,""dx"":110.75,""dy"":-46.75,""t"":12006}],[{""x"":1415,""y"":741,""dx"":5.25,""dy"":3.25,""t"":13026},{""x"":1408,""y"":747,""dx"":-1.75,""dy"":9.25,""t"":13059},{""x"":1408,""y"":754,""dx"":-1.75,""dy"":16.25,""t"":13094},{""x"":1407,""y"":760,""dx"":-2.75,""dy"":22.25,""t"":13128},{""x"":1407,""y"":762,""dx"":-2.75,""dy"":24.25,""t"":13162},{""x"":1392,""y"":770,""dx"":-17.75,""dy"":32.25,""t"":13196},{""x"":1382,""y"":771,""dx"":-27.75,""dy"":33.25,""t"":13230},{""x"":1401,""y"":797,""dx"":-8.75,""dy"":59.25,""t"":13263},{""x"":1409,""y"":804,""dx"":-0.75,""dy"":66.25,""t"":13298},{""x"":1396,""y"":802,""dx"":-13.75,""dy"":64.25,""t"":13331},{""x"":1389,""y"":799,""dx"":-20.75,""dy"":61.25,""t"":13365},{""x"":1373,""y"":755,""dx"":-36.75,""dy"":17.25,""t"":13401},{""x"":1370,""y"":757,""dx"":-39.75,""dy"":19.25,""t"":13434},{""x"":1380,""y"":742,""dx"":-29.75,""dy"":4.25,""t"":13469},{""x"":1385,""y"":747,""dx"":-24.75,""dy"":9.25,""t"":13503},{""x"":1394,""y"":765,""dx"":-15.75,""dy"":27.25,""t"":13535},{""x"":1389,""y"":763,""dx"":-20.75,""dy"":25.25,""t"":13570},{""x"":1385,""y"":767,""dx"":-24.75,""dy"":29.25,""t"":13604},{""x"":1396,""y"":771,""dx"":-13.75,""dy"":33.25,""t"":13639},{""x"":1390,""y"":775,""dx"":-19.75,""dy"":37.25,""t"":13672},{""x"":1381,""y"":779,""dx"":-28.75,""dy"":41.25,""t"":13706},{""x"":1396,""y"":785,""dx"":-13.75,""dy"":47.25,""t"":13740},{""x"":1382,""y"":787,""dx"":-27.75,""dy"":49.25,""t"":13774},{""x"":1388,""y"":779,""dx"":-21.75,""dy"":41.25,""t"":13808},{""x"":1384,""y"":777,""dx"":-25.75,""dy"":39.25,""t"":13842},{""x"":1374,""y"":777,""dx"":-35.75,""dy"":39.25,""t"":13876},{""x"":1372,""y"":775,""dx"":-37.75,""dy"":37.25,""t"":13910},{""x"":1387,""y"":760,""dx"":-22.75,""dy"":22.25,""t"":13944},{""x"":1379,""y"":766,""dx"":-30.75,""dy"":28.25,""t"":13978},{""x"":1374,""y"":770,""dx"":-35.75,""dy"":32.25,""t"":14012},{""x"":1373,""y"":762,""dx"":-36.75,""dy"":24.25,""t"":14046},{""x"":1353,""y"":766,""dx"":-56.75,""dy"":28.25,""t"":14080},{""x"":1341,""y"":775,""dx"":-68.75,""dy"":37.25,""t"":14114},{""x"":1341,""y"":768,""dx"":-68.75,""dy"":30.25,""t"":14148},{""x"":1331,""y"":759,""dx"":-78.75,""dy"":21.25,""t"":14182},{""x"":1336,""y"":755,""dx"":-73.75,""dy"":17.25,""t"":14216},{""x"":1338,""y"":758,""dx"":-71.75,""dy"":20.25,""t"":14251},{""x"":1345,""y"":755,""dx"":-64.75,""dy"":17.25,""t"":14284},{""x"":1352,""y"":752,""dx"":-57.75,""dy"":14.25,""t"":14316},{""x"":1348,""y"":760,""dx"":-61.75,""dy"":22.25,""t"":14382},{""x"":1312,""y"":778,""dx"":-97.75,""dy"":40.25,""t"":14391},{""x"":1309,""y"":797,""dx"":-100.75,""dy"":59.25,""t"":14418},{""x"":1304,""y"":786,""dx"":-105.75,""dy"":48.25,""t"":14454},{""x"":1298,""y"":787,""dx"":-111.75,""dy"":49.25,""t"":14489},{""x"":1296,""y"":783,""dx"":-113.75,""dy"":45.25,""t"":14523},{""x"":1302,""y"":777,""dx"":-107.75,""dy"":39.25,""t"":14556},{""x"":1304,""y"":764,""dx"":-105.75,""dy"":26.25,""t"":14590},{""x"":1315,""y"":756,""dx"":-94.75,""dy"":18.25,""t"":14624},{""x"":1334,""y"":738,""dx"":-75.75,""dy"":0.25,""t"":14658},{""x"":1337,""y"":744,""dx"":-72.75,""dy"":6.25,""t"":14692},{""x"":1338,""y"":750,""dx"":-71.75,""dy"":12.25,""t"":14723},{""x"":1347,""y"":739,""dx"":-62.75,""dy"":1.25,""t"":14760},{""x"":1348,""y"":724,""dx"":-61.75,""dy"":-13.75,""t"":14794},{""x"":1343,""y"":730,""dx"":-66.75,""dy"":-7.75,""t"":14828},{""x"":1350,""y"":726,""dx"":-59.75,""dy"":-11.75,""t"":14862},{""x"":1351,""y"":714,""dx"":-58.75,""dy"":-23.75,""t"":14896},{""x"":1358,""y"":717,""dx"":-51.75,""dy"":-20.75,""t"":14931},{""x"":1359,""y"":719,""dx"":-50.75,""dy"":-18.75,""t"":14963},{""x"":1371,""y"":706,""dx"":-38.75,""dy"":-31.75,""t"":14998}]]","[100,100,100,100,100]","[{""x"":-16.809322033898304,""y"":103.4957627118644,""r"":28.645782718696847},{""x"":77.1822033898305,""y"":43.648305084745765,""r"":17.603390156893077},{""x"":27.6864406779661,""y"":-24.5,""r"":27.206383488058126},{""x"":128.11666666666667,""y"":-30.966666666666665,""r"":34.810658632480454},{""x"":-46.58050847457627,""y"":24.097457627118644,""r"":31.42035068599141}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
