"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2627","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2630","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5799","0.0-2.0-0.0","","","","","3167","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9015","0.0-2.0-1.0","","","","","3215","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9478","0.0-3.0","","","","","462"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15868","0.0-4.0","","","","","","","","","14","","","","","","","","","","","","","","","","",""
"","html-button-response","6","16590","0.0-5.0-0.0","","","","","720","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27644","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","28637","0.0-5.0-2.0","","","","","993","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","45485","0.0-5.0-3.0","","","","","","","","","","[[{""x"":408,""y"":254,""dx"":-83,""dy"":-27,""t"":990},{""x"":409,""y"":289,""dx"":-82,""dy"":8,""t"":1024},{""x"":415,""y"":304,""dx"":-76,""dy"":23,""t"":1059},{""x"":402,""y"":324,""dx"":-89,""dy"":43,""t"":1092},{""x"":428,""y"":342,""dx"":-63,""dy"":61,""t"":1126},{""x"":421,""y"":361,""dx"":-70,""dy"":80,""t"":1160},{""x"":411,""y"":380,""dx"":-80,""dy"":99,""t"":1194},{""x"":431,""y"":412,""dx"":-60,""dy"":131,""t"":1227},{""x"":422,""y"":439,""dx"":-69,""dy"":158,""t"":1262},{""x"":419,""y"":405,""dx"":-72,""dy"":124,""t"":1319},{""x"":416,""y"":375,""dx"":-75,""dy"":94,""t"":1333},{""x"":448,""y"":407,""dx"":-43,""dy"":126,""t"":1364},{""x"":432,""y"":406,""dx"":-59,""dy"":125,""t"":1399},{""x"":428,""y"":403,""dx"":-63,""dy"":122,""t"":1432},{""x"":417,""y"":419,""dx"":-74,""dy"":138,""t"":1466},{""x"":431,""y"":420,""dx"":-60,""dy"":139,""t"":1500},{""x"":440,""y"":426,""dx"":-51,""dy"":145,""t"":1534},{""x"":469,""y"":426,""dx"":-22,""dy"":145,""t"":1567},{""x"":448,""y"":428,""dx"":-43,""dy"":147,""t"":1601},{""x"":466,""y"":447,""dx"":-25,""dy"":166,""t"":1635},{""x"":472,""y"":472,""dx"":-19,""dy"":191,""t"":1670},{""x"":475,""y"":477,""dx"":-16,""dy"":196,""t"":1704},{""x"":469,""y"":462,""dx"":-22,""dy"":181,""t"":1738},{""x"":447,""y"":435,""dx"":-44,""dy"":154,""t"":1771},{""x"":461,""y"":448,""dx"":-30,""dy"":167,""t"":1805},{""x"":455,""y"":476,""dx"":-36,""dy"":195,""t"":1840},{""x"":462,""y"":477,""dx"":-29,""dy"":196,""t"":1875},{""x"":468,""y"":461,""dx"":-23,""dy"":180,""t"":1908},{""x"":496,""y"":419,""dx"":5,""dy"":138,""t"":1942},{""x"":495,""y"":422,""dx"":4,""dy"":141,""t"":1975},{""x"":497,""y"":411,""dx"":6,""dy"":130,""t"":2011},{""x"":474,""y"":414,""dx"":-17,""dy"":133,""t"":2043},{""x"":489,""y"":430,""dx"":-2,""dy"":149,""t"":2078},{""x"":503,""y"":445,""dx"":12,""dy"":164,""t"":2110},{""x"":490,""y"":454,""dx"":-1,""dy"":173,""t"":2146},{""x"":470,""y"":426,""dx"":-21,""dy"":145,""t"":2180},{""x"":470,""y"":460,""dx"":-21,""dy"":179,""t"":2214},{""x"":471,""y"":458,""dx"":-20,""dy"":177,""t"":2247},{""x"":442,""y"":440,""dx"":-49,""dy"":159,""t"":2283},{""x"":436,""y"":405,""dx"":-55,""dy"":124,""t"":2316},{""x"":468,""y"":354,""dx"":-23,""dy"":73,""t"":2350},{""x"":452,""y"":343,""dx"":-39,""dy"":62,""t"":2384},{""x"":412,""y"":364,""dx"":-79,""dy"":83,""t"":2417},{""x"":411,""y"":342,""dx"":-80,""dy"":61,""t"":2453},{""x"":426,""y"":344,""dx"":-65,""dy"":63,""t"":2485},{""x"":439,""y"":347,""dx"":-52,""dy"":66,""t"":2517},{""x"":449,""y"":330,""dx"":-42,""dy"":49,""t"":2554},{""x"":432,""y"":363,""dx"":-59,""dy"":82,""t"":2588},{""x"":423,""y"":353,""dx"":-68,""dy"":72,""t"":2622},{""x"":408,""y"":338,""dx"":-83,""dy"":57,""t"":2655},{""x"":398,""y"":365,""dx"":-93,""dy"":84,""t"":2690},{""x"":422,""y"":389,""dx"":-69,""dy"":108,""t"":2725},{""x"":417,""y"":414,""dx"":-74,""dy"":133,""t"":2758},{""x"":408,""y"":425,""dx"":-83,""dy"":144,""t"":2792},{""x"":430,""y"":419,""dx"":-61,""dy"":138,""t"":2827},{""x"":438,""y"":458,""dx"":-53,""dy"":177,""t"":2859},{""x"":440,""y"":450,""dx"":-51,""dy"":169,""t"":2894},{""x"":433,""y"":430,""dx"":-58,""dy"":149,""t"":2928},{""x"":450,""y"":432,""dx"":-41,""dy"":151,""t"":2961},{""x"":457,""y"":443,""dx"":-34,""dy"":162,""t"":2995}],[{""x"":1262,""y"":563,""dx"":-189,""dy"":282,""t"":4015},{""x"":1240,""y"":578,""dx"":-211,""dy"":297,""t"":4050},{""x"":1226,""y"":589,""dx"":-225,""dy"":308,""t"":4082},{""x"":1217,""y"":574,""dx"":-234,""dy"":293,""t"":4117},{""x"":1213,""y"":590,""dx"":-238,""dy"":309,""t"":4152},{""x"":1208,""y"":616,""dx"":-243,""dy"":335,""t"":4186},{""x"":1179,""y"":589,""dx"":-272,""dy"":308,""t"":4220},{""x"":1165,""y"":577,""dx"":-286,""dy"":296,""t"":4255},{""x"":1159,""y"":573,""dx"":-292,""dy"":292,""t"":4288},{""x"":1143,""y"":582,""dx"":-308,""dy"":301,""t"":4322},{""x"":1150,""y"":573,""dx"":-301,""dy"":292,""t"":4355},{""x"":1142,""y"":579,""dx"":-309,""dy"":298,""t"":4390},{""x"":1137,""y"":597,""dx"":-314,""dy"":316,""t"":4424},{""x"":1146,""y"":595,""dx"":-305,""dy"":314,""t"":4459},{""x"":1132,""y"":602,""dx"":-319,""dy"":321,""t"":4492},{""x"":1124,""y"":590,""dx"":-327,""dy"":309,""t"":4526},{""x"":1162,""y"":561,""dx"":-289,""dy"":280,""t"":4560},{""x"":1175,""y"":582,""dx"":-276,""dy"":301,""t"":4593},{""x"":1165,""y"":598,""dx"":-286,""dy"":317,""t"":4628},{""x"":1161,""y"":634,""dx"":-290,""dy"":353,""t"":4662},{""x"":1134,""y"":652,""dx"":-317,""dy"":371,""t"":4695},{""x"":1140,""y"":586,""dx"":-311,""dy"":305,""t"":4729},{""x"":1120,""y"":600,""dx"":-331,""dy"":319,""t"":4764},{""x"":1118,""y"":623,""dx"":-333,""dy"":342,""t"":4798},{""x"":1111,""y"":646,""dx"":-340,""dy"":365,""t"":4832},{""x"":1123,""y"":651,""dx"":-328,""dy"":370,""t"":4866},{""x"":1126,""y"":622,""dx"":-325,""dy"":341,""t"":4900},{""x"":1141,""y"":636,""dx"":-310,""dy"":355,""t"":4934},{""x"":1140,""y"":607,""dx"":-311,""dy"":326,""t"":4968},{""x"":1133,""y"":572,""dx"":-318,""dy"":291,""t"":5002},{""x"":1132,""y"":570,""dx"":-319,""dy"":289,""t"":5036},{""x"":1117,""y"":581,""dx"":-334,""dy"":300,""t"":5070},{""x"":1127,""y"":575,""dx"":-324,""dy"":294,""t"":5105},{""x"":1159,""y"":581,""dx"":-292,""dy"":300,""t"":5138},{""x"":1186,""y"":565,""dx"":-265,""dy"":284,""t"":5171},{""x"":1167,""y"":604,""dx"":-284,""dy"":323,""t"":5205},{""x"":1175,""y"":597,""dx"":-276,""dy"":316,""t"":5239},{""x"":1168,""y"":616,""dx"":-283,""dy"":335,""t"":5273},{""x"":1195,""y"":621,""dx"":-256,""dy"":340,""t"":5308},{""x"":1215,""y"":582,""dx"":-236,""dy"":301,""t"":5342},{""x"":1220,""y"":574,""dx"":-231,""dy"":293,""t"":5375},{""x"":1252,""y"":564,""dx"":-199,""dy"":283,""t"":5410},{""x"":1240,""y"":556,""dx"":-211,""dy"":275,""t"":5443},{""x"":1212,""y"":574,""dx"":-239,""dy"":293,""t"":5478},{""x"":1227,""y"":591,""dx"":-224,""dy"":310,""t"":5512},{""x"":1208,""y"":587,""dx"":-243,""dy"":306,""t"":5546},{""x"":1223,""y"":586,""dx"":-228,""dy"":305,""t"":5581},{""x"":1221,""y"":581,""dx"":-230,""dy"":300,""t"":5613},{""x"":1245,""y"":569,""dx"":-206,""dy"":288,""t"":5648},{""x"":1266,""y"":559,""dx"":-185,""dy"":278,""t"":5680},{""x"":1251,""y"":583,""dx"":-200,""dy"":302,""t"":5715},{""x"":1276,""y"":573,""dx"":-175,""dy"":292,""t"":5749},{""x"":1277,""y"":595,""dx"":-174,""dy"":314,""t"":5783},{""x"":1269,""y"":600,""dx"":-182,""dy"":319,""t"":5819},{""x"":1280,""y"":577,""dx"":-171,""dy"":296,""t"":5852},{""x"":1273,""y"":589,""dx"":-178,""dy"":308,""t"":5886},{""x"":1263,""y"":588,""dx"":-188,""dy"":307,""t"":5920},{""x"":1236,""y"":593,""dx"":-215,""dy"":312,""t"":5954},{""x"":1237,""y"":588,""dx"":-214,""dy"":307,""t"":5988}],[{""x"":889,""y"":565,""dx"":-82,""dy"":14,""t"":7043},{""x"":895,""y"":610,""dx"":-76,""dy"":59,""t"":7077},{""x"":879,""y"":648,""dx"":-92,""dy"":97,""t"":7110},{""x"":855,""y"":637,""dx"":-116,""dy"":86,""t"":7143},{""x"":883,""y"":600,""dx"":-88,""dy"":49,""t"":7178},{""x"":877,""y"":591,""dx"":-94,""dy"":40,""t"":7212},{""x"":873,""y"":583,""dx"":-98,""dy"":32,""t"":7244},{""x"":858,""y"":613,""dx"":-113,""dy"":62,""t"":7279},{""x"":871,""y"":599,""dx"":-100,""dy"":48,""t"":7313},{""x"":885,""y"":608,""dx"":-86,""dy"":57,""t"":7349},{""x"":892,""y"":586,""dx"":-79,""dy"":35,""t"":7382},{""x"":915,""y"":570,""dx"":-56,""dy"":19,""t"":7416},{""x"":925,""y"":579,""dx"":-46,""dy"":28,""t"":7451},{""x"":912,""y"":566,""dx"":-59,""dy"":15,""t"":7484},{""x"":926,""y"":573,""dx"":-45,""dy"":22,""t"":7517},{""x"":949,""y"":550,""dx"":-22,""dy"":-1,""t"":7552},{""x"":925,""y"":582,""dx"":-46,""dy"":31,""t"":7585},{""x"":933,""y"":595,""dx"":-38,""dy"":44,""t"":7620},{""x"":940,""y"":606,""dx"":-31,""dy"":55,""t"":7652},{""x"":944,""y"":588,""dx"":-27,""dy"":37,""t"":7687},{""x"":938,""y"":569,""dx"":-33,""dy"":18,""t"":7722},{""x"":944,""y"":532,""dx"":-27,""dy"":-19,""t"":7755},{""x"":974,""y"":484,""dx"":3,""dy"":-67,""t"":7790},{""x"":962,""y"":497,""dx"":-9,""dy"":-54,""t"":7825},{""x"":962,""y"":493,""dx"":-9,""dy"":-58,""t"":7858},{""x"":954,""y"":535,""dx"":-17,""dy"":-16,""t"":7892},{""x"":959,""y"":530,""dx"":-12,""dy"":-21,""t"":7927},{""x"":968,""y"":518,""dx"":-3,""dy"":-33,""t"":7959},{""x"":948,""y"":534,""dx"":-23,""dy"":-17,""t"":7994},{""x"":927,""y"":557,""dx"":-44,""dy"":6,""t"":8029},{""x"":922,""y"":572,""dx"":-49,""dy"":21,""t"":8061},{""x"":924,""y"":573,""dx"":-47,""dy"":22,""t"":8097},{""x"":924,""y"":585,""dx"":-47,""dy"":34,""t"":8130},{""x"":900,""y"":579,""dx"":-71,""dy"":28,""t"":8163},{""x"":914,""y"":570,""dx"":-57,""dy"":19,""t"":8197},{""x"":924,""y"":566,""dx"":-47,""dy"":15,""t"":8232},{""x"":925,""y"":550,""dx"":-46,""dy"":-1,""t"":8266},{""x"":976,""y"":603,""dx"":5,""dy"":52,""t"":8300},{""x"":1098,""y"":781,""dx"":127,""dy"":230,""t"":8334},{""x"":1172,""y"":977,""dx"":201,""dy"":426,""t"":8367},{""x"":1251,""y"":1120,""dx"":280,""dy"":569,""t"":8401},{""x"":1265,""y"":1176,""dx"":294,""dy"":625,""t"":8435},{""x"":1226,""y"":1139,""dx"":255,""dy"":588,""t"":8469},{""x"":1175,""y"":1060,""dx"":204,""dy"":509,""t"":8504},{""x"":1115,""y"":981,""dx"":144,""dy"":430,""t"":8539},{""x"":1038,""y"":897,""dx"":67,""dy"":346,""t"":8572},{""x"":977,""y"":823,""dx"":6,""dy"":272,""t"":8605},{""x"":944,""y"":784,""dx"":-27,""dy"":233,""t"":8640},{""x"":896,""y"":754,""dx"":-75,""dy"":203,""t"":8673},{""x"":866,""y"":722,""dx"":-105,""dy"":171,""t"":8708},{""x"":830,""y"":688,""dx"":-141,""dy"":137,""t"":8742},{""x"":847,""y"":637,""dx"":-124,""dy"":86,""t"":8775},{""x"":840,""y"":611,""dx"":-131,""dy"":60,""t"":8810},{""x"":868,""y"":596,""dx"":-103,""dy"":45,""t"":8842},{""x"":882,""y"":632,""dx"":-89,""dy"":81,""t"":8877},{""x"":892,""y"":612,""dx"":-79,""dy"":61,""t"":8911},{""x"":892,""y"":583,""dx"":-79,""dy"":32,""t"":8946},{""x"":903,""y"":589,""dx"":-68,""dy"":38,""t"":8980},{""x"":917,""y"":568,""dx"":-54,""dy"":17,""t"":9013}],[{""x"":487,""y"":868,""dx"":-4,""dy"":47,""t"":10034},{""x"":490,""y"":859,""dx"":-1,""dy"":38,""t"":10069},{""x"":538,""y"":828,""dx"":47,""dy"":7,""t"":10102},{""x"":549,""y"":832,""dx"":58,""dy"":11,""t"":10144},{""x"":540,""y"":800,""dx"":49,""dy"":-21,""t"":10184},{""x"":531,""y"":777,""dx"":40,""dy"":-44,""t"":10202},{""x"":518,""y"":792,""dx"":27,""dy"":-29,""t"":10238},{""x"":516,""y"":815,""dx"":25,""dy"":-6,""t"":10272},{""x"":492,""y"":851,""dx"":1,""dy"":30,""t"":10305},{""x"":471,""y"":855,""dx"":-20,""dy"":34,""t"":10340},{""x"":471,""y"":845,""dx"":-20,""dy"":24,""t"":10374},{""x"":459,""y"":843,""dx"":-32,""dy"":22,""t"":10409},{""x"":487,""y"":833,""dx"":-4,""dy"":12,""t"":10442},{""x"":479,""y"":853,""dx"":-12,""dy"":32,""t"":10476},{""x"":503,""y"":853,""dx"":12,""dy"":32,""t"":10510},{""x"":488,""y"":836,""dx"":-3,""dy"":15,""t"":10544},{""x"":499,""y"":846,""dx"":8,""dy"":25,""t"":10578},{""x"":535,""y"":867,""dx"":44,""dy"":46,""t"":10612},{""x"":514,""y"":855,""dx"":23,""dy"":34,""t"":10646},{""x"":513,""y"":855,""dx"":22,""dy"":34,""t"":10680},{""x"":499,""y"":845,""dx"":8,""dy"":24,""t"":10714},{""x"":480,""y"":832,""dx"":-11,""dy"":11,""t"":10748},{""x"":498,""y"":827,""dx"":7,""dy"":6,""t"":10783},{""x"":475,""y"":842,""dx"":-16,""dy"":21,""t"":10814},{""x"":515,""y"":776,""dx"":24,""dy"":-45,""t"":10849},{""x"":519,""y"":802,""dx"":28,""dy"":-19,""t"":10883},{""x"":510,""y"":821,""dx"":19,""dy"":0,""t"":10917},{""x"":519,""y"":828,""dx"":28,""dy"":7,""t"":10952},{""x"":491,""y"":883,""dx"":0,""dy"":62,""t"":10987},{""x"":505,""y"":880,""dx"":14,""dy"":59,""t"":11019},{""x"":486,""y"":901,""dx"":-5,""dy"":80,""t"":11054},{""x"":495,""y"":879,""dx"":4,""dy"":58,""t"":11087},{""x"":497,""y"":878,""dx"":6,""dy"":57,""t"":11122},{""x"":493,""y"":869,""dx"":2,""dy"":48,""t"":11155},{""x"":497,""y"":877,""dx"":6,""dy"":56,""t"":11189},{""x"":500,""y"":883,""dx"":9,""dy"":62,""t"":11221},{""x"":479,""y"":867,""dx"":-12,""dy"":46,""t"":11258},{""x"":475,""y"":893,""dx"":-16,""dy"":72,""t"":11292},{""x"":488,""y"":863,""dx"":-3,""dy"":42,""t"":11327},{""x"":516,""y"":855,""dx"":25,""dy"":34,""t"":11360},{""x"":549,""y"":851,""dx"":58,""dy"":30,""t"":11393},{""x"":545,""y"":848,""dx"":54,""dy"":27,""t"":11427},{""x"":531,""y"":837,""dx"":40,""dy"":16,""t"":11461},{""x"":568,""y"":872,""dx"":77,""dy"":51,""t"":11496},{""x"":554,""y"":855,""dx"":63,""dy"":34,""t"":11531},{""x"":590,""y"":808,""dx"":99,""dy"":-13,""t"":11564},{""x"":688,""y"":779,""dx"":197,""dy"":-42,""t"":11598},{""x"":657,""y"":757,""dx"":166,""dy"":-64,""t"":11632},{""x"":654,""y"":715,""dx"":163,""dy"":-106,""t"":11666},{""x"":621,""y"":744,""dx"":130,""dy"":-77,""t"":11700},{""x"":588,""y"":721,""dx"":97,""dy"":-100,""t"":11734},{""x"":560,""y"":772,""dx"":69,""dy"":-49,""t"":11767},{""x"":629,""y"":748,""dx"":138,""dy"":-73,""t"":11801},{""x"":606,""y"":781,""dx"":115,""dy"":-40,""t"":11835},{""x"":585,""y"":801,""dx"":94,""dy"":-20,""t"":11869},{""x"":554,""y"":833,""dx"":63,""dy"":12,""t"":11904},{""x"":535,""y"":821,""dx"":44,""dy"":0,""t"":11938},{""x"":509,""y"":811,""dx"":18,""dy"":-10,""t"":11972},{""x"":544,""y"":782,""dx"":53,""dy"":-39,""t"":12005}],[{""x"":1278,""y"":853,""dx"":-173,""dy"":32,""t"":13060},{""x"":1251,""y"":872,""dx"":-200,""dy"":51,""t"":13094},{""x"":1237,""y"":873,""dx"":-214,""dy"":52,""t"":13129},{""x"":1281,""y"":824,""dx"":-170,""dy"":3,""t"":13162},{""x"":1283,""y"":809,""dx"":-168,""dy"":-12,""t"":13196},{""x"":1261,""y"":791,""dx"":-190,""dy"":-30,""t"":13230},{""x"":1212,""y"":838,""dx"":-239,""dy"":17,""t"":13264},{""x"":1204,""y"":839,""dx"":-247,""dy"":18,""t"":13298},{""x"":1193,""y"":853,""dx"":-258,""dy"":32,""t"":13332},{""x"":1190,""y"":867,""dx"":-261,""dy"":46,""t"":13367},{""x"":1196,""y"":856,""dx"":-255,""dy"":35,""t"":13399},{""x"":1250,""y"":842,""dx"":-201,""dy"":21,""t"":13433},{""x"":1219,""y"":823,""dx"":-232,""dy"":2,""t"":13468},{""x"":1200,""y"":795,""dx"":-251,""dy"":-26,""t"":13501},{""x"":1233,""y"":795,""dx"":-218,""dy"":-26,""t"":13536},{""x"":1213,""y"":812,""dx"":-238,""dy"":-9,""t"":13570},{""x"":1210,""y"":787,""dx"":-241,""dy"":-34,""t"":13604},{""x"":1219,""y"":804,""dx"":-232,""dy"":-17,""t"":13637},{""x"":1257,""y"":796,""dx"":-194,""dy"":-25,""t"":13672},{""x"":1252,""y"":793,""dx"":-199,""dy"":-28,""t"":13705},{""x"":1219,""y"":816,""dx"":-232,""dy"":-5,""t"":13741},{""x"":1215,""y"":864,""dx"":-236,""dy"":43,""t"":13774},{""x"":1184,""y"":876,""dx"":-267,""dy"":55,""t"":13808},{""x"":1193,""y"":867,""dx"":-258,""dy"":46,""t"":13841},{""x"":1181,""y"":885,""dx"":-270,""dy"":64,""t"":13875},{""x"":1170,""y"":909,""dx"":-281,""dy"":88,""t"":13910},{""x"":1192,""y"":886,""dx"":-259,""dy"":65,""t"":13944},{""x"":1178,""y"":871,""dx"":-273,""dy"":50,""t"":13978},{""x"":1212,""y"":857,""dx"":-239,""dy"":36,""t"":14012},{""x"":1208,""y"":863,""dx"":-243,""dy"":42,""t"":14046},{""x"":1207,""y"":836,""dx"":-244,""dy"":15,""t"":14080},{""x"":1260,""y"":807,""dx"":-191,""dy"":-14,""t"":14114},{""x"":1258,""y"":813,""dx"":-193,""dy"":-8,""t"":14148},{""x"":1234,""y"":803,""dx"":-217,""dy"":-18,""t"":14182},{""x"":1239,""y"":788,""dx"":-212,""dy"":-33,""t"":14216},{""x"":1235,""y"":812,""dx"":-216,""dy"":-9,""t"":14251},{""x"":1226,""y"":794,""dx"":-225,""dy"":-27,""t"":14283},{""x"":1214,""y"":808,""dx"":-237,""dy"":-13,""t"":14317},{""x"":1220,""y"":818,""dx"":-231,""dy"":-3,""t"":14353},{""x"":1220,""y"":789,""dx"":-231,""dy"":-32,""t"":14384},{""x"":1220,""y"":794,""dx"":-231,""dy"":-27,""t"":14420},{""x"":1200,""y"":796,""dx"":-251,""dy"":-25,""t"":14454},{""x"":1198,""y"":799,""dx"":-253,""dy"":-22,""t"":14487},{""x"":1177,""y"":818,""dx"":-274,""dy"":-3,""t"":14522},{""x"":1159,""y"":828,""dx"":-292,""dy"":7,""t"":14555},{""x"":1166,""y"":820,""dx"":-285,""dy"":-1,""t"":14590},{""x"":1166,""y"":823,""dx"":-285,""dy"":2,""t"":14624},{""x"":1169,""y"":843,""dx"":-282,""dy"":22,""t"":14659},{""x"":1184,""y"":856,""dx"":-267,""dy"":35,""t"":14692},{""x"":1207,""y"":834,""dx"":-244,""dy"":13,""t"":14727},{""x"":1211,""y"":846,""dx"":-240,""dy"":25,""t"":14759},{""x"":1216,""y"":857,""dx"":-235,""dy"":36,""t"":14795},{""x"":1214,""y"":871,""dx"":-237,""dy"":50,""t"":14828},{""x"":1226,""y"":863,""dx"":-225,""dy"":42,""t"":14862},{""x"":1220,""y"":856,""dx"":-231,""dy"":35,""t"":14896},{""x"":1192,""y"":860,""dx"":-259,""dy"":39,""t"":14930},{""x"":1204,""y"":864,""dx"":-247,""dy"":43,""t"":14963},{""x"":1181,""y"":857,""dx"":-270,""dy"":36,""t"":14998},{""x"":1190,""y"":871,""dx"":-261,""dy"":50,""t"":15032}]]","[100,0,79.66101694915254,98.30508474576271,11.864406779661017]","[{""x"":-47.4,""y"":123.36666666666666,""r"":74.53437341583131},{""x"":-262.7118644067797,""y"":309.77966101694915,""r"":48.79110830216543},{""x"":-24.135593220338983,""y"":100.28813559322033,""r"":96.31392731107043},{""x"":35.847457627118644,""y"":9.508474576271187,""r"":51.25668656151267},{""x"":-237.3728813559322,""y"":13.576271186440678,""r"":40.119059380749356}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
