"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2196","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2209","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5714","0.0-2.0-0.0","","","","","3501","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6786","0.0-2.0-1.0","","","","","1071","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","8211","0.0-3.0","","","","","1423"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15002","0.0-4.0","","","","","","","","","2228","","","","","","","","","","","","","","","",""
"","html-button-response","6","15914","0.0-5.0-0.0","","","","","910","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25912","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","26354","0.0-5.0-2.0","","","","","441","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","43690","0.0-5.0-3.0","","","","","","","","","","[[{""x"":501,""y"":287,""dx"":10,""dy"":6,""t"":989},{""x"":512,""y"":261,""dx"":21,""dy"":-20,""t"":1023},{""x"":509,""y"":267,""dx"":18,""dy"":-14,""t"":1058},{""x"":512,""y"":275,""dx"":21,""dy"":-6,""t"":1092},{""x"":501,""y"":286,""dx"":10,""dy"":5,""t"":1126},{""x"":507,""y"":319,""dx"":16,""dy"":38,""t"":1160},{""x"":505,""y"":324,""dx"":14,""dy"":43,""t"":1195},{""x"":515,""y"":313,""dx"":24,""dy"":32,""t"":1228},{""x"":521,""y"":338,""dx"":30,""dy"":57,""t"":1262},{""x"":511,""y"":372,""dx"":20,""dy"":91,""t"":1296},{""x"":515,""y"":340,""dx"":24,""dy"":59,""t"":1330},{""x"":516,""y"":392,""dx"":25,""dy"":111,""t"":1364},{""x"":522,""y"":350,""dx"":31,""dy"":69,""t"":1398},{""x"":519,""y"":369,""dx"":28,""dy"":88,""t"":1432},{""x"":522,""y"":353,""dx"":31,""dy"":72,""t"":1466},{""x"":515,""y"":362,""dx"":24,""dy"":81,""t"":1499},{""x"":512,""y"":376,""dx"":21,""dy"":95,""t"":1534},{""x"":502,""y"":382,""dx"":11,""dy"":101,""t"":1590},{""x"":493,""y"":387,""dx"":2,""dy"":106,""t"":1603},{""x"":499,""y"":390,""dx"":8,""dy"":109,""t"":1635},{""x"":510,""y"":356,""dx"":19,""dy"":75,""t"":1670},{""x"":510,""y"":350,""dx"":19,""dy"":69,""t"":1704},{""x"":516,""y"":308,""dx"":25,""dy"":27,""t"":1737},{""x"":511,""y"":310,""dx"":20,""dy"":29,""t"":1772},{""x"":512,""y"":305,""dx"":21,""dy"":24,""t"":1806},{""x"":515,""y"":323,""dx"":24,""dy"":42,""t"":1840},{""x"":518,""y"":339,""dx"":27,""dy"":58,""t"":1871},{""x"":516,""y"":320,""dx"":25,""dy"":39,""t"":1908},{""x"":519,""y"":343,""dx"":28,""dy"":62,""t"":1942},{""x"":522,""y"":342,""dx"":31,""dy"":61,""t"":1976},{""x"":516,""y"":350,""dx"":25,""dy"":69,""t"":2011},{""x"":518,""y"":362,""dx"":27,""dy"":81,""t"":2043},{""x"":508,""y"":383,""dx"":17,""dy"":102,""t"":2078},{""x"":503,""y"":398,""dx"":12,""dy"":117,""t"":2112},{""x"":501,""y"":387,""dx"":10,""dy"":106,""t"":2145},{""x"":494,""y"":384,""dx"":3,""dy"":103,""t"":2180},{""x"":512,""y"":340,""dx"":21,""dy"":59,""t"":2214},{""x"":511,""y"":331,""dx"":20,""dy"":50,""t"":2248},{""x"":512,""y"":304,""dx"":21,""dy"":23,""t"":2281},{""x"":523,""y"":305,""dx"":32,""dy"":24,""t"":2316},{""x"":519,""y"":294,""dx"":28,""dy"":13,""t"":2350},{""x"":515,""y"":255,""dx"":24,""dy"":-26,""t"":2384},{""x"":526,""y"":236,""dx"":35,""dy"":-45,""t"":2418},{""x"":517,""y"":208,""dx"":26,""dy"":-73,""t"":2452},{""x"":527,""y"":202,""dx"":36,""dy"":-79,""t"":2487},{""x"":535,""y"":190,""dx"":44,""dy"":-91,""t"":2520},{""x"":537,""y"":224,""dx"":46,""dy"":-57,""t"":2554},{""x"":542,""y"":231,""dx"":51,""dy"":-50,""t"":2588},{""x"":547,""y"":224,""dx"":56,""dy"":-57,""t"":2622},{""x"":542,""y"":228,""dx"":51,""dy"":-53,""t"":2656},{""x"":537,""y"":259,""dx"":46,""dy"":-22,""t"":2690},{""x"":531,""y"":272,""dx"":40,""dy"":-9,""t"":2725},{""x"":523,""y"":284,""dx"":32,""dy"":3,""t"":2758},{""x"":525,""y"":272,""dx"":34,""dy"":-9,""t"":2792},{""x"":516,""y"":296,""dx"":25,""dy"":15,""t"":2826},{""x"":506,""y"":302,""dx"":15,""dy"":21,""t"":2860},{""x"":505,""y"":294,""dx"":14,""dy"":13,""t"":2894},{""x"":512,""y"":311,""dx"":21,""dy"":30,""t"":2929},{""x"":509,""y"":341,""dx"":18,""dy"":60,""t"":2962}],[{""x"":1495,""y"":209,""dx"":44,""dy"":-72,""t"":4017},{""x"":1486,""y"":218,""dx"":35,""dy"":-63,""t"":4050},{""x"":1470,""y"":202,""dx"":19,""dy"":-79,""t"":4084},{""x"":1459,""y"":194,""dx"":8,""dy"":-87,""t"":4118},{""x"":1453,""y"":181,""dx"":2,""dy"":-100,""t"":4151},{""x"":1447,""y"":192,""dx"":-4,""dy"":-89,""t"":4186},{""x"":1458,""y"":242,""dx"":7,""dy"":-39,""t"":4220},{""x"":1473,""y"":291,""dx"":22,""dy"":10,""t"":4254},{""x"":1476,""y"":289,""dx"":25,""dy"":8,""t"":4288},{""x"":1488,""y"":297,""dx"":37,""dy"":16,""t"":4322},{""x"":1476,""y"":291,""dx"":25,""dy"":10,""t"":4356},{""x"":1477,""y"":275,""dx"":26,""dy"":-6,""t"":4390},{""x"":1459,""y"":285,""dx"":8,""dy"":4,""t"":4424},{""x"":1448,""y"":276,""dx"":-3,""dy"":-5,""t"":4458},{""x"":1444,""y"":292,""dx"":-7,""dy"":11,""t"":4493},{""x"":1439,""y"":297,""dx"":-12,""dy"":16,""t"":4526},{""x"":1421,""y"":290,""dx"":-30,""dy"":9,""t"":4560},{""x"":1415,""y"":317,""dx"":-36,""dy"":36,""t"":4594},{""x"":1423,""y"":293,""dx"":-28,""dy"":12,""t"":4628},{""x"":1427,""y"":284,""dx"":-24,""dy"":3,""t"":4661},{""x"":1433,""y"":288,""dx"":-18,""dy"":7,""t"":4696},{""x"":1438,""y"":297,""dx"":-13,""dy"":16,""t"":4730},{""x"":1438,""y"":287,""dx"":-13,""dy"":6,""t"":4763},{""x"":1435,""y"":294,""dx"":-16,""dy"":13,""t"":4797},{""x"":1439,""y"":290,""dx"":-12,""dy"":9,""t"":4832},{""x"":1440,""y"":307,""dx"":-11,""dy"":26,""t"":4865},{""x"":1450,""y"":274,""dx"":-1,""dy"":-7,""t"":4900},{""x"":1457,""y"":276,""dx"":6,""dy"":-5,""t"":4934},{""x"":1468,""y"":280,""dx"":17,""dy"":-1,""t"":4968},{""x"":1458,""y"":293,""dx"":7,""dy"":12,""t"":5002},{""x"":1457,""y"":283,""dx"":6,""dy"":2,""t"":5037},{""x"":1456,""y"":274,""dx"":5,""dy"":-7,""t"":5068},{""x"":1468,""y"":275,""dx"":17,""dy"":-6,""t"":5105},{""x"":1471,""y"":300,""dx"":20,""dy"":19,""t"":5138},{""x"":1491,""y"":301,""dx"":40,""dy"":20,""t"":5173},{""x"":1502,""y"":301,""dx"":51,""dy"":20,""t"":5206},{""x"":1511,""y"":321,""dx"":60,""dy"":40,""t"":5240},{""x"":1521,""y"":320,""dx"":70,""dy"":39,""t"":5274},{""x"":1518,""y"":326,""dx"":67,""dy"":45,""t"":5308},{""x"":1513,""y"":298,""dx"":62,""dy"":17,""t"":5342},{""x"":1514,""y"":281,""dx"":63,""dy"":0,""t"":5376},{""x"":1508,""y"":262,""dx"":57,""dy"":-19,""t"":5411},{""x"":1509,""y"":243,""dx"":58,""dy"":-38,""t"":5444},{""x"":1490,""y"":237,""dx"":39,""dy"":-44,""t"":5476},{""x"":1501,""y"":227,""dx"":50,""dy"":-54,""t"":5512},{""x"":1478,""y"":258,""dx"":27,""dy"":-23,""t"":5545},{""x"":1471,""y"":269,""dx"":20,""dy"":-12,""t"":5580},{""x"":1472,""y"":297,""dx"":21,""dy"":16,""t"":5614},{""x"":1464,""y"":300,""dx"":13,""dy"":19,""t"":5647},{""x"":1452,""y"":331,""dx"":1,""dy"":50,""t"":5682},{""x"":1453,""y"":333,""dx"":2,""dy"":52,""t"":5716},{""x"":1449,""y"":353,""dx"":-2,""dy"":72,""t"":5750},{""x"":1450,""y"":352,""dx"":-1,""dy"":71,""t"":5784},{""x"":1453,""y"":351,""dx"":2,""dy"":70,""t"":5818},{""x"":1452,""y"":345,""dx"":1,""dy"":64,""t"":5852},{""x"":1443,""y"":357,""dx"":-8,""dy"":76,""t"":5886},{""x"":1453,""y"":376,""dx"":2,""dy"":95,""t"":5920},{""x"":1445,""y"":368,""dx"":-6,""dy"":87,""t"":5954},{""x"":1446,""y"":347,""dx"":-5,""dy"":66,""t"":5988}],[{""x"":988,""y"":609,""dx"":17,""dy"":58,""t"":7008},{""x"":992,""y"":604,""dx"":21,""dy"":53,""t"":7040},{""x"":997,""y"":592,""dx"":26,""dy"":41,""t"":7076},{""x"":984,""y"":596,""dx"":13,""dy"":45,""t"":7110},{""x"":986,""y"":611,""dx"":15,""dy"":60,""t"":7144},{""x"":969,""y"":586,""dx"":-2,""dy"":35,""t"":7177},{""x"":959,""y"":579,""dx"":-12,""dy"":28,""t"":7212},{""x"":945,""y"":600,""dx"":-26,""dy"":49,""t"":7246},{""x"":935,""y"":605,""dx"":-36,""dy"":54,""t"":7280},{""x"":922,""y"":621,""dx"":-49,""dy"":70,""t"":7313},{""x"":912,""y"":644,""dx"":-59,""dy"":93,""t"":7347},{""x"":900,""y"":665,""dx"":-71,""dy"":114,""t"":7382},{""x"":894,""y"":676,""dx"":-77,""dy"":125,""t"":7417},{""x"":887,""y"":681,""dx"":-84,""dy"":130,""t"":7449},{""x"":885,""y"":657,""dx"":-86,""dy"":106,""t"":7484},{""x"":874,""y"":660,""dx"":-97,""dy"":109,""t"":7518},{""x"":892,""y"":647,""dx"":-79,""dy"":96,""t"":7552},{""x"":894,""y"":627,""dx"":-77,""dy"":76,""t"":7586},{""x"":898,""y"":625,""dx"":-73,""dy"":74,""t"":7620},{""x"":905,""y"":631,""dx"":-66,""dy"":80,""t"":7654},{""x"":904,""y"":636,""dx"":-67,""dy"":85,""t"":7688},{""x"":899,""y"":628,""dx"":-72,""dy"":77,""t"":7722},{""x"":884,""y"":637,""dx"":-87,""dy"":86,""t"":7756},{""x"":885,""y"":624,""dx"":-86,""dy"":73,""t"":7790},{""x"":865,""y"":609,""dx"":-106,""dy"":58,""t"":7824},{""x"":876,""y"":586,""dx"":-95,""dy"":35,""t"":7858},{""x"":880,""y"":542,""dx"":-91,""dy"":-9,""t"":7892},{""x"":892,""y"":511,""dx"":-79,""dy"":-40,""t"":7926},{""x"":900,""y"":538,""dx"":-71,""dy"":-13,""t"":7960},{""x"":918,""y"":505,""dx"":-53,""dy"":-46,""t"":7995},{""x"":922,""y"":538,""dx"":-49,""dy"":-13,""t"":8028},{""x"":945,""y"":506,""dx"":-26,""dy"":-45,""t"":8063},{""x"":950,""y"":488,""dx"":-21,""dy"":-63,""t"":8096},{""x"":960,""y"":516,""dx"":-11,""dy"":-35,""t"":8130},{""x"":970,""y"":570,""dx"":-1,""dy"":19,""t"":8164},{""x"":981,""y"":585,""dx"":10,""dy"":34,""t"":8197},{""x"":993,""y"":568,""dx"":22,""dy"":17,""t"":8232},{""x"":1009,""y"":586,""dx"":38,""dy"":35,""t"":8266},{""x"":1023,""y"":616,""dx"":52,""dy"":65,""t"":8300},{""x"":1024,""y"":604,""dx"":53,""dy"":53,""t"":8334},{""x"":1040,""y"":613,""dx"":69,""dy"":62,""t"":8367},{""x"":1038,""y"":597,""dx"":67,""dy"":46,""t"":8402},{""x"":1037,""y"":580,""dx"":66,""dy"":29,""t"":8436},{""x"":1023,""y"":592,""dx"":52,""dy"":41,""t"":8470},{""x"":1019,""y"":619,""dx"":48,""dy"":68,""t"":8504},{""x"":1004,""y"":585,""dx"":33,""dy"":34,""t"":8537},{""x"":992,""y"":569,""dx"":21,""dy"":18,""t"":8572},{""x"":983,""y"":559,""dx"":12,""dy"":8,""t"":8606},{""x"":977,""y"":551,""dx"":6,""dy"":0,""t"":8638},{""x"":960,""y"":546,""dx"":-11,""dy"":-5,""t"":8673},{""x"":961,""y"":546,""dx"":-10,""dy"":-5,""t"":8708},{""x"":958,""y"":520,""dx"":-13,""dy"":-31,""t"":8742},{""x"":968,""y"":488,""dx"":-3,""dy"":-63,""t"":8777},{""x"":974,""y"":504,""dx"":3,""dy"":-47,""t"":8809},{""x"":977,""y"":508,""dx"":6,""dy"":-43,""t"":8845},{""x"":984,""y"":496,""dx"":13,""dy"":-55,""t"":8878},{""x"":980,""y"":515,""dx"":9,""dy"":-36,""t"":8912},{""x"":986,""y"":497,""dx"":15,""dy"":-54,""t"":8946},{""x"":987,""y"":506,""dx"":16,""dy"":-45,""t"":8980}],[{""x"":588,""y"":796,""dx"":97,""dy"":-25,""t"":10034},{""x"":599,""y"":778,""dx"":108,""dy"":-43,""t"":10068},{""x"":622,""y"":773,""dx"":131,""dy"":-48,""t"":10102},{""x"":619,""y"":783,""dx"":128,""dy"":-38,""t"":10136},{""x"":621,""y"":795,""dx"":130,""dy"":-26,""t"":10170},{""x"":623,""y"":798,""dx"":132,""dy"":-23,""t"":10204},{""x"":606,""y"":801,""dx"":115,""dy"":-20,""t"":10237},{""x"":593,""y"":807,""dx"":102,""dy"":-14,""t"":10273},{""x"":583,""y"":816,""dx"":92,""dy"":-5,""t"":10306},{""x"":582,""y"":814,""dx"":91,""dy"":-7,""t"":10340},{""x"":589,""y"":809,""dx"":98,""dy"":-12,""t"":10374},{""x"":595,""y"":794,""dx"":104,""dy"":-27,""t"":10407},{""x"":597,""y"":799,""dx"":106,""dy"":-22,""t"":10441},{""x"":595,""y"":795,""dx"":104,""dy"":-26,""t"":10476},{""x"":600,""y"":783,""dx"":109,""dy"":-38,""t"":10510},{""x"":598,""y"":798,""dx"":107,""dy"":-23,""t"":10548},{""x"":600,""y"":796,""dx"":109,""dy"":-25,""t"":10586},{""x"":593,""y"":791,""dx"":102,""dy"":-30,""t"":10614},{""x"":596,""y"":805,""dx"":105,""dy"":-16,""t"":10646},{""x"":597,""y"":809,""dx"":106,""dy"":-12,""t"":10680},{""x"":585,""y"":819,""dx"":94,""dy"":-2,""t"":10714},{""x"":582,""y"":819,""dx"":91,""dy"":-2,""t"":10747},{""x"":590,""y"":820,""dx"":99,""dy"":-1,""t"":10782},{""x"":596,""y"":825,""dx"":105,""dy"":4,""t"":10816},{""x"":606,""y"":827,""dx"":115,""dy"":6,""t"":10850},{""x"":602,""y"":828,""dx"":111,""dy"":7,""t"":10884},{""x"":605,""y"":823,""dx"":114,""dy"":2,""t"":10918},{""x"":609,""y"":814,""dx"":118,""dy"":-7,""t"":10953},{""x"":605,""y"":803,""dx"":114,""dy"":-18,""t"":10985},{""x"":608,""y"":796,""dx"":117,""dy"":-25,""t"":11020},{""x"":605,""y"":819,""dx"":114,""dy"":-2,""t"":11055},{""x"":601,""y"":804,""dx"":110,""dy"":-17,""t"":11088},{""x"":610,""y"":809,""dx"":119,""dy"":-12,""t"":11123},{""x"":601,""y"":807,""dx"":110,""dy"":-14,""t"":11156},{""x"":596,""y"":791,""dx"":105,""dy"":-30,""t"":11189},{""x"":603,""y"":796,""dx"":112,""dy"":-25,""t"":11224},{""x"":601,""y"":805,""dx"":110,""dy"":-16,""t"":11258},{""x"":602,""y"":818,""dx"":111,""dy"":-3,""t"":11292},{""x"":610,""y"":816,""dx"":119,""dy"":-5,""t"":11327},{""x"":609,""y"":837,""dx"":118,""dy"":16,""t"":11360},{""x"":606,""y"":837,""dx"":115,""dy"":16,""t"":11395},{""x"":613,""y"":822,""dx"":122,""dy"":1,""t"":11428},{""x"":613,""y"":819,""dx"":122,""dy"":-2,""t"":11463},{""x"":628,""y"":815,""dx"":137,""dy"":-6,""t"":11496},{""x"":622,""y"":789,""dx"":131,""dy"":-32,""t"":11531},{""x"":607,""y"":775,""dx"":116,""dy"":-46,""t"":11564},{""x"":612,""y"":776,""dx"":121,""dy"":-45,""t"":11597},{""x"":619,""y"":775,""dx"":128,""dy"":-46,""t"":11632},{""x"":620,""y"":780,""dx"":129,""dy"":-41,""t"":11666},{""x"":626,""y"":797,""dx"":135,""dy"":-24,""t"":11699},{""x"":627,""y"":778,""dx"":136,""dy"":-43,""t"":11734},{""x"":622,""y"":782,""dx"":131,""dy"":-39,""t"":11768},{""x"":613,""y"":769,""dx"":122,""dy"":-52,""t"":11802},{""x"":616,""y"":775,""dx"":125,""dy"":-46,""t"":11835},{""x"":600,""y"":786,""dx"":109,""dy"":-35,""t"":11870},{""x"":593,""y"":780,""dx"":102,""dy"":-41,""t"":11904},{""x"":596,""y"":794,""dx"":105,""dy"":-27,""t"":11938},{""x"":589,""y"":799,""dx"":98,""dy"":-22,""t"":11972},{""x"":598,""y"":794,""dx"":107,""dy"":-27,""t"":12006}],[{""x"":1520,""y"":801,""dx"":69,""dy"":-20,""t"":13060},{""x"":1514,""y"":800,""dx"":63,""dy"":-21,""t"":13094},{""x"":1507,""y"":810,""dx"":56,""dy"":-11,""t"":13128},{""x"":1504,""y"":821,""dx"":53,""dy"":0,""t"":13162},{""x"":1500,""y"":803,""dx"":49,""dy"":-18,""t"":13196},{""x"":1495,""y"":820,""dx"":44,""dy"":-1,""t"":13230},{""x"":1482,""y"":821,""dx"":31,""dy"":0,""t"":13264},{""x"":1477,""y"":830,""dx"":26,""dy"":9,""t"":13297},{""x"":1464,""y"":832,""dx"":13,""dy"":11,""t"":13331},{""x"":1456,""y"":850,""dx"":5,""dy"":29,""t"":13366},{""x"":1456,""y"":840,""dx"":5,""dy"":19,""t"":13400},{""x"":1466,""y"":827,""dx"":15,""dy"":6,""t"":13434},{""x"":1457,""y"":826,""dx"":6,""dy"":5,""t"":13468},{""x"":1457,""y"":830,""dx"":6,""dy"":9,""t"":13503},{""x"":1462,""y"":801,""dx"":11,""dy"":-20,""t"":13536},{""x"":1466,""y"":798,""dx"":15,""dy"":-23,""t"":13569},{""x"":1459,""y"":793,""dx"":8,""dy"":-28,""t"":13604},{""x"":1456,""y"":800,""dx"":5,""dy"":-21,""t"":13639},{""x"":1466,""y"":793,""dx"":15,""dy"":-28,""t"":13672},{""x"":1468,""y"":787,""dx"":17,""dy"":-34,""t"":13706},{""x"":1463,""y"":792,""dx"":12,""dy"":-29,""t"":13740},{""x"":1458,""y"":797,""dx"":7,""dy"":-24,""t"":13772},{""x"":1463,""y"":804,""dx"":12,""dy"":-17,""t"":13808},{""x"":1466,""y"":817,""dx"":15,""dy"":-4,""t"":13842},{""x"":1461,""y"":830,""dx"":10,""dy"":9,""t"":13877},{""x"":1464,""y"":843,""dx"":13,""dy"":22,""t"":13910},{""x"":1463,""y"":840,""dx"":12,""dy"":19,""t"":13944},{""x"":1467,""y"":840,""dx"":16,""dy"":19,""t"":13977},{""x"":1474,""y"":819,""dx"":23,""dy"":-2,""t"":14013},{""x"":1463,""y"":808,""dx"":12,""dy"":-13,""t"":14046},{""x"":1463,""y"":799,""dx"":12,""dy"":-22,""t"":14080},{""x"":1466,""y"":745,""dx"":15,""dy"":-76,""t"":14114},{""x"":1466,""y"":741,""dx"":15,""dy"":-80,""t"":14147},{""x"":1456,""y"":753,""dx"":5,""dy"":-68,""t"":14179},{""x"":1443,""y"":752,""dx"":-8,""dy"":-69,""t"":14216},{""x"":1441,""y"":744,""dx"":-10,""dy"":-77,""t"":14249},{""x"":1443,""y"":734,""dx"":-8,""dy"":-87,""t"":14284},{""x"":1447,""y"":736,""dx"":-4,""dy"":-85,""t"":14317},{""x"":1461,""y"":694,""dx"":10,""dy"":-127,""t"":14351},{""x"":1452,""y"":665,""dx"":1,""dy"":-156,""t"":14387},{""x"":1464,""y"":623,""dx"":13,""dy"":-198,""t"":14420},{""x"":1461,""y"":602,""dx"":10,""dy"":-219,""t"":14454},{""x"":1471,""y"":589,""dx"":20,""dy"":-232,""t"":14488},{""x"":1458,""y"":640,""dx"":7,""dy"":-181,""t"":14523},{""x"":1466,""y"":620,""dx"":15,""dy"":-201,""t"":14556},{""x"":1471,""y"":610,""dx"":20,""dy"":-211,""t"":14590},{""x"":1470,""y"":584,""dx"":19,""dy"":-237,""t"":14625},{""x"":1467,""y"":603,""dx"":16,""dy"":-218,""t"":14658},{""x"":1469,""y"":573,""dx"":18,""dy"":-248,""t"":14692},{""x"":1471,""y"":585,""dx"":20,""dy"":-236,""t"":14726},{""x"":1469,""y"":601,""dx"":18,""dy"":-220,""t"":14760},{""x"":1464,""y"":596,""dx"":13,""dy"":-225,""t"":14795},{""x"":1456,""y"":625,""dx"":5,""dy"":-196,""t"":14828},{""x"":1462,""y"":630,""dx"":11,""dy"":-191,""t"":14863},{""x"":1454,""y"":642,""dx"":3,""dy"":-179,""t"":14896},{""x"":1464,""y"":641,""dx"":13,""dy"":-180,""t"":14930},{""x"":1478,""y"":630,""dx"":27,""dy"":-191,""t"":14964},{""x"":1465,""y"":647,""dx"":14,""dy"":-174,""t"":14997},{""x"":1464,""y"":652,""dx"":13,""dy"":-169,""t"":15032}]]","[100,100,100,100,83.05084745762711]","[{""x"":24.71186440677966,""y"":32.66101694915254,""r"":38.838797212542225},{""x"":13.423728813559322,""y"":6.915254237288136,""r"":39.78927905795402},{""x"":-19.372881355932204,""y"":30.35593220338983,""r"":72.48666481289258},{""x"":113.10169491525424,""y"":-20.016949152542374,""r"":18.444891405483226},{""x"":16.050847457627118,""y"":-83.22033898305085,""r"":88.79103414704038}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
