"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2322","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2325","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6401","0.0-2.0-0.0","","","","","4071","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7409","0.0-2.0-1.0","","","","","1007","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7825","0.0-3.0","","","","","414"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","12385","0.0-4.0","","","","","","","","","2123","","","","","","","","","","","","","","","",""
"","html-button-response","6","13041","0.0-5.0-0.0","","","","","654","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","25631","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","26393","0.0-5.0-2.0","","","","","761","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","43617","0.0-5.0-3.0","","","","","","","","","","[[{""x"":494,""y"":328,""dx"":3,""dy"":47,""t"":990},{""x"":500,""y"":317,""dx"":9,""dy"":36,""t"":1023},{""x"":490,""y"":324,""dx"":-1,""dy"":43,""t"":1059},{""x"":487,""y"":347,""dx"":-4,""dy"":66,""t"":1092},{""x"":498,""y"":324,""dx"":7,""dy"":43,""t"":1126},{""x"":507,""y"":320,""dx"":16,""dy"":39,""t"":1159},{""x"":506,""y"":316,""dx"":15,""dy"":35,""t"":1195},{""x"":521,""y"":319,""dx"":30,""dy"":38,""t"":1227},{""x"":535,""y"":294,""dx"":44,""dy"":13,""t"":1262},{""x"":544,""y"":293,""dx"":53,""dy"":12,""t"":1296},{""x"":544,""y"":292,""dx"":53,""dy"":11,""t"":1330},{""x"":535,""y"":303,""dx"":44,""dy"":22,""t"":1362},{""x"":529,""y"":312,""dx"":38,""dy"":31,""t"":1398},{""x"":531,""y"":308,""dx"":40,""dy"":27,""t"":1431},{""x"":515,""y"":316,""dx"":24,""dy"":35,""t"":1466},{""x"":523,""y"":310,""dx"":32,""dy"":29,""t"":1500},{""x"":542,""y"":318,""dx"":51,""dy"":37,""t"":1534},{""x"":535,""y"":320,""dx"":44,""dy"":39,""t"":1567},{""x"":539,""y"":305,""dx"":48,""dy"":24,""t"":1601},{""x"":527,""y"":310,""dx"":36,""dy"":29,""t"":1636},{""x"":535,""y"":320,""dx"":44,""dy"":39,""t"":1669},{""x"":530,""y"":320,""dx"":39,""dy"":39,""t"":1704},{""x"":531,""y"":314,""dx"":40,""dy"":33,""t"":1738},{""x"":546,""y"":322,""dx"":55,""dy"":41,""t"":1772},{""x"":528,""y"":344,""dx"":37,""dy"":63,""t"":1806},{""x"":523,""y"":354,""dx"":32,""dy"":73,""t"":1840},{""x"":526,""y"":334,""dx"":35,""dy"":53,""t"":1874},{""x"":515,""y"":327,""dx"":24,""dy"":46,""t"":1908},{""x"":525,""y"":312,""dx"":34,""dy"":31,""t"":1942},{""x"":523,""y"":304,""dx"":32,""dy"":23,""t"":1975},{""x"":518,""y"":314,""dx"":27,""dy"":33,""t"":2010},{""x"":506,""y"":299,""dx"":15,""dy"":18,""t"":2043},{""x"":505,""y"":292,""dx"":14,""dy"":11,""t"":2078},{""x"":495,""y"":282,""dx"":4,""dy"":1,""t"":2112},{""x"":501,""y"":287,""dx"":10,""dy"":6,""t"":2146},{""x"":510,""y"":288,""dx"":19,""dy"":7,""t"":2179},{""x"":509,""y"":293,""dx"":18,""dy"":12,""t"":2214},{""x"":501,""y"":305,""dx"":10,""dy"":24,""t"":2248},{""x"":515,""y"":294,""dx"":24,""dy"":13,""t"":2283},{""x"":515,""y"":290,""dx"":24,""dy"":9,""t"":2316},{""x"":513,""y"":282,""dx"":22,""dy"":1,""t"":2350},{""x"":506,""y"":287,""dx"":15,""dy"":6,""t"":2384},{""x"":517,""y"":284,""dx"":26,""dy"":3,""t"":2417},{""x"":511,""y"":277,""dx"":20,""dy"":-4,""t"":2451},{""x"":498,""y"":271,""dx"":7,""dy"":-10,""t"":2485},{""x"":491,""y"":279,""dx"":0,""dy"":-2,""t"":2520},{""x"":486,""y"":287,""dx"":-5,""dy"":6,""t"":2551},{""x"":503,""y"":301,""dx"":12,""dy"":20,""t"":2588},{""x"":527,""y"":307,""dx"":36,""dy"":26,""t"":2622},{""x"":524,""y"":308,""dx"":33,""dy"":27,""t"":2657},{""x"":515,""y"":308,""dx"":24,""dy"":27,""t"":2690},{""x"":517,""y"":299,""dx"":26,""dy"":18,""t"":2724},{""x"":515,""y"":291,""dx"":24,""dy"":10,""t"":2758},{""x"":517,""y"":294,""dx"":26,""dy"":13,""t"":2791},{""x"":518,""y"":288,""dx"":27,""dy"":7,""t"":2825},{""x"":528,""y"":281,""dx"":37,""dy"":0,""t"":2860},{""x"":519,""y"":295,""dx"":28,""dy"":14,""t"":2894},{""x"":512,""y"":307,""dx"":21,""dy"":26,""t"":2925},{""x"":510,""y"":308,""dx"":19,""dy"":27,""t"":2961},{""x"":503,""y"":314,""dx"":12,""dy"":33,""t"":2996}],[{""x"":1629,""y"":297,""dx"":178,""dy"":16,""t"":4016},{""x"":1617,""y"":307,""dx"":166,""dy"":26,""t"":4050},{""x"":1617,""y"":310,""dx"":166,""dy"":29,""t"":4084},{""x"":1599,""y"":292,""dx"":148,""dy"":11,""t"":4117},{""x"":1588,""y"":309,""dx"":137,""dy"":28,""t"":4152},{""x"":1565,""y"":364,""dx"":114,""dy"":83,""t"":4187},{""x"":1558,""y"":372,""dx"":107,""dy"":91,""t"":4220},{""x"":1568,""y"":383,""dx"":117,""dy"":102,""t"":4254},{""x"":1558,""y"":382,""dx"":107,""dy"":101,""t"":4288},{""x"":1545,""y"":366,""dx"":94,""dy"":85,""t"":4322},{""x"":1534,""y"":399,""dx"":83,""dy"":118,""t"":4356},{""x"":1528,""y"":382,""dx"":77,""dy"":101,""t"":4390},{""x"":1524,""y"":398,""dx"":73,""dy"":117,""t"":4423},{""x"":1512,""y"":374,""dx"":61,""dy"":93,""t"":4458},{""x"":1513,""y"":372,""dx"":62,""dy"":91,""t"":4491},{""x"":1507,""y"":368,""dx"":56,""dy"":87,""t"":4550},{""x"":1502,""y"":365,""dx"":51,""dy"":84,""t"":4562},{""x"":1504,""y"":386,""dx"":53,""dy"":105,""t"":4594},{""x"":1501,""y"":404,""dx"":50,""dy"":123,""t"":4628},{""x"":1496,""y"":381,""dx"":45,""dy"":100,""t"":4661},{""x"":1495,""y"":349,""dx"":44,""dy"":68,""t"":4695},{""x"":1505,""y"":315,""dx"":54,""dy"":34,""t"":4730},{""x"":1510,""y"":287,""dx"":59,""dy"":6,""t"":4764},{""x"":1515,""y"":305,""dx"":64,""dy"":24,""t"":4797},{""x"":1519,""y"":277,""dx"":68,""dy"":-4,""t"":4832},{""x"":1513,""y"":255,""dx"":62,""dy"":-26,""t"":4866},{""x"":1514,""y"":276,""dx"":63,""dy"":-5,""t"":4899},{""x"":1514,""y"":296,""dx"":63,""dy"":15,""t"":4931},{""x"":1520,""y"":283,""dx"":69,""dy"":2,""t"":4967},{""x"":1522,""y"":337,""dx"":71,""dy"":56,""t"":5002},{""x"":1526,""y"":350,""dx"":75,""dy"":69,""t"":5036},{""x"":1533,""y"":372,""dx"":82,""dy"":91,""t"":5070},{""x"":1527,""y"":378,""dx"":76,""dy"":97,""t"":5104},{""x"":1522,""y"":398,""dx"":71,""dy"":117,""t"":5138},{""x"":1506,""y"":426,""dx"":55,""dy"":145,""t"":5172},{""x"":1481,""y"":426,""dx"":30,""dy"":145,""t"":5205},{""x"":1492,""y"":430,""dx"":41,""dy"":149,""t"":5240},{""x"":1481,""y"":432,""dx"":30,""dy"":151,""t"":5274},{""x"":1470,""y"":431,""dx"":19,""dy"":150,""t"":5308},{""x"":1461,""y"":451,""dx"":10,""dy"":170,""t"":5343},{""x"":1448,""y"":446,""dx"":-3,""dy"":165,""t"":5376},{""x"":1433,""y"":457,""dx"":-18,""dy"":176,""t"":5410},{""x"":1443,""y"":449,""dx"":-8,""dy"":168,""t"":5444},{""x"":1434,""y"":453,""dx"":-17,""dy"":172,""t"":5477},{""x"":1420,""y"":431,""dx"":-31,""dy"":150,""t"":5512},{""x"":1414,""y"":444,""dx"":-37,""dy"":163,""t"":5546},{""x"":1424,""y"":417,""dx"":-27,""dy"":136,""t"":5580},{""x"":1440,""y"":383,""dx"":-11,""dy"":102,""t"":5614},{""x"":1449,""y"":386,""dx"":-2,""dy"":105,""t"":5648},{""x"":1453,""y"":409,""dx"":2,""dy"":128,""t"":5682},{""x"":1484,""y"":385,""dx"":33,""dy"":104,""t"":5715},{""x"":1520,""y"":351,""dx"":69,""dy"":70,""t"":5750},{""x"":1541,""y"":320,""dx"":90,""dy"":39,""t"":5784},{""x"":1542,""y"":317,""dx"":91,""dy"":36,""t"":5817},{""x"":1572,""y"":307,""dx"":121,""dy"":26,""t"":5852},{""x"":1567,""y"":326,""dx"":116,""dy"":45,""t"":5886},{""x"":1567,""y"":352,""dx"":116,""dy"":71,""t"":5919},{""x"":1559,""y"":371,""dx"":108,""dy"":90,""t"":5954},{""x"":1545,""y"":391,""dx"":94,""dy"":110,""t"":5988}],[{""x"":910,""y"":519,""dx"":-61,""dy"":-32,""t"":7042},{""x"":911,""y"":541,""dx"":-60,""dy"":-10,""t"":7076},{""x"":924,""y"":535,""dx"":-47,""dy"":-16,""t"":7109},{""x"":946,""y"":494,""dx"":-25,""dy"":-57,""t"":7143},{""x"":956,""y"":507,""dx"":-15,""dy"":-44,""t"":7178},{""x"":989,""y"":505,""dx"":18,""dy"":-46,""t"":7212},{""x"":969,""y"":496,""dx"":-2,""dy"":-55,""t"":7246},{""x"":965,""y"":493,""dx"":-6,""dy"":-58,""t"":7280},{""x"":954,""y"":489,""dx"":-17,""dy"":-62,""t"":7314},{""x"":947,""y"":499,""dx"":-24,""dy"":-52,""t"":7348},{""x"":943,""y"":509,""dx"":-28,""dy"":-42,""t"":7382},{""x"":947,""y"":511,""dx"":-24,""dy"":-40,""t"":7416},{""x"":932,""y"":522,""dx"":-39,""dy"":-29,""t"":7450},{""x"":919,""y"":520,""dx"":-52,""dy"":-31,""t"":7484},{""x"":928,""y"":539,""dx"":-43,""dy"":-12,""t"":7518},{""x"":958,""y"":534,""dx"":-13,""dy"":-17,""t"":7552},{""x"":952,""y"":552,""dx"":-19,""dy"":1,""t"":7586},{""x"":956,""y"":569,""dx"":-15,""dy"":18,""t"":7620},{""x"":949,""y"":560,""dx"":-22,""dy"":9,""t"":7653},{""x"":978,""y"":563,""dx"":7,""dy"":12,""t"":7688},{""x"":1005,""y"":551,""dx"":34,""dy"":0,""t"":7721},{""x"":1015,""y"":567,""dx"":44,""dy"":16,""t"":7756},{""x"":1019,""y"":529,""dx"":48,""dy"":-22,""t"":7790},{""x"":1017,""y"":492,""dx"":46,""dy"":-59,""t"":7824},{""x"":1019,""y"":499,""dx"":48,""dy"":-52,""t"":7857},{""x"":1012,""y"":514,""dx"":41,""dy"":-37,""t"":7891},{""x"":997,""y"":510,""dx"":26,""dy"":-41,""t"":7926},{""x"":967,""y"":511,""dx"":-4,""dy"":-40,""t"":7959},{""x"":958,""y"":509,""dx"":-13,""dy"":-42,""t"":7994},{""x"":937,""y"":539,""dx"":-34,""dy"":-12,""t"":8027},{""x"":933,""y"":558,""dx"":-38,""dy"":7,""t"":8059},{""x"":950,""y"":559,""dx"":-21,""dy"":8,""t"":8097},{""x"":927,""y"":580,""dx"":-44,""dy"":29,""t"":8131},{""x"":932,""y"":570,""dx"":-39,""dy"":19,""t"":8163},{""x"":934,""y"":536,""dx"":-37,""dy"":-15,""t"":8197},{""x"":970,""y"":530,""dx"":-1,""dy"":-21,""t"":8232},{""x"":987,""y"":519,""dx"":16,""dy"":-32,""t"":8267},{""x"":967,""y"":499,""dx"":-4,""dy"":-52,""t"":8300},{""x"":960,""y"":490,""dx"":-11,""dy"":-61,""t"":8334},{""x"":963,""y"":492,""dx"":-8,""dy"":-59,""t"":8368},{""x"":945,""y"":490,""dx"":-26,""dy"":-61,""t"":8402},{""x"":972,""y"":496,""dx"":1,""dy"":-55,""t"":8437},{""x"":996,""y"":502,""dx"":25,""dy"":-49,""t"":8468},{""x"":1007,""y"":511,""dx"":36,""dy"":-40,""t"":8503},{""x"":1026,""y"":512,""dx"":55,""dy"":-39,""t"":8538},{""x"":1033,""y"":502,""dx"":62,""dy"":-49,""t"":8572},{""x"":1045,""y"":508,""dx"":74,""dy"":-43,""t"":8606},{""x"":1055,""y"":499,""dx"":84,""dy"":-52,""t"":8640},{""x"":1051,""y"":514,""dx"":80,""dy"":-37,""t"":8674},{""x"":1052,""y"":517,""dx"":81,""dy"":-34,""t"":8707},{""x"":1045,""y"":465,""dx"":74,""dy"":-86,""t"":8742},{""x"":1050,""y"":459,""dx"":79,""dy"":-92,""t"":8776},{""x"":1046,""y"":471,""dx"":75,""dy"":-80,""t"":8810},{""x"":1043,""y"":467,""dx"":72,""dy"":-84,""t"":8844},{""x"":1009,""y"":484,""dx"":38,""dy"":-67,""t"":8877},{""x"":1004,""y"":513,""dx"":33,""dy"":-38,""t"":8912},{""x"":994,""y"":504,""dx"":23,""dy"":-47,""t"":8945},{""x"":982,""y"":502,""dx"":11,""dy"":-49,""t"":8981},{""x"":997,""y"":506,""dx"":26,""dy"":-45,""t"":9014}],[{""x"":558,""y"":736,""dx"":67,""dy"":-85,""t"":10034},{""x"":567,""y"":736,""dx"":76,""dy"":-85,""t"":10065},{""x"":563,""y"":733,""dx"":72,""dy"":-88,""t"":10103},{""x"":560,""y"":729,""dx"":69,""dy"":-92,""t"":10135},{""x"":549,""y"":735,""dx"":58,""dy"":-86,""t"":10171},{""x"":536,""y"":752,""dx"":45,""dy"":-69,""t"":10204},{""x"":542,""y"":743,""dx"":51,""dy"":-78,""t"":10238},{""x"":536,""y"":740,""dx"":45,""dy"":-81,""t"":10271},{""x"":541,""y"":718,""dx"":50,""dy"":-103,""t"":10306},{""x"":548,""y"":712,""dx"":57,""dy"":-109,""t"":10339},{""x"":557,""y"":720,""dx"":66,""dy"":-101,""t"":10374},{""x"":558,""y"":711,""dx"":67,""dy"":-110,""t"":10408},{""x"":571,""y"":721,""dx"":80,""dy"":-100,""t"":10441},{""x"":573,""y"":722,""dx"":82,""dy"":-99,""t"":10476},{""x"":582,""y"":735,""dx"":91,""dy"":-86,""t"":10510},{""x"":582,""y"":715,""dx"":91,""dy"":-106,""t"":10544},{""x"":590,""y"":684,""dx"":99,""dy"":-137,""t"":10578},{""x"":584,""y"":669,""dx"":93,""dy"":-152,""t"":10613},{""x"":585,""y"":690,""dx"":94,""dy"":-131,""t"":10646},{""x"":578,""y"":693,""dx"":87,""dy"":-128,""t"":10679},{""x"":571,""y"":681,""dx"":80,""dy"":-140,""t"":10713},{""x"":575,""y"":694,""dx"":84,""dy"":-127,""t"":10748},{""x"":585,""y"":692,""dx"":94,""dy"":-129,""t"":10782},{""x"":581,""y"":713,""dx"":90,""dy"":-108,""t"":10816},{""x"":589,""y"":716,""dx"":98,""dy"":-105,""t"":10849},{""x"":588,""y"":708,""dx"":97,""dy"":-113,""t"":10885},{""x"":580,""y"":715,""dx"":89,""dy"":-106,""t"":10917},{""x"":569,""y"":740,""dx"":78,""dy"":-81,""t"":10952},{""x"":574,""y"":730,""dx"":83,""dy"":-91,""t"":10986},{""x"":570,""y"":741,""dx"":79,""dy"":-80,""t"":11020},{""x"":562,""y"":731,""dx"":71,""dy"":-90,""t"":11055},{""x"":558,""y"":735,""dx"":67,""dy"":-86,""t"":11088},{""x"":563,""y"":731,""dx"":72,""dy"":-90,""t"":11121},{""x"":568,""y"":731,""dx"":77,""dy"":-90,""t"":11156},{""x"":563,""y"":734,""dx"":72,""dy"":-87,""t"":11189},{""x"":560,""y"":729,""dx"":69,""dy"":-92,""t"":11223},{""x"":558,""y"":725,""dx"":67,""dy"":-96,""t"":11255},{""x"":563,""y"":724,""dx"":72,""dy"":-97,""t"":11291},{""x"":564,""y"":735,""dx"":73,""dy"":-86,""t"":11325},{""x"":567,""y"":730,""dx"":76,""dy"":-91,""t"":11360},{""x"":579,""y"":727,""dx"":88,""dy"":-94,""t"":11394},{""x"":579,""y"":743,""dx"":88,""dy"":-78,""t"":11428},{""x"":582,""y"":763,""dx"":91,""dy"":-58,""t"":11462},{""x"":593,""y"":767,""dx"":102,""dy"":-54,""t"":11495},{""x"":593,""y"":765,""dx"":102,""dy"":-56,""t"":11531},{""x"":589,""y"":757,""dx"":98,""dy"":-64,""t"":11565},{""x"":598,""y"":752,""dx"":107,""dy"":-69,""t"":11598},{""x"":596,""y"":758,""dx"":105,""dy"":-63,""t"":11631},{""x"":597,""y"":746,""dx"":106,""dy"":-75,""t"":11664},{""x"":590,""y"":768,""dx"":99,""dy"":-53,""t"":11701},{""x"":598,""y"":758,""dx"":107,""dy"":-63,""t"":11733},{""x"":609,""y"":754,""dx"":118,""dy"":-67,""t"":11767},{""x"":616,""y"":760,""dx"":125,""dy"":-61,""t"":11802},{""x"":623,""y"":760,""dx"":132,""dy"":-61,""t"":11836},{""x"":615,""y"":757,""dx"":124,""dy"":-64,""t"":11871},{""x"":619,""y"":786,""dx"":128,""dy"":-35,""t"":11904},{""x"":621,""y"":776,""dx"":130,""dy"":-45,""t"":11938},{""x"":610,""y"":772,""dx"":119,""dy"":-49,""t"":11972},{""x"":620,""y"":767,""dx"":129,""dy"":-54,""t"":12005}],[{""x"":1443,""y"":706,""dx"":-8,""dy"":-115,""t"":13059},{""x"":1426,""y"":720,""dx"":-25,""dy"":-101,""t"":13094},{""x"":1405,""y"":742,""dx"":-46,""dy"":-79,""t"":13127},{""x"":1396,""y"":762,""dx"":-55,""dy"":-59,""t"":13162},{""x"":1403,""y"":743,""dx"":-48,""dy"":-78,""t"":13222},{""x"":1408,""y"":728,""dx"":-43,""dy"":-93,""t"":13234},{""x"":1412,""y"":717,""dx"":-39,""dy"":-104,""t"":13262},{""x"":1394,""y"":718,""dx"":-57,""dy"":-103,""t"":13299},{""x"":1364,""y"":764,""dx"":-87,""dy"":-57,""t"":13332},{""x"":1381,""y"":741,""dx"":-70,""dy"":-80,""t"":13366},{""x"":1327,""y"":777,""dx"":-124,""dy"":-44,""t"":13399},{""x"":1331,""y"":783,""dx"":-120,""dy"":-38,""t"":13434},{""x"":1283,""y"":785,""dx"":-168,""dy"":-36,""t"":13468},{""x"":1284,""y"":808,""dx"":-167,""dy"":-13,""t"":13502},{""x"":1259,""y"":840,""dx"":-192,""dy"":19,""t"":13536},{""x"":1315,""y"":852,""dx"":-136,""dy"":31,""t"":13570},{""x"":1305,""y"":868,""dx"":-146,""dy"":47,""t"":13604},{""x"":1295,""y"":879,""dx"":-156,""dy"":58,""t"":13636},{""x"":1300,""y"":905,""dx"":-151,""dy"":84,""t"":13673},{""x"":1352,""y"":905,""dx"":-99,""dy"":84,""t"":13707},{""x"":1354,""y"":895,""dx"":-97,""dy"":74,""t"":13740},{""x"":1330,""y"":894,""dx"":-121,""dy"":73,""t"":13774},{""x"":1325,""y"":883,""dx"":-126,""dy"":62,""t"":13808},{""x"":1325,""y"":898,""dx"":-126,""dy"":77,""t"":13842},{""x"":1325,""y"":900,""dx"":-126,""dy"":79,""t"":13876},{""x"":1347,""y"":894,""dx"":-104,""dy"":73,""t"":13909},{""x"":1384,""y"":886,""dx"":-67,""dy"":65,""t"":13943},{""x"":1369,""y"":905,""dx"":-82,""dy"":84,""t"":13978},{""x"":1391,""y"":902,""dx"":-60,""dy"":81,""t"":14012},{""x"":1411,""y"":874,""dx"":-40,""dy"":53,""t"":14045},{""x"":1418,""y"":842,""dx"":-33,""dy"":21,""t"":14080},{""x"":1396,""y"":823,""dx"":-55,""dy"":2,""t"":14115},{""x"":1413,""y"":828,""dx"":-38,""dy"":7,""t"":14148},{""x"":1397,""y"":839,""dx"":-54,""dy"":18,""t"":14181},{""x"":1356,""y"":821,""dx"":-95,""dy"":0,""t"":14216},{""x"":1351,""y"":803,""dx"":-100,""dy"":-18,""t"":14249},{""x"":1336,""y"":792,""dx"":-115,""dy"":-29,""t"":14283},{""x"":1311,""y"":791,""dx"":-140,""dy"":-30,""t"":14317},{""x"":1355,""y"":763,""dx"":-96,""dy"":-58,""t"":14353},{""x"":1339,""y"":798,""dx"":-112,""dy"":-23,""t"":14387},{""x"":1314,""y"":784,""dx"":-137,""dy"":-37,""t"":14419},{""x"":1287,""y"":787,""dx"":-164,""dy"":-34,""t"":14455},{""x"":1288,""y"":811,""dx"":-163,""dy"":-10,""t"":14487},{""x"":1297,""y"":783,""dx"":-154,""dy"":-38,""t"":14522},{""x"":1286,""y"":768,""dx"":-165,""dy"":-53,""t"":14556},{""x"":1289,""y"":761,""dx"":-162,""dy"":-60,""t"":14590},{""x"":1306,""y"":755,""dx"":-145,""dy"":-66,""t"":14624},{""x"":1313,""y"":747,""dx"":-138,""dy"":-74,""t"":14658},{""x"":1266,""y"":763,""dx"":-185,""dy"":-58,""t"":14691},{""x"":1272,""y"":755,""dx"":-179,""dy"":-66,""t"":14726},{""x"":1274,""y"":783,""dx"":-177,""dy"":-38,""t"":14760},{""x"":1289,""y"":774,""dx"":-162,""dy"":-47,""t"":14794},{""x"":1335,""y"":760,""dx"":-116,""dy"":-61,""t"":14826},{""x"":1335,""y"":755,""dx"":-116,""dy"":-66,""t"":14861},{""x"":1342,""y"":798,""dx"":-109,""dy"":-23,""t"":14895},{""x"":1366,""y"":784,""dx"":-85,""dy"":-37,""t"":14930},{""x"":1366,""y"":801,""dx"":-85,""dy"":-20,""t"":14964},{""x"":1336,""y"":830,""dx"":-115,""dy"":9,""t"":14999}]]","[100,100,100,100,100]","[{""x"":25.483333333333334,""y"":24.65,""r"":27.19053145721699},{""x"":63.33898305084746,""y"":86.45762711864407,""r"":59.13330754238291},{""x"":7.88135593220339,""y"":-35.186440677966104,""r"":43.80907756640386},{""x"":86.88135593220339,""y"":-87.69491525423729,""r"":27.253151593182544},{""x"":-108.29310344827586,""y"":-14.568965517241379,""r"":104.55741959822237}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
