"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1890","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1895","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5003","0.0-2.0-0.0","","","","","3107","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6204","0.0-2.0-1.0","","","","","1200","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","17763","0.0-3.0","","","","","","","","4874","","","","","","","","","","","","","","","","",""
"","html-button-response","5","18679","0.0-4.0-0.0","","","","","913","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","29613","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","30449","0.0-4.0-2.0","","","","","835","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","48194","0.0-4.0-3.0","","","","","","","","","","[[{""x"":488,""y"":380,""dx"":50.166656494140625,""dy"":129,""t"":991},{""x"":474,""y"":370,""dx"":36.166656494140625,""dy"":119,""t"":1022},{""x"":461,""y"":353,""dx"":23.166656494140625,""dy"":102,""t"":1057},{""x"":451,""y"":340,""dx"":13.166656494140625,""dy"":89,""t"":1094},{""x"":434,""y"":336,""dx"":-3.833343505859375,""dy"":85,""t"":1124},{""x"":430,""y"":313,""dx"":-7.833343505859375,""dy"":62,""t"":1161},{""x"":434,""y"":293,""dx"":-3.833343505859375,""dy"":42,""t"":1191},{""x"":396,""y"":265,""dx"":-41.833343505859375,""dy"":14,""t"":1227},{""x"":406,""y"":273,""dx"":-31.833343505859375,""dy"":22,""t"":1265},{""x"":379,""y"":269,""dx"":-58.833343505859375,""dy"":18,""t"":1294},{""x"":395,""y"":274,""dx"":-42.833343505859375,""dy"":23,""t"":1328},{""x"":383,""y"":274,""dx"":-54.833343505859375,""dy"":23,""t"":1367},{""x"":401,""y"":292,""dx"":-36.833343505859375,""dy"":41,""t"":1395},{""x"":398,""y"":287,""dx"":-39.833343505859375,""dy"":36,""t"":1432},{""x"":401,""y"":306,""dx"":-36.833343505859375,""dy"":55,""t"":1465},{""x"":417,""y"":322,""dx"":-20.833343505859375,""dy"":71,""t"":1500},{""x"":403,""y"":317,""dx"":-34.833343505859375,""dy"":66,""t"":1535},{""x"":426,""y"":333,""dx"":-11.833343505859375,""dy"":82,""t"":1568},{""x"":462,""y"":354,""dx"":24.166656494140625,""dy"":103,""t"":1600},{""x"":443,""y"":341,""dx"":5.166656494140625,""dy"":90,""t"":1633},{""x"":453,""y"":348,""dx"":15.166656494140625,""dy"":97,""t"":1671},{""x"":463,""y"":355,""dx"":25.166656494140625,""dy"":104,""t"":1704},{""x"":493,""y"":362,""dx"":55.166656494140625,""dy"":111,""t"":1736},{""x"":479,""y"":361,""dx"":41.166656494140625,""dy"":110,""t"":1774},{""x"":487,""y"":371,""dx"":49.166656494140625,""dy"":120,""t"":1803},{""x"":479,""y"":351,""dx"":41.166656494140625,""dy"":100,""t"":1839},{""x"":483,""y"":351,""dx"":45.166656494140625,""dy"":100,""t"":1874},{""x"":441,""y"":351,""dx"":3.166656494140625,""dy"":100,""t"":1906},{""x"":463,""y"":360,""dx"":25.166656494140625,""dy"":109,""t"":1942},{""x"":448,""y"":348,""dx"":10.166656494140625,""dy"":97,""t"":1974},{""x"":422,""y"":329,""dx"":-15.833343505859375,""dy"":78,""t"":2008},{""x"":414,""y"":324,""dx"":-23.833343505859375,""dy"":73,""t"":2045},{""x"":404,""y"":323,""dx"":-33.833343505859375,""dy"":72,""t"":2076},{""x"":408,""y"":321,""dx"":-29.833343505859375,""dy"":70,""t"":2112},{""x"":399,""y"":308,""dx"":-38.833343505859375,""dy"":57,""t"":2143},{""x"":407,""y"":303,""dx"":-30.833343505859375,""dy"":52,""t"":2179},{""x"":414,""y"":297,""dx"":-23.833343505859375,""dy"":46,""t"":2215},{""x"":442,""y"":317,""dx"":4.166656494140625,""dy"":66,""t"":2246},{""x"":457,""y"":331,""dx"":19.166656494140625,""dy"":80,""t"":2280},{""x"":507,""y"":343,""dx"":69.16665649414062,""dy"":92,""t"":2319},{""x"":490,""y"":314,""dx"":52.166656494140625,""dy"":63,""t"":2347},{""x"":504,""y"":328,""dx"":66.16665649414062,""dy"":77,""t"":2384},{""x"":486,""y"":322,""dx"":48.166656494140625,""dy"":71,""t"":2417},{""x"":463,""y"":339,""dx"":25.166656494140625,""dy"":88,""t"":2451},{""x"":464,""y"":354,""dx"":26.166656494140625,""dy"":103,""t"":2488},{""x"":469,""y"":362,""dx"":31.166656494140625,""dy"":111,""t"":2519},{""x"":489,""y"":365,""dx"":51.166656494140625,""dy"":114,""t"":2552},{""x"":497,""y"":372,""dx"":59.166656494140625,""dy"":121,""t"":2591},{""x"":507,""y"":364,""dx"":69.16665649414062,""dy"":113,""t"":2622},{""x"":514,""y"":356,""dx"":76.16665649414062,""dy"":105,""t"":2656},{""x"":514,""y"":362,""dx"":76.16665649414062,""dy"":111,""t"":2688},{""x"":519,""y"":364,""dx"":81.16665649414062,""dy"":113,""t"":2724},{""x"":492,""y"":347,""dx"":54.166656494140625,""dy"":96,""t"":2761},{""x"":483,""y"":346,""dx"":45.166656494140625,""dy"":95,""t"":2791},{""x"":486,""y"":351,""dx"":48.166656494140625,""dy"":100,""t"":2824},{""x"":488,""y"":346,""dx"":50.166656494140625,""dy"":95,""t"":2858},{""x"":496,""y"":349,""dx"":58.166656494140625,""dy"":98,""t"":2894},{""x"":526,""y"":359,""dx"":88.16665649414062,""dy"":108,""t"":2928},{""x"":518,""y"":366,""dx"":80.16665649414062,""dy"":115,""t"":2961}],[{""x"":1175,""y"":263,""dx"":-116.5,""dy"":12,""t"":3984},{""x"":1119,""y"":248,""dx"":-172.5,""dy"":-3,""t"":4016},{""x"":1127,""y"":255,""dx"":-164.5,""dy"":4,""t"":4048},{""x"":1122,""y"":242,""dx"":-169.5,""dy"":-9,""t"":4081},{""x"":1148,""y"":239,""dx"":-143.5,""dy"":-12,""t"":4119},{""x"":1130,""y"":242,""dx"":-161.5,""dy"":-9,""t"":4152},{""x"":1163,""y"":236,""dx"":-128.5,""dy"":-15,""t"":4184},{""x"":1204,""y"":247,""dx"":-87.5,""dy"":-4,""t"":4222},{""x"":1235,""y"":236,""dx"":-56.5,""dy"":-15,""t"":4251},{""x"":1222,""y"":244,""dx"":-69.5,""dy"":-7,""t"":4288},{""x"":1210,""y"":245,""dx"":-81.5,""dy"":-6,""t"":4321},{""x"":1205,""y"":240,""dx"":-86.5,""dy"":-11,""t"":4354},{""x"":1207,""y"":226,""dx"":-84.5,""dy"":-25,""t"":4390},{""x"":1219,""y"":250,""dx"":-72.5,""dy"":-1,""t"":4422},{""x"":1188,""y"":267,""dx"":-103.5,""dy"":16,""t"":4456},{""x"":1195,""y"":280,""dx"":-96.5,""dy"":29,""t"":4494},{""x"":1163,""y"":281,""dx"":-128.5,""dy"":30,""t"":4530},{""x"":1155,""y"":274,""dx"":-136.5,""dy"":23,""t"":4557},{""x"":1150,""y"":281,""dx"":-141.5,""dy"":30,""t"":4592},{""x"":1142,""y"":274,""dx"":-149.5,""dy"":23,""t"":4628},{""x"":1127,""y"":279,""dx"":-164.5,""dy"":28,""t"":4663},{""x"":1138,""y"":295,""dx"":-153.5,""dy"":44,""t"":4694},{""x"":1155,""y"":287,""dx"":-136.5,""dy"":36,""t"":4729},{""x"":1138,""y"":293,""dx"":-153.5,""dy"":42,""t"":4766},{""x"":1121,""y"":271,""dx"":-170.5,""dy"":20,""t"":4795},{""x"":1141,""y"":260,""dx"":-150.5,""dy"":9,""t"":4833},{""x"":1147,""y"":250,""dx"":-144.5,""dy"":-1,""t"":4863},{""x"":1151,""y"":249,""dx"":-140.5,""dy"":-2,""t"":4900},{""x"":1140,""y"":231,""dx"":-151.5,""dy"":-20,""t"":4937},{""x"":1138,""y"":233,""dx"":-153.5,""dy"":-18,""t"":4966},{""x"":1103,""y"":231,""dx"":-188.5,""dy"":-20,""t"":4999},{""x"":1114,""y"":218,""dx"":-177.5,""dy"":-33,""t"":5034},{""x"":1132,""y"":207,""dx"":-159.5,""dy"":-44,""t"":5070},{""x"":1145,""y"":239,""dx"":-146.5,""dy"":-12,""t"":5104},{""x"":1168,""y"":232,""dx"":-123.5,""dy"":-19,""t"":5137},{""x"":1139,""y"":239,""dx"":-152.5,""dy"":-12,""t"":5172},{""x"":1134,""y"":234,""dx"":-157.5,""dy"":-17,""t"":5208},{""x"":1194,""y"":230,""dx"":-97.5,""dy"":-21,""t"":5240},{""x"":1181,""y"":255,""dx"":-110.5,""dy"":4,""t"":5273},{""x"":1176,""y"":268,""dx"":-115.5,""dy"":17,""t"":5306},{""x"":1202,""y"":276,""dx"":-89.5,""dy"":25,""t"":5343},{""x"":1203,""y"":281,""dx"":-88.5,""dy"":30,""t"":5376},{""x"":1194,""y"":260,""dx"":-97.5,""dy"":9,""t"":5408},{""x"":1194,""y"":260,""dx"":-97.5,""dy"":9,""t"":5446},{""x"":1204,""y"":254,""dx"":-87.5,""dy"":3,""t"":5475},{""x"":1203,""y"":251,""dx"":-88.5,""dy"":0,""t"":5512},{""x"":1211,""y"":234,""dx"":-80.5,""dy"":-17,""t"":5544},{""x"":1234,""y"":238,""dx"":-57.5,""dy"":-13,""t"":5578},{""x"":1265,""y"":250,""dx"":-26.5,""dy"":-1,""t"":5615},{""x"":1275,""y"":254,""dx"":-16.5,""dy"":3,""t"":5645},{""x"":1271,""y"":260,""dx"":-20.5,""dy"":9,""t"":5681},{""x"":1288,""y"":288,""dx"":-3.5,""dy"":37,""t"":5718},{""x"":1269,""y"":289,""dx"":-22.5,""dy"":38,""t"":5747},{""x"":1258,""y"":291,""dx"":-33.5,""dy"":40,""t"":5784},{""x"":1243,""y"":287,""dx"":-48.5,""dy"":36,""t"":5816},{""x"":1270,""y"":288,""dx"":-21.5,""dy"":37,""t"":5851},{""x"":1280,""y"":290,""dx"":-11.5,""dy"":39,""t"":5888},{""x"":1285,""y"":292,""dx"":-6.5,""dy"":41,""t"":5918},{""x"":1293,""y"":295,""dx"":1.5,""dy"":44,""t"":5951}],[{""x"":712,""y"":597,""dx"":-152.66668701171875,""dy"":106,""t"":7008},{""x"":738,""y"":613,""dx"":-126.66668701171875,""dy"":122,""t"":7039},{""x"":748,""y"":605,""dx"":-116.66668701171875,""dy"":114,""t"":7076},{""x"":764,""y"":619,""dx"":-100.66668701171875,""dy"":128,""t"":7111},{""x"":783,""y"":624,""dx"":-81.66668701171875,""dy"":133,""t"":7142},{""x"":775,""y"":571,""dx"":-89.66668701171875,""dy"":80,""t"":7176},{""x"":774,""y"":535,""dx"":-90.66668701171875,""dy"":44,""t"":7214},{""x"":769,""y"":492,""dx"":-95.66668701171875,""dy"":1,""t"":7245},{""x"":753,""y"":463,""dx"":-111.66668701171875,""dy"":-28,""t"":7280},{""x"":726,""y"":455,""dx"":-138.66668701171875,""dy"":-36,""t"":7311},{""x"":728,""y"":454,""dx"":-136.66668701171875,""dy"":-37,""t"":7348},{""x"":753,""y"":467,""dx"":-111.66668701171875,""dy"":-24,""t"":7384},{""x"":739,""y"":476,""dx"":-125.66668701171875,""dy"":-15,""t"":7415},{""x"":774,""y"":460,""dx"":-90.66668701171875,""dy"":-31,""t"":7451},{""x"":742,""y"":458,""dx"":-122.66668701171875,""dy"":-33,""t"":7481},{""x"":729,""y"":481,""dx"":-135.66668701171875,""dy"":-10,""t"":7518},{""x"":720,""y"":460,""dx"":-144.66668701171875,""dy"":-31,""t"":7552},{""x"":718,""y"":458,""dx"":-146.66668701171875,""dy"":-33,""t"":7584},{""x"":742,""y"":444,""dx"":-122.66668701171875,""dy"":-47,""t"":7621},{""x"":720,""y"":424,""dx"":-144.66668701171875,""dy"":-67,""t"":7656},{""x"":756,""y"":475,""dx"":-108.66668701171875,""dy"":-16,""t"":7687},{""x"":776,""y"":464,""dx"":-88.66668701171875,""dy"":-27,""t"":7721},{""x"":753,""y"":454,""dx"":-111.66668701171875,""dy"":-37,""t"":7754},{""x"":744,""y"":452,""dx"":-120.66668701171875,""dy"":-39,""t"":7790},{""x"":739,""y"":422,""dx"":-125.66668701171875,""dy"":-69,""t"":7825},{""x"":724,""y"":423,""dx"":-140.66668701171875,""dy"":-68,""t"":7856},{""x"":728,""y"":435,""dx"":-136.66668701171875,""dy"":-56,""t"":7893},{""x"":711,""y"":445,""dx"":-153.66668701171875,""dy"":-46,""t"":7924},{""x"":717,""y"":447,""dx"":-147.66668701171875,""dy"":-44,""t"":7960},{""x"":708,""y"":466,""dx"":-156.66668701171875,""dy"":-25,""t"":7992},{""x"":724,""y"":480,""dx"":-140.66668701171875,""dy"":-11,""t"":8027},{""x"":775,""y"":504,""dx"":-89.66668701171875,""dy"":13,""t"":8063},{""x"":788,""y"":524,""dx"":-76.66668701171875,""dy"":33,""t"":8093},{""x"":800,""y"":534,""dx"":-64.66668701171875,""dy"":43,""t"":8128},{""x"":775,""y"":518,""dx"":-89.66668701171875,""dy"":27,""t"":8166},{""x"":783,""y"":530,""dx"":-81.66668701171875,""dy"":39,""t"":8195},{""x"":775,""y"":529,""dx"":-89.66668701171875,""dy"":38,""t"":8232},{""x"":743,""y"":511,""dx"":-121.66668701171875,""dy"":20,""t"":8263},{""x"":751,""y"":487,""dx"":-113.66668701171875,""dy"":-4,""t"":8299},{""x"":758,""y"":488,""dx"":-106.66668701171875,""dy"":-3,""t"":8336},{""x"":785,""y"":495,""dx"":-79.66668701171875,""dy"":4,""t"":8365},{""x"":752,""y"":473,""dx"":-112.66668701171875,""dy"":-18,""t"":8400},{""x"":715,""y"":485,""dx"":-149.66668701171875,""dy"":-6,""t"":8434},{""x"":689,""y"":486,""dx"":-175.66668701171875,""dy"":-5,""t"":8469},{""x"":695,""y"":476,""dx"":-169.66668701171875,""dy"":-15,""t"":8504},{""x"":683,""y"":482,""dx"":-181.66668701171875,""dy"":-9,""t"":8536},{""x"":679,""y"":484,""dx"":-185.66668701171875,""dy"":-7,""t"":8571},{""x"":659,""y"":475,""dx"":-205.66668701171875,""dy"":-16,""t"":8608},{""x"":646,""y"":464,""dx"":-218.66668701171875,""dy"":-27,""t"":8637},{""x"":654,""y"":498,""dx"":-210.66668701171875,""dy"":7,""t"":8673},{""x"":697,""y"":480,""dx"":-167.66668701171875,""dy"":-11,""t"":8705},{""x"":751,""y"":541,""dx"":-113.66668701171875,""dy"":50,""t"":8742},{""x"":749,""y"":550,""dx"":-115.66668701171875,""dy"":59,""t"":8782},{""x"":751,""y"":546,""dx"":-113.66668701171875,""dy"":55,""t"":8807},{""x"":768,""y"":540,""dx"":-96.66668701171875,""dy"":49,""t"":8844},{""x"":709,""y"":519,""dx"":-155.66668701171875,""dy"":28,""t"":8876},{""x"":708,""y"":535,""dx"":-156.66668701171875,""dy"":44,""t"":8911},{""x"":712,""y"":523,""dx"":-152.66668701171875,""dy"":32,""t"":8944},{""x"":713,""y"":506,""dx"":-151.66668701171875,""dy"":15,""t"":8979}],[{""x"":553,""y"":690,""dx"":115.16665649414062,""dy"":-41,""t"":10000},{""x"":538,""y"":694,""dx"":100.16665649414062,""dy"":-37,""t"":10033},{""x"":561,""y"":706,""dx"":123.16665649414062,""dy"":-25,""t"":10068},{""x"":539,""y"":703,""dx"":101.16665649414062,""dy"":-28,""t"":10099},{""x"":548,""y"":699,""dx"":110.16665649414062,""dy"":-32,""t"":10136},{""x"":557,""y"":704,""dx"":119.16665649414062,""dy"":-27,""t"":10167},{""x"":590,""y"":703,""dx"":152.16665649414062,""dy"":-28,""t"":10202},{""x"":617,""y"":708,""dx"":179.16665649414062,""dy"":-23,""t"":10239},{""x"":623,""y"":702,""dx"":185.16665649414062,""dy"":-29,""t"":10272},{""x"":633,""y"":706,""dx"":195.16665649414062,""dy"":-25,""t"":10304},{""x"":656,""y"":733,""dx"":218.16665649414062,""dy"":2,""t"":10341},{""x"":665,""y"":734,""dx"":227.16665649414062,""dy"":3,""t"":10374},{""x"":661,""y"":737,""dx"":223.16665649414062,""dy"":6,""t"":10407},{""x"":652,""y"":749,""dx"":214.16665649414062,""dy"":18,""t"":10440},{""x"":648,""y"":741,""dx"":210.16665649414062,""dy"":10,""t"":10475},{""x"":635,""y"":748,""dx"":197.16665649414062,""dy"":17,""t"":10511},{""x"":643,""y"":760,""dx"":205.16665649414062,""dy"":29,""t"":10541},{""x"":640,""y"":746,""dx"":202.16665649414062,""dy"":15,""t"":10577},{""x"":623,""y"":749,""dx"":185.16665649414062,""dy"":18,""t"":10614},{""x"":626,""y"":762,""dx"":188.16665649414062,""dy"":31,""t"":10644},{""x"":627,""y"":738,""dx"":189.16665649414062,""dy"":7,""t"":10680},{""x"":599,""y"":690,""dx"":161.16665649414062,""dy"":-41,""t"":10711},{""x"":588,""y"":698,""dx"":150.16665649414062,""dy"":-33,""t"":10747},{""x"":611,""y"":707,""dx"":173.16665649414062,""dy"":-24,""t"":10785},{""x"":624,""y"":677,""dx"":186.16665649414062,""dy"":-54,""t"":10814},{""x"":624,""y"":674,""dx"":186.16665649414062,""dy"":-57,""t"":10848},{""x"":631,""y"":660,""dx"":193.16665649414062,""dy"":-71,""t"":10887},{""x"":615,""y"":645,""dx"":177.16665649414062,""dy"":-86,""t"":10916},{""x"":608,""y"":644,""dx"":170.16665649414062,""dy"":-87,""t"":10952},{""x"":616,""y"":642,""dx"":178.16665649414062,""dy"":-89,""t"":10984},{""x"":605,""y"":637,""dx"":167.16665649414062,""dy"":-94,""t"":11020},{""x"":582,""y"":628,""dx"":144.16665649414062,""dy"":-103,""t"":11056},{""x"":568,""y"":626,""dx"":130.16665649414062,""dy"":-105,""t"":11086},{""x"":560,""y"":626,""dx"":122.16665649414062,""dy"":-105,""t"":11120},{""x"":579,""y"":666,""dx"":141.16665649414062,""dy"":-65,""t"":11153},{""x"":556,""y"":676,""dx"":118.16665649414062,""dy"":-55,""t"":11191},{""x"":571,""y"":677,""dx"":133.16665649414062,""dy"":-54,""t"":11224},{""x"":572,""y"":690,""dx"":134.16665649414062,""dy"":-41,""t"":11256},{""x"":590,""y"":699,""dx"":152.16665649414062,""dy"":-32,""t"":11293},{""x"":582,""y"":689,""dx"":144.16665649414062,""dy"":-42,""t"":11323},{""x"":611,""y"":699,""dx"":173.16665649414062,""dy"":-32,""t"":11360},{""x"":646,""y"":722,""dx"":208.16665649414062,""dy"":-9,""t"":11393},{""x"":649,""y"":731,""dx"":211.16665649414062,""dy"":0,""t"":11426},{""x"":666,""y"":727,""dx"":228.16665649414062,""dy"":-4,""t"":11462},{""x"":625,""y"":726,""dx"":187.16665649414062,""dy"":-5,""t"":11496},{""x"":588,""y"":719,""dx"":150.16665649414062,""dy"":-12,""t"":11527},{""x"":601,""y"":736,""dx"":163.16665649414062,""dy"":5,""t"":11565},{""x"":615,""y"":726,""dx"":177.16665649414062,""dy"":-5,""t"":11596},{""x"":609,""y"":719,""dx"":171.16665649414062,""dy"":-12,""t"":11633},{""x"":603,""y"":716,""dx"":165.16665649414062,""dy"":-15,""t"":11665},{""x"":602,""y"":709,""dx"":164.16665649414062,""dy"":-22,""t"":11701},{""x"":628,""y"":719,""dx"":190.16665649414062,""dy"":-12,""t"":11732},{""x"":647,""y"":735,""dx"":209.16665649414062,""dy"":4,""t"":11765},{""x"":634,""y"":729,""dx"":196.16665649414062,""dy"":-2,""t"":11800},{""x"":607,""y"":717,""dx"":169.16665649414062,""dy"":-14,""t"":11839},{""x"":588,""y"":718,""dx"":150.16665649414062,""dy"":-13,""t"":11868},{""x"":600,""y"":729,""dx"":162.16665649414062,""dy"":-2,""t"":11904},{""x"":609,""y"":706,""dx"":171.16665649414062,""dy"":-25,""t"":11936},{""x"":630,""y"":709,""dx"":192.16665649414062,""dy"":-22,""t"":11971}],[{""x"":1184,""y"":759,""dx"":-107.5,""dy"":28,""t"":13030},{""x"":1177,""y"":760,""dx"":-114.5,""dy"":29,""t"":13059},{""x"":1165,""y"":752,""dx"":-126.5,""dy"":21,""t"":13093},{""x"":1156,""y"":750,""dx"":-135.5,""dy"":19,""t"":13128},{""x"":1159,""y"":756,""dx"":-132.5,""dy"":25,""t"":13159},{""x"":1142,""y"":757,""dx"":-149.5,""dy"":26,""t"":13196},{""x"":1129,""y"":757,""dx"":-162.5,""dy"":26,""t"":13231},{""x"":1119,""y"":754,""dx"":-172.5,""dy"":23,""t"":13262},{""x"":1113,""y"":746,""dx"":-178.5,""dy"":15,""t"":13296},{""x"":1119,""y"":748,""dx"":-172.5,""dy"":17,""t"":13336},{""x"":1159,""y"":732,""dx"":-132.5,""dy"":1,""t"":13365},{""x"":1207,""y"":744,""dx"":-84.5,""dy"":13,""t"":13399},{""x"":1228,""y"":761,""dx"":-63.5,""dy"":30,""t"":13432},{""x"":1286,""y"":746,""dx"":-5.5,""dy"":15,""t"":13468},{""x"":1286,""y"":765,""dx"":-5.5,""dy"":34,""t"":13504},{""x"":1280,""y"":774,""dx"":-11.5,""dy"":43,""t"":13535},{""x"":1301,""y"":784,""dx"":9.5,""dy"":53,""t"":13568},{""x"":1316,""y"":795,""dx"":24.5,""dy"":64,""t"":13601},{""x"":1312,""y"":799,""dx"":20.5,""dy"":68,""t"":13639},{""x"":1310,""y"":785,""dx"":18.5,""dy"":54,""t"":13673},{""x"":1275,""y"":758,""dx"":-16.5,""dy"":27,""t"":13704},{""x"":1286,""y"":749,""dx"":-5.5,""dy"":18,""t"":13742},{""x"":1264,""y"":744,""dx"":-27.5,""dy"":13,""t"":13771},{""x"":1257,""y"":738,""dx"":-34.5,""dy"":7,""t"":13807},{""x"":1249,""y"":746,""dx"":-42.5,""dy"":15,""t"":13841},{""x"":1242,""y"":741,""dx"":-49.5,""dy"":10,""t"":13893},{""x"":1215,""y"":735,""dx"":-76.5,""dy"":4,""t"":13908},{""x"":1221,""y"":709,""dx"":-70.5,""dy"":-22,""t"":13941},{""x"":1223,""y"":717,""dx"":-68.5,""dy"":-14,""t"":13977},{""x"":1189,""y"":702,""dx"":-102.5,""dy"":-29,""t"":14013},{""x"":1210,""y"":702,""dx"":-81.5,""dy"":-29,""t"":14044},{""x"":1252,""y"":708,""dx"":-39.5,""dy"":-23,""t"":14081},{""x"":1214,""y"":692,""dx"":-77.5,""dy"":-39,""t"":14112},{""x"":1242,""y"":671,""dx"":-49.5,""dy"":-60,""t"":14147},{""x"":1240,""y"":672,""dx"":-51.5,""dy"":-59,""t"":14184},{""x"":1231,""y"":653,""dx"":-60.5,""dy"":-78,""t"":14213},{""x"":1245,""y"":656,""dx"":-46.5,""dy"":-75,""t"":14248},{""x"":1191,""y"":655,""dx"":-100.5,""dy"":-76,""t"":14287},{""x"":1186,""y"":660,""dx"":-105.5,""dy"":-71,""t"":14315},{""x"":1206,""y"":680,""dx"":-85.5,""dy"":-51,""t"":14352},{""x"":1214,""y"":686,""dx"":-77.5,""dy"":-45,""t"":14384},{""x"":1228,""y"":686,""dx"":-63.5,""dy"":-45,""t"":14419},{""x"":1233,""y"":704,""dx"":-58.5,""dy"":-27,""t"":14456},{""x"":1204,""y"":733,""dx"":-87.5,""dy"":2,""t"":14487},{""x"":1236,""y"":736,""dx"":-55.5,""dy"":5,""t"":14520},{""x"":1247,""y"":751,""dx"":-44.5,""dy"":20,""t"":14553},{""x"":1249,""y"":732,""dx"":-42.5,""dy"":1,""t"":14589},{""x"":1276,""y"":734,""dx"":-15.5,""dy"":3,""t"":14624},{""x"":1306,""y"":747,""dx"":14.5,""dy"":16,""t"":14656},{""x"":1334,""y"":752,""dx"":42.5,""dy"":21,""t"":14692},{""x"":1331,""y"":747,""dx"":39.5,""dy"":16,""t"":14730},{""x"":1317,""y"":742,""dx"":25.5,""dy"":11,""t"":14758},{""x"":1307,""y"":763,""dx"":15.5,""dy"":32,""t"":14792},{""x"":1255,""y"":793,""dx"":-36.5,""dy"":62,""t"":14826},{""x"":1245,""y"":808,""dx"":-46.5,""dy"":77,""t"":14862},{""x"":1219,""y"":806,""dx"":-72.5,""dy"":75,""t"":14896},{""x"":1210,""y"":807,""dx"":-81.5,""dy"":76,""t"":14929},{""x"":1199,""y"":812,""dx"":-92.5,""dy"":81,""t"":14965},{""x"":1197,""y"":809,""dx"":-94.5,""dy"":78,""t"":14995}]]","[100,100,94.91525423728814,79.66101694915254,100]","[{""x"":17.25140225685249,""y"":83.10169491525424,""r"":42.30839839260692},{""x"":-105.00847457627118,""y"":6.779661016949152,""r"":45.545678066940894},{""x"":-128.22600904561705,""y"":5.6440677966101696,""r"":48.58714557690842},{""x"":170.20055479922536,""y"":-26.677966101694917,""r"":46.02176832773258},{""x"":-61.110169491525426,""y"":9,""r"":64.76776846728715}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.46","validate","","","","","","","","","",""
"","html-keyboard-response","9","50861","0.0-5.0-0.0","","","","","2666"," ","","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，1000毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的 "" 4 "" ,"" 6 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","",""
