"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1622","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1628","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3950","0.0-2.0-0.0","","","","","2320","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","5190","0.0-2.0-1.0","","","","","1239","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","15670","0.0-3.0","","","","","","","","749","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","16318","0.0-4.0-0.0","","","","","646","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","27246","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","28462","0.0-4.0-2.0","","","","","1215","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","46061","0.0-4.0-3.0","","","","","","","","","","[[{""x"":364,""y"":539,""dx"":-127,""dy"":258,""t"":990},{""x"":366,""y"":578,""dx"":-125,""dy"":297,""t"":1023},{""x"":363,""y"":592,""dx"":-128,""dy"":311,""t"":1058},{""x"":357,""y"":589,""dx"":-134,""dy"":308,""t"":1092},{""x"":366,""y"":575,""dx"":-125,""dy"":294,""t"":1126},{""x"":348,""y"":599,""dx"":-143,""dy"":318,""t"":1160},{""x"":364,""y"":593,""dx"":-127,""dy"":312,""t"":1193},{""x"":364,""y"":598,""dx"":-127,""dy"":317,""t"":1228},{""x"":371,""y"":589,""dx"":-120,""dy"":308,""t"":1261},{""x"":364,""y"":564,""dx"":-127,""dy"":283,""t"":1296},{""x"":345,""y"":564,""dx"":-146,""dy"":283,""t"":1331},{""x"":339,""y"":584,""dx"":-152,""dy"":303,""t"":1363},{""x"":364,""y"":557,""dx"":-127,""dy"":276,""t"":1398},{""x"":365,""y"":570,""dx"":-126,""dy"":289,""t"":1432},{""x"":421,""y"":511,""dx"":-70,""dy"":230,""t"":1466},{""x"":400,""y"":529,""dx"":-91,""dy"":248,""t"":1500},{""x"":402,""y"":551,""dx"":-89,""dy"":270,""t"":1534},{""x"":407,""y"":547,""dx"":-84,""dy"":266,""t"":1568},{""x"":412,""y"":561,""dx"":-79,""dy"":280,""t"":1602},{""x"":397,""y"":550,""dx"":-94,""dy"":269,""t"":1636},{""x"":377,""y"":590,""dx"":-114,""dy"":309,""t"":1670},{""x"":385,""y"":580,""dx"":-106,""dy"":299,""t"":1703},{""x"":393,""y"":571,""dx"":-98,""dy"":290,""t"":1735},{""x"":393,""y"":575,""dx"":-98,""dy"":294,""t"":1772},{""x"":397,""y"":599,""dx"":-94,""dy"":318,""t"":1806},{""x"":403,""y"":596,""dx"":-88,""dy"":315,""t"":1840},{""x"":380,""y"":601,""dx"":-111,""dy"":320,""t"":1873},{""x"":379,""y"":583,""dx"":-112,""dy"":302,""t"":1908},{""x"":370,""y"":591,""dx"":-121,""dy"":310,""t"":1942},{""x"":346,""y"":594,""dx"":-145,""dy"":313,""t"":1975},{""x"":327,""y"":611,""dx"":-164,""dy"":330,""t"":2010},{""x"":321,""y"":625,""dx"":-170,""dy"":344,""t"":2044},{""x"":331,""y"":638,""dx"":-160,""dy"":357,""t"":2078},{""x"":356,""y"":672,""dx"":-135,""dy"":391,""t"":2112},{""x"":356,""y"":658,""dx"":-135,""dy"":377,""t"":2145},{""x"":403,""y"":627,""dx"":-88,""dy"":346,""t"":2180},{""x"":405,""y"":605,""dx"":-86,""dy"":324,""t"":2215},{""x"":406,""y"":628,""dx"":-85,""dy"":347,""t"":2248},{""x"":408,""y"":572,""dx"":-83,""dy"":291,""t"":2282},{""x"":414,""y"":599,""dx"":-77,""dy"":318,""t"":2316},{""x"":387,""y"":584,""dx"":-104,""dy"":303,""t"":2350},{""x"":414,""y"":551,""dx"":-77,""dy"":270,""t"":2384},{""x"":420,""y"":526,""dx"":-71,""dy"":245,""t"":2418},{""x"":413,""y"":510,""dx"":-78,""dy"":229,""t"":2452},{""x"":405,""y"":567,""dx"":-86,""dy"":286,""t"":2486},{""x"":412,""y"":612,""dx"":-79,""dy"":331,""t"":2520},{""x"":429,""y"":601,""dx"":-62,""dy"":320,""t"":2554},{""x"":426,""y"":644,""dx"":-65,""dy"":363,""t"":2588},{""x"":428,""y"":619,""dx"":-63,""dy"":338,""t"":2623},{""x"":404,""y"":647,""dx"":-87,""dy"":366,""t"":2655},{""x"":439,""y"":648,""dx"":-52,""dy"":367,""t"":2690},{""x"":483,""y"":554,""dx"":-8,""dy"":273,""t"":2724},{""x"":470,""y"":487,""dx"":-21,""dy"":206,""t"":2758},{""x"":476,""y"":524,""dx"":-15,""dy"":243,""t"":2792},{""x"":462,""y"":518,""dx"":-29,""dy"":237,""t"":2827},{""x"":480,""y"":460,""dx"":-11,""dy"":179,""t"":2860},{""x"":515,""y"":411,""dx"":24,""dy"":130,""t"":2893},{""x"":499,""y"":442,""dx"":8,""dy"":161,""t"":2928},{""x"":472,""y"":471,""dx"":-19,""dy"":190,""t"":2962}],[{""x"":1735,""y"":564,""dx"":284,""dy"":283,""t"":3981},{""x"":1722,""y"":540,""dx"":271,""dy"":259,""t"":4016},{""x"":1707,""y"":521,""dx"":256,""dy"":240,""t"":4051},{""x"":1691,""y"":533,""dx"":240,""dy"":252,""t"":4084},{""x"":1673,""y"":558,""dx"":222,""dy"":277,""t"":4118},{""x"":1660,""y"":627,""dx"":209,""dy"":346,""t"":4152},{""x"":1647,""y"":605,""dx"":196,""dy"":324,""t"":4187},{""x"":1623,""y"":598,""dx"":172,""dy"":317,""t"":4219},{""x"":1622,""y"":578,""dx"":171,""dy"":297,""t"":4254},{""x"":1630,""y"":567,""dx"":179,""dy"":286,""t"":4287},{""x"":1609,""y"":548,""dx"":158,""dy"":267,""t"":4322},{""x"":1583,""y"":560,""dx"":132,""dy"":279,""t"":4356},{""x"":1596,""y"":521,""dx"":145,""dy"":240,""t"":4389},{""x"":1594,""y"":545,""dx"":143,""dy"":264,""t"":4423},{""x"":1568,""y"":534,""dx"":117,""dy"":253,""t"":4458},{""x"":1430,""y"":640,""dx"":-21,""dy"":359,""t"":4492},{""x"":1246,""y"":768,""dx"":-205,""dy"":487,""t"":4526},{""x"":1087,""y"":877,""dx"":-364,""dy"":596,""t"":4560},{""x"":978,""y"":950,""dx"":-473,""dy"":669,""t"":4594},{""x"":992,""y"":941,""dx"":-459,""dy"":660,""t"":4628},{""x"":1072,""y"":919,""dx"":-379,""dy"":638,""t"":4662},{""x"":1135,""y"":861,""dx"":-316,""dy"":580,""t"":4695},{""x"":1226,""y"":850,""dx"":-225,""dy"":569,""t"":4730},{""x"":1305,""y"":764,""dx"":-146,""dy"":483,""t"":4764},{""x"":1357,""y"":662,""dx"":-94,""dy"":381,""t"":4798},{""x"":1403,""y"":616,""dx"":-48,""dy"":335,""t"":4831},{""x"":1447,""y"":626,""dx"":-4,""dy"":345,""t"":4866},{""x"":1490,""y"":608,""dx"":39,""dy"":327,""t"":4898},{""x"":1564,""y"":534,""dx"":113,""dy"":253,""t"":4934},{""x"":1575,""y"":508,""dx"":124,""dy"":227,""t"":4968},{""x"":1598,""y"":490,""dx"":147,""dy"":209,""t"":5002},{""x"":1620,""y"":449,""dx"":169,""dy"":168,""t"":5036},{""x"":1627,""y"":400,""dx"":176,""dy"":119,""t"":5069},{""x"":1616,""y"":418,""dx"":165,""dy"":137,""t"":5104},{""x"":1584,""y"":442,""dx"":133,""dy"":161,""t"":5138},{""x"":1602,""y"":404,""dx"":151,""dy"":123,""t"":5172},{""x"":1604,""y"":420,""dx"":153,""dy"":139,""t"":5206},{""x"":1606,""y"":451,""dx"":155,""dy"":170,""t"":5240},{""x"":1601,""y"":457,""dx"":150,""dy"":176,""t"":5274},{""x"":1595,""y"":463,""dx"":144,""dy"":182,""t"":5306},{""x"":1604,""y"":472,""dx"":153,""dy"":191,""t"":5342},{""x"":1596,""y"":510,""dx"":145,""dy"":229,""t"":5375},{""x"":1586,""y"":559,""dx"":135,""dy"":278,""t"":5409},{""x"":1583,""y"":587,""dx"":132,""dy"":306,""t"":5443},{""x"":1572,""y"":606,""dx"":121,""dy"":325,""t"":5478},{""x"":1576,""y"":589,""dx"":125,""dy"":308,""t"":5511},{""x"":1577,""y"":569,""dx"":126,""dy"":288,""t"":5546},{""x"":1570,""y"":573,""dx"":119,""dy"":292,""t"":5579},{""x"":1589,""y"":566,""dx"":138,""dy"":285,""t"":5614},{""x"":1576,""y"":591,""dx"":125,""dy"":310,""t"":5648},{""x"":1605,""y"":563,""dx"":154,""dy"":282,""t"":5682},{""x"":1600,""y"":561,""dx"":149,""dy"":280,""t"":5715},{""x"":1616,""y"":562,""dx"":165,""dy"":281,""t"":5750},{""x"":1620,""y"":576,""dx"":169,""dy"":295,""t"":5783},{""x"":1603,""y"":574,""dx"":152,""dy"":293,""t"":5818},{""x"":1598,""y"":531,""dx"":147,""dy"":250,""t"":5852},{""x"":1574,""y"":576,""dx"":123,""dy"":295,""t"":5886},{""x"":1569,""y"":569,""dx"":118,""dy"":288,""t"":5919},{""x"":1561,""y"":581,""dx"":110,""dy"":300,""t"":5953},{""x"":1557,""y"":565,""dx"":106,""dy"":284,""t"":5988}],[{""x"":904,""y"":628,""dx"":-67,""dy"":77,""t"":7008},{""x"":921,""y"":629,""dx"":-50,""dy"":78,""t"":7041},{""x"":929,""y"":623,""dx"":-42,""dy"":72,""t"":7076},{""x"":923,""y"":655,""dx"":-48,""dy"":104,""t"":7110},{""x"":955,""y"":683,""dx"":-16,""dy"":132,""t"":7144},{""x"":961,""y"":704,""dx"":-10,""dy"":153,""t"":7178},{""x"":956,""y"":730,""dx"":-15,""dy"":179,""t"":7212},{""x"":948,""y"":769,""dx"":-23,""dy"":218,""t"":7246},{""x"":947,""y"":794,""dx"":-24,""dy"":243,""t"":7280},{""x"":952,""y"":788,""dx"":-19,""dy"":237,""t"":7314},{""x"":973,""y"":761,""dx"":2,""dy"":210,""t"":7348},{""x"":996,""y"":755,""dx"":25,""dy"":204,""t"":7382},{""x"":982,""y"":743,""dx"":11,""dy"":192,""t"":7416},{""x"":1003,""y"":713,""dx"":32,""dy"":162,""t"":7450},{""x"":1005,""y"":700,""dx"":34,""dy"":149,""t"":7483},{""x"":985,""y"":715,""dx"":14,""dy"":164,""t"":7518},{""x"":1006,""y"":725,""dx"":35,""dy"":174,""t"":7552},{""x"":972,""y"":720,""dx"":1,""dy"":169,""t"":7586},{""x"":973,""y"":701,""dx"":2,""dy"":150,""t"":7630},{""x"":955,""y"":701,""dx"":-16,""dy"":150,""t"":7663},{""x"":937,""y"":693,""dx"":-34,""dy"":142,""t"":7688},{""x"":938,""y"":709,""dx"":-33,""dy"":158,""t"":7722},{""x"":941,""y"":723,""dx"":-30,""dy"":172,""t"":7756},{""x"":950,""y"":722,""dx"":-21,""dy"":171,""t"":7790},{""x"":954,""y"":748,""dx"":-17,""dy"":197,""t"":7824},{""x"":961,""y"":763,""dx"":-10,""dy"":212,""t"":7858},{""x"":1004,""y"":752,""dx"":33,""dy"":201,""t"":7892},{""x"":1008,""y"":778,""dx"":37,""dy"":227,""t"":7926},{""x"":983,""y"":805,""dx"":12,""dy"":254,""t"":7960},{""x"":956,""y"":791,""dx"":-15,""dy"":240,""t"":7993},{""x"":964,""y"":783,""dx"":-7,""dy"":232,""t"":8027},{""x"":998,""y"":797,""dx"":27,""dy"":246,""t"":8062},{""x"":976,""y"":831,""dx"":5,""dy"":280,""t"":8096},{""x"":948,""y"":812,""dx"":-23,""dy"":261,""t"":8130},{""x"":982,""y"":834,""dx"":11,""dy"":283,""t"":8164},{""x"":1004,""y"":829,""dx"":33,""dy"":278,""t"":8198},{""x"":985,""y"":823,""dx"":14,""dy"":272,""t"":8232},{""x"":936,""y"":829,""dx"":-35,""dy"":278,""t"":8266},{""x"":942,""y"":819,""dx"":-29,""dy"":268,""t"":8299},{""x"":931,""y"":806,""dx"":-40,""dy"":255,""t"":8334},{""x"":928,""y"":820,""dx"":-43,""dy"":269,""t"":8369},{""x"":912,""y"":816,""dx"":-59,""dy"":265,""t"":8401},{""x"":893,""y"":835,""dx"":-78,""dy"":284,""t"":8436},{""x"":879,""y"":850,""dx"":-92,""dy"":299,""t"":8467},{""x"":865,""y"":852,""dx"":-106,""dy"":301,""t"":8504},{""x"":858,""y"":864,""dx"":-113,""dy"":313,""t"":8538},{""x"":834,""y"":860,""dx"":-137,""dy"":309,""t"":8571},{""x"":836,""y"":862,""dx"":-135,""dy"":311,""t"":8605},{""x"":851,""y"":853,""dx"":-120,""dy"":302,""t"":8640},{""x"":842,""y"":865,""dx"":-129,""dy"":314,""t"":8673},{""x"":861,""y"":879,""dx"":-110,""dy"":328,""t"":8708},{""x"":866,""y"":853,""dx"":-105,""dy"":302,""t"":8741},{""x"":888,""y"":861,""dx"":-83,""dy"":310,""t"":8776},{""x"":910,""y"":849,""dx"":-61,""dy"":298,""t"":8809},{""x"":921,""y"":848,""dx"":-50,""dy"":297,""t"":8844},{""x"":916,""y"":866,""dx"":-55,""dy"":315,""t"":8876},{""x"":899,""y"":872,""dx"":-72,""dy"":321,""t"":8911},{""x"":886,""y"":857,""dx"":-85,""dy"":306,""t"":8946},{""x"":874,""y"":854,""dx"":-97,""dy"":303,""t"":8980}],[{""x"":380,""y"":921,""dx"":-111,""dy"":100,""t"":10033},{""x"":425,""y"":905,""dx"":-66,""dy"":84,""t"":10068},{""x"":398,""y"":910,""dx"":-93,""dy"":89,""t"":10102},{""x"":430,""y"":886,""dx"":-61,""dy"":65,""t"":10136},{""x"":473,""y"":882,""dx"":-18,""dy"":61,""t"":10170},{""x"":500,""y"":866,""dx"":9,""dy"":45,""t"":10204},{""x"":536,""y"":867,""dx"":45,""dy"":46,""t"":10238},{""x"":518,""y"":884,""dx"":27,""dy"":63,""t"":10272},{""x"":479,""y"":923,""dx"":-12,""dy"":102,""t"":10305},{""x"":448,""y"":885,""dx"":-43,""dy"":64,""t"":10340},{""x"":468,""y"":940,""dx"":-23,""dy"":119,""t"":10373},{""x"":481,""y"":976,""dx"":-10,""dy"":155,""t"":10407},{""x"":432,""y"":969,""dx"":-59,""dy"":148,""t"":10442},{""x"":391,""y"":962,""dx"":-100,""dy"":141,""t"":10474},{""x"":360,""y"":968,""dx"":-131,""dy"":147,""t"":10511},{""x"":344,""y"":959,""dx"":-147,""dy"":138,""t"":10543},{""x"":342,""y"":902,""dx"":-149,""dy"":81,""t"":10577},{""x"":371,""y"":844,""dx"":-120,""dy"":23,""t"":10611},{""x"":385,""y"":875,""dx"":-106,""dy"":54,""t"":10646},{""x"":421,""y"":858,""dx"":-70,""dy"":37,""t"":10679},{""x"":467,""y"":856,""dx"":-24,""dy"":35,""t"":10714},{""x"":433,""y"":884,""dx"":-58,""dy"":63,""t"":10748},{""x"":434,""y"":857,""dx"":-57,""dy"":36,""t"":10782},{""x"":439,""y"":902,""dx"":-52,""dy"":81,""t"":10815},{""x"":480,""y"":889,""dx"":-11,""dy"":68,""t"":10850},{""x"":485,""y"":935,""dx"":-6,""dy"":114,""t"":10884},{""x"":487,""y"":879,""dx"":-4,""dy"":58,""t"":10918},{""x"":491,""y"":858,""dx"":0,""dy"":37,""t"":10952},{""x"":497,""y"":842,""dx"":6,""dy"":21,""t"":10986},{""x"":534,""y"":851,""dx"":43,""dy"":30,""t"":11020},{""x"":465,""y"":883,""dx"":-26,""dy"":62,""t"":11054},{""x"":447,""y"":857,""dx"":-44,""dy"":36,""t"":11088},{""x"":428,""y"":836,""dx"":-63,""dy"":15,""t"":11122},{""x"":414,""y"":906,""dx"":-77,""dy"":85,""t"":11157},{""x"":388,""y"":867,""dx"":-103,""dy"":46,""t"":11190},{""x"":395,""y"":823,""dx"":-96,""dy"":2,""t"":11224},{""x"":427,""y"":819,""dx"":-64,""dy"":-2,""t"":11258},{""x"":453,""y"":833,""dx"":-38,""dy"":12,""t"":11292},{""x"":436,""y"":813,""dx"":-55,""dy"":-8,""t"":11326},{""x"":389,""y"":835,""dx"":-102,""dy"":14,""t"":11360},{""x"":406,""y"":814,""dx"":-85,""dy"":-7,""t"":11394},{""x"":434,""y"":804,""dx"":-57,""dy"":-17,""t"":11428},{""x"":440,""y"":876,""dx"":-51,""dy"":55,""t"":11462},{""x"":468,""y"":873,""dx"":-23,""dy"":52,""t"":11496},{""x"":465,""y"":924,""dx"":-26,""dy"":103,""t"":11530},{""x"":479,""y"":895,""dx"":-12,""dy"":74,""t"":11563},{""x"":485,""y"":864,""dx"":-6,""dy"":43,""t"":11598},{""x"":479,""y"":833,""dx"":-12,""dy"":12,""t"":11632},{""x"":477,""y"":831,""dx"":-14,""dy"":10,""t"":11666},{""x"":489,""y"":832,""dx"":-2,""dy"":11,""t"":11700},{""x"":440,""y"":869,""dx"":-51,""dy"":48,""t"":11734},{""x"":435,""y"":857,""dx"":-56,""dy"":36,""t"":11768},{""x"":440,""y"":850,""dx"":-51,""dy"":29,""t"":11802},{""x"":391,""y"":878,""dx"":-100,""dy"":57,""t"":11836},{""x"":397,""y"":862,""dx"":-94,""dy"":41,""t"":11870},{""x"":379,""y"":909,""dx"":-112,""dy"":88,""t"":11904},{""x"":364,""y"":932,""dx"":-127,""dy"":111,""t"":11937},{""x"":407,""y"":901,""dx"":-84,""dy"":80,""t"":11972},{""x"":452,""y"":961,""dx"":-39,""dy"":140,""t"":12005}],[{""x"":1652,""y"":685,""dx"":201,""dy"":-136,""t"":13025},{""x"":1636,""y"":684,""dx"":185,""dy"":-137,""t"":13060},{""x"":1598,""y"":698,""dx"":147,""dy"":-123,""t"":13094},{""x"":1581,""y"":689,""dx"":130,""dy"":-132,""t"":13127},{""x"":1555,""y"":703,""dx"":104,""dy"":-118,""t"":13161},{""x"":1564,""y"":707,""dx"":113,""dy"":-114,""t"":13196},{""x"":1546,""y"":741,""dx"":95,""dy"":-80,""t"":13229},{""x"":1535,""y"":721,""dx"":84,""dy"":-100,""t"":13264},{""x"":1525,""y"":731,""dx"":74,""dy"":-90,""t"":13297},{""x"":1510,""y"":749,""dx"":59,""dy"":-72,""t"":13333},{""x"":1523,""y"":747,""dx"":72,""dy"":-74,""t"":13366},{""x"":1515,""y"":762,""dx"":64,""dy"":-59,""t"":13400},{""x"":1496,""y"":775,""dx"":45,""dy"":-46,""t"":13434},{""x"":1507,""y"":776,""dx"":56,""dy"":-45,""t"":13467},{""x"":1483,""y"":780,""dx"":32,""dy"":-41,""t"":13502},{""x"":1474,""y"":779,""dx"":23,""dy"":-42,""t"":13536},{""x"":1464,""y"":770,""dx"":13,""dy"":-51,""t"":13569},{""x"":1458,""y"":758,""dx"":7,""dy"":-63,""t"":13603},{""x"":1476,""y"":748,""dx"":25,""dy"":-73,""t"":13638},{""x"":1465,""y"":742,""dx"":14,""dy"":-79,""t"":13672},{""x"":1471,""y"":745,""dx"":20,""dy"":-76,""t"":13705},{""x"":1468,""y"":736,""dx"":17,""dy"":-85,""t"":13740},{""x"":1465,""y"":761,""dx"":14,""dy"":-60,""t"":13774},{""x"":1468,""y"":768,""dx"":17,""dy"":-53,""t"":13808},{""x"":1402,""y"":789,""dx"":-49,""dy"":-32,""t"":13842},{""x"":1407,""y"":779,""dx"":-44,""dy"":-42,""t"":13876},{""x"":1425,""y"":780,""dx"":-26,""dy"":-41,""t"":13911},{""x"":1433,""y"":784,""dx"":-18,""dy"":-37,""t"":13943},{""x"":1436,""y"":770,""dx"":-15,""dy"":-51,""t"":13977},{""x"":1440,""y"":757,""dx"":-11,""dy"":-64,""t"":14009},{""x"":1459,""y"":735,""dx"":8,""dy"":-86,""t"":14045},{""x"":1451,""y"":727,""dx"":0,""dy"":-94,""t"":14080},{""x"":1449,""y"":714,""dx"":-2,""dy"":-107,""t"":14113},{""x"":1451,""y"":719,""dx"":0,""dy"":-102,""t"":14148},{""x"":1437,""y"":752,""dx"":-14,""dy"":-69,""t"":14181},{""x"":1440,""y"":732,""dx"":-11,""dy"":-89,""t"":14216},{""x"":1439,""y"":709,""dx"":-12,""dy"":-112,""t"":14249},{""x"":1420,""y"":717,""dx"":-31,""dy"":-104,""t"":14284},{""x"":1373,""y"":738,""dx"":-78,""dy"":-83,""t"":14318},{""x"":1351,""y"":752,""dx"":-100,""dy"":-69,""t"":14352},{""x"":1346,""y"":711,""dx"":-105,""dy"":-110,""t"":14386},{""x"":1372,""y"":701,""dx"":-79,""dy"":-120,""t"":14420},{""x"":1395,""y"":711,""dx"":-56,""dy"":-110,""t"":14454},{""x"":1410,""y"":690,""dx"":-41,""dy"":-131,""t"":14487},{""x"":1395,""y"":703,""dx"":-56,""dy"":-118,""t"":14522},{""x"":1392,""y"":677,""dx"":-59,""dy"":-144,""t"":14556},{""x"":1381,""y"":691,""dx"":-70,""dy"":-130,""t"":14590},{""x"":1407,""y"":711,""dx"":-44,""dy"":-110,""t"":14623},{""x"":1411,""y"":744,""dx"":-40,""dy"":-77,""t"":14658},{""x"":1429,""y"":731,""dx"":-22,""dy"":-90,""t"":14692},{""x"":1420,""y"":745,""dx"":-31,""dy"":-76,""t"":14726},{""x"":1426,""y"":776,""dx"":-25,""dy"":-45,""t"":14760},{""x"":1425,""y"":791,""dx"":-26,""dy"":-30,""t"":14795},{""x"":1427,""y"":821,""dx"":-24,""dy"":0,""t"":14827},{""x"":1443,""y"":792,""dx"":-8,""dy"":-29,""t"":14890},{""x"":1457,""y"":766,""dx"":6,""dy"":-55,""t"":14901},{""x"":1433,""y"":773,""dx"":-18,""dy"":-48,""t"":14930},{""x"":1430,""y"":793,""dx"":-21,""dy"":-28,""t"":14963},{""x"":1420,""y"":797,""dx"":-31,""dy"":-24,""t"":14998}]]","[6.779661016949152,1.6666666666666667,33.89830508474576,98.30508474576271,96.61016949152543]","[{""x"":-93.32203389830508,""y"":292.40677966101697,""r"":41.74273129782285},{""x"":78.2,""y"":305.6166666666667,""r"":152.99371500929524},{""x"":-34.33898305084746,""y"":230.35593220338984,""r"":72.70852586069525},{""x"":-52.05084745762712,""y"":59.88135593220339,""r"":54.26878852196244},{""x"":7.762711864406779,""y"":-78.0677966101695,""r"":51.537479075884875}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
"","html-button-response","9","46725","0.0-4.0-4.0-0.0-0.0","","","","","663","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
