"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4151","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4158","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9934","0.0-2.0-0.0","","","","","5774","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","16454","0.0-2.0-1.0","","","","","6518","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","26469","0.0-3.0","","","","","","","","2132","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","27415","0.0-4.0-0.0","","","","","944","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","44024","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","68074","0.0-4.0-2.0","","","","","24038","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","86129","0.0-4.0-3.0","","","","","","","","","","[[{""x"":630,""y"":139,""dx"":139,""dy"":-142,""t"":990},{""x"":606,""y"":148,""dx"":115,""dy"":-133,""t"":1025},{""x"":602,""y"":102,""dx"":111,""dy"":-179,""t"":1058},{""x"":605,""y"":131,""dx"":114,""dy"":-150,""t"":1091},{""x"":595,""y"":91,""dx"":104,""dy"":-190,""t"":1126},{""x"":585,""y"":55,""dx"":94,""dy"":-226,""t"":1160},{""x"":596,""y"":42,""dx"":105,""dy"":-239,""t"":1194},{""x"":596,""y"":21,""dx"":105,""dy"":-260,""t"":1228},{""x"":577,""y"":-14,""dx"":86,""dy"":-295,""t"":1261},{""x"":570,""y"":12,""dx"":79,""dy"":-269,""t"":1296},{""x"":563,""y"":-17,""dx"":72,""dy"":-298,""t"":1330},{""x"":553,""y"":34,""dx"":62,""dy"":-247,""t"":1364},{""x"":558,""y"":95,""dx"":67,""dy"":-186,""t"":1398},{""x"":579,""y"":199,""dx"":88,""dy"":-82,""t"":1432},{""x"":598,""y"":218,""dx"":107,""dy"":-63,""t"":1466},{""x"":604,""y"":234,""dx"":113,""dy"":-47,""t"":1501},{""x"":599,""y"":241,""dx"":108,""dy"":-40,""t"":1534},{""x"":598,""y"":243,""dx"":107,""dy"":-38,""t"":1569},{""x"":632,""y"":243,""dx"":141,""dy"":-38,""t"":1602},{""x"":649,""y"":232,""dx"":158,""dy"":-49,""t"":1636},{""x"":665,""y"":209,""dx"":174,""dy"":-72,""t"":1670},{""x"":647,""y"":187,""dx"":156,""dy"":-94,""t"":1704},{""x"":626,""y"":163,""dx"":135,""dy"":-118,""t"":1738},{""x"":626,""y"":139,""dx"":135,""dy"":-142,""t"":1772},{""x"":609,""y"":114,""dx"":118,""dy"":-167,""t"":1806},{""x"":610,""y"":106,""dx"":119,""dy"":-175,""t"":1839},{""x"":628,""y"":98,""dx"":137,""dy"":-183,""t"":1875},{""x"":643,""y"":93,""dx"":152,""dy"":-188,""t"":1906},{""x"":643,""y"":79,""dx"":152,""dy"":-202,""t"":1942},{""x"":646,""y"":79,""dx"":155,""dy"":-202,""t"":1976},{""x"":636,""y"":78,""dx"":145,""dy"":-203,""t"":2010},{""x"":656,""y"":91,""dx"":165,""dy"":-190,""t"":2044},{""x"":659,""y"":84,""dx"":168,""dy"":-197,""t"":2078},{""x"":643,""y"":71,""dx"":152,""dy"":-210,""t"":2112},{""x"":622,""y"":56,""dx"":131,""dy"":-225,""t"":2147},{""x"":632,""y"":64,""dx"":141,""dy"":-217,""t"":2180},{""x"":616,""y"":57,""dx"":125,""dy"":-224,""t"":2213},{""x"":622,""y"":68,""dx"":131,""dy"":-213,""t"":2247},{""x"":640,""y"":87,""dx"":149,""dy"":-194,""t"":2279},{""x"":672,""y"":122,""dx"":181,""dy"":-159,""t"":2316},{""x"":679,""y"":134,""dx"":188,""dy"":-147,""t"":2350},{""x"":673,""y"":144,""dx"":182,""dy"":-137,""t"":2383},{""x"":686,""y"":153,""dx"":195,""dy"":-128,""t"":2418},{""x"":673,""y"":161,""dx"":182,""dy"":-120,""t"":2452},{""x"":660,""y"":147,""dx"":169,""dy"":-134,""t"":2486},{""x"":655,""y"":158,""dx"":164,""dy"":-123,""t"":2519},{""x"":651,""y"":160,""dx"":160,""dy"":-121,""t"":2554},{""x"":654,""y"":165,""dx"":163,""dy"":-116,""t"":2588},{""x"":660,""y"":174,""dx"":169,""dy"":-107,""t"":2622},{""x"":666,""y"":180,""dx"":175,""dy"":-101,""t"":2657},{""x"":681,""y"":176,""dx"":190,""dy"":-105,""t"":2690},{""x"":689,""y"":195,""dx"":198,""dy"":-86,""t"":2723},{""x"":702,""y"":198,""dx"":211,""dy"":-83,""t"":2758},{""x"":716,""y"":210,""dx"":225,""dy"":-71,""t"":2792},{""x"":711,""y"":212,""dx"":220,""dy"":-69,""t"":2826},{""x"":719,""y"":226,""dx"":228,""dy"":-55,""t"":2860},{""x"":711,""y"":225,""dx"":220,""dy"":-56,""t"":2894},{""x"":680,""y"":226,""dx"":189,""dy"":-55,""t"":2928},{""x"":668,""y"":232,""dx"":177,""dy"":-49,""t"":2961},{""x"":665,""y"":221,""dx"":174,""dy"":-60,""t"":2997}],[{""x"":1120,""y"":221,""dx"":-331,""dy"":-60,""t"":4015},{""x"":1119,""y"":190,""dx"":-332,""dy"":-91,""t"":4050},{""x"":1133,""y"":166,""dx"":-318,""dy"":-115,""t"":4084},{""x"":1148,""y"":161,""dx"":-303,""dy"":-120,""t"":4117},{""x"":1136,""y"":168,""dx"":-315,""dy"":-113,""t"":4151},{""x"":1141,""y"":166,""dx"":-310,""dy"":-115,""t"":4186},{""x"":1153,""y"":166,""dx"":-298,""dy"":-115,""t"":4220},{""x"":1157,""y"":166,""dx"":-294,""dy"":-115,""t"":4254},{""x"":1138,""y"":165,""dx"":-313,""dy"":-116,""t"":4287},{""x"":1141,""y"":176,""dx"":-310,""dy"":-105,""t"":4322},{""x"":1138,""y"":185,""dx"":-313,""dy"":-96,""t"":4356},{""x"":1128,""y"":185,""dx"":-323,""dy"":-96,""t"":4390},{""x"":1126,""y"":185,""dx"":-325,""dy"":-96,""t"":4425},{""x"":1117,""y"":192,""dx"":-334,""dy"":-89,""t"":4459},{""x"":1096,""y"":201,""dx"":-355,""dy"":-80,""t"":4492},{""x"":1084,""y"":175,""dx"":-367,""dy"":-106,""t"":4526},{""x"":1089,""y"":191,""dx"":-362,""dy"":-90,""t"":4561},{""x"":1087,""y"":202,""dx"":-364,""dy"":-79,""t"":4595},{""x"":1077,""y"":194,""dx"":-374,""dy"":-87,""t"":4628},{""x"":1070,""y"":192,""dx"":-381,""dy"":-89,""t"":4662},{""x"":1099,""y"":166,""dx"":-352,""dy"":-115,""t"":4695},{""x"":1065,""y"":185,""dx"":-386,""dy"":-96,""t"":4731},{""x"":1057,""y"":243,""dx"":-394,""dy"":-38,""t"":4764},{""x"":1056,""y"":291,""dx"":-395,""dy"":10,""t"":4797},{""x"":1044,""y"":308,""dx"":-407,""dy"":27,""t"":4831},{""x"":1010,""y"":281,""dx"":-441,""dy"":0,""t"":4866},{""x"":987,""y"":262,""dx"":-464,""dy"":-19,""t"":4900},{""x"":1019,""y"":255,""dx"":-432,""dy"":-26,""t"":4934},{""x"":1033,""y"":212,""dx"":-418,""dy"":-69,""t"":4967},{""x"":1052,""y"":189,""dx"":-399,""dy"":-92,""t"":5002},{""x"":1028,""y"":156,""dx"":-423,""dy"":-125,""t"":5036},{""x"":1032,""y"":147,""dx"":-419,""dy"":-134,""t"":5070},{""x"":1051,""y"":137,""dx"":-400,""dy"":-144,""t"":5104},{""x"":1041,""y"":117,""dx"":-410,""dy"":-164,""t"":5138},{""x"":1040,""y"":122,""dx"":-411,""dy"":-159,""t"":5172},{""x"":1025,""y"":118,""dx"":-426,""dy"":-163,""t"":5206},{""x"":1006,""y"":98,""dx"":-445,""dy"":-183,""t"":5240},{""x"":997,""y"":94,""dx"":-454,""dy"":-187,""t"":5274},{""x"":1005,""y"":92,""dx"":-446,""dy"":-189,""t"":5308},{""x"":1003,""y"":106,""dx"":-448,""dy"":-175,""t"":5342},{""x"":1006,""y"":133,""dx"":-445,""dy"":-148,""t"":5375},{""x"":1053,""y"":125,""dx"":-398,""dy"":-156,""t"":5410},{""x"":1080,""y"":137,""dx"":-371,""dy"":-144,""t"":5441},{""x"":1101,""y"":151,""dx"":-350,""dy"":-130,""t"":5478},{""x"":1114,""y"":155,""dx"":-337,""dy"":-126,""t"":5512},{""x"":1086,""y"":174,""dx"":-365,""dy"":-107,""t"":5546},{""x"":1080,""y"":164,""dx"":-371,""dy"":-117,""t"":5580},{""x"":1074,""y"":164,""dx"":-377,""dy"":-117,""t"":5614},{""x"":1105,""y"":155,""dx"":-346,""dy"":-126,""t"":5648},{""x"":1138,""y"":149,""dx"":-313,""dy"":-132,""t"":5682},{""x"":1144,""y"":188,""dx"":-307,""dy"":-93,""t"":5717},{""x"":1153,""y"":169,""dx"":-298,""dy"":-112,""t"":5750},{""x"":1097,""y"":164,""dx"":-354,""dy"":-117,""t"":5785},{""x"":1061,""y"":157,""dx"":-390,""dy"":-124,""t"":5818},{""x"":1055,""y"":162,""dx"":-396,""dy"":-119,""t"":5849},{""x"":1067,""y"":154,""dx"":-384,""dy"":-127,""t"":5886},{""x"":1069,""y"":168,""dx"":-382,""dy"":-113,""t"":5919},{""x"":1092,""y"":188,""dx"":-359,""dy"":-93,""t"":5955},{""x"":1083,""y"":197,""dx"":-368,""dy"":-84,""t"":5988}],[{""x"":924,""y"":283,""dx"":-47,""dy"":-268,""t"":7040},{""x"":917,""y"":290,""dx"":-54,""dy"":-261,""t"":7076},{""x"":902,""y"":263,""dx"":-69,""dy"":-288,""t"":7110},{""x"":901,""y"":278,""dx"":-70,""dy"":-273,""t"":7144},{""x"":874,""y"":287,""dx"":-97,""dy"":-264,""t"":7178},{""x"":911,""y"":315,""dx"":-60,""dy"":-236,""t"":7213},{""x"":898,""y"":314,""dx"":-73,""dy"":-237,""t"":7246},{""x"":885,""y"":417,""dx"":-86,""dy"":-134,""t"":7280},{""x"":871,""y"":441,""dx"":-100,""dy"":-110,""t"":7314},{""x"":864,""y"":489,""dx"":-107,""dy"":-62,""t"":7348},{""x"":836,""y"":422,""dx"":-135,""dy"":-129,""t"":7382},{""x"":839,""y"":438,""dx"":-132,""dy"":-113,""t"":7416},{""x"":834,""y"":458,""dx"":-137,""dy"":-93,""t"":7448},{""x"":866,""y"":490,""dx"":-105,""dy"":-61,""t"":7483},{""x"":905,""y"":528,""dx"":-66,""dy"":-23,""t"":7518},{""x"":946,""y"":552,""dx"":-25,""dy"":1,""t"":7551},{""x"":943,""y"":555,""dx"":-28,""dy"":4,""t"":7587},{""x"":937,""y"":521,""dx"":-34,""dy"":-30,""t"":7620},{""x"":930,""y"":503,""dx"":-41,""dy"":-48,""t"":7654},{""x"":902,""y"":458,""dx"":-69,""dy"":-93,""t"":7687},{""x"":913,""y"":445,""dx"":-58,""dy"":-106,""t"":7722},{""x"":901,""y"":421,""dx"":-70,""dy"":-130,""t"":7756},{""x"":915,""y"":422,""dx"":-56,""dy"":-129,""t"":7791},{""x"":939,""y"":428,""dx"":-32,""dy"":-123,""t"":7823},{""x"":937,""y"":408,""dx"":-34,""dy"":-143,""t"":7858},{""x"":939,""y"":391,""dx"":-32,""dy"":-160,""t"":7891},{""x"":909,""y"":377,""dx"":-62,""dy"":-174,""t"":7926},{""x"":951,""y"":392,""dx"":-20,""dy"":-159,""t"":7960},{""x"":999,""y"":400,""dx"":28,""dy"":-151,""t"":7994},{""x"":949,""y"":390,""dx"":-22,""dy"":-161,""t"":8027},{""x"":929,""y"":387,""dx"":-42,""dy"":-164,""t"":8062},{""x"":907,""y"":382,""dx"":-64,""dy"":-169,""t"":8096},{""x"":877,""y"":389,""dx"":-94,""dy"":-162,""t"":8129},{""x"":846,""y"":395,""dx"":-125,""dy"":-156,""t"":8164},{""x"":874,""y"":398,""dx"":-97,""dy"":-153,""t"":8198},{""x"":902,""y"":377,""dx"":-69,""dy"":-174,""t"":8231},{""x"":885,""y"":372,""dx"":-86,""dy"":-179,""t"":8265},{""x"":939,""y"":413,""dx"":-32,""dy"":-138,""t"":8300},{""x"":910,""y"":421,""dx"":-61,""dy"":-130,""t"":8334},{""x"":922,""y"":422,""dx"":-49,""dy"":-129,""t"":8368},{""x"":928,""y"":444,""dx"":-43,""dy"":-107,""t"":8402},{""x"":910,""y"":443,""dx"":-61,""dy"":-108,""t"":8436},{""x"":868,""y"":383,""dx"":-103,""dy"":-168,""t"":8470},{""x"":846,""y"":335,""dx"":-125,""dy"":-216,""t"":8504},{""x"":808,""y"":270,""dx"":-163,""dy"":-281,""t"":8538},{""x"":788,""y"":245,""dx"":-183,""dy"":-306,""t"":8573},{""x"":771,""y"":229,""dx"":-200,""dy"":-322,""t"":8606},{""x"":775,""y"":264,""dx"":-196,""dy"":-287,""t"":8640},{""x"":760,""y"":230,""dx"":-211,""dy"":-321,""t"":8673},{""x"":767,""y"":210,""dx"":-204,""dy"":-341,""t"":8708},{""x"":760,""y"":192,""dx"":-211,""dy"":-359,""t"":8742},{""x"":781,""y"":252,""dx"":-190,""dy"":-299,""t"":8776},{""x"":753,""y"":216,""dx"":-218,""dy"":-335,""t"":8810},{""x"":749,""y"":188,""dx"":-222,""dy"":-363,""t"":8844},{""x"":726,""y"":172,""dx"":-245,""dy"":-379,""t"":8878},{""x"":750,""y"":159,""dx"":-221,""dy"":-392,""t"":8911},{""x"":757,""y"":165,""dx"":-214,""dy"":-386,""t"":8946},{""x"":761,""y"":169,""dx"":-210,""dy"":-382,""t"":8980},{""x"":765,""y"":173,""dx"":-206,""dy"":-378,""t"":9012}],[{""x"":520,""y"":479,""dx"":29,""dy"":-342,""t"":10034},{""x"":522,""y"":523,""dx"":31,""dy"":-298,""t"":10067},{""x"":513,""y"":496,""dx"":22,""dy"":-325,""t"":10102},{""x"":528,""y"":543,""dx"":37,""dy"":-278,""t"":10136},{""x"":567,""y"":531,""dx"":76,""dy"":-290,""t"":10169},{""x"":571,""y"":527,""dx"":80,""dy"":-294,""t"":10204},{""x"":571,""y"":523,""dx"":80,""dy"":-298,""t"":10238},{""x"":585,""y"":533,""dx"":94,""dy"":-288,""t"":10272},{""x"":550,""y"":553,""dx"":59,""dy"":-268,""t"":10306},{""x"":531,""y"":562,""dx"":40,""dy"":-259,""t"":10340},{""x"":537,""y"":535,""dx"":46,""dy"":-286,""t"":10374},{""x"":511,""y"":507,""dx"":20,""dy"":-314,""t"":10408},{""x"":530,""y"":537,""dx"":39,""dy"":-284,""t"":10442},{""x"":525,""y"":498,""dx"":34,""dy"":-323,""t"":10477},{""x"":532,""y"":485,""dx"":41,""dy"":-336,""t"":10510},{""x"":531,""y"":497,""dx"":40,""dy"":-324,""t"":10543},{""x"":518,""y"":517,""dx"":27,""dy"":-304,""t"":10577},{""x"":507,""y"":534,""dx"":16,""dy"":-287,""t"":10610},{""x"":520,""y"":531,""dx"":29,""dy"":-290,""t"":10645},{""x"":513,""y"":528,""dx"":22,""dy"":-293,""t"":10680},{""x"":506,""y"":543,""dx"":15,""dy"":-278,""t"":10714},{""x"":489,""y"":551,""dx"":-2,""dy"":-270,""t"":10748},{""x"":492,""y"":564,""dx"":1,""dy"":-257,""t"":10781},{""x"":465,""y"":499,""dx"":-26,""dy"":-322,""t"":10816},{""x"":491,""y"":542,""dx"":0,""dy"":-279,""t"":10851},{""x"":498,""y"":534,""dx"":7,""dy"":-287,""t"":10883},{""x"":506,""y"":573,""dx"":15,""dy"":-248,""t"":10917},{""x"":505,""y"":548,""dx"":14,""dy"":-273,""t"":10952},{""x"":515,""y"":504,""dx"":24,""dy"":-317,""t"":10986},{""x"":551,""y"":541,""dx"":60,""dy"":-280,""t"":11017},{""x"":572,""y"":525,""dx"":81,""dy"":-296,""t"":11054},{""x"":563,""y"":511,""dx"":72,""dy"":-310,""t"":11087},{""x"":562,""y"":550,""dx"":71,""dy"":-271,""t"":11122},{""x"":561,""y"":581,""dx"":70,""dy"":-240,""t"":11156},{""x"":546,""y"":562,""dx"":55,""dy"":-259,""t"":11190},{""x"":525,""y"":543,""dx"":34,""dy"":-278,""t"":11224},{""x"":529,""y"":528,""dx"":38,""dy"":-293,""t"":11257},{""x"":549,""y"":558,""dx"":58,""dy"":-263,""t"":11292},{""x"":548,""y"":582,""dx"":57,""dy"":-239,""t"":11326},{""x"":539,""y"":556,""dx"":48,""dy"":-265,""t"":11361},{""x"":565,""y"":593,""dx"":74,""dy"":-228,""t"":11394},{""x"":539,""y"":558,""dx"":48,""dy"":-263,""t"":11428},{""x"":522,""y"":506,""dx"":31,""dy"":-315,""t"":11462},{""x"":490,""y"":556,""dx"":-1,""dy"":-265,""t"":11496},{""x"":501,""y"":515,""dx"":10,""dy"":-306,""t"":11530},{""x"":555,""y"":581,""dx"":64,""dy"":-240,""t"":11564},{""x"":557,""y"":563,""dx"":66,""dy"":-258,""t"":11598},{""x"":577,""y"":560,""dx"":86,""dy"":-261,""t"":11632},{""x"":596,""y"":557,""dx"":105,""dy"":-264,""t"":11666},{""x"":579,""y"":560,""dx"":88,""dy"":-261,""t"":11700},{""x"":564,""y"":524,""dx"":73,""dy"":-297,""t"":11734},{""x"":590,""y"":529,""dx"":99,""dy"":-292,""t"":11768},{""x"":575,""y"":497,""dx"":84,""dy"":-324,""t"":11802},{""x"":552,""y"":475,""dx"":61,""dy"":-346,""t"":11836},{""x"":569,""y"":506,""dx"":78,""dy"":-315,""t"":11870},{""x"":541,""y"":519,""dx"":50,""dy"":-302,""t"":11904},{""x"":549,""y"":529,""dx"":58,""dy"":-292,""t"":11938},{""x"":676,""y"":574,""dx"":185,""dy"":-247,""t"":11971},{""x"":840,""y"":609,""dx"":349,""dy"":-212,""t"":12006}],[{""x"":1119,""y"":598,""dx"":-332,""dy"":-223,""t"":13059},{""x"":1157,""y"":614,""dx"":-294,""dy"":-207,""t"":13095},{""x"":1141,""y"":602,""dx"":-310,""dy"":-219,""t"":13128},{""x"":1119,""y"":584,""dx"":-332,""dy"":-237,""t"":13162},{""x"":1111,""y"":580,""dx"":-340,""dy"":-241,""t"":13197},{""x"":1125,""y"":584,""dx"":-326,""dy"":-237,""t"":13230},{""x"":1147,""y"":588,""dx"":-304,""dy"":-233,""t"":13264},{""x"":1133,""y"":590,""dx"":-318,""dy"":-231,""t"":13298},{""x"":1113,""y"":590,""dx"":-338,""dy"":-231,""t"":13332},{""x"":1131,""y"":585,""dx"":-320,""dy"":-236,""t"":13366},{""x"":1130,""y"":596,""dx"":-321,""dy"":-225,""t"":13400},{""x"":1150,""y"":614,""dx"":-301,""dy"":-207,""t"":13435},{""x"":1120,""y"":604,""dx"":-331,""dy"":-217,""t"":13469},{""x"":1116,""y"":618,""dx"":-335,""dy"":-203,""t"":13502},{""x"":1094,""y"":602,""dx"":-357,""dy"":-219,""t"":13535},{""x"":1131,""y"":628,""dx"":-320,""dy"":-193,""t"":13570},{""x"":1181,""y"":641,""dx"":-270,""dy"":-180,""t"":13604},{""x"":1190,""y"":632,""dx"":-261,""dy"":-189,""t"":13638},{""x"":1195,""y"":610,""dx"":-256,""dy"":-211,""t"":13672},{""x"":1185,""y"":627,""dx"":-266,""dy"":-194,""t"":13706},{""x"":1158,""y"":620,""dx"":-293,""dy"":-201,""t"":13740},{""x"":1178,""y"":646,""dx"":-273,""dy"":-175,""t"":13773},{""x"":1168,""y"":650,""dx"":-283,""dy"":-171,""t"":13808},{""x"":1185,""y"":653,""dx"":-266,""dy"":-168,""t"":13842},{""x"":1202,""y"":662,""dx"":-249,""dy"":-159,""t"":13876},{""x"":1175,""y"":625,""dx"":-276,""dy"":-196,""t"":13910},{""x"":1144,""y"":617,""dx"":-307,""dy"":-204,""t"":13943},{""x"":1137,""y"":602,""dx"":-314,""dy"":-219,""t"":13978},{""x"":1164,""y"":602,""dx"":-287,""dy"":-219,""t"":14012},{""x"":1172,""y"":610,""dx"":-279,""dy"":-211,""t"":14046},{""x"":1179,""y"":622,""dx"":-272,""dy"":-199,""t"":14079},{""x"":1203,""y"":637,""dx"":-248,""dy"":-184,""t"":14114},{""x"":1197,""y"":639,""dx"":-254,""dy"":-182,""t"":14148},{""x"":1197,""y"":646,""dx"":-254,""dy"":-175,""t"":14179},{""x"":1188,""y"":643,""dx"":-263,""dy"":-178,""t"":14217},{""x"":1188,""y"":655,""dx"":-263,""dy"":-166,""t"":14250},{""x"":1182,""y"":656,""dx"":-269,""dy"":-165,""t"":14285},{""x"":1191,""y"":656,""dx"":-260,""dy"":-165,""t"":14318},{""x"":1202,""y"":676,""dx"":-249,""dy"":-145,""t"":14352},{""x"":1197,""y"":698,""dx"":-254,""dy"":-123,""t"":14387},{""x"":1221,""y"":688,""dx"":-230,""dy"":-133,""t"":14420},{""x"":1181,""y"":676,""dx"":-270,""dy"":-145,""t"":14454},{""x"":1155,""y"":664,""dx"":-296,""dy"":-157,""t"":14487},{""x"":1147,""y"":656,""dx"":-304,""dy"":-165,""t"":14522},{""x"":1147,""y"":669,""dx"":-304,""dy"":-152,""t"":14556},{""x"":1148,""y"":681,""dx"":-303,""dy"":-140,""t"":14587},{""x"":1149,""y"":680,""dx"":-302,""dy"":-141,""t"":14623},{""x"":1172,""y"":674,""dx"":-279,""dy"":-147,""t"":14658},{""x"":1176,""y"":681,""dx"":-275,""dy"":-140,""t"":14692},{""x"":1175,""y"":674,""dx"":-276,""dy"":-147,""t"":14726},{""x"":1172,""y"":674,""dx"":-279,""dy"":-147,""t"":14760},{""x"":1192,""y"":672,""dx"":-259,""dy"":-149,""t"":14794},{""x"":1193,""y"":664,""dx"":-258,""dy"":-157,""t"":14827},{""x"":1196,""y"":660,""dx"":-255,""dy"":-161,""t"":14861},{""x"":1188,""y"":661,""dx"":-263,""dy"":-160,""t"":14896},{""x"":1194,""y"":666,""dx"":-257,""dy"":-155,""t"":14930},{""x"":1222,""y"":666,""dx"":-229,""dy"":-155,""t"":14964},{""x"":1180,""y"":673,""dx"":-271,""dy"":-148,""t"":14998},{""x"":1201,""y"":688,""dx"":-250,""dy"":-133,""t"":15032}]]","[30,0,61.016949152542374,0,0]","[{""x"":146.25,""y"":-144.48333333333332,""r"":94.98762904991601},{""x"":-371.23728813559325,""y"":-106.76271186440678,""r"":54.88148155888509},{""x"":-102.33898305084746,""y"":-193.864406779661,""r"":95.29747043495618},{""x"":53.59322033898305,""y"":-284.64406779661016,""r"":39.16095367862289},{""x"":-284.8305084745763,""y"":-182.54237288135593,""r"":36.85934116764489}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","","",""
"","html-button-response","9","86746","0.0-4.0-4.0-0.0-0.0","","","","","616","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
