"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2224","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2230","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6065","0.0-2.0-0.0","","","","","3832","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7576","0.0-2.0-1.0","","","","","1510","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","15005","0.0-3.0","","","","","","","","2167","","","","","","","","","","","","","","","","",""
"","html-button-response","5","16248","0.0-4.0-0.0","","","","","1241","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","27079","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","27608","0.0-4.0-2.0","","","","","529","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","44816","0.0-4.0-3.0","","","","","","","","","","[[{""x"":573,""y"":301,""dx"":82,""dy"":20,""t"":990},{""x"":558,""y"":287,""dx"":67,""dy"":6,""t"":1024},{""x"":592,""y"":301,""dx"":101,""dy"":20,""t"":1058},{""x"":596,""y"":316,""dx"":105,""dy"":35,""t"":1093},{""x"":605,""y"":321,""dx"":114,""dy"":40,""t"":1126},{""x"":596,""y"":324,""dx"":105,""dy"":43,""t"":1160},{""x"":613,""y"":353,""dx"":122,""dy"":72,""t"":1195},{""x"":620,""y"":439,""dx"":129,""dy"":158,""t"":1228},{""x"":661,""y"":543,""dx"":170,""dy"":262,""t"":1261},{""x"":687,""y"":642,""dx"":196,""dy"":361,""t"":1296},{""x"":667,""y"":626,""dx"":176,""dy"":345,""t"":1329},{""x"":633,""y"":567,""dx"":142,""dy"":286,""t"":1364},{""x"":604,""y"":514,""dx"":113,""dy"":233,""t"":1395},{""x"":554,""y"":469,""dx"":63,""dy"":188,""t"":1432},{""x"":544,""y"":415,""dx"":53,""dy"":134,""t"":1466},{""x"":538,""y"":383,""dx"":47,""dy"":102,""t"":1500},{""x"":522,""y"":348,""dx"":31,""dy"":67,""t"":1534},{""x"":508,""y"":309,""dx"":17,""dy"":28,""t"":1567},{""x"":485,""y"":286,""dx"":-6,""dy"":5,""t"":1602},{""x"":507,""y"":270,""dx"":16,""dy"":-11,""t"":1637},{""x"":496,""y"":224,""dx"":5,""dy"":-57,""t"":1670},{""x"":484,""y"":215,""dx"":-7,""dy"":-66,""t"":1704},{""x"":459,""y"":200,""dx"":-32,""dy"":-81,""t"":1737},{""x"":502,""y"":243,""dx"":11,""dy"":-38,""t"":1772},{""x"":478,""y"":248,""dx"":-13,""dy"":-33,""t"":1805},{""x"":461,""y"":248,""dx"":-30,""dy"":-33,""t"":1839},{""x"":448,""y"":263,""dx"":-43,""dy"":-18,""t"":1874},{""x"":450,""y"":260,""dx"":-41,""dy"":-21,""t"":1909},{""x"":484,""y"":297,""dx"":-7,""dy"":16,""t"":1942},{""x"":484,""y"":281,""dx"":-7,""dy"":0,""t"":1976},{""x"":467,""y"":289,""dx"":-24,""dy"":8,""t"":2010},{""x"":452,""y"":280,""dx"":-39,""dy"":-1,""t"":2043},{""x"":450,""y"":278,""dx"":-41,""dy"":-3,""t"":2078},{""x"":464,""y"":271,""dx"":-27,""dy"":-10,""t"":2112},{""x"":530,""y"":290,""dx"":39,""dy"":9,""t"":2147},{""x"":520,""y"":274,""dx"":29,""dy"":-7,""t"":2180},{""x"":517,""y"":270,""dx"":26,""dy"":-11,""t"":2214},{""x"":569,""y"":299,""dx"":78,""dy"":18,""t"":2247},{""x"":589,""y"":329,""dx"":98,""dy"":48,""t"":2282},{""x"":602,""y"":344,""dx"":111,""dy"":63,""t"":2316},{""x"":596,""y"":355,""dx"":105,""dy"":74,""t"":2350},{""x"":577,""y"":317,""dx"":86,""dy"":36,""t"":2383},{""x"":583,""y"":306,""dx"":92,""dy"":25,""t"":2418},{""x"":560,""y"":305,""dx"":69,""dy"":24,""t"":2451},{""x"":593,""y"":329,""dx"":102,""dy"":48,""t"":2486},{""x"":552,""y"":270,""dx"":61,""dy"":-11,""t"":2519},{""x"":585,""y"":298,""dx"":94,""dy"":17,""t"":2554},{""x"":562,""y"":284,""dx"":71,""dy"":3,""t"":2589},{""x"":556,""y"":302,""dx"":65,""dy"":21,""t"":2621},{""x"":529,""y"":252,""dx"":38,""dy"":-29,""t"":2656},{""x"":531,""y"":279,""dx"":40,""dy"":-2,""t"":2690},{""x"":489,""y"":245,""dx"":-2,""dy"":-36,""t"":2724},{""x"":522,""y"":270,""dx"":31,""dy"":-11,""t"":2758},{""x"":487,""y"":271,""dx"":-4,""dy"":-10,""t"":2791},{""x"":468,""y"":287,""dx"":-23,""dy"":6,""t"":2826},{""x"":450,""y"":256,""dx"":-41,""dy"":-25,""t"":2860},{""x"":441,""y"":258,""dx"":-50,""dy"":-23,""t"":2894},{""x"":447,""y"":272,""dx"":-44,""dy"":-9,""t"":2927},{""x"":475,""y"":324,""dx"":-16,""dy"":43,""t"":2961},{""x"":468,""y"":326,""dx"":-23,""dy"":45,""t"":2994}],[{""x"":1455,""y"":400,""dx"":4,""dy"":119,""t"":4016},{""x"":1453,""y"":393,""dx"":2,""dy"":112,""t"":4050},{""x"":1409,""y"":350,""dx"":-42,""dy"":69,""t"":4120},{""x"":1414,""y"":363,""dx"":-37,""dy"":82,""t"":4152},{""x"":1441,""y"":364,""dx"":-10,""dy"":83,""t"":4186},{""x"":1474,""y"":358,""dx"":23,""dy"":77,""t"":4220},{""x"":1498,""y"":355,""dx"":47,""dy"":74,""t"":4253},{""x"":1522,""y"":366,""dx"":71,""dy"":85,""t"":4287},{""x"":1515,""y"":359,""dx"":64,""dy"":78,""t"":4322},{""x"":1558,""y"":375,""dx"":107,""dy"":94,""t"":4356},{""x"":1538,""y"":367,""dx"":87,""dy"":86,""t"":4390},{""x"":1492,""y"":402,""dx"":41,""dy"":121,""t"":4424},{""x"":1514,""y"":384,""dx"":63,""dy"":103,""t"":4458},{""x"":1541,""y"":387,""dx"":90,""dy"":106,""t"":4491},{""x"":1536,""y"":378,""dx"":85,""dy"":97,""t"":4527},{""x"":1456,""y"":419,""dx"":5,""dy"":138,""t"":4560},{""x"":1434,""y"":496,""dx"":-17,""dy"":215,""t"":4594},{""x"":1429,""y"":537,""dx"":-22,""dy"":256,""t"":4629},{""x"":1419,""y"":514,""dx"":-32,""dy"":233,""t"":4662},{""x"":1421,""y"":501,""dx"":-30,""dy"":220,""t"":4696},{""x"":1352,""y"":427,""dx"":-99,""dy"":146,""t"":4730},{""x"":1406,""y"":412,""dx"":-45,""dy"":131,""t"":4764},{""x"":1369,""y"":349,""dx"":-82,""dy"":68,""t"":4798},{""x"":1377,""y"":342,""dx"":-74,""dy"":61,""t"":4832},{""x"":1404,""y"":337,""dx"":-47,""dy"":56,""t"":4866},{""x"":1372,""y"":330,""dx"":-79,""dy"":49,""t"":4900},{""x"":1365,""y"":312,""dx"":-86,""dy"":31,""t"":4934},{""x"":1381,""y"":310,""dx"":-70,""dy"":29,""t"":4966},{""x"":1417,""y"":325,""dx"":-34,""dy"":44,""t"":5002},{""x"":1455,""y"":325,""dx"":4,""dy"":44,""t"":5036},{""x"":1469,""y"":348,""dx"":18,""dy"":67,""t"":5071},{""x"":1475,""y"":375,""dx"":24,""dy"":94,""t"":5104},{""x"":1460,""y"":360,""dx"":9,""dy"":79,""t"":5137},{""x"":1492,""y"":357,""dx"":41,""dy"":76,""t"":5172},{""x"":1529,""y"":384,""dx"":78,""dy"":103,""t"":5206},{""x"":1516,""y"":391,""dx"":65,""dy"":110,""t"":5240},{""x"":1534,""y"":403,""dx"":83,""dy"":122,""t"":5274},{""x"":1512,""y"":393,""dx"":61,""dy"":112,""t"":5308},{""x"":1504,""y"":386,""dx"":53,""dy"":105,""t"":5342},{""x"":1510,""y"":395,""dx"":59,""dy"":114,""t"":5373},{""x"":1522,""y"":389,""dx"":71,""dy"":108,""t"":5410},{""x"":1523,""y"":385,""dx"":72,""dy"":104,""t"":5445},{""x"":1528,""y"":389,""dx"":77,""dy"":108,""t"":5478},{""x"":1535,""y"":379,""dx"":84,""dy"":98,""t"":5511},{""x"":1542,""y"":401,""dx"":91,""dy"":120,""t"":5546},{""x"":1554,""y"":403,""dx"":103,""dy"":122,""t"":5580},{""x"":1585,""y"":405,""dx"":134,""dy"":124,""t"":5613},{""x"":1518,""y"":360,""dx"":67,""dy"":79,""t"":5648},{""x"":1473,""y"":367,""dx"":22,""dy"":86,""t"":5682},{""x"":1445,""y"":320,""dx"":-6,""dy"":39,""t"":5716},{""x"":1460,""y"":335,""dx"":9,""dy"":54,""t"":5750},{""x"":1443,""y"":318,""dx"":-8,""dy"":37,""t"":5784},{""x"":1455,""y"":362,""dx"":4,""dy"":81,""t"":5818},{""x"":1476,""y"":366,""dx"":25,""dy"":85,""t"":5852},{""x"":1467,""y"":398,""dx"":16,""dy"":117,""t"":5886},{""x"":1480,""y"":412,""dx"":29,""dy"":131,""t"":5921},{""x"":1500,""y"":411,""dx"":49,""dy"":130,""t"":5954},{""x"":1469,""y"":379,""dx"":18,""dy"":98,""t"":5987}],[{""x"":925,""y"":669,""dx"":-46,""dy"":118,""t"":7042},{""x"":917,""y"":605,""dx"":-54,""dy"":54,""t"":7076},{""x"":946,""y"":606,""dx"":-25,""dy"":55,""t"":7110},{""x"":969,""y"":578,""dx"":-2,""dy"":27,""t"":7144},{""x"":971,""y"":544,""dx"":0,""dy"":-7,""t"":7179},{""x"":986,""y"":510,""dx"":15,""dy"":-41,""t"":7212},{""x"":997,""y"":506,""dx"":26,""dy"":-45,""t"":7246},{""x"":987,""y"":476,""dx"":16,""dy"":-75,""t"":7279},{""x"":985,""y"":467,""dx"":14,""dy"":-84,""t"":7314},{""x"":994,""y"":471,""dx"":23,""dy"":-80,""t"":7348},{""x"":1015,""y"":470,""dx"":44,""dy"":-81,""t"":7382},{""x"":1020,""y"":460,""dx"":49,""dy"":-91,""t"":7416},{""x"":1032,""y"":458,""dx"":61,""dy"":-93,""t"":7450},{""x"":1034,""y"":468,""dx"":63,""dy"":-83,""t"":7484},{""x"":1032,""y"":492,""dx"":61,""dy"":-59,""t"":7519},{""x"":1041,""y"":478,""dx"":70,""dy"":-73,""t"":7552},{""x"":1035,""y"":460,""dx"":64,""dy"":-91,""t"":7586},{""x"":1037,""y"":466,""dx"":66,""dy"":-85,""t"":7620},{""x"":1026,""y"":447,""dx"":55,""dy"":-104,""t"":7654},{""x"":1055,""y"":468,""dx"":84,""dy"":-83,""t"":7687},{""x"":1065,""y"":438,""dx"":94,""dy"":-113,""t"":7722},{""x"":1059,""y"":474,""dx"":88,""dy"":-77,""t"":7756},{""x"":1065,""y"":519,""dx"":94,""dy"":-32,""t"":7790},{""x"":1079,""y"":521,""dx"":108,""dy"":-30,""t"":7824},{""x"":1069,""y"":525,""dx"":98,""dy"":-26,""t"":7858},{""x"":1047,""y"":495,""dx"":76,""dy"":-56,""t"":7893},{""x"":1059,""y"":498,""dx"":88,""dy"":-53,""t"":7926},{""x"":1050,""y"":522,""dx"":79,""dy"":-29,""t"":7960},{""x"":1038,""y"":496,""dx"":67,""dy"":-55,""t"":7994},{""x"":1060,""y"":467,""dx"":89,""dy"":-84,""t"":8029},{""x"":1071,""y"":495,""dx"":100,""dy"":-56,""t"":8062},{""x"":1051,""y"":467,""dx"":80,""dy"":-84,""t"":8096},{""x"":1037,""y"":498,""dx"":66,""dy"":-53,""t"":8130},{""x"":1001,""y"":472,""dx"":30,""dy"":-79,""t"":8164},{""x"":990,""y"":529,""dx"":19,""dy"":-22,""t"":8198},{""x"":978,""y"":502,""dx"":7,""dy"":-49,""t"":8231},{""x"":989,""y"":480,""dx"":18,""dy"":-71,""t"":8266},{""x"":981,""y"":444,""dx"":10,""dy"":-107,""t"":8300},{""x"":987,""y"":441,""dx"":16,""dy"":-110,""t"":8334},{""x"":998,""y"":427,""dx"":27,""dy"":-124,""t"":8368},{""x"":985,""y"":476,""dx"":14,""dy"":-75,""t"":8402},{""x"":1022,""y"":453,""dx"":51,""dy"":-98,""t"":8436},{""x"":1024,""y"":443,""dx"":53,""dy"":-108,""t"":8470},{""x"":1019,""y"":440,""dx"":48,""dy"":-111,""t"":8504},{""x"":1027,""y"":443,""dx"":56,""dy"":-108,""t"":8535},{""x"":1037,""y"":450,""dx"":66,""dy"":-101,""t"":8572},{""x"":1045,""y"":445,""dx"":74,""dy"":-106,""t"":8606},{""x"":1038,""y"":434,""dx"":67,""dy"":-117,""t"":8640},{""x"":1036,""y"":442,""dx"":65,""dy"":-109,""t"":8674},{""x"":1024,""y"":435,""dx"":53,""dy"":-116,""t"":8708},{""x"":1023,""y"":452,""dx"":52,""dy"":-99,""t"":8742},{""x"":1009,""y"":470,""dx"":38,""dy"":-81,""t"":8777},{""x"":1009,""y"":477,""dx"":38,""dy"":-74,""t"":8811},{""x"":1011,""y"":498,""dx"":40,""dy"":-53,""t"":8844},{""x"":1019,""y"":500,""dx"":48,""dy"":-51,""t"":8878},{""x"":1010,""y"":523,""dx"":39,""dy"":-28,""t"":8911},{""x"":1018,""y"":540,""dx"":47,""dy"":-11,""t"":8946},{""x"":1044,""y"":561,""dx"":73,""dy"":10,""t"":8980},{""x"":1036,""y"":555,""dx"":65,""dy"":4,""t"":9013}],[{""x"":591,""y"":736,""dx"":100,""dy"":-85,""t"":10033},{""x"":573,""y"":700,""dx"":82,""dy"":-121,""t"":10068},{""x"":549,""y"":721,""dx"":58,""dy"":-100,""t"":10102},{""x"":527,""y"":698,""dx"":36,""dy"":-123,""t"":10134},{""x"":530,""y"":715,""dx"":39,""dy"":-106,""t"":10169},{""x"":553,""y"":704,""dx"":62,""dy"":-117,""t"":10204},{""x"":556,""y"":737,""dx"":65,""dy"":-84,""t"":10237},{""x"":594,""y"":782,""dx"":103,""dy"":-39,""t"":10272},{""x"":583,""y"":787,""dx"":92,""dy"":-34,""t"":10305},{""x"":579,""y"":799,""dx"":88,""dy"":-22,""t"":10340},{""x"":560,""y"":803,""dx"":69,""dy"":-18,""t"":10374},{""x"":549,""y"":763,""dx"":58,""dy"":-58,""t"":10408},{""x"":531,""y"":760,""dx"":40,""dy"":-61,""t"":10442},{""x"":536,""y"":764,""dx"":45,""dy"":-57,""t"":10476},{""x"":524,""y"":760,""dx"":33,""dy"":-61,""t"":10510},{""x"":514,""y"":756,""dx"":23,""dy"":-65,""t"":10542},{""x"":530,""y"":764,""dx"":39,""dy"":-57,""t"":10578},{""x"":546,""y"":764,""dx"":55,""dy"":-57,""t"":10612},{""x"":575,""y"":799,""dx"":84,""dy"":-22,""t"":10646},{""x"":600,""y"":790,""dx"":109,""dy"":-31,""t"":10679},{""x"":586,""y"":761,""dx"":95,""dy"":-60,""t"":10714},{""x"":574,""y"":736,""dx"":83,""dy"":-85,""t"":10748},{""x"":617,""y"":735,""dx"":126,""dy"":-86,""t"":10782},{""x"":616,""y"":741,""dx"":125,""dy"":-80,""t"":10816},{""x"":633,""y"":749,""dx"":142,""dy"":-72,""t"":10850},{""x"":634,""y"":755,""dx"":143,""dy"":-66,""t"":10884},{""x"":619,""y"":747,""dx"":128,""dy"":-74,""t"":10918},{""x"":610,""y"":746,""dx"":119,""dy"":-75,""t"":10952},{""x"":591,""y"":706,""dx"":100,""dy"":-115,""t"":10986},{""x"":574,""y"":710,""dx"":83,""dy"":-111,""t"":11020},{""x"":592,""y"":740,""dx"":101,""dy"":-81,""t"":11054},{""x"":612,""y"":748,""dx"":121,""dy"":-73,""t"":11087},{""x"":599,""y"":771,""dx"":108,""dy"":-50,""t"":11122},{""x"":596,""y"":760,""dx"":105,""dy"":-61,""t"":11156},{""x"":601,""y"":781,""dx"":110,""dy"":-40,""t"":11190},{""x"":607,""y"":763,""dx"":116,""dy"":-58,""t"":11224},{""x"":590,""y"":775,""dx"":99,""dy"":-46,""t"":11258},{""x"":580,""y"":761,""dx"":89,""dy"":-60,""t"":11292},{""x"":544,""y"":760,""dx"":53,""dy"":-61,""t"":11326},{""x"":533,""y"":765,""dx"":42,""dy"":-56,""t"":11359},{""x"":531,""y"":727,""dx"":40,""dy"":-94,""t"":11395},{""x"":544,""y"":749,""dx"":53,""dy"":-72,""t"":11427},{""x"":526,""y"":706,""dx"":35,""dy"":-115,""t"":11462},{""x"":510,""y"":710,""dx"":19,""dy"":-111,""t"":11496},{""x"":519,""y"":691,""dx"":28,""dy"":-130,""t"":11530},{""x"":530,""y"":705,""dx"":39,""dy"":-116,""t"":11564},{""x"":571,""y"":714,""dx"":80,""dy"":-107,""t"":11597},{""x"":559,""y"":685,""dx"":68,""dy"":-136,""t"":11632},{""x"":562,""y"":662,""dx"":71,""dy"":-159,""t"":11666},{""x"":565,""y"":644,""dx"":74,""dy"":-177,""t"":11698},{""x"":559,""y"":670,""dx"":68,""dy"":-151,""t"":11734},{""x"":553,""y"":652,""dx"":62,""dy"":-169,""t"":11768},{""x"":531,""y"":634,""dx"":40,""dy"":-187,""t"":11802},{""x"":524,""y"":659,""dx"":33,""dy"":-162,""t"":11836},{""x"":558,""y"":695,""dx"":67,""dy"":-126,""t"":11870},{""x"":560,""y"":726,""dx"":69,""dy"":-95,""t"":11904},{""x"":545,""y"":737,""dx"":54,""dy"":-84,""t"":11937},{""x"":520,""y"":711,""dx"":29,""dy"":-110,""t"":11972},{""x"":526,""y"":733,""dx"":35,""dy"":-88,""t"":12005}],[{""x"":1327,""y"":762,""dx"":-124,""dy"":-59,""t"":13059},{""x"":1324,""y"":772,""dx"":-127,""dy"":-49,""t"":13094},{""x"":1318,""y"":779,""dx"":-133,""dy"":-42,""t"":13127},{""x"":1325,""y"":783,""dx"":-126,""dy"":-38,""t"":13162},{""x"":1347,""y"":768,""dx"":-104,""dy"":-53,""t"":13196},{""x"":1339,""y"":755,""dx"":-112,""dy"":-66,""t"":13230},{""x"":1337,""y"":748,""dx"":-114,""dy"":-73,""t"":13265},{""x"":1321,""y"":745,""dx"":-130,""dy"":-76,""t"":13298},{""x"":1317,""y"":733,""dx"":-134,""dy"":-88,""t"":13332},{""x"":1334,""y"":738,""dx"":-117,""dy"":-83,""t"":13366},{""x"":1346,""y"":712,""dx"":-105,""dy"":-109,""t"":13401},{""x"":1361,""y"":713,""dx"":-90,""dy"":-108,""t"":13434},{""x"":1350,""y"":703,""dx"":-101,""dy"":-118,""t"":13468},{""x"":1346,""y"":716,""dx"":-105,""dy"":-105,""t"":13546},{""x"":1362,""y"":715,""dx"":-89,""dy"":-106,""t"":13573},{""x"":1356,""y"":698,""dx"":-95,""dy"":-123,""t"":13604},{""x"":1339,""y"":710,""dx"":-112,""dy"":-111,""t"":13637},{""x"":1332,""y"":703,""dx"":-119,""dy"":-118,""t"":13672},{""x"":1301,""y"":691,""dx"":-150,""dy"":-130,""t"":13703},{""x"":1313,""y"":703,""dx"":-138,""dy"":-118,""t"":13740},{""x"":1303,""y"":700,""dx"":-148,""dy"":-121,""t"":13774},{""x"":1311,""y"":707,""dx"":-140,""dy"":-114,""t"":13808},{""x"":1326,""y"":725,""dx"":-125,""dy"":-96,""t"":13842},{""x"":1329,""y"":700,""dx"":-122,""dy"":-121,""t"":13876},{""x"":1346,""y"":701,""dx"":-105,""dy"":-120,""t"":13910},{""x"":1340,""y"":691,""dx"":-111,""dy"":-130,""t"":13943},{""x"":1326,""y"":700,""dx"":-125,""dy"":-121,""t"":13978},{""x"":1300,""y"":705,""dx"":-151,""dy"":-116,""t"":14011},{""x"":1319,""y"":691,""dx"":-132,""dy"":-130,""t"":14046},{""x"":1332,""y"":696,""dx"":-119,""dy"":-125,""t"":14080},{""x"":1338,""y"":705,""dx"":-113,""dy"":-116,""t"":14113},{""x"":1361,""y"":698,""dx"":-90,""dy"":-123,""t"":14148},{""x"":1365,""y"":709,""dx"":-86,""dy"":-112,""t"":14182},{""x"":1374,""y"":716,""dx"":-77,""dy"":-105,""t"":14217},{""x"":1366,""y"":717,""dx"":-85,""dy"":-104,""t"":14250},{""x"":1375,""y"":718,""dx"":-76,""dy"":-103,""t"":14284},{""x"":1367,""y"":693,""dx"":-84,""dy"":-128,""t"":14318},{""x"":1367,""y"":682,""dx"":-84,""dy"":-139,""t"":14353},{""x"":1325,""y"":686,""dx"":-126,""dy"":-135,""t"":14386},{""x"":1321,""y"":683,""dx"":-130,""dy"":-138,""t"":14420},{""x"":1346,""y"":696,""dx"":-105,""dy"":-125,""t"":14454},{""x"":1345,""y"":722,""dx"":-106,""dy"":-99,""t"":14488},{""x"":1350,""y"":707,""dx"":-101,""dy"":-114,""t"":14522},{""x"":1340,""y"":733,""dx"":-111,""dy"":-88,""t"":14557},{""x"":1337,""y"":728,""dx"":-114,""dy"":-93,""t"":14590},{""x"":1311,""y"":754,""dx"":-140,""dy"":-67,""t"":14623},{""x"":1309,""y"":754,""dx"":-142,""dy"":-67,""t"":14658},{""x"":1329,""y"":763,""dx"":-122,""dy"":-58,""t"":14691},{""x"":1331,""y"":775,""dx"":-120,""dy"":-46,""t"":14726},{""x"":1323,""y"":790,""dx"":-128,""dy"":-31,""t"":14760},{""x"":1354,""y"":784,""dx"":-97,""dy"":-37,""t"":14794},{""x"":1380,""y"":780,""dx"":-71,""dy"":-41,""t"":14828},{""x"":1379,""y"":770,""dx"":-72,""dy"":-51,""t"":14862},{""x"":1407,""y"":791,""dx"":-44,""dy"":-30,""t"":14896},{""x"":1394,""y"":775,""dx"":-57,""dy"":-46,""t"":14929},{""x"":1362,""y"":740,""dx"":-89,""dy"":-81,""t"":14964},{""x"":1356,""y"":758,""dx"":-95,""dy"":-63,""t"":14998},{""x"":1366,""y"":746,""dx"":-85,""dy"":-75,""t"":15032}]]","[90,93.10344827586206,100,100,100]","[{""x"":43,""y"":39.38333333333333,""r"":102.45708318371823},{""x"":21.29310344827586,""y"":100.17241379310344,""r"":80.09800651192768},{""x"":47.88135593220339,""y"":-62.08474576271186,""r"":42.515451675131914},{""x"":73.42372881355932,""y"":-86.72881355932203,""r"":47.703699214018215},{""x"":-109.53448275862068,""y"":-92.79310344827586,""r"":50.94359312987321}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.22","validate","","","","","","","","","",""
"","html-keyboard-response","9","45264","0.0-5.0-0.0","","","","","447"," ","","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","",""
