"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2860","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2864","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5595","0.0-2.0-0.0","","","","","2730","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7363","0.0-2.0-1.0","","","","","1767","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","17466","0.0-3.0","","","","","","","","9","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","19451","0.0-4.0-0.0","","","","","1983","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","30676","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","31594","0.0-4.0-2.0","","","","","917","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","49098","0.0-4.0-3.0","","","","","","","","","","[[{""x"":539,""y"":249,""dx"":48,""dy"":-32,""t"":989},{""x"":569,""y"":268,""dx"":78,""dy"":-13,""t"":1024},{""x"":548,""y"":277,""dx"":57,""dy"":-4,""t"":1058},{""x"":512,""y"":283,""dx"":21,""dy"":2,""t"":1091},{""x"":508,""y"":283,""dx"":17,""dy"":2,""t"":1125},{""x"":507,""y"":270,""dx"":16,""dy"":-11,""t"":1160},{""x"":474,""y"":267,""dx"":-17,""dy"":-14,""t"":1194},{""x"":453,""y"":259,""dx"":-38,""dy"":-22,""t"":1228},{""x"":403,""y"":251,""dx"":-88,""dy"":-30,""t"":1262},{""x"":391,""y"":251,""dx"":-100,""dy"":-30,""t"":1297},{""x"":372,""y"":210,""dx"":-119,""dy"":-71,""t"":1330},{""x"":366,""y"":179,""dx"":-125,""dy"":-102,""t"":1364},{""x"":373,""y"":171,""dx"":-118,""dy"":-110,""t"":1398},{""x"":428,""y"":206,""dx"":-63,""dy"":-75,""t"":1432},{""x"":425,""y"":241,""dx"":-66,""dy"":-40,""t"":1466},{""x"":432,""y"":256,""dx"":-59,""dy"":-25,""t"":1500},{""x"":443,""y"":315,""dx"":-48,""dy"":34,""t"":1534},{""x"":415,""y"":300,""dx"":-76,""dy"":19,""t"":1568},{""x"":431,""y"":331,""dx"":-60,""dy"":50,""t"":1602},{""x"":469,""y"":369,""dx"":-22,""dy"":88,""t"":1636},{""x"":502,""y"":338,""dx"":11,""dy"":57,""t"":1670},{""x"":509,""y"":330,""dx"":18,""dy"":49,""t"":1704},{""x"":519,""y"":349,""dx"":28,""dy"":68,""t"":1739},{""x"":541,""y"":371,""dx"":50,""dy"":90,""t"":1772},{""x"":560,""y"":389,""dx"":69,""dy"":108,""t"":1804},{""x"":558,""y"":360,""dx"":67,""dy"":79,""t"":1840},{""x"":580,""y"":340,""dx"":89,""dy"":59,""t"":1875},{""x"":559,""y"":320,""dx"":68,""dy"":39,""t"":1908},{""x"":530,""y"":291,""dx"":39,""dy"":10,""t"":1941},{""x"":539,""y"":280,""dx"":48,""dy"":-1,""t"":1976},{""x"":505,""y"":255,""dx"":14,""dy"":-26,""t"":2010},{""x"":510,""y"":261,""dx"":19,""dy"":-20,""t"":2044},{""x"":511,""y"":258,""dx"":20,""dy"":-23,""t"":2077},{""x"":510,""y"":276,""dx"":19,""dy"":-5,""t"":2111},{""x"":502,""y"":241,""dx"":11,""dy"":-40,""t"":2146},{""x"":495,""y"":237,""dx"":4,""dy"":-44,""t"":2180},{""x"":492,""y"":247,""dx"":1,""dy"":-34,""t"":2212},{""x"":490,""y"":276,""dx"":-1,""dy"":-5,""t"":2248},{""x"":477,""y"":285,""dx"":-14,""dy"":4,""t"":2281},{""x"":477,""y"":286,""dx"":-14,""dy"":5,""t"":2317},{""x"":479,""y"":293,""dx"":-12,""dy"":12,""t"":2349},{""x"":497,""y"":302,""dx"":6,""dy"":21,""t"":2385},{""x"":508,""y"":271,""dx"":17,""dy"":-10,""t"":2418},{""x"":527,""y"":268,""dx"":36,""dy"":-13,""t"":2452},{""x"":530,""y"":244,""dx"":39,""dy"":-37,""t"":2486},{""x"":551,""y"":223,""dx"":60,""dy"":-58,""t"":2520},{""x"":587,""y"":195,""dx"":96,""dy"":-86,""t"":2554},{""x"":558,""y"":188,""dx"":67,""dy"":-93,""t"":2587},{""x"":573,""y"":187,""dx"":82,""dy"":-94,""t"":2621},{""x"":554,""y"":205,""dx"":63,""dy"":-76,""t"":2655},{""x"":495,""y"":192,""dx"":4,""dy"":-89,""t"":2689},{""x"":508,""y"":173,""dx"":17,""dy"":-108,""t"":2724},{""x"":540,""y"":185,""dx"":49,""dy"":-96,""t"":2757},{""x"":493,""y"":181,""dx"":2,""dy"":-100,""t"":2792},{""x"":470,""y"":185,""dx"":-21,""dy"":-96,""t"":2826},{""x"":447,""y"":217,""dx"":-44,""dy"":-64,""t"":2860},{""x"":422,""y"":207,""dx"":-69,""dy"":-74,""t"":2894},{""x"":428,""y"":220,""dx"":-63,""dy"":-61,""t"":2928},{""x"":429,""y"":219,""dx"":-62,""dy"":-62,""t"":2962}],[{""x"":1406,""y"":413,""dx"":-45,""dy"":132,""t"":4015},{""x"":1401,""y"":387,""dx"":-50,""dy"":106,""t"":4051},{""x"":1382,""y"":379,""dx"":-69,""dy"":98,""t"":4084},{""x"":1376,""y"":375,""dx"":-75,""dy"":94,""t"":4118},{""x"":1368,""y"":377,""dx"":-83,""dy"":96,""t"":4152},{""x"":1381,""y"":403,""dx"":-70,""dy"":122,""t"":4187},{""x"":1351,""y"":397,""dx"":-100,""dy"":116,""t"":4219},{""x"":1331,""y"":385,""dx"":-120,""dy"":104,""t"":4253},{""x"":1306,""y"":391,""dx"":-145,""dy"":110,""t"":4288},{""x"":1310,""y"":388,""dx"":-141,""dy"":107,""t"":4322},{""x"":1283,""y"":342,""dx"":-168,""dy"":61,""t"":4355},{""x"":1271,""y"":341,""dx"":-180,""dy"":60,""t"":4389},{""x"":1276,""y"":346,""dx"":-175,""dy"":65,""t"":4424},{""x"":1273,""y"":359,""dx"":-178,""dy"":78,""t"":4458},{""x"":1263,""y"":321,""dx"":-188,""dy"":40,""t"":4491},{""x"":1254,""y"":293,""dx"":-197,""dy"":12,""t"":4526},{""x"":1251,""y"":322,""dx"":-200,""dy"":41,""t"":4560},{""x"":1279,""y"":308,""dx"":-172,""dy"":27,""t"":4595},{""x"":1271,""y"":350,""dx"":-180,""dy"":69,""t"":4628},{""x"":1277,""y"":365,""dx"":-174,""dy"":84,""t"":4661},{""x"":1300,""y"":370,""dx"":-151,""dy"":89,""t"":4696},{""x"":1278,""y"":365,""dx"":-173,""dy"":84,""t"":4731},{""x"":1268,""y"":365,""dx"":-183,""dy"":84,""t"":4764},{""x"":1252,""y"":368,""dx"":-199,""dy"":87,""t"":4797},{""x"":1252,""y"":364,""dx"":-199,""dy"":83,""t"":4831},{""x"":1244,""y"":348,""dx"":-207,""dy"":67,""t"":4865},{""x"":1241,""y"":352,""dx"":-210,""dy"":71,""t"":4900},{""x"":1231,""y"":388,""dx"":-220,""dy"":107,""t"":4934},{""x"":1214,""y"":381,""dx"":-237,""dy"":100,""t"":4969},{""x"":1241,""y"":444,""dx"":-210,""dy"":163,""t"":5002},{""x"":1234,""y"":454,""dx"":-217,""dy"":173,""t"":5036},{""x"":1233,""y"":452,""dx"":-218,""dy"":171,""t"":5070},{""x"":1193,""y"":421,""dx"":-258,""dy"":140,""t"":5104},{""x"":1205,""y"":442,""dx"":-246,""dy"":161,""t"":5138},{""x"":1177,""y"":421,""dx"":-274,""dy"":140,""t"":5172},{""x"":1173,""y"":376,""dx"":-278,""dy"":95,""t"":5205},{""x"":1174,""y"":369,""dx"":-277,""dy"":88,""t"":5239},{""x"":1188,""y"":368,""dx"":-263,""dy"":87,""t"":5274},{""x"":1221,""y"":383,""dx"":-230,""dy"":102,""t"":5308},{""x"":1229,""y"":389,""dx"":-222,""dy"":108,""t"":5342},{""x"":1236,""y"":393,""dx"":-215,""dy"":112,""t"":5373},{""x"":1235,""y"":388,""dx"":-216,""dy"":107,""t"":5409},{""x"":1225,""y"":376,""dx"":-226,""dy"":95,""t"":5443},{""x"":1237,""y"":355,""dx"":-214,""dy"":74,""t"":5477},{""x"":1227,""y"":365,""dx"":-224,""dy"":84,""t"":5511},{""x"":1213,""y"":359,""dx"":-238,""dy"":78,""t"":5546},{""x"":1222,""y"":356,""dx"":-229,""dy"":75,""t"":5579},{""x"":1216,""y"":354,""dx"":-235,""dy"":73,""t"":5614},{""x"":1219,""y"":343,""dx"":-232,""dy"":62,""t"":5647},{""x"":1223,""y"":347,""dx"":-228,""dy"":66,""t"":5682},{""x"":1235,""y"":370,""dx"":-216,""dy"":89,""t"":5715},{""x"":1205,""y"":345,""dx"":-246,""dy"":64,""t"":5751},{""x"":1193,""y"":365,""dx"":-258,""dy"":84,""t"":5785},{""x"":1217,""y"":371,""dx"":-234,""dy"":90,""t"":5818},{""x"":1259,""y"":409,""dx"":-192,""dy"":128,""t"":5851},{""x"":1293,""y"":422,""dx"":-158,""dy"":141,""t"":5887},{""x"":1288,""y"":398,""dx"":-163,""dy"":117,""t"":5920},{""x"":1328,""y"":384,""dx"":-123,""dy"":103,""t"":5954},{""x"":1298,""y"":384,""dx"":-153,""dy"":103,""t"":5988}],[{""x"":709,""y"":601,""dx"":-262,""dy"":50,""t"":7042},{""x"":725,""y"":594,""dx"":-246,""dy"":43,""t"":7077},{""x"":730,""y"":578,""dx"":-241,""dy"":27,""t"":7110},{""x"":731,""y"":548,""dx"":-240,""dy"":-3,""t"":7144},{""x"":750,""y"":552,""dx"":-221,""dy"":1,""t"":7178},{""x"":745,""y"":556,""dx"":-226,""dy"":5,""t"":7213},{""x"":750,""y"":565,""dx"":-221,""dy"":14,""t"":7247},{""x"":762,""y"":523,""dx"":-209,""dy"":-28,""t"":7280},{""x"":771,""y"":544,""dx"":-200,""dy"":-7,""t"":7314},{""x"":778,""y"":562,""dx"":-193,""dy"":11,""t"":7346},{""x"":783,""y"":520,""dx"":-188,""dy"":-31,""t"":7382},{""x"":816,""y"":497,""dx"":-155,""dy"":-54,""t"":7416},{""x"":853,""y"":523,""dx"":-118,""dy"":-28,""t"":7450},{""x"":856,""y"":536,""dx"":-115,""dy"":-15,""t"":7484},{""x"":884,""y"":535,""dx"":-87,""dy"":-16,""t"":7518},{""x"":863,""y"":514,""dx"":-108,""dy"":-37,""t"":7552},{""x"":831,""y"":538,""dx"":-140,""dy"":-13,""t"":7586},{""x"":803,""y"":550,""dx"":-168,""dy"":-1,""t"":7620},{""x"":794,""y"":561,""dx"":-177,""dy"":10,""t"":7654},{""x"":779,""y"":600,""dx"":-192,""dy"":49,""t"":7688},{""x"":770,""y"":604,""dx"":-201,""dy"":53,""t"":7723},{""x"":748,""y"":598,""dx"":-223,""dy"":47,""t"":7790},{""x"":746,""y"":595,""dx"":-225,""dy"":44,""t"":7824},{""x"":735,""y"":562,""dx"":-236,""dy"":11,""t"":7858},{""x"":721,""y"":595,""dx"":-250,""dy"":44,""t"":7892},{""x"":717,""y"":588,""dx"":-254,""dy"":37,""t"":7926},{""x"":709,""y"":557,""dx"":-262,""dy"":6,""t"":7961},{""x"":724,""y"":551,""dx"":-247,""dy"":0,""t"":7994},{""x"":735,""y"":541,""dx"":-236,""dy"":-10,""t"":8028},{""x"":756,""y"":575,""dx"":-215,""dy"":24,""t"":8062},{""x"":732,""y"":549,""dx"":-239,""dy"":-2,""t"":8096},{""x"":734,""y"":549,""dx"":-237,""dy"":-2,""t"":8130},{""x"":722,""y"":582,""dx"":-249,""dy"":31,""t"":8164},{""x"":715,""y"":595,""dx"":-256,""dy"":44,""t"":8198},{""x"":743,""y"":589,""dx"":-228,""dy"":38,""t"":8231},{""x"":784,""y"":590,""dx"":-187,""dy"":39,""t"":8265},{""x"":770,""y"":608,""dx"":-201,""dy"":57,""t"":8299},{""x"":757,""y"":606,""dx"":-214,""dy"":55,""t"":8335},{""x"":749,""y"":622,""dx"":-222,""dy"":71,""t"":8368},{""x"":732,""y"":635,""dx"":-239,""dy"":84,""t"":8402},{""x"":719,""y"":611,""dx"":-252,""dy"":60,""t"":8437},{""x"":714,""y"":562,""dx"":-257,""dy"":11,""t"":8469},{""x"":721,""y"":558,""dx"":-250,""dy"":7,""t"":8505},{""x"":773,""y"":610,""dx"":-198,""dy"":59,""t"":8535},{""x"":762,""y"":608,""dx"":-209,""dy"":57,""t"":8571},{""x"":740,""y"":591,""dx"":-231,""dy"":40,""t"":8605},{""x"":716,""y"":571,""dx"":-255,""dy"":20,""t"":8639},{""x"":719,""y"":554,""dx"":-252,""dy"":3,""t"":8673},{""x"":723,""y"":558,""dx"":-248,""dy"":7,""t"":8708},{""x"":715,""y"":542,""dx"":-256,""dy"":-9,""t"":8741},{""x"":714,""y"":546,""dx"":-257,""dy"":-5,""t"":8776},{""x"":754,""y"":569,""dx"":-217,""dy"":18,""t"":8809},{""x"":795,""y"":604,""dx"":-176,""dy"":53,""t"":8844},{""x"":779,""y"":615,""dx"":-192,""dy"":64,""t"":8878},{""x"":764,""y"":609,""dx"":-207,""dy"":58,""t"":8912},{""x"":751,""y"":604,""dx"":-220,""dy"":53,""t"":8944},{""x"":732,""y"":607,""dx"":-239,""dy"":56,""t"":8980},{""x"":780,""y"":606,""dx"":-191,""dy"":55,""t"":9013}],[{""x"":532,""y"":863,""dx"":41,""dy"":42,""t"":10034},{""x"":531,""y"":872,""dx"":40,""dy"":51,""t"":10068},{""x"":528,""y"":874,""dx"":37,""dy"":53,""t"":10102},{""x"":521,""y"":845,""dx"":30,""dy"":24,""t"":10136},{""x"":527,""y"":837,""dx"":36,""dy"":16,""t"":10170},{""x"":537,""y"":847,""dx"":46,""dy"":26,""t"":10204},{""x"":541,""y"":866,""dx"":50,""dy"":45,""t"":10238},{""x"":548,""y"":868,""dx"":57,""dy"":47,""t"":10272},{""x"":526,""y"":861,""dx"":35,""dy"":40,""t"":10305},{""x"":537,""y"":849,""dx"":46,""dy"":28,""t"":10341},{""x"":517,""y"":830,""dx"":26,""dy"":9,""t"":10373},{""x"":553,""y"":849,""dx"":62,""dy"":28,""t"":10409},{""x"":527,""y"":885,""dx"":36,""dy"":64,""t"":10442},{""x"":530,""y"":906,""dx"":39,""dy"":85,""t"":10476},{""x"":535,""y"":932,""dx"":44,""dy"":111,""t"":10508},{""x"":551,""y"":955,""dx"":60,""dy"":134,""t"":10543},{""x"":546,""y"":975,""dx"":55,""dy"":154,""t"":10578},{""x"":557,""y"":1011,""dx"":66,""dy"":190,""t"":10611},{""x"":585,""y"":1019,""dx"":94,""dy"":198,""t"":10645},{""x"":598,""y"":1022,""dx"":107,""dy"":201,""t"":10680},{""x"":597,""y"":1002,""dx"":106,""dy"":181,""t"":10714},{""x"":615,""y"":989,""dx"":124,""dy"":168,""t"":10748},{""x"":628,""y"":963,""dx"":137,""dy"":142,""t"":10781},{""x"":627,""y"":953,""dx"":136,""dy"":132,""t"":10815},{""x"":619,""y"":930,""dx"":128,""dy"":109,""t"":10849},{""x"":581,""y"":899,""dx"":90,""dy"":78,""t"":10883},{""x"":556,""y"":906,""dx"":65,""dy"":85,""t"":10915},{""x"":560,""y"":897,""dx"":69,""dy"":76,""t"":10952},{""x"":552,""y"":887,""dx"":61,""dy"":66,""t"":10985},{""x"":551,""y"":888,""dx"":60,""dy"":67,""t"":11019},{""x"":543,""y"":885,""dx"":52,""dy"":64,""t"":11053},{""x"":548,""y"":876,""dx"":57,""dy"":55,""t"":11087},{""x"":550,""y"":843,""dx"":59,""dy"":22,""t"":11122},{""x"":609,""y"":850,""dx"":118,""dy"":29,""t"":11155},{""x"":588,""y"":853,""dx"":97,""dy"":32,""t"":11189},{""x"":620,""y"":881,""dx"":129,""dy"":60,""t"":11225},{""x"":648,""y"":876,""dx"":157,""dy"":55,""t"":11257},{""x"":659,""y"":851,""dx"":168,""dy"":30,""t"":11291},{""x"":680,""y"":889,""dx"":189,""dy"":68,""t"":11326},{""x"":695,""y"":893,""dx"":204,""dy"":72,""t"":11360},{""x"":724,""y"":884,""dx"":233,""dy"":63,""t"":11394},{""x"":708,""y"":916,""dx"":217,""dy"":95,""t"":11428},{""x"":706,""y"":912,""dx"":215,""dy"":91,""t"":11462},{""x"":667,""y"":871,""dx"":176,""dy"":50,""t"":11496},{""x"":642,""y"":844,""dx"":151,""dy"":23,""t"":11530},{""x"":636,""y"":819,""dx"":145,""dy"":-2,""t"":11564},{""x"":597,""y"":841,""dx"":106,""dy"":20,""t"":11598},{""x"":607,""y"":857,""dx"":116,""dy"":36,""t"":11632},{""x"":608,""y"":871,""dx"":117,""dy"":50,""t"":11666},{""x"":592,""y"":890,""dx"":101,""dy"":69,""t"":11700},{""x"":583,""y"":874,""dx"":92,""dy"":53,""t"":11735},{""x"":595,""y"":862,""dx"":104,""dy"":41,""t"":11767},{""x"":564,""y"":835,""dx"":73,""dy"":14,""t"":11802},{""x"":573,""y"":848,""dx"":82,""dy"":27,""t"":11836},{""x"":566,""y"":853,""dx"":75,""dy"":32,""t"":11871},{""x"":554,""y"":861,""dx"":63,""dy"":40,""t"":11905},{""x"":524,""y"":870,""dx"":33,""dy"":49,""t"":11938},{""x"":528,""y"":912,""dx"":37,""dy"":91,""t"":11972},{""x"":546,""y"":929,""dx"":55,""dy"":108,""t"":12006},{""x"":564,""y"":945,""dx"":73,""dy"":124,""t"":12040}],[{""x"":1345,""y"":598,""dx"":-106,""dy"":-223,""t"":13060},{""x"":1327,""y"":568,""dx"":-124,""dy"":-253,""t"":13093},{""x"":1316,""y"":576,""dx"":-135,""dy"":-245,""t"":13128},{""x"":1315,""y"":590,""dx"":-136,""dy"":-231,""t"":13163},{""x"":1313,""y"":588,""dx"":-138,""dy"":-233,""t"":13196},{""x"":1294,""y"":572,""dx"":-157,""dy"":-249,""t"":13230},{""x"":1310,""y"":584,""dx"":-141,""dy"":-237,""t"":13263},{""x"":1321,""y"":595,""dx"":-130,""dy"":-226,""t"":13298},{""x"":1344,""y"":596,""dx"":-107,""dy"":-225,""t"":13331},{""x"":1341,""y"":619,""dx"":-110,""dy"":-202,""t"":13365},{""x"":1339,""y"":628,""dx"":-112,""dy"":-193,""t"":13400},{""x"":1337,""y"":612,""dx"":-114,""dy"":-209,""t"":13435},{""x"":1333,""y"":618,""dx"":-118,""dy"":-203,""t"":13467},{""x"":1338,""y"":631,""dx"":-113,""dy"":-190,""t"":13501},{""x"":1343,""y"":606,""dx"":-108,""dy"":-215,""t"":13537},{""x"":1353,""y"":629,""dx"":-98,""dy"":-192,""t"":13571},{""x"":1362,""y"":656,""dx"":-89,""dy"":-165,""t"":13604},{""x"":1337,""y"":654,""dx"":-114,""dy"":-167,""t"":13637},{""x"":1345,""y"":641,""dx"":-106,""dy"":-180,""t"":13673},{""x"":1356,""y"":636,""dx"":-95,""dy"":-185,""t"":13704},{""x"":1365,""y"":644,""dx"":-86,""dy"":-177,""t"":13740},{""x"":1363,""y"":664,""dx"":-88,""dy"":-157,""t"":13774},{""x"":1346,""y"":673,""dx"":-105,""dy"":-148,""t"":13808},{""x"":1347,""y"":682,""dx"":-104,""dy"":-139,""t"":13842},{""x"":1339,""y"":650,""dx"":-112,""dy"":-171,""t"":13875},{""x"":1346,""y"":629,""dx"":-105,""dy"":-192,""t"":13910},{""x"":1365,""y"":628,""dx"":-86,""dy"":-193,""t"":13944},{""x"":1371,""y"":619,""dx"":-80,""dy"":-202,""t"":13978},{""x"":1385,""y"":632,""dx"":-66,""dy"":-189,""t"":14012},{""x"":1407,""y"":649,""dx"":-44,""dy"":-172,""t"":14046},{""x"":1425,""y"":664,""dx"":-26,""dy"":-157,""t"":14079},{""x"":1432,""y"":681,""dx"":-19,""dy"":-140,""t"":14114},{""x"":1445,""y"":685,""dx"":-6,""dy"":-136,""t"":14148},{""x"":1445,""y"":681,""dx"":-6,""dy"":-140,""t"":14182},{""x"":1451,""y"":711,""dx"":0,""dy"":-110,""t"":14216},{""x"":1440,""y"":707,""dx"":-11,""dy"":-114,""t"":14251},{""x"":1426,""y"":684,""dx"":-25,""dy"":-137,""t"":14284},{""x"":1426,""y"":665,""dx"":-25,""dy"":-156,""t"":14318},{""x"":1445,""y"":662,""dx"":-6,""dy"":-159,""t"":14352},{""x"":1432,""y"":652,""dx"":-19,""dy"":-169,""t"":14386},{""x"":1384,""y"":663,""dx"":-67,""dy"":-158,""t"":14419},{""x"":1384,""y"":650,""dx"":-67,""dy"":-171,""t"":14454},{""x"":1385,""y"":655,""dx"":-66,""dy"":-166,""t"":14489},{""x"":1356,""y"":640,""dx"":-95,""dy"":-181,""t"":14523},{""x"":1361,""y"":655,""dx"":-90,""dy"":-166,""t"":14555},{""x"":1367,""y"":640,""dx"":-84,""dy"":-181,""t"":14589},{""x"":1377,""y"":633,""dx"":-74,""dy"":-188,""t"":14625},{""x"":1382,""y"":621,""dx"":-69,""dy"":-200,""t"":14658},{""x"":1385,""y"":604,""dx"":-66,""dy"":-217,""t"":14692},{""x"":1395,""y"":610,""dx"":-56,""dy"":-211,""t"":14726},{""x"":1403,""y"":615,""dx"":-48,""dy"":-206,""t"":14759},{""x"":1399,""y"":627,""dx"":-52,""dy"":-194,""t"":14794},{""x"":1393,""y"":656,""dx"":-58,""dy"":-165,""t"":14828},{""x"":1390,""y"":647,""dx"":-61,""dy"":-174,""t"":14862},{""x"":1403,""y"":663,""dx"":-48,""dy"":-158,""t"":14897},{""x"":1398,""y"":660,""dx"":-53,""dy"":-161,""t"":14930},{""x"":1406,""y"":663,""dx"":-45,""dy"":-158,""t"":14964},{""x"":1410,""y"":666,""dx"":-41,""dy"":-155,""t"":14997},{""x"":1405,""y"":690,""dx"":-46,""dy"":-131,""t"":15031}]]","[100,38.983050847457626,24.137931034482758,83.33333333333334,47.45762711864407]","[{""x"":0.864406779661017,""y"":-20.305084745762713,""r"":71.3920396587062},{""x"":-189.52542372881356,""y"":94.35593220338983,""r"":47.808899730295295},{""x"":-214.39655172413794,""y"":21.637931034482758,""r"":58.06030265367154},{""x"":91.28333333333333,""y"":70.18333333333334,""r"":86.64232793508845},{""x"":-77.22033898305085,""y"":-181.72881355932202,""r"":37.985769723971}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
"","html-button-response","9","49890","0.0-4.0-4.0-0.0-0.0","","","","","791","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
