"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2027","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2034","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6016","0.0-2.0-0.0","","","","","3980","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7695","0.0-2.0-1.0","","","","","1678","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","30213","0.0-3.0","","","","","","","","745","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","31600","0.0-4.0-0.0","","","","","1384","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","42624","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","43327","0.0-4.0-2.0","","","","","702","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","61799","0.0-4.0-3.0","","","","","","","","","","[[{""x"":401,""y"":418,""dx"":-90,""dy"":137,""t"":990},{""x"":413,""y"":398,""dx"":-78,""dy"":117,""t"":1024},{""x"":426,""y"":401,""dx"":-65,""dy"":120,""t"":1058},{""x"":422,""y"":383,""dx"":-69,""dy"":102,""t"":1092},{""x"":434,""y"":359,""dx"":-57,""dy"":78,""t"":1126},{""x"":435,""y"":359,""dx"":-56,""dy"":78,""t"":1160},{""x"":437,""y"":340,""dx"":-54,""dy"":59,""t"":1194},{""x"":442,""y"":331,""dx"":-49,""dy"":50,""t"":1228},{""x"":421,""y"":338,""dx"":-70,""dy"":57,""t"":1263},{""x"":438,""y"":319,""dx"":-53,""dy"":38,""t"":1296},{""x"":439,""y"":333,""dx"":-52,""dy"":52,""t"":1330},{""x"":432,""y"":339,""dx"":-59,""dy"":58,""t"":1364},{""x"":438,""y"":334,""dx"":-53,""dy"":53,""t"":1398},{""x"":439,""y"":349,""dx"":-52,""dy"":68,""t"":1432},{""x"":441,""y"":375,""dx"":-50,""dy"":94,""t"":1466},{""x"":451,""y"":344,""dx"":-40,""dy"":63,""t"":1500},{""x"":431,""y"":345,""dx"":-60,""dy"":64,""t"":1534},{""x"":426,""y"":330,""dx"":-65,""dy"":49,""t"":1567},{""x"":391,""y"":369,""dx"":-100,""dy"":88,""t"":1602},{""x"":410,""y"":360,""dx"":-81,""dy"":79,""t"":1636},{""x"":382,""y"":405,""dx"":-109,""dy"":124,""t"":1670},{""x"":427,""y"":438,""dx"":-64,""dy"":157,""t"":1703},{""x"":389,""y"":466,""dx"":-102,""dy"":185,""t"":1739},{""x"":401,""y"":445,""dx"":-90,""dy"":164,""t"":1773},{""x"":398,""y"":423,""dx"":-93,""dy"":142,""t"":1806},{""x"":398,""y"":380,""dx"":-93,""dy"":99,""t"":1840},{""x"":394,""y"":358,""dx"":-97,""dy"":77,""t"":1874},{""x"":409,""y"":353,""dx"":-82,""dy"":72,""t"":1908},{""x"":373,""y"":389,""dx"":-118,""dy"":108,""t"":1942},{""x"":357,""y"":404,""dx"":-134,""dy"":123,""t"":1976},{""x"":404,""y"":395,""dx"":-87,""dy"":114,""t"":2009},{""x"":381,""y"":411,""dx"":-110,""dy"":130,""t"":2043},{""x"":364,""y"":428,""dx"":-127,""dy"":147,""t"":2078},{""x"":392,""y"":400,""dx"":-99,""dy"":119,""t"":2112},{""x"":404,""y"":415,""dx"":-87,""dy"":134,""t"":2146},{""x"":421,""y"":446,""dx"":-70,""dy"":165,""t"":2180},{""x"":448,""y"":425,""dx"":-43,""dy"":144,""t"":2214},{""x"":456,""y"":435,""dx"":-35,""dy"":154,""t"":2248},{""x"":455,""y"":423,""dx"":-36,""dy"":142,""t"":2282},{""x"":447,""y"":443,""dx"":-44,""dy"":162,""t"":2315},{""x"":424,""y"":435,""dx"":-67,""dy"":154,""t"":2350},{""x"":372,""y"":460,""dx"":-119,""dy"":179,""t"":2385},{""x"":388,""y"":404,""dx"":-103,""dy"":123,""t"":2418},{""x"":353,""y"":415,""dx"":-138,""dy"":134,""t"":2452},{""x"":426,""y"":444,""dx"":-65,""dy"":163,""t"":2485},{""x"":387,""y"":442,""dx"":-104,""dy"":161,""t"":2520},{""x"":413,""y"":444,""dx"":-78,""dy"":163,""t"":2554},{""x"":384,""y"":449,""dx"":-107,""dy"":168,""t"":2588},{""x"":389,""y"":471,""dx"":-102,""dy"":190,""t"":2623},{""x"":413,""y"":396,""dx"":-78,""dy"":115,""t"":2656},{""x"":412,""y"":409,""dx"":-79,""dy"":128,""t"":2690},{""x"":416,""y"":405,""dx"":-75,""dy"":124,""t"":2724},{""x"":415,""y"":438,""dx"":-76,""dy"":157,""t"":2758},{""x"":396,""y"":439,""dx"":-95,""dy"":158,""t"":2792},{""x"":389,""y"":442,""dx"":-102,""dy"":161,""t"":2826},{""x"":372,""y"":464,""dx"":-119,""dy"":183,""t"":2860},{""x"":362,""y"":462,""dx"":-129,""dy"":181,""t"":2895},{""x"":341,""y"":483,""dx"":-150,""dy"":202,""t"":2928},{""x"":348,""y"":477,""dx"":-143,""dy"":196,""t"":2962},{""x"":341,""y"":462,""dx"":-150,""dy"":181,""t"":2996}],[{""x"":1476,""y"":654,""dx"":25,""dy"":373,""t"":4015},{""x"":1456,""y"":661,""dx"":5,""dy"":380,""t"":4047},{""x"":1431,""y"":663,""dx"":-20,""dy"":382,""t"":4084},{""x"":1419,""y"":655,""dx"":-32,""dy"":374,""t"":4118},{""x"":1412,""y"":637,""dx"":-39,""dy"":356,""t"":4152},{""x"":1408,""y"":633,""dx"":-43,""dy"":352,""t"":4186},{""x"":1433,""y"":658,""dx"":-18,""dy"":377,""t"":4220},{""x"":1434,""y"":634,""dx"":-17,""dy"":353,""t"":4255},{""x"":1416,""y"":625,""dx"":-35,""dy"":344,""t"":4288},{""x"":1420,""y"":630,""dx"":-31,""dy"":349,""t"":4322},{""x"":1441,""y"":580,""dx"":-10,""dy"":299,""t"":4390},{""x"":1486,""y"":574,""dx"":35,""dy"":293,""t"":4424},{""x"":1523,""y"":570,""dx"":72,""dy"":289,""t"":4456},{""x"":1476,""y"":582,""dx"":25,""dy"":301,""t"":4492},{""x"":1460,""y"":571,""dx"":9,""dy"":290,""t"":4526},{""x"":1461,""y"":576,""dx"":10,""dy"":295,""t"":4560},{""x"":1439,""y"":639,""dx"":-12,""dy"":358,""t"":4594},{""x"":1408,""y"":699,""dx"":-43,""dy"":418,""t"":4628},{""x"":1448,""y"":688,""dx"":-3,""dy"":407,""t"":4662},{""x"":1468,""y"":653,""dx"":17,""dy"":372,""t"":4696},{""x"":1428,""y"":700,""dx"":-23,""dy"":419,""t"":4730},{""x"":1394,""y"":721,""dx"":-57,""dy"":440,""t"":4765},{""x"":1367,""y"":718,""dx"":-84,""dy"":437,""t"":4798},{""x"":1361,""y"":718,""dx"":-90,""dy"":437,""t"":4831},{""x"":1362,""y"":754,""dx"":-89,""dy"":473,""t"":4865},{""x"":1346,""y"":725,""dx"":-105,""dy"":444,""t"":4900},{""x"":1337,""y"":729,""dx"":-114,""dy"":448,""t"":4934},{""x"":1343,""y"":718,""dx"":-108,""dy"":437,""t"":4969},{""x"":1341,""y"":703,""dx"":-110,""dy"":422,""t"":5003},{""x"":1399,""y"":679,""dx"":-52,""dy"":398,""t"":5037},{""x"":1382,""y"":671,""dx"":-69,""dy"":390,""t"":5070},{""x"":1396,""y"":684,""dx"":-55,""dy"":403,""t"":5104},{""x"":1400,""y"":680,""dx"":-51,""dy"":399,""t"":5138},{""x"":1436,""y"":684,""dx"":-15,""dy"":403,""t"":5172},{""x"":1425,""y"":700,""dx"":-26,""dy"":419,""t"":5206},{""x"":1423,""y"":672,""dx"":-28,""dy"":391,""t"":5241},{""x"":1447,""y"":653,""dx"":-4,""dy"":372,""t"":5274},{""x"":1445,""y"":633,""dx"":-6,""dy"":352,""t"":5308},{""x"":1423,""y"":652,""dx"":-28,""dy"":371,""t"":5343},{""x"":1421,""y"":612,""dx"":-30,""dy"":331,""t"":5376},{""x"":1405,""y"":628,""dx"":-46,""dy"":347,""t"":5410},{""x"":1434,""y"":627,""dx"":-17,""dy"":346,""t"":5444},{""x"":1431,""y"":627,""dx"":-20,""dy"":346,""t"":5479},{""x"":1471,""y"":603,""dx"":20,""dy"":322,""t"":5512},{""x"":1493,""y"":589,""dx"":42,""dy"":308,""t"":5546},{""x"":1483,""y"":582,""dx"":32,""dy"":301,""t"":5580},{""x"":1470,""y"":592,""dx"":19,""dy"":311,""t"":5614},{""x"":1458,""y"":602,""dx"":7,""dy"":321,""t"":5647},{""x"":1443,""y"":587,""dx"":-8,""dy"":306,""t"":5681},{""x"":1424,""y"":607,""dx"":-27,""dy"":326,""t"":5715},{""x"":1423,""y"":611,""dx"":-28,""dy"":330,""t"":5749},{""x"":1439,""y"":596,""dx"":-12,""dy"":315,""t"":5784},{""x"":1476,""y"":609,""dx"":25,""dy"":328,""t"":5818},{""x"":1509,""y"":602,""dx"":58,""dy"":321,""t"":5852},{""x"":1509,""y"":586,""dx"":58,""dy"":305,""t"":5887},{""x"":1512,""y"":609,""dx"":61,""dy"":328,""t"":5920},{""x"":1496,""y"":625,""dx"":45,""dy"":344,""t"":5954},{""x"":1507,""y"":637,""dx"":56,""dy"":356,""t"":5988}],[{""x"":1027,""y"":680,""dx"":56,""dy"":129,""t"":7009},{""x"":1035,""y"":660,""dx"":64,""dy"":109,""t"":7042},{""x"":1049,""y"":662,""dx"":78,""dy"":111,""t"":7076},{""x"":1063,""y"":644,""dx"":92,""dy"":93,""t"":7110},{""x"":1079,""y"":645,""dx"":108,""dy"":94,""t"":7144},{""x"":1098,""y"":646,""dx"":127,""dy"":95,""t"":7179},{""x"":1112,""y"":653,""dx"":141,""dy"":102,""t"":7213},{""x"":1079,""y"":700,""dx"":108,""dy"":149,""t"":7246},{""x"":1094,""y"":719,""dx"":123,""dy"":168,""t"":7280},{""x"":1092,""y"":722,""dx"":121,""dy"":171,""t"":7314},{""x"":1111,""y"":695,""dx"":140,""dy"":144,""t"":7348},{""x"":1134,""y"":682,""dx"":163,""dy"":131,""t"":7382},{""x"":1127,""y"":699,""dx"":156,""dy"":148,""t"":7417},{""x"":1139,""y"":721,""dx"":168,""dy"":170,""t"":7450},{""x"":1130,""y"":731,""dx"":159,""dy"":180,""t"":7483},{""x"":1083,""y"":764,""dx"":112,""dy"":213,""t"":7519},{""x"":1068,""y"":749,""dx"":97,""dy"":198,""t"":7553},{""x"":1065,""y"":719,""dx"":94,""dy"":168,""t"":7586},{""x"":1020,""y"":745,""dx"":49,""dy"":194,""t"":7619},{""x"":1020,""y"":732,""dx"":49,""dy"":181,""t"":7654},{""x"":993,""y"":731,""dx"":22,""dy"":180,""t"":7688},{""x"":971,""y"":724,""dx"":0,""dy"":173,""t"":7722},{""x"":991,""y"":693,""dx"":20,""dy"":142,""t"":7756},{""x"":978,""y"":674,""dx"":7,""dy"":123,""t"":7791},{""x"":972,""y"":671,""dx"":1,""dy"":120,""t"":7825},{""x"":941,""y"":708,""dx"":-30,""dy"":157,""t"":7858},{""x"":957,""y"":694,""dx"":-14,""dy"":143,""t"":7892},{""x"":971,""y"":705,""dx"":0,""dy"":154,""t"":7927},{""x"":978,""y"":688,""dx"":7,""dy"":137,""t"":7960},{""x"":990,""y"":680,""dx"":19,""dy"":129,""t"":7994},{""x"":995,""y"":670,""dx"":24,""dy"":119,""t"":8028},{""x"":1007,""y"":645,""dx"":36,""dy"":94,""t"":8063},{""x"":990,""y"":695,""dx"":19,""dy"":144,""t"":8097},{""x"":1046,""y"":680,""dx"":75,""dy"":129,""t"":8130},{""x"":1060,""y"":683,""dx"":89,""dy"":132,""t"":8164},{""x"":1065,""y"":678,""dx"":94,""dy"":127,""t"":8198},{""x"":1099,""y"":687,""dx"":128,""dy"":136,""t"":8232},{""x"":1107,""y"":677,""dx"":136,""dy"":126,""t"":8265},{""x"":1043,""y"":708,""dx"":72,""dy"":157,""t"":8300},{""x"":1020,""y"":757,""dx"":49,""dy"":206,""t"":8334},{""x"":1047,""y"":747,""dx"":76,""dy"":196,""t"":8368},{""x"":1056,""y"":728,""dx"":85,""dy"":177,""t"":8402},{""x"":1081,""y"":724,""dx"":110,""dy"":173,""t"":8436},{""x"":1036,""y"":739,""dx"":65,""dy"":188,""t"":8470},{""x"":1047,""y"":719,""dx"":76,""dy"":168,""t"":8504},{""x"":1023,""y"":726,""dx"":52,""dy"":175,""t"":8539},{""x"":1053,""y"":711,""dx"":82,""dy"":160,""t"":8573},{""x"":1068,""y"":700,""dx"":97,""dy"":149,""t"":8607},{""x"":1046,""y"":716,""dx"":75,""dy"":165,""t"":8640},{""x"":1078,""y"":707,""dx"":107,""dy"":156,""t"":8674},{""x"":1056,""y"":715,""dx"":85,""dy"":164,""t"":8708},{""x"":1089,""y"":699,""dx"":118,""dy"":148,""t"":8742},{""x"":1110,""y"":676,""dx"":139,""dy"":125,""t"":8776},{""x"":1096,""y"":703,""dx"":125,""dy"":152,""t"":8810},{""x"":1056,""y"":711,""dx"":85,""dy"":160,""t"":8845},{""x"":1092,""y"":704,""dx"":121,""dy"":153,""t"":8878},{""x"":1058,""y"":718,""dx"":87,""dy"":167,""t"":8912},{""x"":1085,""y"":690,""dx"":114,""dy"":139,""t"":8947},{""x"":1065,""y"":694,""dx"":94,""dy"":143,""t"":8980},{""x"":1089,""y"":679,""dx"":118,""dy"":128,""t"":9014}],[{""x"":562,""y"":659,""dx"":71,""dy"":-162,""t"":10034},{""x"":567,""y"":659,""dx"":76,""dy"":-162,""t"":10068},{""x"":571,""y"":644,""dx"":80,""dy"":-177,""t"":10103},{""x"":589,""y"":674,""dx"":98,""dy"":-147,""t"":10136},{""x"":610,""y"":677,""dx"":119,""dy"":-144,""t"":10170},{""x"":603,""y"":673,""dx"":112,""dy"":-148,""t"":10205},{""x"":581,""y"":677,""dx"":90,""dy"":-144,""t"":10238},{""x"":576,""y"":677,""dx"":85,""dy"":-144,""t"":10271},{""x"":578,""y"":688,""dx"":87,""dy"":-133,""t"":10307},{""x"":582,""y"":669,""dx"":91,""dy"":-152,""t"":10340},{""x"":597,""y"":660,""dx"":106,""dy"":-161,""t"":10374},{""x"":611,""y"":652,""dx"":120,""dy"":-169,""t"":10408},{""x"":610,""y"":640,""dx"":119,""dy"":-181,""t"":10443},{""x"":594,""y"":651,""dx"":103,""dy"":-170,""t"":10477},{""x"":601,""y"":639,""dx"":110,""dy"":-182,""t"":10509},{""x"":584,""y"":633,""dx"":93,""dy"":-188,""t"":10545},{""x"":579,""y"":626,""dx"":88,""dy"":-195,""t"":10578},{""x"":582,""y"":622,""dx"":91,""dy"":-199,""t"":10613},{""x"":592,""y"":619,""dx"":101,""dy"":-202,""t"":10646},{""x"":566,""y"":635,""dx"":75,""dy"":-186,""t"":10679},{""x"":569,""y"":621,""dx"":78,""dy"":-200,""t"":10714},{""x"":610,""y"":655,""dx"":119,""dy"":-166,""t"":10748},{""x"":621,""y"":645,""dx"":130,""dy"":-176,""t"":10780},{""x"":574,""y"":614,""dx"":83,""dy"":-207,""t"":10815},{""x"":595,""y"":623,""dx"":104,""dy"":-198,""t"":10850},{""x"":603,""y"":629,""dx"":112,""dy"":-192,""t"":10884},{""x"":593,""y"":623,""dx"":102,""dy"":-198,""t"":10918},{""x"":573,""y"":630,""dx"":82,""dy"":-191,""t"":10952},{""x"":644,""y"":643,""dx"":153,""dy"":-178,""t"":10986},{""x"":679,""y"":682,""dx"":188,""dy"":-139,""t"":11019},{""x"":659,""y"":694,""dx"":168,""dy"":-127,""t"":11055},{""x"":626,""y"":705,""dx"":135,""dy"":-116,""t"":11088},{""x"":648,""y"":678,""dx"":157,""dy"":-143,""t"":11122},{""x"":628,""y"":636,""dx"":137,""dy"":-185,""t"":11154},{""x"":619,""y"":623,""dx"":128,""dy"":-198,""t"":11190},{""x"":597,""y"":628,""dx"":106,""dy"":-193,""t"":11224},{""x"":589,""y"":647,""dx"":98,""dy"":-174,""t"":11258},{""x"":578,""y"":651,""dx"":87,""dy"":-170,""t"":11292},{""x"":555,""y"":651,""dx"":64,""dy"":-170,""t"":11327},{""x"":583,""y"":665,""dx"":92,""dy"":-156,""t"":11360},{""x"":585,""y"":653,""dx"":94,""dy"":-168,""t"":11394},{""x"":626,""y"":655,""dx"":135,""dy"":-166,""t"":11428},{""x"":633,""y"":638,""dx"":142,""dy"":-183,""t"":11462},{""x"":656,""y"":634,""dx"":165,""dy"":-187,""t"":11496},{""x"":670,""y"":638,""dx"":179,""dy"":-183,""t"":11530},{""x"":677,""y"":675,""dx"":186,""dy"":-146,""t"":11564},{""x"":662,""y"":681,""dx"":171,""dy"":-140,""t"":11599},{""x"":641,""y"":674,""dx"":150,""dy"":-147,""t"":11632},{""x"":645,""y"":683,""dx"":154,""dy"":-138,""t"":11665},{""x"":639,""y"":672,""dx"":148,""dy"":-149,""t"":11700},{""x"":640,""y"":645,""dx"":149,""dy"":-176,""t"":11734},{""x"":647,""y"":640,""dx"":156,""dy"":-181,""t"":11768},{""x"":663,""y"":630,""dx"":172,""dy"":-191,""t"":11802},{""x"":630,""y"":648,""dx"":139,""dy"":-173,""t"":11836},{""x"":629,""y"":687,""dx"":138,""dy"":-134,""t"":11870},{""x"":603,""y"":718,""dx"":112,""dy"":-103,""t"":11904},{""x"":637,""y"":728,""dx"":146,""dy"":-93,""t"":11938},{""x"":740,""y"":733,""dx"":249,""dy"":-88,""t"":11972},{""x"":888,""y"":731,""dx"":397,""dy"":-90,""t"":12007}],[{""x"":1291,""y"":612,""dx"":-160,""dy"":-209,""t"":13060},{""x"":1338,""y"":593,""dx"":-113,""dy"":-228,""t"":13095},{""x"":1311,""y"":626,""dx"":-140,""dy"":-195,""t"":13128},{""x"":1316,""y"":603,""dx"":-135,""dy"":-218,""t"":13160},{""x"":1288,""y"":624,""dx"":-163,""dy"":-197,""t"":13196},{""x"":1324,""y"":613,""dx"":-127,""dy"":-208,""t"":13231},{""x"":1289,""y"":637,""dx"":-162,""dy"":-184,""t"":13264},{""x"":1265,""y"":673,""dx"":-186,""dy"":-148,""t"":13298},{""x"":1263,""y"":665,""dx"":-188,""dy"":-156,""t"":13332},{""x"":1316,""y"":651,""dx"":-135,""dy"":-170,""t"":13366},{""x"":1301,""y"":686,""dx"":-150,""dy"":-135,""t"":13400},{""x"":1360,""y"":683,""dx"":-91,""dy"":-138,""t"":13434},{""x"":1385,""y"":696,""dx"":-66,""dy"":-125,""t"":13469},{""x"":1364,""y"":718,""dx"":-87,""dy"":-103,""t"":13502},{""x"":1359,""y"":710,""dx"":-92,""dy"":-111,""t"":13536},{""x"":1352,""y"":673,""dx"":-99,""dy"":-148,""t"":13611},{""x"":1372,""y"":646,""dx"":-79,""dy"":-175,""t"":13638},{""x"":1343,""y"":644,""dx"":-108,""dy"":-177,""t"":13672},{""x"":1311,""y"":637,""dx"":-140,""dy"":-184,""t"":13706},{""x"":1288,""y"":646,""dx"":-163,""dy"":-175,""t"":13739},{""x"":1268,""y"":681,""dx"":-183,""dy"":-140,""t"":13774},{""x"":1306,""y"":670,""dx"":-145,""dy"":-151,""t"":13808},{""x"":1313,""y"":665,""dx"":-138,""dy"":-156,""t"":13842},{""x"":1290,""y"":684,""dx"":-161,""dy"":-137,""t"":13877},{""x"":1305,""y"":670,""dx"":-146,""dy"":-151,""t"":13910},{""x"":1351,""y"":665,""dx"":-100,""dy"":-156,""t"":13944},{""x"":1332,""y"":678,""dx"":-119,""dy"":-143,""t"":13978},{""x"":1299,""y"":677,""dx"":-152,""dy"":-144,""t"":14012},{""x"":1269,""y"":705,""dx"":-182,""dy"":-116,""t"":14046},{""x"":1244,""y"":702,""dx"":-207,""dy"":-119,""t"":14080},{""x"":1244,""y"":682,""dx"":-207,""dy"":-139,""t"":14114},{""x"":1234,""y"":683,""dx"":-217,""dy"":-138,""t"":14148},{""x"":1246,""y"":694,""dx"":-205,""dy"":-127,""t"":14181},{""x"":1252,""y"":693,""dx"":-199,""dy"":-128,""t"":14216},{""x"":1233,""y"":687,""dx"":-218,""dy"":-134,""t"":14250},{""x"":1233,""y"":688,""dx"":-218,""dy"":-133,""t"":14284},{""x"":1241,""y"":695,""dx"":-210,""dy"":-126,""t"":14320},{""x"":1248,""y"":700,""dx"":-203,""dy"":-121,""t"":14350},{""x"":1250,""y"":712,""dx"":-201,""dy"":-109,""t"":14386},{""x"":1237,""y"":703,""dx"":-214,""dy"":-118,""t"":14420},{""x"":1240,""y"":714,""dx"":-211,""dy"":-107,""t"":14454},{""x"":1229,""y"":713,""dx"":-222,""dy"":-108,""t"":14488},{""x"":1251,""y"":701,""dx"":-200,""dy"":-120,""t"":14522},{""x"":1251,""y"":719,""dx"":-200,""dy"":-102,""t"":14556},{""x"":1280,""y"":708,""dx"":-171,""dy"":-113,""t"":14591},{""x"":1288,""y"":701,""dx"":-163,""dy"":-120,""t"":14624},{""x"":1267,""y"":690,""dx"":-184,""dy"":-131,""t"":14658},{""x"":1261,""y"":677,""dx"":-190,""dy"":-144,""t"":14692},{""x"":1265,""y"":661,""dx"":-186,""dy"":-160,""t"":14724},{""x"":1279,""y"":635,""dx"":-172,""dy"":-186,""t"":14760},{""x"":1279,""y"":631,""dx"":-172,""dy"":-190,""t"":14794},{""x"":1284,""y"":632,""dx"":-167,""dy"":-189,""t"":14828},{""x"":1264,""y"":655,""dx"":-187,""dy"":-166,""t"":14862},{""x"":1271,""y"":652,""dx"":-180,""dy"":-169,""t"":14896},{""x"":1253,""y"":665,""dx"":-198,""dy"":-156,""t"":14930},{""x"":1263,""y"":671,""dx"":-188,""dy"":-150,""t"":14964},{""x"":1252,""y"":686,""dx"":-199,""dy"":-135,""t"":14998},{""x"":1267,""y"":675,""dx"":-184,""dy"":-146,""t"":15032}]]","[86.66666666666667,0,78.33333333333333,35.59322033898305,13.793103448275861]","[{""x"":-84.2,""y"":123.11666666666666,""r"":70.12044441469098},{""x"":-16.96551724137931,""y"":362.2241379310345,""r"":81.46657615481546},{""x"":81.16666666666667,""y"":149.36666666666667,""r"":69.25485001187673},{""x"":125.76271186440678,""y"":-163.71186440677965,""r"":39.269434428340666},{""x"":-165.22413793103448,""y"":-149.3448275862069,""r"":64.38183361792356}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.20","validate","","","","","","","","","","",""
"","html-button-response","9","62447","0.0-4.0-4.0-0.0-0.0","","","","","648","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
