"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","9579","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","9586","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","11336","0.0-2.0-0.0","","","","","1748","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12617","0.0-2.0-1.0","","","","","1279","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","24794","0.0-3.0","","","","","","","","749","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","25840","0.0-4.0-0.0","","","","","1044","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","36390","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","37128","0.0-4.0-2.0","","","","","738","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","54424","0.0-4.0-3.0","","","","","","","","","","[[{""x"":511,""y"":447,""dx"":20,""dy"":166,""t"":990},{""x"":509,""y"":447,""dx"":18,""dy"":166,""t"":1025},{""x"":513,""y"":432,""dx"":22,""dy"":151,""t"":1058},{""x"":514,""y"":455,""dx"":23,""dy"":174,""t"":1092},{""x"":511,""y"":435,""dx"":20,""dy"":154,""t"":1126},{""x"":512,""y"":406,""dx"":21,""dy"":125,""t"":1160},{""x"":516,""y"":410,""dx"":25,""dy"":129,""t"":1194},{""x"":513,""y"":466,""dx"":22,""dy"":185,""t"":1228},{""x"":522,""y"":464,""dx"":31,""dy"":183,""t"":1262},{""x"":521,""y"":479,""dx"":30,""dy"":198,""t"":1296},{""x"":525,""y"":511,""dx"":34,""dy"":230,""t"":1330},{""x"":533,""y"":513,""dx"":42,""dy"":232,""t"":1364},{""x"":533,""y"":519,""dx"":42,""dy"":238,""t"":1397},{""x"":545,""y"":485,""dx"":54,""dy"":204,""t"":1432},{""x"":538,""y"":515,""dx"":47,""dy"":234,""t"":1465},{""x"":543,""y"":479,""dx"":52,""dy"":198,""t"":1500},{""x"":542,""y"":472,""dx"":51,""dy"":191,""t"":1535},{""x"":537,""y"":486,""dx"":46,""dy"":205,""t"":1568},{""x"":545,""y"":468,""dx"":54,""dy"":187,""t"":1601},{""x"":552,""y"":453,""dx"":61,""dy"":172,""t"":1636},{""x"":539,""y"":480,""dx"":48,""dy"":199,""t"":1670},{""x"":528,""y"":503,""dx"":37,""dy"":222,""t"":1702},{""x"":534,""y"":483,""dx"":43,""dy"":202,""t"":1737},{""x"":540,""y"":415,""dx"":49,""dy"":134,""t"":1772},{""x"":556,""y"":391,""dx"":65,""dy"":110,""t"":1806},{""x"":546,""y"":416,""dx"":55,""dy"":135,""t"":1840},{""x"":556,""y"":406,""dx"":65,""dy"":125,""t"":1874},{""x"":555,""y"":403,""dx"":64,""dy"":122,""t"":1908},{""x"":560,""y"":368,""dx"":69,""dy"":87,""t"":1941},{""x"":564,""y"":371,""dx"":73,""dy"":90,""t"":1975},{""x"":561,""y"":379,""dx"":70,""dy"":98,""t"":2009},{""x"":571,""y"":456,""dx"":80,""dy"":175,""t"":2044},{""x"":570,""y"":463,""dx"":79,""dy"":182,""t"":2077},{""x"":569,""y"":469,""dx"":78,""dy"":188,""t"":2109},{""x"":564,""y"":468,""dx"":73,""dy"":187,""t"":2145},{""x"":562,""y"":449,""dx"":71,""dy"":168,""t"":2180},{""x"":560,""y"":419,""dx"":69,""dy"":138,""t"":2214},{""x"":556,""y"":427,""dx"":65,""dy"":146,""t"":2248},{""x"":560,""y"":428,""dx"":69,""dy"":147,""t"":2282},{""x"":557,""y"":402,""dx"":66,""dy"":121,""t"":2316},{""x"":531,""y"":472,""dx"":40,""dy"":191,""t"":2350},{""x"":498,""y"":488,""dx"":7,""dy"":207,""t"":2384},{""x"":528,""y"":447,""dx"":37,""dy"":166,""t"":2418},{""x"":525,""y"":446,""dx"":34,""dy"":165,""t"":2452},{""x"":512,""y"":465,""dx"":21,""dy"":184,""t"":2485},{""x"":528,""y"":453,""dx"":37,""dy"":172,""t"":2520},{""x"":520,""y"":459,""dx"":29,""dy"":178,""t"":2553},{""x"":526,""y"":543,""dx"":35,""dy"":262,""t"":2588},{""x"":533,""y"":510,""dx"":42,""dy"":229,""t"":2622},{""x"":544,""y"":545,""dx"":53,""dy"":264,""t"":2657},{""x"":538,""y"":527,""dx"":47,""dy"":246,""t"":2690},{""x"":540,""y"":520,""dx"":49,""dy"":239,""t"":2724},{""x"":553,""y"":463,""dx"":62,""dy"":182,""t"":2758},{""x"":553,""y"":460,""dx"":62,""dy"":179,""t"":2792},{""x"":547,""y"":479,""dx"":56,""dy"":198,""t"":2825},{""x"":552,""y"":469,""dx"":61,""dy"":188,""t"":2860},{""x"":566,""y"":461,""dx"":75,""dy"":180,""t"":2894},{""x"":562,""y"":449,""dx"":71,""dy"":168,""t"":2929},{""x"":564,""y"":430,""dx"":73,""dy"":149,""t"":2962},{""x"":564,""y"":455,""dx"":73,""dy"":174,""t"":2996}],[{""x"":1335,""y"":131,""dx"":-116,""dy"":-150,""t"":4016},{""x"":1344,""y"":123,""dx"":-107,""dy"":-158,""t"":4050},{""x"":1321,""y"":151,""dx"":-130,""dy"":-130,""t"":4084},{""x"":1293,""y"":130,""dx"":-158,""dy"":-151,""t"":4119},{""x"":1286,""y"":133,""dx"":-165,""dy"":-148,""t"":4152},{""x"":1303,""y"":149,""dx"":-148,""dy"":-132,""t"":4186},{""x"":1309,""y"":171,""dx"":-142,""dy"":-110,""t"":4220},{""x"":1314,""y"":177,""dx"":-137,""dy"":-104,""t"":4255},{""x"":1350,""y"":268,""dx"":-101,""dy"":-13,""t"":4288},{""x"":1381,""y"":250,""dx"":-70,""dy"":-31,""t"":4322},{""x"":1386,""y"":218,""dx"":-65,""dy"":-63,""t"":4356},{""x"":1393,""y"":205,""dx"":-58,""dy"":-76,""t"":4390},{""x"":1407,""y"":230,""dx"":-44,""dy"":-51,""t"":4424},{""x"":1430,""y"":259,""dx"":-21,""dy"":-22,""t"":4458},{""x"":1412,""y"":207,""dx"":-39,""dy"":-74,""t"":4492},{""x"":1405,""y"":181,""dx"":-46,""dy"":-100,""t"":4526},{""x"":1396,""y"":144,""dx"":-55,""dy"":-137,""t"":4560},{""x"":1383,""y"":110,""dx"":-68,""dy"":-171,""t"":4594},{""x"":1319,""y"":120,""dx"":-132,""dy"":-161,""t"":4627},{""x"":1309,""y"":127,""dx"":-142,""dy"":-154,""t"":4663},{""x"":1305,""y"":117,""dx"":-146,""dy"":-164,""t"":4695},{""x"":1264,""y"":121,""dx"":-187,""dy"":-160,""t"":4730},{""x"":1249,""y"":138,""dx"":-202,""dy"":-143,""t"":4763},{""x"":1286,""y"":186,""dx"":-165,""dy"":-95,""t"":4798},{""x"":1289,""y"":164,""dx"":-162,""dy"":-117,""t"":4831},{""x"":1305,""y"":147,""dx"":-146,""dy"":-134,""t"":4866},{""x"":1323,""y"":142,""dx"":-128,""dy"":-139,""t"":4900},{""x"":1363,""y"":171,""dx"":-88,""dy"":-110,""t"":4934},{""x"":1341,""y"":177,""dx"":-110,""dy"":-104,""t"":4967},{""x"":1310,""y"":188,""dx"":-141,""dy"":-93,""t"":5002},{""x"":1282,""y"":215,""dx"":-169,""dy"":-66,""t"":5035},{""x"":1321,""y"":212,""dx"":-130,""dy"":-69,""t"":5071},{""x"":1318,""y"":183,""dx"":-133,""dy"":-98,""t"":5104},{""x"":1345,""y"":179,""dx"":-106,""dy"":-102,""t"":5137},{""x"":1319,""y"":179,""dx"":-132,""dy"":-102,""t"":5172},{""x"":1305,""y"":207,""dx"":-146,""dy"":-74,""t"":5206},{""x"":1287,""y"":196,""dx"":-164,""dy"":-85,""t"":5240},{""x"":1272,""y"":187,""dx"":-179,""dy"":-94,""t"":5272},{""x"":1281,""y"":196,""dx"":-170,""dy"":-85,""t"":5309},{""x"":1273,""y"":241,""dx"":-178,""dy"":-40,""t"":5342},{""x"":1244,""y"":225,""dx"":-207,""dy"":-56,""t"":5375},{""x"":1264,""y"":295,""dx"":-187,""dy"":14,""t"":5409},{""x"":1248,""y"":276,""dx"":-203,""dy"":-5,""t"":5444},{""x"":1242,""y"":285,""dx"":-209,""dy"":4,""t"":5479},{""x"":1241,""y"":299,""dx"":-210,""dy"":18,""t"":5512},{""x"":1262,""y"":300,""dx"":-189,""dy"":19,""t"":5545},{""x"":1261,""y"":261,""dx"":-190,""dy"":-20,""t"":5580},{""x"":1234,""y"":235,""dx"":-217,""dy"":-46,""t"":5614},{""x"":1223,""y"":182,""dx"":-228,""dy"":-99,""t"":5648},{""x"":1231,""y"":201,""dx"":-220,""dy"":-80,""t"":5681},{""x"":1220,""y"":207,""dx"":-231,""dy"":-74,""t"":5717},{""x"":1245,""y"":186,""dx"":-206,""dy"":-95,""t"":5750},{""x"":1263,""y"":190,""dx"":-188,""dy"":-91,""t"":5784},{""x"":1289,""y"":186,""dx"":-162,""dy"":-95,""t"":5817},{""x"":1327,""y"":220,""dx"":-124,""dy"":-61,""t"":5852},{""x"":1313,""y"":213,""dx"":-138,""dy"":-68,""t"":5886},{""x"":1279,""y"":219,""dx"":-172,""dy"":-62,""t"":5919},{""x"":1297,""y"":224,""dx"":-154,""dy"":-57,""t"":5953},{""x"":1293,""y"":239,""dx"":-158,""dy"":-42,""t"":5988}],[{""x"":905,""y"":751,""dx"":-66,""dy"":200,""t"":7008},{""x"":925,""y"":739,""dx"":-46,""dy"":188,""t"":7042},{""x"":934,""y"":706,""dx"":-37,""dy"":155,""t"":7076},{""x"":948,""y"":692,""dx"":-23,""dy"":141,""t"":7110},{""x"":943,""y"":638,""dx"":-28,""dy"":87,""t"":7144},{""x"":962,""y"":655,""dx"":-9,""dy"":104,""t"":7187},{""x"":962,""y"":640,""dx"":-9,""dy"":89,""t"":7226},{""x"":960,""y"":582,""dx"":-11,""dy"":31,""t"":7253},{""x"":957,""y"":534,""dx"":-14,""dy"":-17,""t"":7278},{""x"":1015,""y"":537,""dx"":44,""dy"":-14,""t"":7314},{""x"":992,""y"":545,""dx"":21,""dy"":-6,""t"":7348},{""x"":1002,""y"":520,""dx"":31,""dy"":-31,""t"":7382},{""x"":991,""y"":520,""dx"":20,""dy"":-31,""t"":7416},{""x"":995,""y"":522,""dx"":24,""dy"":-29,""t"":7450},{""x"":972,""y"":516,""dx"":1,""dy"":-35,""t"":7484},{""x"":967,""y"":533,""dx"":-4,""dy"":-18,""t"":7518},{""x"":948,""y"":564,""dx"":-23,""dy"":13,""t"":7552},{""x"":972,""y"":582,""dx"":1,""dy"":31,""t"":7586},{""x"":985,""y"":555,""dx"":14,""dy"":4,""t"":7620},{""x"":983,""y"":541,""dx"":12,""dy"":-10,""t"":7655},{""x"":949,""y"":591,""dx"":-22,""dy"":40,""t"":7687},{""x"":933,""y"":633,""dx"":-38,""dy"":82,""t"":7722},{""x"":905,""y"":635,""dx"":-66,""dy"":84,""t"":7756},{""x"":899,""y"":679,""dx"":-72,""dy"":128,""t"":7790},{""x"":885,""y"":675,""dx"":-86,""dy"":124,""t"":7824},{""x"":876,""y"":627,""dx"":-95,""dy"":76,""t"":7858},{""x"":888,""y"":565,""dx"":-83,""dy"":14,""t"":7891},{""x"":897,""y"":554,""dx"":-74,""dy"":3,""t"":7925},{""x"":953,""y"":530,""dx"":-18,""dy"":-21,""t"":7959},{""x"":944,""y"":507,""dx"":-27,""dy"":-44,""t"":7994},{""x"":937,""y"":498,""dx"":-34,""dy"":-53,""t"":8029},{""x"":927,""y"":473,""dx"":-44,""dy"":-78,""t"":8062},{""x"":909,""y"":470,""dx"":-62,""dy"":-81,""t"":8095},{""x"":919,""y"":506,""dx"":-52,""dy"":-45,""t"":8130},{""x"":928,""y"":535,""dx"":-43,""dy"":-16,""t"":8165},{""x"":910,""y"":537,""dx"":-61,""dy"":-14,""t"":8198},{""x"":944,""y"":587,""dx"":-27,""dy"":36,""t"":8232},{""x"":930,""y"":564,""dx"":-41,""dy"":13,""t"":8266},{""x"":923,""y"":582,""dx"":-48,""dy"":31,""t"":8300},{""x"":923,""y"":588,""dx"":-48,""dy"":37,""t"":8334},{""x"":921,""y"":564,""dx"":-50,""dy"":13,""t"":8368},{""x"":898,""y"":574,""dx"":-73,""dy"":23,""t"":8402},{""x"":910,""y"":589,""dx"":-61,""dy"":38,""t"":8435},{""x"":892,""y"":571,""dx"":-79,""dy"":20,""t"":8470},{""x"":946,""y"":642,""dx"":-25,""dy"":91,""t"":8504},{""x"":939,""y"":627,""dx"":-32,""dy"":76,""t"":8538},{""x"":928,""y"":597,""dx"":-43,""dy"":46,""t"":8572},{""x"":927,""y"":589,""dx"":-44,""dy"":38,""t"":8606},{""x"":913,""y"":576,""dx"":-58,""dy"":25,""t"":8640},{""x"":905,""y"":593,""dx"":-66,""dy"":42,""t"":8674},{""x"":897,""y"":623,""dx"":-74,""dy"":72,""t"":8708},{""x"":913,""y"":627,""dx"":-58,""dy"":76,""t"":8741},{""x"":947,""y"":687,""dx"":-24,""dy"":136,""t"":8775},{""x"":944,""y"":710,""dx"":-27,""dy"":159,""t"":8810},{""x"":942,""y"":728,""dx"":-29,""dy"":177,""t"":8842},{""x"":931,""y"":718,""dx"":-40,""dy"":167,""t"":8878},{""x"":918,""y"":696,""dx"":-53,""dy"":145,""t"":8912},{""x"":904,""y"":685,""dx"":-67,""dy"":134,""t"":8946},{""x"":907,""y"":660,""dx"":-64,""dy"":109,""t"":8980},{""x"":925,""y"":655,""dx"":-46,""dy"":104,""t"":9015}],[{""x"":827,""y"":835,""dx"":336,""dy"":14,""t"":10035},{""x"":836,""y"":849,""dx"":345,""dy"":28,""t"":10068},{""x"":847,""y"":840,""dx"":356,""dy"":19,""t"":10102},{""x"":811,""y"":878,""dx"":320,""dy"":57,""t"":10136},{""x"":822,""y"":852,""dx"":331,""dy"":31,""t"":10170},{""x"":847,""y"":852,""dx"":356,""dy"":31,""t"":10205},{""x"":873,""y"":862,""dx"":382,""dy"":41,""t"":10238},{""x"":844,""y"":829,""dx"":353,""dy"":8,""t"":10271},{""x"":840,""y"":840,""dx"":349,""dy"":19,""t"":10306},{""x"":846,""y"":840,""dx"":355,""dy"":19,""t"":10340},{""x"":866,""y"":847,""dx"":375,""dy"":26,""t"":10375},{""x"":855,""y"":886,""dx"":364,""dy"":65,""t"":10408},{""x"":845,""y"":920,""dx"":354,""dy"":99,""t"":10439},{""x"":805,""y"":955,""dx"":314,""dy"":134,""t"":10476},{""x"":826,""y"":933,""dx"":335,""dy"":112,""t"":10510},{""x"":839,""y"":942,""dx"":348,""dy"":121,""t"":10544},{""x"":848,""y"":908,""dx"":357,""dy"":87,""t"":10577},{""x"":865,""y"":887,""dx"":374,""dy"":66,""t"":10613},{""x"":872,""y"":867,""dx"":381,""dy"":46,""t"":10645},{""x"":852,""y"":870,""dx"":361,""dy"":49,""t"":10680},{""x"":858,""y"":867,""dx"":367,""dy"":46,""t"":10714},{""x"":852,""y"":871,""dx"":361,""dy"":50,""t"":10748},{""x"":877,""y"":877,""dx"":386,""dy"":56,""t"":10781},{""x"":899,""y"":882,""dx"":408,""dy"":61,""t"":10814},{""x"":899,""y"":866,""dx"":408,""dy"":45,""t"":10849},{""x"":790,""y"":875,""dx"":299,""dy"":54,""t"":10885},{""x"":735,""y"":841,""dx"":244,""dy"":20,""t"":10918},{""x"":741,""y"":840,""dx"":250,""dy"":19,""t"":10952},{""x"":732,""y"":847,""dx"":241,""dy"":26,""t"":10986},{""x"":742,""y"":852,""dx"":251,""dy"":31,""t"":11020},{""x"":754,""y"":849,""dx"":263,""dy"":28,""t"":11054},{""x"":710,""y"":845,""dx"":219,""dy"":24,""t"":11088},{""x"":707,""y"":827,""dx"":216,""dy"":6,""t"":11122},{""x"":728,""y"":827,""dx"":237,""dy"":6,""t"":11156},{""x"":758,""y"":780,""dx"":267,""dy"":-41,""t"":11190},{""x"":768,""y"":744,""dx"":277,""dy"":-77,""t"":11224},{""x"":811,""y"":744,""dx"":320,""dy"":-77,""t"":11258},{""x"":831,""y"":767,""dx"":340,""dy"":-54,""t"":11292},{""x"":845,""y"":794,""dx"":354,""dy"":-27,""t"":11326},{""x"":826,""y"":850,""dx"":335,""dy"":29,""t"":11360},{""x"":847,""y"":890,""dx"":356,""dy"":69,""t"":11394},{""x"":857,""y"":886,""dx"":366,""dy"":65,""t"":11428},{""x"":865,""y"":878,""dx"":374,""dy"":57,""t"":11463},{""x"":865,""y"":900,""dx"":374,""dy"":79,""t"":11495},{""x"":843,""y"":901,""dx"":352,""dy"":80,""t"":11531},{""x"":824,""y"":900,""dx"":333,""dy"":79,""t"":11565},{""x"":826,""y"":885,""dx"":335,""dy"":64,""t"":11598},{""x"":850,""y"":889,""dx"":359,""dy"":68,""t"":11632},{""x"":871,""y"":878,""dx"":380,""dy"":57,""t"":11666},{""x"":861,""y"":877,""dx"":370,""dy"":56,""t"":11699},{""x"":858,""y"":868,""dx"":367,""dy"":47,""t"":11734},{""x"":862,""y"":868,""dx"":371,""dy"":47,""t"":11767},{""x"":838,""y"":879,""dx"":347,""dy"":58,""t"":11801},{""x"":839,""y"":875,""dx"":348,""dy"":54,""t"":11835},{""x"":835,""y"":868,""dx"":344,""dy"":47,""t"":11870},{""x"":801,""y"":878,""dx"":310,""dy"":57,""t"":11904},{""x"":803,""y"":874,""dx"":312,""dy"":53,""t"":11937},{""x"":813,""y"":831,""dx"":322,""dy"":10,""t"":11973},{""x"":823,""y"":794,""dx"":332,""dy"":-27,""t"":12004}],[{""x"":1464,""y"":596,""dx"":13,""dy"":-225,""t"":13026},{""x"":1459,""y"":605,""dx"":8,""dy"":-216,""t"":13061},{""x"":1455,""y"":633,""dx"":4,""dy"":-188,""t"":13094},{""x"":1425,""y"":602,""dx"":-26,""dy"":-219,""t"":13127},{""x"":1346,""y"":502,""dx"":-105,""dy"":-319,""t"":13163},{""x"":1359,""y"":541,""dx"":-92,""dy"":-280,""t"":13196},{""x"":1355,""y"":571,""dx"":-96,""dy"":-250,""t"":13229},{""x"":1385,""y"":613,""dx"":-66,""dy"":-208,""t"":13264},{""x"":1367,""y"":595,""dx"":-84,""dy"":-226,""t"":13297},{""x"":1350,""y"":582,""dx"":-101,""dy"":-239,""t"":13332},{""x"":1375,""y"":614,""dx"":-76,""dy"":-207,""t"":13366},{""x"":1383,""y"":650,""dx"":-68,""dy"":-171,""t"":13401},{""x"":1338,""y"":638,""dx"":-113,""dy"":-183,""t"":13434},{""x"":1373,""y"":708,""dx"":-78,""dy"":-113,""t"":13468},{""x"":1367,""y"":647,""dx"":-84,""dy"":-174,""t"":13502},{""x"":1385,""y"":691,""dx"":-66,""dy"":-130,""t"":13536},{""x"":1335,""y"":694,""dx"":-116,""dy"":-127,""t"":13569},{""x"":1342,""y"":709,""dx"":-109,""dy"":-112,""t"":13604},{""x"":1347,""y"":699,""dx"":-104,""dy"":-122,""t"":13639},{""x"":1368,""y"":728,""dx"":-83,""dy"":-93,""t"":13672},{""x"":1379,""y"":770,""dx"":-72,""dy"":-51,""t"":13707},{""x"":1386,""y"":754,""dx"":-65,""dy"":-67,""t"":13741},{""x"":1362,""y"":735,""dx"":-89,""dy"":-86,""t"":13774},{""x"":1352,""y"":719,""dx"":-99,""dy"":-102,""t"":13809},{""x"":1357,""y"":758,""dx"":-94,""dy"":-63,""t"":13841},{""x"":1299,""y"":703,""dx"":-152,""dy"":-118,""t"":13875},{""x"":1295,""y"":681,""dx"":-156,""dy"":-140,""t"":13909},{""x"":1328,""y"":695,""dx"":-123,""dy"":-126,""t"":13945},{""x"":1346,""y"":720,""dx"":-105,""dy"":-101,""t"":13978},{""x"":1361,""y"":741,""dx"":-90,""dy"":-80,""t"":14009},{""x"":1374,""y"":767,""dx"":-77,""dy"":-54,""t"":14046},{""x"":1348,""y"":764,""dx"":-103,""dy"":-57,""t"":14080},{""x"":1303,""y"":751,""dx"":-148,""dy"":-70,""t"":14114},{""x"":1308,""y"":759,""dx"":-143,""dy"":-62,""t"":14148},{""x"":1331,""y"":756,""dx"":-120,""dy"":-65,""t"":14182},{""x"":1341,""y"":781,""dx"":-110,""dy"":-40,""t"":14216},{""x"":1295,""y"":780,""dx"":-156,""dy"":-41,""t"":14251},{""x"":1254,""y"":793,""dx"":-197,""dy"":-28,""t"":14284},{""x"":1243,""y"":783,""dx"":-208,""dy"":-38,""t"":14318},{""x"":1252,""y"":767,""dx"":-199,""dy"":-54,""t"":14352},{""x"":1276,""y"":782,""dx"":-175,""dy"":-39,""t"":14386},{""x"":1268,""y"":793,""dx"":-183,""dy"":-28,""t"":14420},{""x"":1275,""y"":789,""dx"":-176,""dy"":-32,""t"":14453},{""x"":1272,""y"":795,""dx"":-179,""dy"":-26,""t"":14488},{""x"":1276,""y"":789,""dx"":-175,""dy"":-32,""t"":14521},{""x"":1226,""y"":726,""dx"":-225,""dy"":-95,""t"":14556},{""x"":1197,""y"":696,""dx"":-254,""dy"":-125,""t"":14590},{""x"":1259,""y"":738,""dx"":-192,""dy"":-83,""t"":14624},{""x"":1260,""y"":733,""dx"":-191,""dy"":-88,""t"":14658},{""x"":1300,""y"":724,""dx"":-151,""dy"":-97,""t"":14693},{""x"":1245,""y"":687,""dx"":-206,""dy"":-134,""t"":14726},{""x"":1291,""y"":719,""dx"":-160,""dy"":-102,""t"":14759},{""x"":1304,""y"":673,""dx"":-147,""dy"":-148,""t"":14794},{""x"":1275,""y"":708,""dx"":-176,""dy"":-113,""t"":14827},{""x"":1223,""y"":636,""dx"":-228,""dy"":-185,""t"":14862},{""x"":1192,""y"":611,""dx"":-259,""dy"":-210,""t"":14896},{""x"":1177,""y"":614,""dx"":-274,""dy"":-207,""t"":14930},{""x"":1230,""y"":672,""dx"":-221,""dy"":-149,""t"":14964},{""x"":1195,""y"":629,""dx"":-256,""dy"":-192,""t"":14998},{""x"":1221,""y"":664,""dx"":-230,""dy"":-157,""t"":15032}]]","[66.66666666666666,69.49152542372882,98.33333333333333,0,55.00000000000001]","[{""x"":49.45,""y"":176.98333333333332,""r"":46.330037687195556},{""x"":-144.38983050847457,""y"":-86.54237288135593,""r"":64.82143948975293},{""x"":-35.93333333333333,""y"":47.65,""r"":98.67908596966575},{""x"":334.59322033898303,""y"":39.271186440677965,""r"":42.53036835153452},{""x"":-133.43333333333334,""y"":-124.78333333333333,""r"":132.7450270711672}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
"","html-button-response","9","54888","0.0-4.0-4.0-0.0-0.0","","","","","463","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
