"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3651","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3659","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6215","0.0-2.0-0.0","","","","","2555","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8106","0.0-2.0-1.0","","","","","1890","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","10202","0.0-3.0","","","","","","","","780","","","","","","","","","","","","","","","","",""
"","html-button-response","5","10819","0.0-4.0-0.0","","","","","616","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","20883","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","21617","0.0-4.0-2.0","","","","","733","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","38590","0.0-4.0-3.0","","","","","","","","","","[[{""x"":533,""y"":274,""dx"":42,""dy"":-7,""t"":987},{""x"":516,""y"":264,""dx"":25,""dy"":-17,""t"":1022},{""x"":532,""y"":273,""dx"":41,""dy"":-8,""t"":1055},{""x"":531,""y"":279,""dx"":40,""dy"":-2,""t"":1089},{""x"":548,""y"":290,""dx"":57,""dy"":9,""t"":1125},{""x"":549,""y"":290,""dx"":58,""dy"":9,""t"":1158},{""x"":532,""y"":287,""dx"":41,""dy"":6,""t"":1191},{""x"":517,""y"":285,""dx"":26,""dy"":4,""t"":1227},{""x"":520,""y"":288,""dx"":29,""dy"":7,""t"":1260},{""x"":534,""y"":296,""dx"":43,""dy"":15,""t"":1293},{""x"":538,""y"":289,""dx"":47,""dy"":8,""t"":1329},{""x"":527,""y"":285,""dx"":36,""dy"":4,""t"":1361},{""x"":516,""y"":277,""dx"":25,""dy"":-4,""t"":1395},{""x"":520,""y"":279,""dx"":29,""dy"":-2,""t"":1429},{""x"":523,""y"":279,""dx"":32,""dy"":-2,""t"":1465},{""x"":496,""y"":277,""dx"":5,""dy"":-4,""t"":1497},{""x"":503,""y"":261,""dx"":12,""dy"":-20,""t"":1532},{""x"":510,""y"":263,""dx"":19,""dy"":-18,""t"":1567},{""x"":519,""y"":263,""dx"":28,""dy"":-18,""t"":1599},{""x"":514,""y"":255,""dx"":23,""dy"":-26,""t"":1633},{""x"":525,""y"":253,""dx"":34,""dy"":-28,""t"":1669},{""x"":520,""y"":250,""dx"":29,""dy"":-31,""t"":1700},{""x"":532,""y"":263,""dx"":41,""dy"":-18,""t"":1735},{""x"":519,""y"":262,""dx"":28,""dy"":-19,""t"":1770},{""x"":523,""y"":261,""dx"":32,""dy"":-20,""t"":1805},{""x"":534,""y"":267,""dx"":43,""dy"":-14,""t"":1837},{""x"":543,""y"":256,""dx"":52,""dy"":-25,""t"":1872},{""x"":551,""y"":253,""dx"":60,""dy"":-28,""t"":1908},{""x"":555,""y"":253,""dx"":64,""dy"":-28,""t"":1940},{""x"":560,""y"":255,""dx"":69,""dy"":-26,""t"":1973},{""x"":554,""y"":255,""dx"":63,""dy"":-26,""t"":2009},{""x"":541,""y"":254,""dx"":50,""dy"":-27,""t"":2041},{""x"":536,""y"":258,""dx"":45,""dy"":-23,""t"":2075},{""x"":535,""y"":269,""dx"":44,""dy"":-12,""t"":2111},{""x"":562,""y"":290,""dx"":71,""dy"":9,""t"":2144},{""x"":548,""y"":300,""dx"":57,""dy"":19,""t"":2177},{""x"":569,""y"":305,""dx"":78,""dy"":24,""t"":2213},{""x"":577,""y"":305,""dx"":86,""dy"":24,""t"":2246},{""x"":571,""y"":286,""dx"":80,""dy"":5,""t"":2280},{""x"":578,""y"":295,""dx"":87,""dy"":14,""t"":2316},{""x"":580,""y"":298,""dx"":89,""dy"":17,""t"":2348},{""x"":586,""y"":312,""dx"":95,""dy"":31,""t"":2381},{""x"":547,""y"":306,""dx"":56,""dy"":25,""t"":2417},{""x"":559,""y"":305,""dx"":68,""dy"":24,""t"":2450},{""x"":529,""y"":302,""dx"":38,""dy"":21,""t"":2484},{""x"":526,""y"":296,""dx"":35,""dy"":15,""t"":2519},{""x"":506,""y"":297,""dx"":15,""dy"":16,""t"":2552},{""x"":508,""y"":328,""dx"":17,""dy"":47,""t"":2585},{""x"":545,""y"":335,""dx"":54,""dy"":54,""t"":2620},{""x"":552,""y"":339,""dx"":61,""dy"":58,""t"":2655},{""x"":554,""y"":352,""dx"":63,""dy"":71,""t"":2687},{""x"":539,""y"":349,""dx"":48,""dy"":68,""t"":2721},{""x"":591,""y"":335,""dx"":100,""dy"":54,""t"":2755},{""x"":581,""y"":326,""dx"":90,""dy"":45,""t"":2792},{""x"":620,""y"":325,""dx"":129,""dy"":44,""t"":2824},{""x"":607,""y"":324,""dx"":116,""dy"":43,""t"":2857},{""x"":645,""y"":319,""dx"":154,""dy"":38,""t"":2893},{""x"":623,""y"":320,""dx"":132,""dy"":39,""t"":2925},{""x"":650,""y"":319,""dx"":159,""dy"":38,""t"":2960},{""x"":627,""y"":317,""dx"":136,""dy"":36,""t"":2993}],[{""x"":1483,""y"":185,""dx"":32,""dy"":-96,""t"":4014},{""x"":1444,""y"":180,""dx"":-7,""dy"":-101,""t"":4049},{""x"":1451,""y"":196,""dx"":0,""dy"":-85,""t"":4081},{""x"":1428,""y"":187,""dx"":-23,""dy"":-94,""t"":4115},{""x"":1438,""y"":199,""dx"":-13,""dy"":-82,""t"":4151},{""x"":1419,""y"":190,""dx"":-32,""dy"":-91,""t"":4183},{""x"":1405,""y"":213,""dx"":-46,""dy"":-68,""t"":4217},{""x"":1388,""y"":203,""dx"":-63,""dy"":-78,""t"":4253},{""x"":1383,""y"":208,""dx"":-68,""dy"":-73,""t"":4285},{""x"":1373,""y"":205,""dx"":-78,""dy"":-76,""t"":4319},{""x"":1398,""y"":199,""dx"":-53,""dy"":-82,""t"":4354},{""x"":1390,""y"":216,""dx"":-61,""dy"":-65,""t"":4390},{""x"":1411,""y"":221,""dx"":-40,""dy"":-60,""t"":4422},{""x"":1395,""y"":213,""dx"":-56,""dy"":-68,""t"":4455},{""x"":1392,""y"":212,""dx"":-59,""dy"":-69,""t"":4491},{""x"":1378,""y"":204,""dx"":-73,""dy"":-77,""t"":4524},{""x"":1384,""y"":213,""dx"":-67,""dy"":-68,""t"":4558},{""x"":1386,""y"":204,""dx"":-65,""dy"":-77,""t"":4591},{""x"":1399,""y"":206,""dx"":-52,""dy"":-75,""t"":4627},{""x"":1388,""y"":209,""dx"":-63,""dy"":-72,""t"":4659},{""x"":1410,""y"":198,""dx"":-41,""dy"":-83,""t"":4693},{""x"":1427,""y"":205,""dx"":-24,""dy"":-76,""t"":4727},{""x"":1432,""y"":209,""dx"":-19,""dy"":-72,""t"":4763},{""x"":1426,""y"":219,""dx"":-25,""dy"":-62,""t"":4796},{""x"":1424,""y"":219,""dx"":-27,""dy"":-62,""t"":4829},{""x"":1425,""y"":229,""dx"":-26,""dy"":-52,""t"":4865},{""x"":1427,""y"":240,""dx"":-24,""dy"":-41,""t"":4898},{""x"":1423,""y"":262,""dx"":-28,""dy"":-19,""t"":4933},{""x"":1443,""y"":284,""dx"":-8,""dy"":3,""t"":4967},{""x"":1426,""y"":290,""dx"":-25,""dy"":9,""t"":4999},{""x"":1417,""y"":294,""dx"":-34,""dy"":13,""t"":5034},{""x"":1419,""y"":298,""dx"":-32,""dy"":17,""t"":5069},{""x"":1410,""y"":304,""dx"":-41,""dy"":23,""t"":5102},{""x"":1398,""y"":294,""dx"":-53,""dy"":13,""t"":5136},{""x"":1393,""y"":287,""dx"":-58,""dy"":6,""t"":5171},{""x"":1392,""y"":296,""dx"":-59,""dy"":15,""t"":5203},{""x"":1403,""y"":300,""dx"":-48,""dy"":19,""t"":5237},{""x"":1406,""y"":285,""dx"":-45,""dy"":4,""t"":5274},{""x"":1414,""y"":277,""dx"":-37,""dy"":-4,""t"":5305},{""x"":1416,""y"":270,""dx"":-35,""dy"":-11,""t"":5340},{""x"":1422,""y"":268,""dx"":-29,""dy"":-13,""t"":5375},{""x"":1426,""y"":265,""dx"":-25,""dy"":-16,""t"":5407},{""x"":1417,""y"":258,""dx"":-34,""dy"":-23,""t"":5442},{""x"":1415,""y"":251,""dx"":-36,""dy"":-30,""t"":5477},{""x"":1407,""y"":264,""dx"":-44,""dy"":-17,""t"":5510},{""x"":1401,""y"":255,""dx"":-50,""dy"":-26,""t"":5544},{""x"":1404,""y"":262,""dx"":-47,""dy"":-19,""t"":5579},{""x"":1409,""y"":270,""dx"":-42,""dy"":-11,""t"":5611},{""x"":1417,""y"":295,""dx"":-34,""dy"":14,""t"":5645},{""x"":1419,""y"":301,""dx"":-32,""dy"":20,""t"":5681},{""x"":1422,""y"":304,""dx"":-29,""dy"":23,""t"":5713},{""x"":1429,""y"":303,""dx"":-22,""dy"":22,""t"":5748},{""x"":1425,""y"":317,""dx"":-26,""dy"":36,""t"":5784},{""x"":1416,""y"":313,""dx"":-35,""dy"":32,""t"":5815},{""x"":1386,""y"":309,""dx"":-65,""dy"":28,""t"":5849},{""x"":1389,""y"":309,""dx"":-62,""dy"":28,""t"":5882},{""x"":1392,""y"":309,""dx"":-59,""dy"":28,""t"":5919},{""x"":1394,""y"":326,""dx"":-57,""dy"":45,""t"":5951},{""x"":1400,""y"":332,""dx"":-51,""dy"":51,""t"":5986}],[{""x"":795,""y"":490,""dx"":-176,""dy"":-61,""t"":7005},{""x"":794,""y"":487,""dx"":-177,""dy"":-64,""t"":7041},{""x"":803,""y"":496,""dx"":-168,""dy"":-55,""t"":7073},{""x"":811,""y"":486,""dx"":-160,""dy"":-65,""t"":7107},{""x"":816,""y"":492,""dx"":-155,""dy"":-59,""t"":7144},{""x"":803,""y"":484,""dx"":-168,""dy"":-67,""t"":7175},{""x"":796,""y"":482,""dx"":-175,""dy"":-69,""t"":7209},{""x"":783,""y"":485,""dx"":-188,""dy"":-66,""t"":7245},{""x"":783,""y"":475,""dx"":-188,""dy"":-76,""t"":7277},{""x"":777,""y"":482,""dx"":-194,""dy"":-69,""t"":7312},{""x"":782,""y"":493,""dx"":-189,""dy"":-58,""t"":7348},{""x"":787,""y"":498,""dx"":-184,""dy"":-53,""t"":7379},{""x"":794,""y"":516,""dx"":-177,""dy"":-35,""t"":7413},{""x"":803,""y"":530,""dx"":-168,""dy"":-21,""t"":7449},{""x"":810,""y"":542,""dx"":-161,""dy"":-9,""t"":7481},{""x"":813,""y"":546,""dx"":-158,""dy"":-5,""t"":7515},{""x"":806,""y"":555,""dx"":-165,""dy"":4,""t"":7549},{""x"":808,""y"":547,""dx"":-163,""dy"":-4,""t"":7585},{""x"":815,""y"":552,""dx"":-156,""dy"":1,""t"":7617},{""x"":815,""y"":551,""dx"":-156,""dy"":0,""t"":7651},{""x"":822,""y"":554,""dx"":-149,""dy"":3,""t"":7688},{""x"":859,""y"":532,""dx"":-112,""dy"":-19,""t"":7719},{""x"":896,""y"":521,""dx"":-75,""dy"":-30,""t"":7753},{""x"":888,""y"":507,""dx"":-83,""dy"":-44,""t"":7787},{""x"":879,""y"":510,""dx"":-92,""dy"":-41,""t"":7823},{""x"":874,""y"":502,""dx"":-97,""dy"":-49,""t"":7856},{""x"":890,""y"":501,""dx"":-81,""dy"":-50,""t"":7889},{""x"":881,""y"":499,""dx"":-90,""dy"":-52,""t"":7923},{""x"":906,""y"":504,""dx"":-65,""dy"":-47,""t"":7959},{""x"":923,""y"":507,""dx"":-48,""dy"":-44,""t"":7992},{""x"":940,""y"":521,""dx"":-31,""dy"":-30,""t"":8025},{""x"":963,""y"":531,""dx"":-8,""dy"":-20,""t"":8061},{""x"":961,""y"":530,""dx"":-10,""dy"":-21,""t"":8093},{""x"":972,""y"":536,""dx"":1,""dy"":-15,""t"":8127},{""x"":961,""y"":533,""dx"":-10,""dy"":-18,""t"":8160},{""x"":958,""y"":526,""dx"":-13,""dy"":-25,""t"":8197},{""x"":964,""y"":532,""dx"":-7,""dy"":-19,""t"":8229},{""x"":957,""y"":527,""dx"":-14,""dy"":-24,""t"":8263},{""x"":954,""y"":526,""dx"":-17,""dy"":-25,""t"":8299},{""x"":949,""y"":526,""dx"":-22,""dy"":-25,""t"":8331},{""x"":946,""y"":527,""dx"":-25,""dy"":-24,""t"":8366},{""x"":949,""y"":539,""dx"":-22,""dy"":-12,""t"":8401},{""x"":948,""y"":543,""dx"":-23,""dy"":-8,""t"":8433},{""x"":929,""y"":526,""dx"":-42,""dy"":-25,""t"":8467},{""x"":912,""y"":526,""dx"":-59,""dy"":-25,""t"":8503},{""x"":927,""y"":514,""dx"":-44,""dy"":-37,""t"":8535},{""x"":926,""y"":519,""dx"":-45,""dy"":-32,""t"":8569},{""x"":931,""y"":566,""dx"":-40,""dy"":15,""t"":8605},{""x"":961,""y"":628,""dx"":-10,""dy"":77,""t"":8637},{""x"":959,""y"":666,""dx"":-12,""dy"":115,""t"":8671},{""x"":953,""y"":691,""dx"":-18,""dy"":140,""t"":8707},{""x"":959,""y"":720,""dx"":-12,""dy"":169,""t"":8739},{""x"":962,""y"":745,""dx"":-9,""dy"":194,""t"":8773},{""x"":981,""y"":739,""dx"":10,""dy"":188,""t"":8809},{""x"":996,""y"":737,""dx"":25,""dy"":186,""t"":8842},{""x"":1016,""y"":753,""dx"":45,""dy"":202,""t"":8875},{""x"":1008,""y"":749,""dx"":37,""dy"":198,""t"":8911},{""x"":1012,""y"":748,""dx"":41,""dy"":197,""t"":8943},{""x"":994,""y"":749,""dx"":23,""dy"":198,""t"":8977}],[{""x"":571,""y"":736,""dx"":80,""dy"":-85,""t"":10031},{""x"":590,""y"":753,""dx"":99,""dy"":-68,""t"":10066},{""x"":581,""y"":749,""dx"":90,""dy"":-72,""t"":10101},{""x"":576,""y"":752,""dx"":85,""dy"":-69,""t"":10133},{""x"":591,""y"":777,""dx"":100,""dy"":-44,""t"":10167},{""x"":578,""y"":781,""dx"":87,""dy"":-40,""t"":10203},{""x"":564,""y"":771,""dx"":73,""dy"":-50,""t"":10235},{""x"":547,""y"":773,""dx"":56,""dy"":-48,""t"":10269},{""x"":533,""y"":750,""dx"":42,""dy"":-71,""t"":10305},{""x"":518,""y"":744,""dx"":27,""dy"":-77,""t"":10337},{""x"":493,""y"":742,""dx"":2,""dy"":-79,""t"":10371},{""x"":483,""y"":749,""dx"":-8,""dy"":-72,""t"":10407},{""x"":519,""y"":781,""dx"":28,""dy"":-40,""t"":10440},{""x"":506,""y"":780,""dx"":15,""dy"":-41,""t"":10473},{""x"":531,""y"":800,""dx"":40,""dy"":-21,""t"":10509},{""x"":549,""y"":800,""dx"":58,""dy"":-21,""t"":10541},{""x"":573,""y"":796,""dx"":82,""dy"":-25,""t"":10576},{""x"":591,""y"":815,""dx"":100,""dy"":-6,""t"":10611},{""x"":583,""y"":820,""dx"":92,""dy"":-1,""t"":10644},{""x"":586,""y"":804,""dx"":95,""dy"":-17,""t"":10678},{""x"":584,""y"":818,""dx"":93,""dy"":-3,""t"":10713},{""x"":597,""y"":803,""dx"":106,""dy"":-18,""t"":10745},{""x"":588,""y"":809,""dx"":97,""dy"":-12,""t"":10779},{""x"":595,""y"":812,""dx"":104,""dy"":-9,""t"":10815},{""x"":590,""y"":810,""dx"":99,""dy"":-11,""t"":10847},{""x"":611,""y"":805,""dx"":120,""dy"":-16,""t"":10881},{""x"":617,""y"":826,""dx"":126,""dy"":5,""t"":10917},{""x"":636,""y"":823,""dx"":145,""dy"":2,""t"":10950},{""x"":650,""y"":823,""dx"":159,""dy"":2,""t"":10984},{""x"":645,""y"":802,""dx"":154,""dy"":-19,""t"":11019},{""x"":638,""y"":781,""dx"":147,""dy"":-40,""t"":11051},{""x"":614,""y"":772,""dx"":123,""dy"":-49,""t"":11084},{""x"":598,""y"":763,""dx"":107,""dy"":-58,""t"":11119},{""x"":616,""y"":773,""dx"":125,""dy"":-48,""t"":11155},{""x"":632,""y"":781,""dx"":141,""dy"":-40,""t"":11187},{""x"":639,""y"":801,""dx"":148,""dy"":-20,""t"":11221},{""x"":656,""y"":775,""dx"":165,""dy"":-46,""t"":11257},{""x"":661,""y"":797,""dx"":170,""dy"":-24,""t"":11289},{""x"":665,""y"":818,""dx"":174,""dy"":-3,""t"":11323},{""x"":667,""y"":835,""dx"":176,""dy"":14,""t"":11356},{""x"":664,""y"":846,""dx"":173,""dy"":25,""t"":11393},{""x"":641,""y"":855,""dx"":150,""dy"":34,""t"":11425},{""x"":648,""y"":867,""dx"":157,""dy"":46,""t"":11459},{""x"":661,""y"":834,""dx"":170,""dy"":13,""t"":11495},{""x"":663,""y"":857,""dx"":172,""dy"":36,""t"":11527},{""x"":659,""y"":859,""dx"":168,""dy"":38,""t"":11562},{""x"":669,""y"":864,""dx"":178,""dy"":43,""t"":11597},{""x"":666,""y"":864,""dx"":175,""dy"":43,""t"":11630},{""x"":670,""y"":862,""dx"":179,""dy"":41,""t"":11664},{""x"":685,""y"":864,""dx"":194,""dy"":43,""t"":11697},{""x"":714,""y"":862,""dx"":223,""dy"":41,""t"":11733},{""x"":712,""y"":840,""dx"":221,""dy"":19,""t"":11766},{""x"":712,""y"":829,""dx"":221,""dy"":8,""t"":11800},{""x"":710,""y"":826,""dx"":219,""dy"":5,""t"":11835},{""x"":709,""y"":817,""dx"":218,""dy"":-4,""t"":11868},{""x"":711,""y"":818,""dx"":220,""dy"":-3,""t"":11902},{""x"":690,""y"":808,""dx"":199,""dy"":-13,""t"":11937},{""x"":690,""y"":815,""dx"":199,""dy"":-6,""t"":11969},{""x"":681,""y"":805,""dx"":190,""dy"":-16,""t"":12003}],[{""x"":1480,""y"":793,""dx"":29,""dy"":-28,""t"":13025},{""x"":1483,""y"":802,""dx"":32,""dy"":-19,""t"":13058},{""x"":1486,""y"":810,""dx"":35,""dy"":-11,""t"":13091},{""x"":1485,""y"":813,""dx"":34,""dy"":-8,""t"":13127},{""x"":1469,""y"":788,""dx"":18,""dy"":-33,""t"":13161},{""x"":1445,""y"":776,""dx"":-6,""dy"":-45,""t"":13193},{""x"":1423,""y"":777,""dx"":-28,""dy"":-44,""t"":13228},{""x"":1406,""y"":764,""dx"":-45,""dy"":-57,""t"":13263},{""x"":1389,""y"":761,""dx"":-62,""dy"":-60,""t"":13295},{""x"":1391,""y"":735,""dx"":-60,""dy"":-86,""t"":13329},{""x"":1368,""y"":734,""dx"":-83,""dy"":-87,""t"":13365},{""x"":1355,""y"":740,""dx"":-96,""dy"":-81,""t"":13398},{""x"":1358,""y"":745,""dx"":-93,""dy"":-76,""t"":13432},{""x"":1360,""y"":768,""dx"":-91,""dy"":-53,""t"":13467},{""x"":1374,""y"":760,""dx"":-77,""dy"":-61,""t"":13500},{""x"":1381,""y"":781,""dx"":-70,""dy"":-40,""t"":13534},{""x"":1387,""y"":780,""dx"":-64,""dy"":-41,""t"":13569},{""x"":1393,""y"":801,""dx"":-58,""dy"":-20,""t"":13601},{""x"":1401,""y"":817,""dx"":-50,""dy"":-4,""t"":13635},{""x"":1405,""y"":835,""dx"":-46,""dy"":14,""t"":13671},{""x"":1411,""y"":855,""dx"":-40,""dy"":34,""t"":13704},{""x"":1410,""y"":879,""dx"":-41,""dy"":58,""t"":13737},{""x"":1413,""y"":905,""dx"":-38,""dy"":84,""t"":13773},{""x"":1417,""y"":870,""dx"":-34,""dy"":49,""t"":13805},{""x"":1429,""y"":864,""dx"":-22,""dy"":43,""t"":13840},{""x"":1441,""y"":868,""dx"":-10,""dy"":47,""t"":13876},{""x"":1439,""y"":834,""dx"":-12,""dy"":13,""t"":13907},{""x"":1427,""y"":808,""dx"":-24,""dy"":-13,""t"":13942},{""x"":1439,""y"":821,""dx"":-12,""dy"":0,""t"":13977},{""x"":1440,""y"":851,""dx"":-11,""dy"":30,""t"":14010},{""x"":1441,""y"":876,""dx"":-10,""dy"":55,""t"":14043},{""x"":1445,""y"":881,""dx"":-6,""dy"":60,""t"":14079},{""x"":1454,""y"":885,""dx"":3,""dy"":64,""t"":14112},{""x"":1460,""y"":893,""dx"":9,""dy"":72,""t"":14145},{""x"":1460,""y"":851,""dx"":9,""dy"":30,""t"":14182},{""x"":1463,""y"":807,""dx"":12,""dy"":-14,""t"":14215},{""x"":1475,""y"":757,""dx"":24,""dy"":-64,""t"":14248},{""x"":1485,""y"":715,""dx"":34,""dy"":-106,""t"":14281},{""x"":1483,""y"":692,""dx"":32,""dy"":-129,""t"":14317},{""x"":1490,""y"":686,""dx"":39,""dy"":-135,""t"":14350},{""x"":1487,""y"":675,""dx"":36,""dy"":-146,""t"":14384},{""x"":1466,""y"":666,""dx"":15,""dy"":-155,""t"":14419},{""x"":1448,""y"":668,""dx"":-3,""dy"":-153,""t"":14452},{""x"":1439,""y"":674,""dx"":-12,""dy"":-147,""t"":14485},{""x"":1431,""y"":682,""dx"":-20,""dy"":-139,""t"":14521},{""x"":1431,""y"":662,""dx"":-20,""dy"":-159,""t"":14554},{""x"":1407,""y"":676,""dx"":-44,""dy"":-145,""t"":14587},{""x"":1413,""y"":652,""dx"":-38,""dy"":-169,""t"":14622},{""x"":1410,""y"":641,""dx"":-41,""dy"":-180,""t"":14657},{""x"":1415,""y"":687,""dx"":-36,""dy"":-134,""t"":14689},{""x"":1421,""y"":694,""dx"":-30,""dy"":-127,""t"":14724},{""x"":1408,""y"":695,""dx"":-43,""dy"":-126,""t"":14758},{""x"":1398,""y"":680,""dx"":-53,""dy"":-141,""t"":14793},{""x"":1385,""y"":687,""dx"":-66,""dy"":-134,""t"":14826},{""x"":1390,""y"":687,""dx"":-61,""dy"":-134,""t"":14860},{""x"":1394,""y"":672,""dx"":-57,""dy"":-149,""t"":14895},{""x"":1395,""y"":657,""dx"":-56,""dy"":-164,""t"":14928},{""x"":1382,""y"":670,""dx"":-69,""dy"":-151,""t"":14962},{""x"":1371,""y"":681,""dx"":-80,""dy"":-140,""t"":14995}]]","[100,100,91.52542372881356,89.83050847457628,100]","[{""x"":57.1,""y"":8.133333333333333,""r"":51.63632795117722},{""x"":-39.91525423728814,""y"":-29.576271186440678,""r"":47.244050284387896},{""x"":-78.45762711864407,""y"":4.915254237288136,""r"":80.15797745818395},{""x"":127.9322033898305,""y"":-16.050847457627118,""r"":60.961285815548344},{""x"":-26.389830508474578,""y"":-58.559322033898304,""r"":80.69406797016192}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
"","html-keyboard-response","9","39801","0.0-5.0-0.0","","","","","1210"," ","","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，1000毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的  "" 1 "","" 4 "" ,"" 7 "","" 9 "","" 6 "","" 3 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","",""
