"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2440","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2450","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6255","0.0-2.0-0.0","","","","","3803","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7351","0.0-2.0-1.0","","","","","1095","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","11440","0.0-3.0","","","","","","","","2178","","","","","","","","","","","","","","","","",""
"","html-button-response","5","12040","0.0-4.0-0.0","","","","","598","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","22747","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","23503","0.0-4.0-2.0","","","","","756","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","40599","0.0-4.0-3.0","","","","","","","","","","[[{""x"":317,""y"":348,""dx"":-174,""dy"":67,""t"":990},{""x"":325,""y"":350,""dx"":-166,""dy"":69,""t"":1024},{""x"":349,""y"":353,""dx"":-142,""dy"":72,""t"":1058},{""x"":347,""y"":354,""dx"":-144,""dy"":73,""t"":1093},{""x"":362,""y"":362,""dx"":-129,""dy"":81,""t"":1126},{""x"":364,""y"":354,""dx"":-127,""dy"":73,""t"":1159},{""x"":365,""y"":344,""dx"":-126,""dy"":63,""t"":1193},{""x"":353,""y"":346,""dx"":-138,""dy"":65,""t"":1229},{""x"":352,""y"":361,""dx"":-139,""dy"":80,""t"":1261},{""x"":344,""y"":366,""dx"":-147,""dy"":85,""t"":1296},{""x"":339,""y"":370,""dx"":-152,""dy"":89,""t"":1329},{""x"":337,""y"":368,""dx"":-154,""dy"":87,""t"":1363},{""x"":321,""y"":365,""dx"":-170,""dy"":84,""t"":1397},{""x"":313,""y"":357,""dx"":-178,""dy"":76,""t"":1432},{""x"":324,""y"":338,""dx"":-167,""dy"":57,""t"":1466},{""x"":328,""y"":352,""dx"":-163,""dy"":71,""t"":1500},{""x"":340,""y"":351,""dx"":-151,""dy"":70,""t"":1533},{""x"":389,""y"":323,""dx"":-102,""dy"":42,""t"":1568},{""x"":380,""y"":329,""dx"":-111,""dy"":48,""t"":1603},{""x"":383,""y"":337,""dx"":-108,""dy"":56,""t"":1636},{""x"":358,""y"":349,""dx"":-133,""dy"":68,""t"":1669},{""x"":366,""y"":369,""dx"":-125,""dy"":88,""t"":1703},{""x"":369,""y"":381,""dx"":-122,""dy"":100,""t"":1738},{""x"":368,""y"":386,""dx"":-123,""dy"":105,""t"":1772},{""x"":359,""y"":386,""dx"":-132,""dy"":105,""t"":1806},{""x"":374,""y"":388,""dx"":-117,""dy"":107,""t"":1839},{""x"":366,""y"":384,""dx"":-125,""dy"":103,""t"":1875},{""x"":375,""y"":403,""dx"":-116,""dy"":122,""t"":1908},{""x"":409,""y"":390,""dx"":-82,""dy"":109,""t"":1942},{""x"":418,""y"":393,""dx"":-73,""dy"":112,""t"":1975},{""x"":453,""y"":385,""dx"":-38,""dy"":104,""t"":2010},{""x"":438,""y"":389,""dx"":-53,""dy"":108,""t"":2043},{""x"":435,""y"":390,""dx"":-56,""dy"":109,""t"":2078},{""x"":415,""y"":412,""dx"":-76,""dy"":131,""t"":2111},{""x"":395,""y"":435,""dx"":-96,""dy"":154,""t"":2146},{""x"":381,""y"":433,""dx"":-110,""dy"":152,""t"":2180},{""x"":426,""y"":417,""dx"":-65,""dy"":136,""t"":2243},{""x"":415,""y"":431,""dx"":-76,""dy"":150,""t"":2251},{""x"":399,""y"":434,""dx"":-92,""dy"":153,""t"":2282},{""x"":424,""y"":397,""dx"":-67,""dy"":116,""t"":2317},{""x"":406,""y"":398,""dx"":-85,""dy"":117,""t"":2349},{""x"":406,""y"":382,""dx"":-85,""dy"":101,""t"":2384},{""x"":386,""y"":381,""dx"":-105,""dy"":100,""t"":2417},{""x"":415,""y"":342,""dx"":-76,""dy"":61,""t"":2452},{""x"":440,""y"":313,""dx"":-51,""dy"":32,""t"":2487},{""x"":461,""y"":290,""dx"":-30,""dy"":9,""t"":2517},{""x"":477,""y"":291,""dx"":-14,""dy"":10,""t"":2553},{""x"":473,""y"":302,""dx"":-18,""dy"":21,""t"":2588},{""x"":510,""y"":320,""dx"":19,""dy"":39,""t"":2622},{""x"":471,""y"":333,""dx"":-20,""dy"":52,""t"":2656},{""x"":455,""y"":369,""dx"":-36,""dy"":88,""t"":2689},{""x"":461,""y"":398,""dx"":-30,""dy"":117,""t"":2723},{""x"":433,""y"":437,""dx"":-58,""dy"":156,""t"":2759},{""x"":474,""y"":429,""dx"":-17,""dy"":148,""t"":2792},{""x"":453,""y"":440,""dx"":-38,""dy"":159,""t"":2826},{""x"":423,""y"":455,""dx"":-68,""dy"":174,""t"":2860},{""x"":451,""y"":416,""dx"":-40,""dy"":135,""t"":2895},{""x"":474,""y"":382,""dx"":-17,""dy"":101,""t"":2926},{""x"":465,""y"":408,""dx"":-26,""dy"":127,""t"":2962}],[{""x"":1531,""y"":342,""dx"":80,""dy"":61,""t"":4016},{""x"":1515,""y"":324,""dx"":64,""dy"":43,""t"":4050},{""x"":1512,""y"":352,""dx"":61,""dy"":71,""t"":4085},{""x"":1510,""y"":376,""dx"":59,""dy"":95,""t"":4116},{""x"":1503,""y"":372,""dx"":52,""dy"":91,""t"":4151},{""x"":1493,""y"":364,""dx"":42,""dy"":83,""t"":4186},{""x"":1507,""y"":363,""dx"":56,""dy"":82,""t"":4221},{""x"":1514,""y"":346,""dx"":63,""dy"":65,""t"":4255},{""x"":1542,""y"":375,""dx"":91,""dy"":94,""t"":4288},{""x"":1449,""y"":518,""dx"":-2,""dy"":237,""t"":4322},{""x"":1327,""y"":693,""dx"":-124,""dy"":412,""t"":4356},{""x"":1240,""y"":823,""dx"":-211,""dy"":542,""t"":4389},{""x"":1207,""y"":829,""dx"":-244,""dy"":548,""t"":4423},{""x"":1206,""y"":853,""dx"":-245,""dy"":572,""t"":4458},{""x"":1247,""y"":836,""dx"":-204,""dy"":555,""t"":4492},{""x"":1286,""y"":816,""dx"":-165,""dy"":535,""t"":4524},{""x"":1318,""y"":761,""dx"":-133,""dy"":480,""t"":4560},{""x"":1367,""y"":697,""dx"":-84,""dy"":416,""t"":4594},{""x"":1404,""y"":616,""dx"":-47,""dy"":335,""t"":4627},{""x"":1454,""y"":543,""dx"":3,""dy"":262,""t"":4663},{""x"":1479,""y"":479,""dx"":28,""dy"":198,""t"":4696},{""x"":1510,""y"":423,""dx"":59,""dy"":142,""t"":4731},{""x"":1531,""y"":380,""dx"":80,""dy"":99,""t"":4764},{""x"":1540,""y"":349,""dx"":89,""dy"":68,""t"":4798},{""x"":1545,""y"":323,""dx"":94,""dy"":42,""t"":4833},{""x"":1563,""y"":332,""dx"":112,""dy"":51,""t"":4866},{""x"":1563,""y"":319,""dx"":112,""dy"":38,""t"":4900},{""x"":1563,""y"":297,""dx"":112,""dy"":16,""t"":4933},{""x"":1569,""y"":293,""dx"":118,""dy"":12,""t"":4968},{""x"":1560,""y"":320,""dx"":109,""dy"":39,""t"":5002},{""x"":1566,""y"":325,""dx"":115,""dy"":44,""t"":5036},{""x"":1550,""y"":325,""dx"":99,""dy"":44,""t"":5070},{""x"":1555,""y"":320,""dx"":104,""dy"":39,""t"":5104},{""x"":1553,""y"":322,""dx"":102,""dy"":41,""t"":5138},{""x"":1539,""y"":324,""dx"":88,""dy"":43,""t"":5172},{""x"":1525,""y"":314,""dx"":74,""dy"":33,""t"":5206},{""x"":1541,""y"":318,""dx"":90,""dy"":37,""t"":5239},{""x"":1553,""y"":319,""dx"":102,""dy"":38,""t"":5273},{""x"":1556,""y"":344,""dx"":105,""dy"":63,""t"":5308},{""x"":1545,""y"":322,""dx"":94,""dy"":41,""t"":5342},{""x"":1546,""y"":313,""dx"":95,""dy"":32,""t"":5376},{""x"":1541,""y"":338,""dx"":90,""dy"":57,""t"":5411},{""x"":1544,""y"":343,""dx"":93,""dy"":62,""t"":5444},{""x"":1521,""y"":401,""dx"":70,""dy"":120,""t"":5477},{""x"":1512,""y"":392,""dx"":61,""dy"":111,""t"":5512},{""x"":1506,""y"":414,""dx"":55,""dy"":133,""t"":5545},{""x"":1500,""y"":426,""dx"":49,""dy"":145,""t"":5580},{""x"":1509,""y"":428,""dx"":58,""dy"":147,""t"":5613},{""x"":1514,""y"":414,""dx"":63,""dy"":133,""t"":5648},{""x"":1514,""y"":413,""dx"":63,""dy"":132,""t"":5682},{""x"":1520,""y"":432,""dx"":69,""dy"":151,""t"":5716},{""x"":1526,""y"":453,""dx"":75,""dy"":172,""t"":5749},{""x"":1502,""y"":459,""dx"":51,""dy"":178,""t"":5783},{""x"":1503,""y"":460,""dx"":52,""dy"":179,""t"":5818},{""x"":1515,""y"":441,""dx"":64,""dy"":160,""t"":5852},{""x"":1520,""y"":442,""dx"":69,""dy"":161,""t"":5885},{""x"":1504,""y"":468,""dx"":53,""dy"":187,""t"":5919},{""x"":1508,""y"":470,""dx"":57,""dy"":189,""t"":5954},{""x"":1509,""y"":445,""dx"":58,""dy"":164,""t"":5987}],[{""x"":877,""y"":550,""dx"":-94,""dy"":-1,""t"":7008},{""x"":901,""y"":561,""dx"":-70,""dy"":10,""t"":7041},{""x"":922,""y"":577,""dx"":-49,""dy"":26,""t"":7076},{""x"":914,""y"":570,""dx"":-57,""dy"":19,""t"":7109},{""x"":948,""y"":573,""dx"":-23,""dy"":22,""t"":7144},{""x"":963,""y"":506,""dx"":-8,""dy"":-45,""t"":7177},{""x"":972,""y"":483,""dx"":1,""dy"":-68,""t"":7211},{""x"":991,""y"":423,""dx"":20,""dy"":-128,""t"":7246},{""x"":1011,""y"":492,""dx"":40,""dy"":-59,""t"":7279},{""x"":1039,""y"":656,""dx"":68,""dy"":105,""t"":7314},{""x"":1041,""y"":794,""dx"":70,""dy"":243,""t"":7348},{""x"":1030,""y"":873,""dx"":59,""dy"":322,""t"":7382},{""x"":1031,""y"":880,""dx"":60,""dy"":329,""t"":7415},{""x"":1021,""y"":868,""dx"":50,""dy"":317,""t"":7450},{""x"":974,""y"":836,""dx"":3,""dy"":285,""t"":7485},{""x"":947,""y"":793,""dx"":-24,""dy"":242,""t"":7517},{""x"":939,""y"":751,""dx"":-32,""dy"":200,""t"":7551},{""x"":948,""y"":684,""dx"":-23,""dy"":133,""t"":7585},{""x"":967,""y"":626,""dx"":-4,""dy"":75,""t"":7621},{""x"":963,""y"":592,""dx"":-8,""dy"":41,""t"":7654},{""x"":959,""y"":564,""dx"":-12,""dy"":13,""t"":7686},{""x"":924,""y"":581,""dx"":-47,""dy"":30,""t"":7722},{""x"":912,""y"":578,""dx"":-59,""dy"":27,""t"":7756},{""x"":932,""y"":560,""dx"":-39,""dy"":9,""t"":7790},{""x"":965,""y"":465,""dx"":-6,""dy"":-86,""t"":7824},{""x"":972,""y"":412,""dx"":1,""dy"":-139,""t"":7857},{""x"":983,""y"":425,""dx"":12,""dy"":-126,""t"":7891},{""x"":979,""y"":440,""dx"":8,""dy"":-111,""t"":7925},{""x"":966,""y"":426,""dx"":-5,""dy"":-125,""t"":7960},{""x"":985,""y"":420,""dx"":14,""dy"":-131,""t"":7994},{""x"":978,""y"":362,""dx"":7,""dy"":-189,""t"":8028},{""x"":945,""y"":414,""dx"":-26,""dy"":-137,""t"":8062},{""x"":916,""y"":461,""dx"":-55,""dy"":-90,""t"":8093},{""x"":906,""y"":521,""dx"":-65,""dy"":-30,""t"":8129},{""x"":938,""y"":544,""dx"":-33,""dy"":-7,""t"":8163},{""x"":914,""y"":569,""dx"":-57,""dy"":18,""t"":8198},{""x"":926,""y"":588,""dx"":-45,""dy"":37,""t"":8232},{""x"":939,""y"":611,""dx"":-32,""dy"":60,""t"":8266},{""x"":982,""y"":532,""dx"":11,""dy"":-19,""t"":8299},{""x"":985,""y"":515,""dx"":14,""dy"":-36,""t"":8334},{""x"":1010,""y"":526,""dx"":39,""dy"":-25,""t"":8368},{""x"":992,""y"":572,""dx"":21,""dy"":21,""t"":8402},{""x"":989,""y"":568,""dx"":18,""dy"":17,""t"":8435},{""x"":967,""y"":501,""dx"":-4,""dy"":-50,""t"":8470},{""x"":962,""y"":546,""dx"":-9,""dy"":-5,""t"":8504},{""x"":968,""y"":514,""dx"":-3,""dy"":-37,""t"":8539},{""x"":989,""y"":451,""dx"":18,""dy"":-100,""t"":8571},{""x"":1003,""y"":494,""dx"":32,""dy"":-57,""t"":8606},{""x"":1004,""y"":522,""dx"":33,""dy"":-29,""t"":8640},{""x"":968,""y"":484,""dx"":-3,""dy"":-67,""t"":8675},{""x"":953,""y"":503,""dx"":-18,""dy"":-48,""t"":8708},{""x"":926,""y"":461,""dx"":-45,""dy"":-90,""t"":8742},{""x"":907,""y"":498,""dx"":-64,""dy"":-53,""t"":8776},{""x"":914,""y"":475,""dx"":-57,""dy"":-76,""t"":8809},{""x"":973,""y"":423,""dx"":2,""dy"":-128,""t"":8844},{""x"":940,""y"":474,""dx"":-31,""dy"":-77,""t"":8878},{""x"":939,""y"":491,""dx"":-32,""dy"":-60,""t"":8912},{""x"":956,""y"":482,""dx"":-15,""dy"":-69,""t"":8946},{""x"":965,""y"":454,""dx"":-6,""dy"":-97,""t"":8980}],[{""x"":462,""y"":750,""dx"":-29,""dy"":-71,""t"":10035},{""x"":453,""y"":725,""dx"":-38,""dy"":-96,""t"":10068},{""x"":428,""y"":721,""dx"":-63,""dy"":-100,""t"":10102},{""x"":453,""y"":741,""dx"":-38,""dy"":-80,""t"":10135},{""x"":449,""y"":750,""dx"":-42,""dy"":-71,""t"":10169},{""x"":457,""y"":756,""dx"":-34,""dy"":-65,""t"":10203},{""x"":486,""y"":755,""dx"":-5,""dy"":-66,""t"":10238},{""x"":537,""y"":748,""dx"":46,""dy"":-73,""t"":10271},{""x"":515,""y"":758,""dx"":24,""dy"":-63,""t"":10305},{""x"":523,""y"":758,""dx"":32,""dy"":-63,""t"":10340},{""x"":516,""y"":762,""dx"":25,""dy"":-59,""t"":10375},{""x"":496,""y"":746,""dx"":5,""dy"":-75,""t"":10408},{""x"":478,""y"":756,""dx"":-13,""dy"":-65,""t"":10442},{""x"":453,""y"":769,""dx"":-38,""dy"":-52,""t"":10476},{""x"":457,""y"":765,""dx"":-34,""dy"":-56,""t"":10510},{""x"":443,""y"":757,""dx"":-48,""dy"":-64,""t"":10543},{""x"":486,""y"":750,""dx"":-5,""dy"":-71,""t"":10578},{""x"":506,""y"":747,""dx"":15,""dy"":-74,""t"":10612},{""x"":517,""y"":746,""dx"":26,""dy"":-75,""t"":10646},{""x"":513,""y"":739,""dx"":22,""dy"":-82,""t"":10679},{""x"":522,""y"":746,""dx"":31,""dy"":-75,""t"":10713},{""x"":537,""y"":765,""dx"":46,""dy"":-56,""t"":10748},{""x"":530,""y"":778,""dx"":39,""dy"":-43,""t"":10781},{""x"":504,""y"":766,""dx"":13,""dy"":-55,""t"":10815},{""x"":508,""y"":779,""dx"":17,""dy"":-42,""t"":10849},{""x"":484,""y"":791,""dx"":-7,""dy"":-30,""t"":10884},{""x"":523,""y"":771,""dx"":32,""dy"":-50,""t"":10917},{""x"":526,""y"":759,""dx"":35,""dy"":-62,""t"":10952},{""x"":570,""y"":763,""dx"":79,""dy"":-58,""t"":10993},{""x"":575,""y"":761,""dx"":84,""dy"":-60,""t"":11036},{""x"":578,""y"":759,""dx"":87,""dy"":-62,""t"":11052},{""x"":588,""y"":763,""dx"":97,""dy"":-58,""t"":11088},{""x"":594,""y"":768,""dx"":103,""dy"":-53,""t"":11122},{""x"":607,""y"":780,""dx"":116,""dy"":-41,""t"":11155},{""x"":591,""y"":785,""dx"":100,""dy"":-36,""t"":11190},{""x"":577,""y"":798,""dx"":86,""dy"":-23,""t"":11223},{""x"":565,""y"":808,""dx"":74,""dy"":-13,""t"":11255},{""x"":554,""y"":811,""dx"":63,""dy"":-10,""t"":11292},{""x"":548,""y"":814,""dx"":57,""dy"":-7,""t"":11325},{""x"":545,""y"":808,""dx"":54,""dy"":-13,""t"":11359},{""x"":543,""y"":795,""dx"":52,""dy"":-26,""t"":11394},{""x"":514,""y"":799,""dx"":23,""dy"":-22,""t"":11428},{""x"":503,""y"":789,""dx"":12,""dy"":-32,""t"":11462},{""x"":531,""y"":785,""dx"":40,""dy"":-36,""t"":11496},{""x"":549,""y"":793,""dx"":58,""dy"":-28,""t"":11530},{""x"":553,""y"":787,""dx"":62,""dy"":-34,""t"":11563},{""x"":552,""y"":773,""dx"":61,""dy"":-48,""t"":11598},{""x"":525,""y"":758,""dx"":34,""dy"":-63,""t"":11631},{""x"":501,""y"":745,""dx"":10,""dy"":-76,""t"":11663},{""x"":502,""y"":741,""dx"":11,""dy"":-80,""t"":11700},{""x"":505,""y"":745,""dx"":14,""dy"":-76,""t"":11735},{""x"":519,""y"":739,""dx"":28,""dy"":-82,""t"":11769},{""x"":534,""y"":739,""dx"":43,""dy"":-82,""t"":11801},{""x"":536,""y"":741,""dx"":45,""dy"":-80,""t"":11835},{""x"":552,""y"":748,""dx"":61,""dy"":-73,""t"":11870},{""x"":557,""y"":744,""dx"":66,""dy"":-77,""t"":11904},{""x"":578,""y"":772,""dx"":87,""dy"":-49,""t"":11938},{""x"":577,""y"":784,""dx"":86,""dy"":-37,""t"":11972},{""x"":562,""y"":749,""dx"":71,""dy"":-72,""t"":12006}],[{""x"":1472,""y"":761,""dx"":21,""dy"":-60,""t"":13026},{""x"":1458,""y"":753,""dx"":7,""dy"":-68,""t"":13060},{""x"":1443,""y"":744,""dx"":-8,""dy"":-77,""t"":13094},{""x"":1451,""y"":742,""dx"":0,""dy"":-79,""t"":13128},{""x"":1458,""y"":738,""dx"":7,""dy"":-83,""t"":13162},{""x"":1463,""y"":726,""dx"":12,""dy"":-95,""t"":13196},{""x"":1468,""y"":715,""dx"":17,""dy"":-106,""t"":13228},{""x"":1471,""y"":715,""dx"":20,""dy"":-106,""t"":13264},{""x"":1442,""y"":727,""dx"":-9,""dy"":-94,""t"":13297},{""x"":1425,""y"":734,""dx"":-26,""dy"":-87,""t"":13331},{""x"":1415,""y"":743,""dx"":-36,""dy"":-78,""t"":13365},{""x"":1399,""y"":757,""dx"":-52,""dy"":-64,""t"":13400},{""x"":1396,""y"":769,""dx"":-55,""dy"":-52,""t"":13433},{""x"":1400,""y"":772,""dx"":-51,""dy"":-49,""t"":13468},{""x"":1409,""y"":775,""dx"":-42,""dy"":-46,""t"":13502},{""x"":1404,""y"":770,""dx"":-47,""dy"":-51,""t"":13536},{""x"":1418,""y"":761,""dx"":-33,""dy"":-60,""t"":13569},{""x"":1404,""y"":756,""dx"":-47,""dy"":-65,""t"":13604},{""x"":1408,""y"":747,""dx"":-43,""dy"":-74,""t"":13638},{""x"":1438,""y"":768,""dx"":-13,""dy"":-53,""t"":13672},{""x"":1412,""y"":761,""dx"":-39,""dy"":-60,""t"":13706},{""x"":1408,""y"":765,""dx"":-43,""dy"":-56,""t"":13740},{""x"":1409,""y"":760,""dx"":-42,""dy"":-61,""t"":13775},{""x"":1421,""y"":747,""dx"":-30,""dy"":-74,""t"":13808},{""x"":1405,""y"":749,""dx"":-46,""dy"":-72,""t"":13842},{""x"":1410,""y"":749,""dx"":-41,""dy"":-72,""t"":13877},{""x"":1420,""y"":753,""dx"":-31,""dy"":-68,""t"":13910},{""x"":1420,""y"":739,""dx"":-31,""dy"":-82,""t"":13944},{""x"":1423,""y"":738,""dx"":-28,""dy"":-83,""t"":13978},{""x"":1430,""y"":733,""dx"":-21,""dy"":-88,""t"":14013},{""x"":1399,""y"":730,""dx"":-52,""dy"":-91,""t"":14046},{""x"":1379,""y"":736,""dx"":-72,""dy"":-85,""t"":14080},{""x"":1387,""y"":746,""dx"":-64,""dy"":-75,""t"":14114},{""x"":1386,""y"":753,""dx"":-65,""dy"":-68,""t"":14147},{""x"":1403,""y"":767,""dx"":-48,""dy"":-54,""t"":14181},{""x"":1414,""y"":765,""dx"":-37,""dy"":-56,""t"":14215},{""x"":1423,""y"":775,""dx"":-28,""dy"":-46,""t"":14249},{""x"":1441,""y"":774,""dx"":-10,""dy"":-47,""t"":14284},{""x"":1460,""y"":763,""dx"":9,""dy"":-58,""t"":14317},{""x"":1453,""y"":746,""dx"":2,""dy"":-75,""t"":14352},{""x"":1449,""y"":746,""dx"":-2,""dy"":-75,""t"":14386},{""x"":1432,""y"":768,""dx"":-19,""dy"":-53,""t"":14420},{""x"":1418,""y"":786,""dx"":-33,""dy"":-35,""t"":14452},{""x"":1330,""y"":870,""dx"":-121,""dy"":49,""t"":14488},{""x"":1239,""y"":952,""dx"":-212,""dy"":131,""t"":14522},{""x"":1154,""y"":1062,""dx"":-297,""dy"":241,""t"":14556},{""x"":1127,""y"":1076,""dx"":-324,""dy"":255,""t"":14590},{""x"":1061,""y"":1083,""dx"":-390,""dy"":262,""t"":14624},{""x"":1063,""y"":1031,""dx"":-388,""dy"":210,""t"":14658},{""x"":1134,""y"":953,""dx"":-317,""dy"":132,""t"":14691},{""x"":1185,""y"":916,""dx"":-266,""dy"":95,""t"":14727},{""x"":1248,""y"":884,""dx"":-203,""dy"":63,""t"":14761},{""x"":1314,""y"":830,""dx"":-137,""dy"":9,""t"":14794},{""x"":1370,""y"":785,""dx"":-81,""dy"":-36,""t"":14826},{""x"":1409,""y"":749,""dx"":-42,""dy"":-72,""t"":14861},{""x"":1454,""y"":703,""dx"":3,""dy"":-118,""t"":14896},{""x"":1459,""y"":681,""dx"":8,""dy"":-140,""t"":14929},{""x"":1465,""y"":679,""dx"":14,""dy"":-142,""t"":14964},{""x"":1464,""y"":675,""dx"":13,""dy"":-146,""t"":14998}]]","[100,81.35593220338984,88.13559322033898,100,86.4406779661017]","[{""x"":-94.23728813559322,""y"":93,""r"":53.63140397285877},{""x"":38.016949152542374,""y"":157.96610169491527,""r"":109.76902443086779},{""x"":-9.474576271186441,""y"":0.1016949152542373,""r"":70.57438656530591},{""x"":31.83050847457627,""y"":-56.6271186440678,""r"":38.00443736471066},{""x"":-65.91525423728814,""y"":-37.08474576271186,""r"":56.88985007586764}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
"","html-keyboard-response","9","41248","0.0-5.0-0.0","","","","","647"," ","","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，500毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","",""
