"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1733","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1738","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6164","0.0-2.0-0.0","","","","","4425","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7529","0.0-2.0-1.0","","","","","1363","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","26711","0.0-3.0","","","","","","","","5112","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","28190","0.0-4.0-0.0","","","","","1477","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","39476","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","40350","0.0-4.0-2.0","","","","","874","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","57498","0.0-4.0-3.0","","","","","","","","","","[[{""x"":495,""y"":546,""dx"":57.166656494140625,""dy"":295,""t"":962},{""x"":508,""y"":527,""dx"":70.16665649414062,""dy"":276,""t"":989},{""x"":461,""y"":557,""dx"":23.166656494140625,""dy"":306,""t"":1028},{""x"":478,""y"":517,""dx"":40.166656494140625,""dy"":266,""t"":1056},{""x"":463,""y"":532,""dx"":25.166656494140625,""dy"":281,""t"":1106},{""x"":435,""y"":515,""dx"":-2.833343505859375,""dy"":264,""t"":1127},{""x"":415,""y"":507,""dx"":-22.833343505859375,""dy"":256,""t"":1170},{""x"":410,""y"":514,""dx"":-27.833343505859375,""dy"":263,""t"":1196},{""x"":406,""y"":519,""dx"":-31.833343505859375,""dy"":268,""t"":1234},{""x"":375,""y"":516,""dx"":-62.833343505859375,""dy"":265,""t"":1263},{""x"":402,""y"":531,""dx"":-35.833343505859375,""dy"":280,""t"":1302},{""x"":359,""y"":532,""dx"":-78.83334350585938,""dy"":281,""t"":1333},{""x"":334,""y"":523,""dx"":-103.83334350585938,""dy"":272,""t"":1370},{""x"":344,""y"":525,""dx"":-93.83334350585938,""dy"":274,""t"":1404},{""x"":373,""y"":517,""dx"":-64.83334350585938,""dy"":266,""t"":1436},{""x"":402,""y"":518,""dx"":-35.833343505859375,""dy"":267,""t"":1472},{""x"":375,""y"":513,""dx"":-62.833343505859375,""dy"":262,""t"":1501},{""x"":397,""y"":503,""dx"":-40.833343505859375,""dy"":252,""t"":1534},{""x"":460,""y"":503,""dx"":22.166656494140625,""dy"":252,""t"":1574},{""x"":485,""y"":490,""dx"":47.166656494140625,""dy"":239,""t"":1604},{""x"":497,""y"":477,""dx"":59.166656494140625,""dy"":226,""t"":1640},{""x"":493,""y"":470,""dx"":55.166656494140625,""dy"":219,""t"":1678},{""x"":489,""y"":465,""dx"":51.166656494140625,""dy"":214,""t"":1703},{""x"":478,""y"":472,""dx"":40.166656494140625,""dy"":221,""t"":1742},{""x"":470,""y"":486,""dx"":32.166656494140625,""dy"":235,""t"":1778},{""x"":471,""y"":494,""dx"":33.166656494140625,""dy"":243,""t"":1810},{""x"":466,""y"":491,""dx"":28.166656494140625,""dy"":240,""t"":1841},{""x"":500,""y"":465,""dx"":62.166656494140625,""dy"":214,""t"":1883},{""x"":477,""y"":474,""dx"":39.166656494140625,""dy"":223,""t"":1908},{""x"":514,""y"":466,""dx"":76.16665649414062,""dy"":215,""t"":1981},{""x"":538,""y"":458,""dx"":100.16665649414062,""dy"":207,""t"":2007},{""x"":523,""y"":445,""dx"":85.16665649414062,""dy"":194,""t"":2053},{""x"":473,""y"":436,""dx"":35.166656494140625,""dy"":185,""t"":2079},{""x"":480,""y"":425,""dx"":42.166656494140625,""dy"":174,""t"":2125},{""x"":485,""y"":417,""dx"":47.166656494140625,""dy"":166,""t"":2147},{""x"":471,""y"":421,""dx"":33.166656494140625,""dy"":170,""t"":2198},{""x"":459,""y"":426,""dx"":21.166656494140625,""dy"":175,""t"":2213},{""x"":467,""y"":420,""dx"":29.166656494140625,""dy"":169,""t"":2273},{""x"":474,""y"":416,""dx"":36.166656494140625,""dy"":165,""t"":2284},{""x"":464,""y"":415,""dx"":26.166656494140625,""dy"":164,""t"":2355},{""x"":429,""y"":417,""dx"":-8.833343505859375,""dy"":166,""t"":2382},{""x"":456,""y"":415,""dx"":18.166656494140625,""dy"":164,""t"":2446},{""x"":467,""y"":420,""dx"":29.166656494140625,""dy"":169,""t"":2457},{""x"":463,""y"":432,""dx"":25.166656494140625,""dy"":181,""t"":2520},{""x"":450,""y"":448,""dx"":12.166656494140625,""dy"":197,""t"":2554},{""x"":445,""y"":435,""dx"":7.166656494140625,""dy"":184,""t"":2624},{""x"":455,""y"":432,""dx"":17.166656494140625,""dy"":181,""t"":2660},{""x"":479,""y"":415,""dx"":41.166656494140625,""dy"":164,""t"":2730},{""x"":500,""y"":400,""dx"":62.166656494140625,""dy"":149,""t"":2757},{""x"":507,""y"":402,""dx"":69.16665649414062,""dy"":151,""t"":2796},{""x"":523,""y"":416,""dx"":85.16665649414062,""dy"":165,""t"":2834},{""x"":494,""y"":416,""dx"":56.166656494140625,""dy"":165,""t"":2859},{""x"":487,""y"":431,""dx"":49.166656494140625,""dy"":180,""t"":2895},{""x"":495,""y"":427,""dx"":57.166656494140625,""dy"":176,""t"":2936},{""x"":502,""y"":423,""dx"":64.16665649414062,""dy"":172,""t"":2959}],[{""x"":1377,""y"":370,""dx"":85.5,""dy"":119,""t"":3980},{""x"":1389,""y"":360,""dx"":97.5,""dy"":109,""t"":4017},{""x"":1389,""y"":363,""dx"":97.5,""dy"":112,""t"":4051},{""x"":1381,""y"":364,""dx"":89.5,""dy"":113,""t"":4088},{""x"":1347,""y"":349,""dx"":55.5,""dy"":98,""t"":4116},{""x"":1308,""y"":363,""dx"":16.5,""dy"":112,""t"":4155},{""x"":1310,""y"":382,""dx"":18.5,""dy"":131,""t"":4184},{""x"":1328,""y"":402,""dx"":36.5,""dy"":151,""t"":4217},{""x"":1294,""y"":407,""dx"":2.5,""dy"":156,""t"":4252},{""x"":1301,""y"":427,""dx"":9.5,""dy"":176,""t"":4292},{""x"":1304,""y"":468,""dx"":12.5,""dy"":217,""t"":4325},{""x"":1296,""y"":450,""dx"":4.5,""dy"":199,""t"":4361},{""x"":1295,""y"":450,""dx"":3.5,""dy"":199,""t"":4397},{""x"":1265,""y"":445,""dx"":-26.5,""dy"":194,""t"":4432},{""x"":1251,""y"":425,""dx"":-40.5,""dy"":174,""t"":4464},{""x"":1243,""y"":410,""dx"":-48.5,""dy"":159,""t"":4492},{""x"":1232,""y"":400,""dx"":-59.5,""dy"":149,""t"":4525},{""x"":1250,""y"":383,""dx"":-41.5,""dy"":132,""t"":4563},{""x"":1235,""y"":424,""dx"":-56.5,""dy"":173,""t"":4593},{""x"":1246,""y"":405,""dx"":-45.5,""dy"":154,""t"":4637},{""x"":1227,""y"":410,""dx"":-64.5,""dy"":159,""t"":4665},{""x"":1226,""y"":414,""dx"":-65.5,""dy"":163,""t"":4701},{""x"":1232,""y"":392,""dx"":-59.5,""dy"":141,""t"":4729},{""x"":1226,""y"":416,""dx"":-65.5,""dy"":165,""t"":4766},{""x"":1212,""y"":407,""dx"":-79.5,""dy"":156,""t"":4803},{""x"":1248,""y"":412,""dx"":-43.5,""dy"":161,""t"":4832},{""x"":1218,""y"":408,""dx"":-73.5,""dy"":157,""t"":4867},{""x"":1223,""y"":406,""dx"":-68.5,""dy"":155,""t"":4900},{""x"":1199,""y"":429,""dx"":-92.5,""dy"":178,""t"":4936},{""x"":1211,""y"":416,""dx"":-80.5,""dy"":165,""t"":4972},{""x"":1250,""y"":417,""dx"":-41.5,""dy"":166,""t"":5009},{""x"":1262,""y"":383,""dx"":-29.5,""dy"":132,""t"":5039},{""x"":1272,""y"":398,""dx"":-19.5,""dy"":147,""t"":5069},{""x"":1279,""y"":412,""dx"":-12.5,""dy"":161,""t"":5101},{""x"":1282,""y"":436,""dx"":-9.5,""dy"":185,""t"":5139},{""x"":1296,""y"":396,""dx"":4.5,""dy"":145,""t"":5172},{""x"":1319,""y"":406,""dx"":27.5,""dy"":155,""t"":5205},{""x"":1295,""y"":389,""dx"":3.5,""dy"":138,""t"":5242},{""x"":1279,""y"":394,""dx"":-12.5,""dy"":143,""t"":5276},{""x"":1251,""y"":395,""dx"":-40.5,""dy"":144,""t"":5311},{""x"":1284,""y"":388,""dx"":-7.5,""dy"":137,""t"":5342},{""x"":1294,""y"":373,""dx"":2.5,""dy"":122,""t"":5378},{""x"":1319,""y"":372,""dx"":27.5,""dy"":121,""t"":5408},{""x"":1343,""y"":385,""dx"":51.5,""dy"":134,""t"":5444},{""x"":1315,""y"":374,""dx"":23.5,""dy"":123,""t"":5489},{""x"":1326,""y"":380,""dx"":34.5,""dy"":129,""t"":5511},{""x"":1300,""y"":404,""dx"":8.5,""dy"":153,""t"":5554},{""x"":1286,""y"":410,""dx"":-5.5,""dy"":159,""t"":5580},{""x"":1291,""y"":408,""dx"":-0.5,""dy"":157,""t"":5613},{""x"":1286,""y"":403,""dx"":-5.5,""dy"":152,""t"":5651},{""x"":1314,""y"":403,""dx"":22.5,""dy"":152,""t"":5683},{""x"":1318,""y"":410,""dx"":26.5,""dy"":159,""t"":5719},{""x"":1322,""y"":406,""dx"":30.5,""dy"":155,""t"":5756},{""x"":1335,""y"":408,""dx"":43.5,""dy"":157,""t"":5786},{""x"":1318,""y"":408,""dx"":26.5,""dy"":157,""t"":5815},{""x"":1281,""y"":400,""dx"":-10.5,""dy"":149,""t"":5859},{""x"":1258,""y"":385,""dx"":-33.5,""dy"":134,""t"":5886},{""x"":1231,""y"":358,""dx"":-60.5,""dy"":107,""t"":5928},{""x"":1209,""y"":375,""dx"":-82.5,""dy"":124,""t"":5964}],[{""x"":855,""y"":456,""dx"":-9.66668701171875,""dy"":-35,""t"":7013},{""x"":858,""y"":432,""dx"":-6.66668701171875,""dy"":-59,""t"":7042},{""x"":861,""y"":437,""dx"":-3.66668701171875,""dy"":-54,""t"":7088},{""x"":863,""y"":442,""dx"":-1.66668701171875,""dy"":-49,""t"":7111},{""x"":892,""y"":423,""dx"":27.33331298828125,""dy"":-68,""t"":7160},{""x"":917,""y"":408,""dx"":52.33331298828125,""dy"":-83,""t"":7176},{""x"":914,""y"":424,""dx"":49.33331298828125,""dy"":-67,""t"":7237},{""x"":943,""y"":401,""dx"":78.33331298828125,""dy"":-90,""t"":7248},{""x"":974,""y"":398,""dx"":109.33331298828125,""dy"":-93,""t"":7314},{""x"":983,""y"":396,""dx"":118.33331298828125,""dy"":-95,""t"":7356},{""x"":963,""y"":388,""dx"":98.33331298828125,""dy"":-103,""t"":7383},{""x"":965,""y"":375,""dx"":100.33331298828125,""dy"":-116,""t"":7435},{""x"":966,""y"":364,""dx"":101.33331298828125,""dy"":-127,""t"":7451},{""x"":917,""y"":380,""dx"":52.33331298828125,""dy"":-111,""t"":7496},{""x"":875,""y"":394,""dx"":10.33331298828125,""dy"":-97,""t"":7516},{""x"":878,""y"":397,""dx"":13.33331298828125,""dy"":-94,""t"":7592},{""x"":881,""y"":398,""dx"":16.33331298828125,""dy"":-93,""t"":7618},{""x"":847,""y"":413,""dx"":-17.66668701171875,""dy"":-78,""t"":7665},{""x"":835,""y"":413,""dx"":-29.66668701171875,""dy"":-78,""t"":7686},{""x"":846,""y"":416,""dx"":-18.66668701171875,""dy"":-75,""t"":7737},{""x"":856,""y"":418,""dx"":-8.66668701171875,""dy"":-73,""t"":7753},{""x"":900,""y"":397,""dx"":35.33331298828125,""dy"":-94,""t"":7791},{""x"":872,""y"":384,""dx"":7.33331298828125,""dy"":-107,""t"":7826},{""x"":844,""y"":404,""dx"":-20.66668701171875,""dy"":-87,""t"":7864},{""x"":820,""y"":421,""dx"":-44.66668701171875,""dy"":-70,""t"":7889},{""x"":781,""y"":446,""dx"":-83.66668701171875,""dy"":-45,""t"":7926},{""x"":765,""y"":435,""dx"":-99.66668701171875,""dy"":-56,""t"":7965},{""x"":750,""y"":434,""dx"":-114.66668701171875,""dy"":-57,""t"":7996},{""x"":729,""y"":461,""dx"":-135.66668701171875,""dy"":-30,""t"":8027},{""x"":723,""y"":492,""dx"":-141.66668701171875,""dy"":1,""t"":8069},{""x"":729,""y"":494,""dx"":-135.66668701171875,""dy"":3,""t"":8100},{""x"":731,""y"":485,""dx"":-133.66668701171875,""dy"":-6,""t"":8136},{""x"":765,""y"":479,""dx"":-99.66668701171875,""dy"":-12,""t"":8173},{""x"":803,""y"":465,""dx"":-61.66668701171875,""dy"":-26,""t"":8208},{""x"":806,""y"":470,""dx"":-58.66668701171875,""dy"":-21,""t"":8230},{""x"":833,""y"":482,""dx"":-31.66668701171875,""dy"":-9,""t"":8265},{""x"":830,""y"":467,""dx"":-34.66668701171875,""dy"":-24,""t"":8305},{""x"":844,""y"":458,""dx"":-20.66668701171875,""dy"":-33,""t"":8332},{""x"":874,""y"":442,""dx"":9.33331298828125,""dy"":-49,""t"":8374},{""x"":897,""y"":427,""dx"":32.33331298828125,""dy"":-64,""t"":8401},{""x"":869,""y"":432,""dx"":4.33331298828125,""dy"":-59,""t"":8445},{""x"":877,""y"":420,""dx"":12.33331298828125,""dy"":-71,""t"":8468},{""x"":828,""y"":428,""dx"":-36.66668701171875,""dy"":-63,""t"":8514},{""x"":825,""y"":428,""dx"":-39.66668701171875,""dy"":-63,""t"":8536},{""x"":816,""y"":427,""dx"":-48.66668701171875,""dy"":-64,""t"":8586},{""x"":756,""y"":426,""dx"":-108.66668701171875,""dy"":-65,""t"":8609},{""x"":780,""y"":412,""dx"":-84.66668701171875,""dy"":-79,""t"":8661},{""x"":803,""y"":401,""dx"":-61.66668701171875,""dy"":-90,""t"":8673},{""x"":770,""y"":412,""dx"":-94.66668701171875,""dy"":-79,""t"":8718},{""x"":792,""y"":430,""dx"":-72.66668701171875,""dy"":-61,""t"":8741},{""x"":790,""y"":431,""dx"":-74.66668701171875,""dy"":-60,""t"":8774},{""x"":802,""y"":427,""dx"":-62.66668701171875,""dy"":-64,""t"":8810},{""x"":828,""y"":438,""dx"":-36.66668701171875,""dy"":-53,""t"":8844},{""x"":835,""y"":415,""dx"":-29.66668701171875,""dy"":-76,""t"":8881},{""x"":788,""y"":437,""dx"":-76.66668701171875,""dy"":-54,""t"":8919},{""x"":765,""y"":413,""dx"":-99.66668701171875,""dy"":-78,""t"":8947}],[{""x"":494,""y"":668,""dx"":56.166656494140625,""dy"":-63,""t"":9985},{""x"":477,""y"":650,""dx"":39.166656494140625,""dy"":-81,""t"":9999},{""x"":458,""y"":646,""dx"":20.166656494140625,""dy"":-85,""t"":10050},{""x"":441,""y"":643,""dx"":3.166656494140625,""dy"":-88,""t"":10067},{""x"":421,""y"":659,""dx"":-16.833343505859375,""dy"":-72,""t"":10102},{""x"":451,""y"":669,""dx"":13.166656494140625,""dy"":-62,""t"":10137},{""x"":447,""y"":663,""dx"":9.166656494140625,""dy"":-68,""t"":10168},{""x"":501,""y"":646,""dx"":63.166656494140625,""dy"":-85,""t"":10203},{""x"":474,""y"":652,""dx"":36.166656494140625,""dy"":-79,""t"":10245},{""x"":473,""y"":636,""dx"":35.166656494140625,""dy"":-95,""t"":10272},{""x"":525,""y"":642,""dx"":87.16665649414062,""dy"":-89,""t"":10318},{""x"":569,""y"":648,""dx"":131.16665649414062,""dy"":-83,""t"":10340},{""x"":560,""y"":647,""dx"":122.16665649414062,""dy"":-84,""t"":10374},{""x"":549,""y"":662,""dx"":111.16665649414062,""dy"":-69,""t"":10411},{""x"":531,""y"":652,""dx"":93.16665649414062,""dy"":-79,""t"":10440},{""x"":496,""y"":628,""dx"":58.166656494140625,""dy"":-103,""t"":10475},{""x"":471,""y"":639,""dx"":33.166656494140625,""dy"":-92,""t"":10508},{""x"":468,""y"":646,""dx"":30.166656494140625,""dy"":-85,""t"":10542},{""x"":455,""y"":677,""dx"":17.166656494140625,""dy"":-54,""t"":10586},{""x"":445,""y"":703,""dx"":7.166656494140625,""dy"":-28,""t"":10609},{""x"":456,""y"":717,""dx"":18.166656494140625,""dy"":-14,""t"":10652},{""x"":462,""y"":727,""dx"":24.166656494140625,""dy"":-4,""t"":10678},{""x"":445,""y"":734,""dx"":7.166656494140625,""dy"":3,""t"":10720},{""x"":459,""y"":716,""dx"":21.166656494140625,""dy"":-15,""t"":10748},{""x"":421,""y"":713,""dx"":-16.833343505859375,""dy"":-18,""t"":10792},{""x"":406,""y"":705,""dx"":-31.833343505859375,""dy"":-26,""t"":10820},{""x"":442,""y"":695,""dx"":4.166656494140625,""dy"":-36,""t"":10861},{""x"":476,""y"":696,""dx"":38.166656494140625,""dy"":-35,""t"":10881},{""x"":479,""y"":700,""dx"":41.166656494140625,""dy"":-31,""t"":10919},{""x"":481,""y"":703,""dx"":43.166656494140625,""dy"":-28,""t"":10952},{""x"":478,""y"":681,""dx"":40.166656494140625,""dy"":-50,""t"":10992},{""x"":475,""y"":663,""dx"":37.166656494140625,""dy"":-68,""t"":11023},{""x"":493,""y"":651,""dx"":55.166656494140625,""dy"":-80,""t"":11054},{""x"":500,""y"":643,""dx"":62.166656494140625,""dy"":-88,""t"":11093},{""x"":502,""y"":659,""dx"":64.16665649414062,""dy"":-72,""t"":11121},{""x"":529,""y"":663,""dx"":91.16665649414062,""dy"":-68,""t"":11161},{""x"":524,""y"":665,""dx"":86.16665649414062,""dy"":-66,""t"":11196},{""x"":477,""y"":660,""dx"":39.166656494140625,""dy"":-71,""t"":11227},{""x"":510,""y"":650,""dx"":72.16665649414062,""dy"":-81,""t"":11258},{""x"":486,""y"":669,""dx"":48.166656494140625,""dy"":-62,""t"":11299},{""x"":470,""y"":667,""dx"":32.166656494140625,""dy"":-64,""t"":11325},{""x"":497,""y"":678,""dx"":59.166656494140625,""dy"":-53,""t"":11366},{""x"":468,""y"":681,""dx"":30.166656494140625,""dy"":-50,""t"":11408},{""x"":445,""y"":686,""dx"":7.166656494140625,""dy"":-45,""t"":11426},{""x"":446,""y"":679,""dx"":8.166656494140625,""dy"":-52,""t"":11465},{""x"":483,""y"":663,""dx"":45.166656494140625,""dy"":-68,""t"":11500},{""x"":480,""y"":685,""dx"":42.166656494140625,""dy"":-46,""t"":11542},{""x"":473,""y"":699,""dx"":35.166656494140625,""dy"":-32,""t"":11565},{""x"":446,""y"":695,""dx"":8.166656494140625,""dy"":-36,""t"":11598},{""x"":467,""y"":711,""dx"":29.166656494140625,""dy"":-20,""t"":11637},{""x"":472,""y"":723,""dx"":34.166656494140625,""dy"":-8,""t"":11665},{""x"":489,""y"":728,""dx"":51.166656494140625,""dy"":-3,""t"":11705},{""x"":485,""y"":751,""dx"":47.166656494140625,""dy"":20,""t"":11742},{""x"":450,""y"":767,""dx"":12.166656494140625,""dy"":36,""t"":11772},{""x"":481,""y"":772,""dx"":43.166656494140625,""dy"":41,""t"":11803},{""x"":461,""y"":737,""dx"":23.166656494140625,""dy"":6,""t"":11839},{""x"":418,""y"":748,""dx"":-19.833343505859375,""dy"":17,""t"":11868},{""x"":428,""y"":743,""dx"":-9.833343505859375,""dy"":12,""t"":11907},{""x"":458,""y"":740,""dx"":20.166656494140625,""dy"":9,""t"":11939}],[{""x"":1189,""y"":666,""dx"":-102.5,""dy"":-65,""t"":13028},{""x"":1202,""y"":648,""dx"":-89.5,""dy"":-83,""t"":13057},{""x"":1235,""y"":650,""dx"":-56.5,""dy"":-81,""t"":13093},{""x"":1164,""y"":644,""dx"":-127.5,""dy"":-87,""t"":13128},{""x"":1145,""y"":650,""dx"":-146.5,""dy"":-81,""t"":13160},{""x"":1157,""y"":627,""dx"":-134.5,""dy"":-104,""t"":13198},{""x"":1167,""y"":616,""dx"":-124.5,""dy"":-115,""t"":13230},{""x"":1141,""y"":619,""dx"":-150.5,""dy"":-112,""t"":13267},{""x"":1175,""y"":615,""dx"":-116.5,""dy"":-116,""t"":13299},{""x"":1207,""y"":632,""dx"":-84.5,""dy"":-99,""t"":13331},{""x"":1286,""y"":663,""dx"":-5.5,""dy"":-68,""t"":13365},{""x"":1333,""y"":675,""dx"":41.5,""dy"":-56,""t"":13403},{""x"":1384,""y"":683,""dx"":92.5,""dy"":-48,""t"":13438},{""x"":1365,""y"":689,""dx"":73.5,""dy"":-42,""t"":13474},{""x"":1365,""y"":698,""dx"":73.5,""dy"":-33,""t"":13512},{""x"":1351,""y"":707,""dx"":59.5,""dy"":-24,""t"":13533},{""x"":1293,""y"":688,""dx"":1.5,""dy"":-43,""t"":13567},{""x"":1250,""y"":695,""dx"":-41.5,""dy"":-36,""t"":13601},{""x"":1284,""y"":723,""dx"":-7.5,""dy"":-8,""t"":13640},{""x"":1296,""y"":748,""dx"":4.5,""dy"":17,""t"":13670},{""x"":1325,""y"":745,""dx"":33.5,""dy"":14,""t"":13704},{""x"":1314,""y"":746,""dx"":22.5,""dy"":15,""t"":13738},{""x"":1349,""y"":743,""dx"":57.5,""dy"":12,""t"":13773},{""x"":1338,""y"":735,""dx"":46.5,""dy"":4,""t"":13807},{""x"":1353,""y"":745,""dx"":61.5,""dy"":14,""t"":13841},{""x"":1396,""y"":757,""dx"":104.5,""dy"":26,""t"":13874},{""x"":1400,""y"":766,""dx"":108.5,""dy"":35,""t"":13910},{""x"":1382,""y"":774,""dx"":90.5,""dy"":43,""t"":13944},{""x"":1389,""y"":773,""dx"":97.5,""dy"":42,""t"":13977},{""x"":1394,""y"":771,""dx"":102.5,""dy"":40,""t"":14009},{""x"":1381,""y"":755,""dx"":89.5,""dy"":24,""t"":14044},{""x"":1383,""y"":742,""dx"":91.5,""dy"":11,""t"":14083},{""x"":1387,""y"":742,""dx"":95.5,""dy"":11,""t"":14116},{""x"":1398,""y"":745,""dx"":106.5,""dy"":14,""t"":14153},{""x"":1403,""y"":740,""dx"":111.5,""dy"":9,""t"":14184},{""x"":1403,""y"":729,""dx"":111.5,""dy"":-2,""t"":14219},{""x"":1384,""y"":710,""dx"":92.5,""dy"":-21,""t"":14254},{""x"":1390,""y"":704,""dx"":98.5,""dy"":-27,""t"":14287},{""x"":1378,""y"":698,""dx"":86.5,""dy"":-33,""t"":14322},{""x"":1329,""y"":697,""dx"":37.5,""dy"":-34,""t"":14358},{""x"":1305,""y"":700,""dx"":13.5,""dy"":-31,""t"":14395},{""x"":1278,""y"":704,""dx"":-13.5,""dy"":-27,""t"":14425},{""x"":1252,""y"":700,""dx"":-39.5,""dy"":-31,""t"":14460},{""x"":1242,""y"":706,""dx"":-49.5,""dy"":-25,""t"":14485},{""x"":1183,""y"":696,""dx"":-108.5,""dy"":-35,""t"":14526},{""x"":1175,""y"":695,""dx"":-116.5,""dy"":-36,""t"":14557},{""x"":1197,""y"":678,""dx"":-94.5,""dy"":-53,""t"":14595},{""x"":1181,""y"":667,""dx"":-110.5,""dy"":-64,""t"":14626},{""x"":1208,""y"":665,""dx"":-83.5,""dy"":-66,""t"":14674},{""x"":1259,""y"":668,""dx"":-32.5,""dy"":-63,""t"":14693},{""x"":1285,""y"":669,""dx"":-6.5,""dy"":-62,""t"":14735},{""x"":1262,""y"":665,""dx"":-29.5,""dy"":-66,""t"":14770},{""x"":1259,""y"":667,""dx"":-32.5,""dy"":-64,""t"":14794},{""x"":1266,""y"":659,""dx"":-25.5,""dy"":-72,""t"":14831},{""x"":1260,""y"":658,""dx"":-31.5,""dy"":-73,""t"":14863},{""x"":1194,""y"":663,""dx"":-97.5,""dy"":-68,""t"":14898},{""x"":1170,""y"":643,""dx"":-121.5,""dy"":-88,""t"":14937},{""x"":1205,""y"":650,""dx"":-86.5,""dy"":-81,""t"":14975}]]","[41.81818181818181,96.61016949152543,100,100,100]","[{""x"":20.675747403231533,""y"":217.6,""r"":55.3366645749542},{""x"":-8.822033898305085,""y"":149.5593220338983,""r"":40.78562730211329},{""x"":-23.434544154575892,""y"":-64.33928571428571,""r"":77.71480797032712},{""x"":37.14970734159825,""y"":-47.28813559322034,""r"":38.35293621319642},{""x"":-4.5,""y"":-36.06896551724138,""r"":138.33017376909837}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","28.70","validate","","","","","","","","","","",""
"","html-button-response","9","58058","0.0-4.0-4.0-0.0-0.0","","","","","559","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
