"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","5093","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5098","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","13753","0.0-2.0-0.0","","","","","8653","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","15833","0.0-2.0-1.0","","","","","2079","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","20803","0.0-3.0","","","","","","","","1538","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","21880","0.0-4.0-0.0","","","","","1075","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","32797","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","33664","0.0-4.0-2.0","","","","","866","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","52514","0.0-4.0-3.0","","","","","","","","","","[[{""x"":524,""y"":471,""dx"":33,""dy"":190,""t"":990},{""x"":524,""y"":461,""dx"":33,""dy"":180,""t"":1023},{""x"":556,""y"":470,""dx"":65,""dy"":189,""t"":1059},{""x"":566,""y"":471,""dx"":75,""dy"":190,""t"":1092},{""x"":572,""y"":453,""dx"":81,""dy"":172,""t"":1126},{""x"":583,""y"":449,""dx"":92,""dy"":168,""t"":1160},{""x"":604,""y"":438,""dx"":113,""dy"":157,""t"":1195},{""x"":627,""y"":424,""dx"":136,""dy"":143,""t"":1228},{""x"":652,""y"":413,""dx"":161,""dy"":132,""t"":1262},{""x"":629,""y"":417,""dx"":138,""dy"":136,""t"":1295},{""x"":591,""y"":421,""dx"":100,""dy"":140,""t"":1330},{""x"":565,""y"":422,""dx"":74,""dy"":141,""t"":1364},{""x"":550,""y"":416,""dx"":59,""dy"":135,""t"":1398},{""x"":562,""y"":406,""dx"":71,""dy"":125,""t"":1431},{""x"":568,""y"":410,""dx"":77,""dy"":129,""t"":1466},{""x"":572,""y"":413,""dx"":81,""dy"":132,""t"":1500},{""x"":584,""y"":414,""dx"":93,""dy"":133,""t"":1535},{""x"":583,""y"":409,""dx"":92,""dy"":128,""t"":1568},{""x"":580,""y"":408,""dx"":89,""dy"":127,""t"":1602},{""x"":566,""y"":417,""dx"":75,""dy"":136,""t"":1636},{""x"":572,""y"":427,""dx"":81,""dy"":146,""t"":1670},{""x"":583,""y"":427,""dx"":92,""dy"":146,""t"":1704},{""x"":591,""y"":417,""dx"":100,""dy"":136,""t"":1739},{""x"":595,""y"":425,""dx"":104,""dy"":144,""t"":1772},{""x"":596,""y"":422,""dx"":105,""dy"":141,""t"":1806},{""x"":571,""y"":378,""dx"":80,""dy"":97,""t"":1840},{""x"":545,""y"":349,""dx"":54,""dy"":68,""t"":1874},{""x"":567,""y"":339,""dx"":76,""dy"":58,""t"":1907},{""x"":554,""y"":315,""dx"":63,""dy"":34,""t"":1943},{""x"":573,""y"":314,""dx"":82,""dy"":33,""t"":1976},{""x"":519,""y"":319,""dx"":28,""dy"":38,""t"":2010},{""x"":524,""y"":317,""dx"":33,""dy"":36,""t"":2044},{""x"":517,""y"":314,""dx"":26,""dy"":33,""t"":2078},{""x"":501,""y"":297,""dx"":10,""dy"":16,""t"":2111},{""x"":501,""y"":289,""dx"":10,""dy"":8,""t"":2147},{""x"":508,""y"":282,""dx"":17,""dy"":1,""t"":2180},{""x"":515,""y"":278,""dx"":24,""dy"":-3,""t"":2212},{""x"":493,""y"":268,""dx"":2,""dy"":-13,""t"":2249},{""x"":506,""y"":279,""dx"":15,""dy"":-2,""t"":2281},{""x"":517,""y"":292,""dx"":26,""dy"":11,""t"":2316},{""x"":517,""y"":300,""dx"":26,""dy"":19,""t"":2349},{""x"":529,""y"":317,""dx"":38,""dy"":36,""t"":2383},{""x"":507,""y"":320,""dx"":16,""dy"":39,""t"":2418},{""x"":524,""y"":334,""dx"":33,""dy"":53,""t"":2452},{""x"":549,""y"":362,""dx"":58,""dy"":81,""t"":2486},{""x"":594,""y"":382,""dx"":103,""dy"":101,""t"":2520},{""x"":586,""y"":392,""dx"":95,""dy"":111,""t"":2554},{""x"":642,""y"":418,""dx"":151,""dy"":137,""t"":2587},{""x"":689,""y"":440,""dx"":198,""dy"":159,""t"":2619},{""x"":681,""y"":466,""dx"":190,""dy"":185,""t"":2656},{""x"":661,""y"":487,""dx"":170,""dy"":206,""t"":2691},{""x"":632,""y"":495,""dx"":141,""dy"":214,""t"":2724},{""x"":606,""y"":512,""dx"":115,""dy"":231,""t"":2758},{""x"":561,""y"":523,""dx"":70,""dy"":242,""t"":2792},{""x"":512,""y"":514,""dx"":21,""dy"":233,""t"":2826},{""x"":477,""y"":523,""dx"":-14,""dy"":242,""t"":2861},{""x"":502,""y"":504,""dx"":11,""dy"":223,""t"":2894},{""x"":475,""y"":504,""dx"":-16,""dy"":223,""t"":2930},{""x"":502,""y"":489,""dx"":11,""dy"":208,""t"":2963}],[{""x"":1243,""y"":546,""dx"":-208,""dy"":265,""t"":4015},{""x"":1165,""y"":620,""dx"":-286,""dy"":339,""t"":4050},{""x"":1180,""y"":622,""dx"":-271,""dy"":341,""t"":4084},{""x"":1217,""y"":630,""dx"":-234,""dy"":349,""t"":4119},{""x"":1238,""y"":578,""dx"":-213,""dy"":297,""t"":4152},{""x"":1287,""y"":548,""dx"":-164,""dy"":267,""t"":4185},{""x"":1302,""y"":525,""dx"":-149,""dy"":244,""t"":4218},{""x"":1351,""y"":506,""dx"":-100,""dy"":225,""t"":4254},{""x"":1355,""y"":463,""dx"":-96,""dy"":182,""t"":4288},{""x"":1354,""y"":448,""dx"":-97,""dy"":167,""t"":4322},{""x"":1353,""y"":448,""dx"":-98,""dy"":167,""t"":4356},{""x"":1355,""y"":445,""dx"":-96,""dy"":164,""t"":4390},{""x"":1375,""y"":446,""dx"":-76,""dy"":165,""t"":4424},{""x"":1399,""y"":431,""dx"":-52,""dy"":150,""t"":4458},{""x"":1428,""y"":424,""dx"":-23,""dy"":143,""t"":4492},{""x"":1439,""y"":401,""dx"":-12,""dy"":120,""t"":4526},{""x"":1445,""y"":394,""dx"":-6,""dy"":113,""t"":4561},{""x"":1463,""y"":380,""dx"":12,""dy"":99,""t"":4594},{""x"":1471,""y"":376,""dx"":20,""dy"":95,""t"":4627},{""x"":1475,""y"":368,""dx"":24,""dy"":87,""t"":4662},{""x"":1473,""y"":368,""dx"":22,""dy"":87,""t"":4696},{""x"":1458,""y"":401,""dx"":7,""dy"":120,""t"":4730},{""x"":1456,""y"":404,""dx"":5,""dy"":123,""t"":4764},{""x"":1455,""y"":406,""dx"":4,""dy"":125,""t"":4799},{""x"":1458,""y"":397,""dx"":7,""dy"":116,""t"":4832},{""x"":1463,""y"":388,""dx"":12,""dy"":107,""t"":4866},{""x"":1470,""y"":380,""dx"":19,""dy"":99,""t"":4900},{""x"":1472,""y"":367,""dx"":21,""dy"":86,""t"":4935},{""x"":1467,""y"":348,""dx"":16,""dy"":67,""t"":4969},{""x"":1454,""y"":339,""dx"":3,""dy"":58,""t"":5002},{""x"":1447,""y"":310,""dx"":-4,""dy"":29,""t"":5036},{""x"":1428,""y"":275,""dx"":-23,""dy"":-6,""t"":5070},{""x"":1413,""y"":299,""dx"":-38,""dy"":18,""t"":5105},{""x"":1406,""y"":333,""dx"":-45,""dy"":52,""t"":5139},{""x"":1406,""y"":342,""dx"":-45,""dy"":61,""t"":5172},{""x"":1403,""y"":350,""dx"":-48,""dy"":69,""t"":5207},{""x"":1385,""y"":363,""dx"":-66,""dy"":82,""t"":5239},{""x"":1417,""y"":381,""dx"":-34,""dy"":100,""t"":5274},{""x"":1431,""y"":417,""dx"":-20,""dy"":136,""t"":5308},{""x"":1301,""y"":569,""dx"":-150,""dy"":288,""t"":5341},{""x"":1177,""y"":675,""dx"":-274,""dy"":394,""t"":5374},{""x"":1121,""y"":745,""dx"":-330,""dy"":464,""t"":5410},{""x"":1095,""y"":735,""dx"":-356,""dy"":454,""t"":5444},{""x"":1123,""y"":742,""dx"":-328,""dy"":461,""t"":5478},{""x"":1171,""y"":716,""dx"":-280,""dy"":435,""t"":5513},{""x"":1244,""y"":686,""dx"":-207,""dy"":405,""t"":5546},{""x"":1289,""y"":658,""dx"":-162,""dy"":377,""t"":5580},{""x"":1330,""y"":635,""dx"":-121,""dy"":354,""t"":5614},{""x"":1376,""y"":599,""dx"":-75,""dy"":318,""t"":5649},{""x"":1403,""y"":560,""dx"":-48,""dy"":279,""t"":5681},{""x"":1426,""y"":525,""dx"":-25,""dy"":244,""t"":5716},{""x"":1445,""y"":478,""dx"":-6,""dy"":197,""t"":5751},{""x"":1459,""y"":448,""dx"":8,""dy"":167,""t"":5782},{""x"":1469,""y"":438,""dx"":18,""dy"":157,""t"":5818},{""x"":1491,""y"":419,""dx"":40,""dy"":138,""t"":5852},{""x"":1494,""y"":399,""dx"":43,""dy"":118,""t"":5886},{""x"":1504,""y"":389,""dx"":53,""dy"":108,""t"":5920},{""x"":1499,""y"":376,""dx"":48,""dy"":95,""t"":5953},{""x"":1496,""y"":374,""dx"":45,""dy"":93,""t"":5988}],[{""x"":1029,""y"":557,""dx"":58,""dy"":6,""t"":7009},{""x"":1030,""y"":539,""dx"":59,""dy"":-12,""t"":7042},{""x"":1035,""y"":530,""dx"":64,""dy"":-21,""t"":7076},{""x"":1039,""y"":521,""dx"":68,""dy"":-30,""t"":7110},{""x"":1047,""y"":513,""dx"":76,""dy"":-38,""t"":7144},{""x"":1052,""y"":513,""dx"":81,""dy"":-38,""t"":7179},{""x"":1051,""y"":513,""dx"":80,""dy"":-38,""t"":7212},{""x"":1033,""y"":514,""dx"":62,""dy"":-37,""t"":7245},{""x"":1021,""y"":517,""dx"":50,""dy"":-34,""t"":7280},{""x"":1029,""y"":516,""dx"":58,""dy"":-35,""t"":7314},{""x"":1014,""y"":515,""dx"":43,""dy"":-36,""t"":7348},{""x"":1001,""y"":514,""dx"":30,""dy"":-37,""t"":7379},{""x"":1005,""y"":515,""dx"":34,""dy"":-36,""t"":7416},{""x"":998,""y"":513,""dx"":27,""dy"":-38,""t"":7450},{""x"":1007,""y"":516,""dx"":36,""dy"":-35,""t"":7484},{""x"":992,""y"":537,""dx"":21,""dy"":-14,""t"":7519},{""x"":997,""y"":550,""dx"":26,""dy"":-1,""t"":7553},{""x"":991,""y"":565,""dx"":20,""dy"":14,""t"":7586},{""x"":1003,""y"":573,""dx"":32,""dy"":22,""t"":7620},{""x"":1012,""y"":574,""dx"":41,""dy"":23,""t"":7654},{""x"":1019,""y"":567,""dx"":48,""dy"":16,""t"":7688},{""x"":1029,""y"":558,""dx"":58,""dy"":7,""t"":7722},{""x"":1044,""y"":576,""dx"":73,""dy"":25,""t"":7757},{""x"":1042,""y"":579,""dx"":71,""dy"":28,""t"":7790},{""x"":1029,""y"":554,""dx"":58,""dy"":3,""t"":7825},{""x"":1032,""y"":551,""dx"":61,""dy"":0,""t"":7859},{""x"":1032,""y"":548,""dx"":61,""dy"":-3,""t"":7892},{""x"":1035,""y"":551,""dx"":64,""dy"":0,""t"":7926},{""x"":1032,""y"":546,""dx"":61,""dy"":-5,""t"":7960},{""x"":1034,""y"":544,""dx"":63,""dy"":-7,""t"":7994},{""x"":1034,""y"":551,""dx"":63,""dy"":0,""t"":8028},{""x"":1033,""y"":536,""dx"":62,""dy"":-15,""t"":8062},{""x"":1023,""y"":542,""dx"":52,""dy"":-9,""t"":8095},{""x"":1009,""y"":538,""dx"":38,""dy"":-13,""t"":8130},{""x"":999,""y"":556,""dx"":28,""dy"":5,""t"":8163},{""x"":986,""y"":544,""dx"":15,""dy"":-7,""t"":8198},{""x"":985,""y"":549,""dx"":14,""dy"":-2,""t"":8231},{""x"":980,""y"":532,""dx"":9,""dy"":-19,""t"":8265},{""x"":982,""y"":548,""dx"":11,""dy"":-3,""t"":8300},{""x"":1000,""y"":545,""dx"":29,""dy"":-6,""t"":8334},{""x"":1002,""y"":555,""dx"":31,""dy"":4,""t"":8368},{""x"":1011,""y"":547,""dx"":40,""dy"":-4,""t"":8402},{""x"":1012,""y"":549,""dx"":41,""dy"":-2,""t"":8436},{""x"":1015,""y"":530,""dx"":44,""dy"":-21,""t"":8470},{""x"":1007,""y"":513,""dx"":36,""dy"":-38,""t"":8505},{""x"":1024,""y"":530,""dx"":53,""dy"":-21,""t"":8538},{""x"":1033,""y"":524,""dx"":62,""dy"":-27,""t"":8573},{""x"":1017,""y"":500,""dx"":46,""dy"":-51,""t"":8606},{""x"":1017,""y"":490,""dx"":46,""dy"":-61,""t"":8640},{""x"":1024,""y"":514,""dx"":53,""dy"":-37,""t"":8674},{""x"":1027,""y"":533,""dx"":56,""dy"":-18,""t"":8709},{""x"":1027,""y"":531,""dx"":56,""dy"":-20,""t"":8742},{""x"":1017,""y"":547,""dx"":46,""dy"":-4,""t"":8776},{""x"":1010,""y"":560,""dx"":39,""dy"":9,""t"":8810},{""x"":1006,""y"":561,""dx"":35,""dy"":10,""t"":8845},{""x"":1014,""y"":561,""dx"":43,""dy"":10,""t"":8877},{""x"":1002,""y"":556,""dx"":31,""dy"":5,""t"":8911},{""x"":1000,""y"":534,""dx"":29,""dy"":-17,""t"":8943},{""x"":1000,""y"":545,""dx"":29,""dy"":-6,""t"":8980}],[{""x"":604,""y"":711,""dx"":113,""dy"":-110,""t"":10000},{""x"":610,""y"":708,""dx"":119,""dy"":-113,""t"":10034},{""x"":614,""y"":699,""dx"":123,""dy"":-122,""t"":10068},{""x"":607,""y"":704,""dx"":116,""dy"":-117,""t"":10101},{""x"":603,""y"":679,""dx"":112,""dy"":-142,""t"":10135},{""x"":597,""y"":680,""dx"":106,""dy"":-141,""t"":10170},{""x"":627,""y"":707,""dx"":136,""dy"":-114,""t"":10204},{""x"":657,""y"":738,""dx"":166,""dy"":-83,""t"":10239},{""x"":667,""y"":763,""dx"":176,""dy"":-58,""t"":10272},{""x"":651,""y"":741,""dx"":160,""dy"":-80,""t"":10306},{""x"":657,""y"":760,""dx"":166,""dy"":-61,""t"":10342},{""x"":637,""y"":761,""dx"":146,""dy"":-60,""t"":10375},{""x"":632,""y"":782,""dx"":141,""dy"":-39,""t"":10408},{""x"":612,""y"":809,""dx"":121,""dy"":-12,""t"":10442},{""x"":584,""y"":803,""dx"":93,""dy"":-18,""t"":10475},{""x"":552,""y"":773,""dx"":61,""dy"":-48,""t"":10509},{""x"":555,""y"":797,""dx"":64,""dy"":-24,""t"":10544},{""x"":530,""y"":790,""dx"":39,""dy"":-31,""t"":10578},{""x"":528,""y"":813,""dx"":37,""dy"":-8,""t"":10612},{""x"":527,""y"":823,""dx"":36,""dy"":2,""t"":10646},{""x"":552,""y"":803,""dx"":61,""dy"":-18,""t"":10680},{""x"":539,""y"":776,""dx"":48,""dy"":-45,""t"":10715},{""x"":534,""y"":752,""dx"":43,""dy"":-69,""t"":10748},{""x"":558,""y"":762,""dx"":67,""dy"":-59,""t"":10781},{""x"":579,""y"":748,""dx"":88,""dy"":-73,""t"":10816},{""x"":594,""y"":734,""dx"":103,""dy"":-87,""t"":10851},{""x"":601,""y"":729,""dx"":110,""dy"":-92,""t"":10884},{""x"":608,""y"":720,""dx"":117,""dy"":-101,""t"":10919},{""x"":614,""y"":713,""dx"":123,""dy"":-108,""t"":10949},{""x"":611,""y"":699,""dx"":120,""dy"":-122,""t"":10986},{""x"":629,""y"":718,""dx"":138,""dy"":-103,""t"":11020},{""x"":682,""y"":813,""dx"":191,""dy"":-8,""t"":11054},{""x"":709,""y"":874,""dx"":218,""dy"":53,""t"":11089},{""x"":729,""y"":896,""dx"":238,""dy"":75,""t"":11122},{""x"":735,""y"":907,""dx"":244,""dy"":86,""t"":11156},{""x"":743,""y"":892,""dx"":252,""dy"":71,""t"":11190},{""x"":739,""y"":886,""dx"":248,""dy"":65,""t"":11223},{""x"":729,""y"":874,""dx"":238,""dy"":53,""t"":11258},{""x"":717,""y"":864,""dx"":226,""dy"":43,""t"":11292},{""x"":694,""y"":850,""dx"":203,""dy"":29,""t"":11326},{""x"":659,""y"":827,""dx"":168,""dy"":6,""t"":11359},{""x"":626,""y"":809,""dx"":135,""dy"":-12,""t"":11395},{""x"":601,""y"":793,""dx"":110,""dy"":-28,""t"":11429},{""x"":584,""y"":777,""dx"":93,""dy"":-44,""t"":11464},{""x"":565,""y"":771,""dx"":74,""dy"":-50,""t"":11496},{""x"":572,""y"":784,""dx"":81,""dy"":-37,""t"":11530},{""x"":558,""y"":773,""dx"":67,""dy"":-48,""t"":11564},{""x"":550,""y"":762,""dx"":59,""dy"":-59,""t"":11598},{""x"":548,""y"":755,""dx"":57,""dy"":-66,""t"":11632},{""x"":554,""y"":762,""dx"":63,""dy"":-59,""t"":11665},{""x"":563,""y"":769,""dx"":72,""dy"":-52,""t"":11700},{""x"":570,""y"":780,""dx"":79,""dy"":-41,""t"":11734},{""x"":554,""y"":774,""dx"":63,""dy"":-47,""t"":11768},{""x"":554,""y"":782,""dx"":63,""dy"":-39,""t"":11802},{""x"":542,""y"":784,""dx"":51,""dy"":-37,""t"":11836},{""x"":576,""y"":791,""dx"":85,""dy"":-30,""t"":11871},{""x"":556,""y"":782,""dx"":65,""dy"":-39,""t"":11904},{""x"":607,""y"":778,""dx"":116,""dy"":-43,""t"":11937},{""x"":602,""y"":780,""dx"":111,""dy"":-41,""t"":11972},{""x"":590,""y"":772,""dx"":99,""dy"":-49,""t"":12007}],[{""x"":1389,""y"":681,""dx"":-62,""dy"":-140,""t"":13026},{""x"":1383,""y"":679,""dx"":-68,""dy"":-142,""t"":13060},{""x"":1374,""y"":695,""dx"":-77,""dy"":-126,""t"":13095},{""x"":1384,""y"":699,""dx"":-67,""dy"":-122,""t"":13129},{""x"":1356,""y"":686,""dx"":-95,""dy"":-135,""t"":13163},{""x"":1331,""y"":665,""dx"":-120,""dy"":-156,""t"":13197},{""x"":1313,""y"":660,""dx"":-138,""dy"":-161,""t"":13231},{""x"":1319,""y"":662,""dx"":-132,""dy"":-159,""t"":13265},{""x"":1315,""y"":673,""dx"":-136,""dy"":-148,""t"":13298},{""x"":1330,""y"":658,""dx"":-121,""dy"":-163,""t"":13332},{""x"":1330,""y"":652,""dx"":-121,""dy"":-169,""t"":13366},{""x"":1334,""y"":646,""dx"":-117,""dy"":-175,""t"":13400},{""x"":1328,""y"":640,""dx"":-123,""dy"":-181,""t"":13435},{""x"":1320,""y"":628,""dx"":-131,""dy"":-193,""t"":13469},{""x"":1312,""y"":623,""dx"":-139,""dy"":-198,""t"":13502},{""x"":1300,""y"":630,""dx"":-151,""dy"":-191,""t"":13537},{""x"":1299,""y"":635,""dx"":-152,""dy"":-186,""t"":13570},{""x"":1318,""y"":640,""dx"":-133,""dy"":-181,""t"":13605},{""x"":1325,""y"":664,""dx"":-126,""dy"":-157,""t"":13638},{""x"":1321,""y"":662,""dx"":-130,""dy"":-159,""t"":13672},{""x"":1325,""y"":675,""dx"":-126,""dy"":-146,""t"":13706},{""x"":1339,""y"":680,""dx"":-112,""dy"":-141,""t"":13740},{""x"":1319,""y"":682,""dx"":-132,""dy"":-139,""t"":13774},{""x"":1321,""y"":684,""dx"":-130,""dy"":-137,""t"":13807},{""x"":1344,""y"":687,""dx"":-107,""dy"":-134,""t"":13842},{""x"":1356,""y"":687,""dx"":-95,""dy"":-134,""t"":13875},{""x"":1353,""y"":685,""dx"":-98,""dy"":-136,""t"":13910},{""x"":1340,""y"":677,""dx"":-111,""dy"":-144,""t"":13944},{""x"":1350,""y"":688,""dx"":-101,""dy"":-133,""t"":13978},{""x"":1339,""y"":699,""dx"":-112,""dy"":-122,""t"":14012},{""x"":1343,""y"":709,""dx"":-108,""dy"":-112,""t"":14046},{""x"":1345,""y"":718,""dx"":-106,""dy"":-103,""t"":14078},{""x"":1353,""y"":712,""dx"":-98,""dy"":-109,""t"":14114},{""x"":1342,""y"":706,""dx"":-109,""dy"":-115,""t"":14148},{""x"":1305,""y"":704,""dx"":-146,""dy"":-117,""t"":14182},{""x"":1296,""y"":690,""dx"":-155,""dy"":-131,""t"":14215},{""x"":1271,""y"":676,""dx"":-180,""dy"":-145,""t"":14250},{""x"":1234,""y"":736,""dx"":-217,""dy"":-85,""t"":14284},{""x"":1151,""y"":822,""dx"":-300,""dy"":1,""t"":14317},{""x"":1103,""y"":859,""dx"":-348,""dy"":38,""t"":14352},{""x"":1099,""y"":878,""dx"":-352,""dy"":57,""t"":14386},{""x"":1106,""y"":878,""dx"":-345,""dy"":57,""t"":14421},{""x"":1125,""y"":846,""dx"":-326,""dy"":25,""t"":14454},{""x"":1162,""y"":846,""dx"":-289,""dy"":25,""t"":14487},{""x"":1175,""y"":835,""dx"":-276,""dy"":14,""t"":14522},{""x"":1194,""y"":816,""dx"":-257,""dy"":-5,""t"":14556},{""x"":1216,""y"":772,""dx"":-235,""dy"":-49,""t"":14590},{""x"":1232,""y"":724,""dx"":-219,""dy"":-97,""t"":14624},{""x"":1274,""y"":714,""dx"":-177,""dy"":-107,""t"":14659},{""x"":1297,""y"":713,""dx"":-154,""dy"":-108,""t"":14692},{""x"":1316,""y"":712,""dx"":-135,""dy"":-109,""t"":14726},{""x"":1342,""y"":714,""dx"":-109,""dy"":-107,""t"":14761},{""x"":1349,""y"":716,""dx"":-102,""dy"":-105,""t"":14794},{""x"":1336,""y"":699,""dx"":-115,""dy"":-122,""t"":14828},{""x"":1337,""y"":682,""dx"":-114,""dy"":-139,""t"":14862},{""x"":1320,""y"":663,""dx"":-131,""dy"":-158,""t"":14896},{""x"":1318,""y"":658,""dx"":-133,""dy"":-163,""t"":14930},{""x"":1339,""y"":655,""dx"":-112,""dy"":-166,""t"":14964},{""x"":1340,""y"":656,""dx"":-111,""dy"":-165,""t"":14999}]]","[76.27118644067797,64.40677966101694,100,86.66666666666667,47.45762711864407]","[{""x"":70.89830508474576,""y"":119.55932203389831,""r"":76.5925902284852},{""x"":-75.23728813559322,""y"":187.35593220338984,""r"":129.17986387467994},{""x"":46.11864406779661,""y"":-12.016949152542374,""r"":22.76290747925085},{""x"":116.96666666666667,""y"":-43.4,""r"":90.43509316493487},{""x"":-151.22033898305085,""y"":-117.08474576271186,""r"":53.830916725600446}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","","",""
"","html-button-response","9","53296","0.0-4.0-4.0-0.0-0.0","","","","","781","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
