"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","5787","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5793","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8811","0.0-2.0-0.0","","","","","3016","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10179","0.0-2.0-1.0","","","","","1366","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","14402","0.0-3.0","","","","","","","","2219","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","15307","0.0-4.0-0.0","","","","","903","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","25002","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","26307","0.0-4.0-2.0","","","","","1304","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","43402","0.0-4.0-3.0","","","","","","","","","","[[{""x"":502,""y"":447,""dx"":11,""dy"":166,""t"":990},{""x"":516,""y"":445,""dx"":25,""dy"":164,""t"":1025},{""x"":507,""y"":435,""dx"":16,""dy"":154,""t"":1058},{""x"":520,""y"":426,""dx"":29,""dy"":145,""t"":1093},{""x"":510,""y"":438,""dx"":19,""dy"":157,""t"":1126},{""x"":515,""y"":456,""dx"":24,""dy"":175,""t"":1160},{""x"":504,""y"":454,""dx"":13,""dy"":173,""t"":1194},{""x"":502,""y"":466,""dx"":11,""dy"":185,""t"":1228},{""x"":498,""y"":479,""dx"":7,""dy"":198,""t"":1262},{""x"":488,""y"":492,""dx"":-3,""dy"":211,""t"":1296},{""x"":491,""y"":481,""dx"":0,""dy"":200,""t"":1330},{""x"":506,""y"":485,""dx"":15,""dy"":204,""t"":1364},{""x"":492,""y"":481,""dx"":1,""dy"":200,""t"":1398},{""x"":487,""y"":463,""dx"":-4,""dy"":182,""t"":1432},{""x"":480,""y"":454,""dx"":-11,""dy"":173,""t"":1466},{""x"":481,""y"":463,""dx"":-10,""dy"":182,""t"":1501},{""x"":473,""y"":463,""dx"":-18,""dy"":182,""t"":1534},{""x"":476,""y"":468,""dx"":-15,""dy"":187,""t"":1568},{""x"":488,""y"":474,""dx"":-3,""dy"":193,""t"":1602},{""x"":486,""y"":471,""dx"":-5,""dy"":190,""t"":1637},{""x"":485,""y"":461,""dx"":-6,""dy"":180,""t"":1670},{""x"":485,""y"":460,""dx"":-6,""dy"":179,""t"":1704},{""x"":486,""y"":460,""dx"":-5,""dy"":179,""t"":1735},{""x"":495,""y"":456,""dx"":4,""dy"":175,""t"":1772},{""x"":513,""y"":465,""dx"":22,""dy"":184,""t"":1806},{""x"":512,""y"":464,""dx"":21,""dy"":183,""t"":1840},{""x"":503,""y"":463,""dx"":12,""dy"":182,""t"":1875},{""x"":502,""y"":474,""dx"":11,""dy"":193,""t"":1908},{""x"":503,""y"":466,""dx"":12,""dy"":185,""t"":1942},{""x"":493,""y"":449,""dx"":2,""dy"":168,""t"":1976},{""x"":485,""y"":449,""dx"":-6,""dy"":168,""t"":2010},{""x"":491,""y"":471,""dx"":0,""dy"":190,""t"":2070},{""x"":497,""y"":491,""dx"":6,""dy"":210,""t"":2084},{""x"":499,""y"":501,""dx"":8,""dy"":220,""t"":2112},{""x"":501,""y"":509,""dx"":10,""dy"":228,""t"":2143},{""x"":493,""y"":521,""dx"":2,""dy"":240,""t"":2180},{""x"":495,""y"":504,""dx"":4,""dy"":223,""t"":2214},{""x"":501,""y"":497,""dx"":10,""dy"":216,""t"":2249},{""x"":502,""y"":499,""dx"":11,""dy"":218,""t"":2282},{""x"":505,""y"":503,""dx"":14,""dy"":222,""t"":2316},{""x"":521,""y"":504,""dx"":30,""dy"":223,""t"":2350},{""x"":520,""y"":504,""dx"":29,""dy"":223,""t"":2384},{""x"":522,""y"":495,""dx"":31,""dy"":214,""t"":2418},{""x"":520,""y"":514,""dx"":29,""dy"":233,""t"":2452},{""x"":515,""y"":533,""dx"":24,""dy"":252,""t"":2485},{""x"":492,""y"":526,""dx"":1,""dy"":245,""t"":2520},{""x"":496,""y"":517,""dx"":5,""dy"":236,""t"":2554},{""x"":497,""y"":514,""dx"":6,""dy"":233,""t"":2587},{""x"":524,""y"":514,""dx"":33,""dy"":233,""t"":2622},{""x"":514,""y"":531,""dx"":23,""dy"":250,""t"":2655},{""x"":501,""y"":503,""dx"":10,""dy"":222,""t"":2690},{""x"":515,""y"":503,""dx"":24,""dy"":222,""t"":2725},{""x"":534,""y"":463,""dx"":43,""dy"":182,""t"":2758},{""x"":535,""y"":450,""dx"":44,""dy"":169,""t"":2793},{""x"":505,""y"":461,""dx"":14,""dy"":180,""t"":2826},{""x"":511,""y"":486,""dx"":20,""dy"":205,""t"":2860},{""x"":515,""y"":498,""dx"":24,""dy"":217,""t"":2895},{""x"":515,""y"":486,""dx"":24,""dy"":205,""t"":2928},{""x"":535,""y"":480,""dx"":44,""dy"":199,""t"":2963},{""x"":534,""y"":497,""dx"":43,""dy"":216,""t"":2996}],[{""x"":1604,""y"":569,""dx"":153,""dy"":288,""t"":4016},{""x"":1589,""y"":592,""dx"":138,""dy"":311,""t"":4050},{""x"":1566,""y"":621,""dx"":115,""dy"":340,""t"":4084},{""x"":1543,""y"":606,""dx"":92,""dy"":325,""t"":4118},{""x"":1524,""y"":649,""dx"":73,""dy"":368,""t"":4152},{""x"":1506,""y"":669,""dx"":55,""dy"":388,""t"":4186},{""x"":1502,""y"":686,""dx"":51,""dy"":405,""t"":4220},{""x"":1487,""y"":691,""dx"":36,""dy"":410,""t"":4254},{""x"":1473,""y"":702,""dx"":22,""dy"":421,""t"":4289},{""x"":1468,""y"":705,""dx"":17,""dy"":424,""t"":4322},{""x"":1470,""y"":708,""dx"":19,""dy"":427,""t"":4356},{""x"":1470,""y"":710,""dx"":19,""dy"":429,""t"":4390},{""x"":1469,""y"":703,""dx"":18,""dy"":422,""t"":4425},{""x"":1471,""y"":705,""dx"":20,""dy"":424,""t"":4459},{""x"":1486,""y"":711,""dx"":35,""dy"":430,""t"":4492},{""x"":1496,""y"":698,""dx"":45,""dy"":417,""t"":4526},{""x"":1493,""y"":702,""dx"":42,""dy"":421,""t"":4560},{""x"":1495,""y"":659,""dx"":44,""dy"":378,""t"":4594},{""x"":1491,""y"":688,""dx"":40,""dy"":407,""t"":4629},{""x"":1487,""y"":655,""dx"":36,""dy"":374,""t"":4662},{""x"":1472,""y"":634,""dx"":21,""dy"":353,""t"":4696},{""x"":1460,""y"":623,""dx"":9,""dy"":342,""t"":4730},{""x"":1463,""y"":627,""dx"":12,""dy"":346,""t"":4764},{""x"":1380,""y"":748,""dx"":-71,""dy"":467,""t"":4798},{""x"":1267,""y"":872,""dx"":-184,""dy"":591,""t"":4832},{""x"":1207,""y"":952,""dx"":-244,""dy"":671,""t"":4866},{""x"":1181,""y"":1003,""dx"":-270,""dy"":722,""t"":4900},{""x"":1176,""y"":957,""dx"":-275,""dy"":676,""t"":4935},{""x"":1219,""y"":928,""dx"":-232,""dy"":647,""t"":4968},{""x"":1253,""y"":896,""dx"":-198,""dy"":615,""t"":5002},{""x"":1290,""y"":844,""dx"":-161,""dy"":563,""t"":5036},{""x"":1334,""y"":762,""dx"":-117,""dy"":481,""t"":5070},{""x"":1372,""y"":739,""dx"":-79,""dy"":458,""t"":5103},{""x"":1422,""y"":707,""dx"":-29,""dy"":426,""t"":5137},{""x"":1459,""y"":649,""dx"":8,""dy"":368,""t"":5172},{""x"":1479,""y"":607,""dx"":28,""dy"":326,""t"":5206},{""x"":1519,""y"":547,""dx"":68,""dy"":266,""t"":5239},{""x"":1541,""y"":561,""dx"":90,""dy"":280,""t"":5274},{""x"":1558,""y"":577,""dx"":107,""dy"":296,""t"":5305},{""x"":1575,""y"":578,""dx"":124,""dy"":297,""t"":5342},{""x"":1579,""y"":578,""dx"":128,""dy"":297,""t"":5375},{""x"":1575,""y"":576,""dx"":124,""dy"":295,""t"":5410},{""x"":1566,""y"":547,""dx"":115,""dy"":266,""t"":5445},{""x"":1567,""y"":584,""dx"":116,""dy"":303,""t"":5478},{""x"":1573,""y"":587,""dx"":122,""dy"":306,""t"":5513},{""x"":1579,""y"":593,""dx"":128,""dy"":312,""t"":5545},{""x"":1580,""y"":605,""dx"":129,""dy"":324,""t"":5580},{""x"":1557,""y"":604,""dx"":106,""dy"":323,""t"":5615},{""x"":1558,""y"":570,""dx"":107,""dy"":289,""t"":5648},{""x"":1539,""y"":562,""dx"":88,""dy"":281,""t"":5682},{""x"":1536,""y"":546,""dx"":85,""dy"":265,""t"":5713},{""x"":1541,""y"":573,""dx"":90,""dy"":292,""t"":5750},{""x"":1531,""y"":556,""dx"":80,""dy"":275,""t"":5784},{""x"":1519,""y"":550,""dx"":68,""dy"":269,""t"":5818},{""x"":1509,""y"":527,""dx"":58,""dy"":246,""t"":5852},{""x"":1506,""y"":538,""dx"":55,""dy"":257,""t"":5886},{""x"":1512,""y"":539,""dx"":61,""dy"":258,""t"":5920},{""x"":1482,""y"":521,""dx"":31,""dy"":240,""t"":5953},{""x"":1459,""y"":523,""dx"":8,""dy"":242,""t"":5988}],[{""x"":993,""y"":858,""dx"":22,""dy"":307,""t"":7042},{""x"":988,""y"":768,""dx"":17,""dy"":217,""t"":7076},{""x"":983,""y"":696,""dx"":12,""dy"":145,""t"":7110},{""x"":997,""y"":622,""dx"":26,""dy"":71,""t"":7145},{""x"":1001,""y"":592,""dx"":30,""dy"":41,""t"":7178},{""x"":1000,""y"":545,""dx"":29,""dy"":-6,""t"":7213},{""x"":995,""y"":517,""dx"":24,""dy"":-34,""t"":7246},{""x"":1003,""y"":501,""dx"":32,""dy"":-50,""t"":7281},{""x"":1009,""y"":492,""dx"":38,""dy"":-59,""t"":7312},{""x"":1017,""y"":482,""dx"":46,""dy"":-69,""t"":7349},{""x"":1018,""y"":469,""dx"":47,""dy"":-82,""t"":7382},{""x"":1016,""y"":471,""dx"":45,""dy"":-80,""t"":7416},{""x"":1030,""y"":474,""dx"":59,""dy"":-77,""t"":7450},{""x"":1031,""y"":474,""dx"":60,""dy"":-77,""t"":7485},{""x"":1014,""y"":504,""dx"":43,""dy"":-47,""t"":7518},{""x"":1011,""y"":521,""dx"":40,""dy"":-30,""t"":7552},{""x"":1026,""y"":535,""dx"":55,""dy"":-16,""t"":7586},{""x"":1046,""y"":580,""dx"":75,""dy"":29,""t"":7620},{""x"":1036,""y"":568,""dx"":65,""dy"":17,""t"":7653},{""x"":1024,""y"":550,""dx"":53,""dy"":-1,""t"":7688},{""x"":1031,""y"":554,""dx"":60,""dy"":3,""t"":7722},{""x"":1028,""y"":561,""dx"":57,""dy"":10,""t"":7755},{""x"":1033,""y"":566,""dx"":62,""dy"":15,""t"":7790},{""x"":1034,""y"":562,""dx"":63,""dy"":11,""t"":7824},{""x"":1031,""y"":580,""dx"":60,""dy"":29,""t"":7857},{""x"":1036,""y"":576,""dx"":65,""dy"":25,""t"":7892},{""x"":1042,""y"":540,""dx"":71,""dy"":-11,""t"":7926},{""x"":1042,""y"":534,""dx"":71,""dy"":-17,""t"":7961},{""x"":1039,""y"":533,""dx"":68,""dy"":-18,""t"":7994},{""x"":1041,""y"":542,""dx"":70,""dy"":-9,""t"":8029},{""x"":1040,""y"":551,""dx"":69,""dy"":0,""t"":8062},{""x"":1031,""y"":547,""dx"":60,""dy"":-4,""t"":8096},{""x"":1042,""y"":553,""dx"":71,""dy"":2,""t"":8130},{""x"":1032,""y"":544,""dx"":61,""dy"":-7,""t"":8165},{""x"":1048,""y"":559,""dx"":77,""dy"":8,""t"":8198},{""x"":1032,""y"":555,""dx"":61,""dy"":4,""t"":8232},{""x"":1032,""y"":560,""dx"":61,""dy"":9,""t"":8266},{""x"":1024,""y"":577,""dx"":53,""dy"":26,""t"":8300},{""x"":1020,""y"":585,""dx"":49,""dy"":34,""t"":8334},{""x"":1024,""y"":570,""dx"":53,""dy"":19,""t"":8368},{""x"":1018,""y"":604,""dx"":47,""dy"":53,""t"":8402},{""x"":1017,""y"":612,""dx"":46,""dy"":61,""t"":8437},{""x"":1017,""y"":591,""dx"":46,""dy"":40,""t"":8470},{""x"":1025,""y"":588,""dx"":54,""dy"":37,""t"":8503},{""x"":1035,""y"":579,""dx"":64,""dy"":28,""t"":8538},{""x"":1035,""y"":567,""dx"":64,""dy"":16,""t"":8572},{""x"":1039,""y"":560,""dx"":68,""dy"":9,""t"":8606},{""x"":1031,""y"":574,""dx"":60,""dy"":23,""t"":8640},{""x"":1034,""y"":583,""dx"":63,""dy"":32,""t"":8674},{""x"":1045,""y"":594,""dx"":74,""dy"":43,""t"":8709},{""x"":1033,""y"":606,""dx"":62,""dy"":55,""t"":8742},{""x"":1032,""y"":606,""dx"":61,""dy"":55,""t"":8777},{""x"":1011,""y"":628,""dx"":40,""dy"":77,""t"":8810},{""x"":1003,""y"":638,""dx"":32,""dy"":87,""t"":8844},{""x"":1013,""y"":621,""dx"":42,""dy"":70,""t"":8876},{""x"":994,""y"":625,""dx"":23,""dy"":74,""t"":8912},{""x"":992,""y"":619,""dx"":21,""dy"":68,""t"":8946},{""x"":979,""y"":640,""dx"":8,""dy"":89,""t"":8980},{""x"":983,""y"":633,""dx"":12,""dy"":82,""t"":9014}],[{""x"":607,""y"":886,""dx"":116,""dy"":65,""t"":10034},{""x"":603,""y"":873,""dx"":112,""dy"":52,""t"":10068},{""x"":548,""y"":841,""dx"":57,""dy"":20,""t"":10102},{""x"":513,""y"":860,""dx"":22,""dy"":39,""t"":10137},{""x"":492,""y"":845,""dx"":1,""dy"":24,""t"":10170},{""x"":532,""y"":867,""dx"":41,""dy"":46,""t"":10204},{""x"":590,""y"":893,""dx"":99,""dy"":72,""t"":10238},{""x"":567,""y"":850,""dx"":76,""dy"":29,""t"":10274},{""x"":588,""y"":871,""dx"":97,""dy"":50,""t"":10307},{""x"":605,""y"":873,""dx"":114,""dy"":52,""t"":10340},{""x"":622,""y"":873,""dx"":131,""dy"":52,""t"":10374},{""x"":644,""y"":862,""dx"":153,""dy"":41,""t"":10408},{""x"":666,""y"":878,""dx"":175,""dy"":57,""t"":10443},{""x"":685,""y"":892,""dx"":194,""dy"":71,""t"":10473},{""x"":692,""y"":872,""dx"":201,""dy"":51,""t"":10510},{""x"":742,""y"":887,""dx"":251,""dy"":66,""t"":10544},{""x"":737,""y"":879,""dx"":246,""dy"":58,""t"":10578},{""x"":668,""y"":846,""dx"":177,""dy"":25,""t"":10612},{""x"":632,""y"":840,""dx"":141,""dy"":19,""t"":10646},{""x"":594,""y"":839,""dx"":103,""dy"":18,""t"":10680},{""x"":586,""y"":785,""dx"":95,""dy"":-36,""t"":10750},{""x"":538,""y"":807,""dx"":47,""dy"":-14,""t"":10782},{""x"":559,""y"":806,""dx"":68,""dy"":-15,""t"":10818},{""x"":559,""y"":817,""dx"":68,""dy"":-4,""t"":10851},{""x"":533,""y"":820,""dx"":42,""dy"":-1,""t"":10882},{""x"":533,""y"":838,""dx"":42,""dy"":17,""t"":10918},{""x"":550,""y"":838,""dx"":59,""dy"":17,""t"":10952},{""x"":601,""y"":854,""dx"":110,""dy"":33,""t"":10987},{""x"":589,""y"":846,""dx"":98,""dy"":25,""t"":11020},{""x"":575,""y"":833,""dx"":84,""dy"":12,""t"":11054},{""x"":552,""y"":840,""dx"":61,""dy"":19,""t"":11088},{""x"":540,""y"":854,""dx"":49,""dy"":33,""t"":11121},{""x"":544,""y"":865,""dx"":53,""dy"":44,""t"":11156},{""x"":550,""y"":862,""dx"":59,""dy"":41,""t"":11190},{""x"":542,""y"":853,""dx"":51,""dy"":32,""t"":11224},{""x"":511,""y"":855,""dx"":20,""dy"":34,""t"":11258},{""x"":496,""y"":866,""dx"":5,""dy"":45,""t"":11292},{""x"":500,""y"":888,""dx"":9,""dy"":67,""t"":11328},{""x"":499,""y"":887,""dx"":8,""dy"":66,""t"":11361},{""x"":505,""y"":879,""dx"":14,""dy"":58,""t"":11394},{""x"":495,""y"":876,""dx"":4,""dy"":55,""t"":11428},{""x"":504,""y"":879,""dx"":13,""dy"":58,""t"":11462},{""x"":505,""y"":864,""dx"":14,""dy"":43,""t"":11496},{""x"":516,""y"":871,""dx"":25,""dy"":50,""t"":11531},{""x"":515,""y"":876,""dx"":24,""dy"":55,""t"":11564},{""x"":504,""y"":863,""dx"":13,""dy"":42,""t"":11598},{""x"":494,""y"":867,""dx"":3,""dy"":46,""t"":11632},{""x"":485,""y"":864,""dx"":-6,""dy"":43,""t"":11666},{""x"":481,""y"":848,""dx"":-10,""dy"":27,""t"":11700},{""x"":548,""y"":852,""dx"":57,""dy"":31,""t"":11734},{""x"":553,""y"":851,""dx"":62,""dy"":30,""t"":11767},{""x"":548,""y"":859,""dx"":57,""dy"":38,""t"":11802},{""x"":535,""y"":871,""dx"":44,""dy"":50,""t"":11836},{""x"":533,""y"":876,""dx"":42,""dy"":55,""t"":11870},{""x"":521,""y"":896,""dx"":30,""dy"":75,""t"":11904},{""x"":529,""y"":875,""dx"":38,""dy"":54,""t"":11939},{""x"":541,""y"":840,""dx"":50,""dy"":19,""t"":11972},{""x"":550,""y"":838,""dx"":59,""dy"":17,""t"":12005}],[{""x"":1251,""y"":1011,""dx"":-200,""dy"":190,""t"":13060},{""x"":1293,""y"":884,""dx"":-158,""dy"":63,""t"":13094},{""x"":1319,""y"":826,""dx"":-132,""dy"":5,""t"":13128},{""x"":1351,""y"":804,""dx"":-100,""dy"":-17,""t"":13163},{""x"":1408,""y"":799,""dx"":-43,""dy"":-22,""t"":13197},{""x"":1436,""y"":789,""dx"":-15,""dy"":-32,""t"":13230},{""x"":1443,""y"":751,""dx"":-8,""dy"":-70,""t"":13264},{""x"":1460,""y"":750,""dx"":9,""dy"":-71,""t"":13298},{""x"":1473,""y"":754,""dx"":22,""dy"":-67,""t"":13332},{""x"":1461,""y"":749,""dx"":10,""dy"":-72,""t"":13366},{""x"":1450,""y"":737,""dx"":-1,""dy"":-84,""t"":13400},{""x"":1457,""y"":697,""dx"":6,""dy"":-124,""t"":13435},{""x"":1444,""y"":694,""dx"":-7,""dy"":-127,""t"":13469},{""x"":1419,""y"":701,""dx"":-32,""dy"":-120,""t"":13502},{""x"":1421,""y"":676,""dx"":-30,""dy"":-145,""t"":13536},{""x"":1409,""y"":695,""dx"":-42,""dy"":-126,""t"":13570},{""x"":1404,""y"":699,""dx"":-47,""dy"":-122,""t"":13604},{""x"":1399,""y"":709,""dx"":-52,""dy"":-112,""t"":13638},{""x"":1400,""y"":725,""dx"":-51,""dy"":-96,""t"":13672},{""x"":1403,""y"":744,""dx"":-48,""dy"":-77,""t"":13706},{""x"":1408,""y"":753,""dx"":-43,""dy"":-68,""t"":13740},{""x"":1385,""y"":755,""dx"":-66,""dy"":-66,""t"":13774},{""x"":1377,""y"":764,""dx"":-74,""dy"":-57,""t"":13808},{""x"":1378,""y"":782,""dx"":-73,""dy"":-39,""t"":13842},{""x"":1365,""y"":775,""dx"":-86,""dy"":-46,""t"":13876},{""x"":1365,""y"":779,""dx"":-86,""dy"":-42,""t"":13909},{""x"":1344,""y"":784,""dx"":-107,""dy"":-37,""t"":13945},{""x"":1330,""y"":798,""dx"":-121,""dy"":-23,""t"":13979},{""x"":1342,""y"":782,""dx"":-109,""dy"":-39,""t"":14012},{""x"":1362,""y"":798,""dx"":-89,""dy"":-23,""t"":14044},{""x"":1360,""y"":795,""dx"":-91,""dy"":-26,""t"":14080},{""x"":1372,""y"":807,""dx"":-79,""dy"":-14,""t"":14114},{""x"":1367,""y"":820,""dx"":-84,""dy"":-1,""t"":14148},{""x"":1371,""y"":834,""dx"":-80,""dy"":13,""t"":14182},{""x"":1340,""y"":840,""dx"":-111,""dy"":19,""t"":14216},{""x"":1345,""y"":839,""dx"":-106,""dy"":18,""t"":14249},{""x"":1310,""y"":829,""dx"":-141,""dy"":8,""t"":14284},{""x"":1337,""y"":846,""dx"":-114,""dy"":25,""t"":14319},{""x"":1334,""y"":844,""dx"":-117,""dy"":23,""t"":14352},{""x"":1358,""y"":796,""dx"":-93,""dy"":-25,""t"":14386},{""x"":1379,""y"":806,""dx"":-72,""dy"":-15,""t"":14420},{""x"":1382,""y"":807,""dx"":-69,""dy"":-14,""t"":14452},{""x"":1388,""y"":813,""dx"":-63,""dy"":-8,""t"":14488},{""x"":1387,""y"":838,""dx"":-64,""dy"":17,""t"":14522},{""x"":1387,""y"":879,""dx"":-64,""dy"":58,""t"":14556},{""x"":1373,""y"":877,""dx"":-78,""dy"":56,""t"":14590},{""x"":1364,""y"":895,""dx"":-87,""dy"":74,""t"":14624},{""x"":1360,""y"":894,""dx"":-91,""dy"":73,""t"":14658},{""x"":1359,""y"":909,""dx"":-92,""dy"":88,""t"":14692},{""x"":1348,""y"":916,""dx"":-103,""dy"":95,""t"":14726},{""x"":1342,""y"":899,""dx"":-109,""dy"":78,""t"":14760},{""x"":1325,""y"":904,""dx"":-126,""dy"":83,""t"":14794},{""x"":1332,""y"":887,""dx"":-119,""dy"":66,""t"":14828},{""x"":1351,""y"":877,""dx"":-100,""dy"":56,""t"":14862},{""x"":1344,""y"":864,""dx"":-107,""dy"":43,""t"":14896},{""x"":1342,""y"":880,""dx"":-109,""dy"":59,""t"":14930},{""x"":1351,""y"":893,""dx"":-100,""dy"":72,""t"":14965},{""x"":1390,""y"":908,""dx"":-61,""dy"":87,""t"":14998},{""x"":1388,""y"":913,""dx"":-63,""dy"":92,""t"":15033}]]","[53.333333333333336,0,96.61016949152543,93.10344827586206,98.30508474576271]","[{""x"":12.15,""y"":198.71666666666667,""r"":39.13444532922169},{""x"":23.322033898305083,""y"":378.64406779661016,""r"":118.39739126337136},{""x"":50.28813559322034,""y"":22.491525423728813,""r"":34.227838937702494},{""x"":70.13793103448276,""y"":37.37931034482759,""r"":71.67162075338851},{""x"":-75.69491525423729,""y"":-9.59322033898305,""r"":67.63339038926894}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
"","html-button-response","9","44403","0.0-4.0-4.0-0.0-0.0","","","","","1000","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
