"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1803","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1814","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3826","0.0-2.0-0.0","","","","","2010","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6164","0.0-2.0-1.0","","","","","2337","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","12068","0.0-3.0","","","","","","","","793","","","","","","","","","","","","","","","","",""
"","html-button-response","5","13407","0.0-4.0-0.0","","","","","1337","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","24251","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","25088","0.0-4.0-2.0","","","","","837","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","42603","0.0-4.0-3.0","","","","","","","","","","[[{""x"":518,""y"":225,""dx"":27,""dy"":-56,""t"":1021},{""x"":536,""y"":249,""dx"":45,""dy"":-32,""t"":1057},{""x"":543,""y"":259,""dx"":52,""dy"":-22,""t"":1090},{""x"":527,""y"":275,""dx"":36,""dy"":-6,""t"":1123},{""x"":521,""y"":284,""dx"":30,""dy"":3,""t"":1159},{""x"":514,""y"":277,""dx"":23,""dy"":-4,""t"":1191},{""x"":512,""y"":247,""dx"":21,""dy"":-34,""t"":1225},{""x"":503,""y"":236,""dx"":12,""dy"":-45,""t"":1259},{""x"":564,""y"":288,""dx"":73,""dy"":7,""t"":1295},{""x"":551,""y"":286,""dx"":60,""dy"":5,""t"":1327},{""x"":559,""y"":272,""dx"":68,""dy"":-9,""t"":1361},{""x"":540,""y"":251,""dx"":49,""dy"":-30,""t"":1395},{""x"":525,""y"":231,""dx"":34,""dy"":-50,""t"":1432},{""x"":534,""y"":237,""dx"":43,""dy"":-44,""t"":1464},{""x"":539,""y"":239,""dx"":48,""dy"":-42,""t"":1497},{""x"":528,""y"":235,""dx"":37,""dy"":-46,""t"":1533},{""x"":517,""y"":222,""dx"":26,""dy"":-59,""t"":1566},{""x"":521,""y"":217,""dx"":30,""dy"":-64,""t"":1600},{""x"":524,""y"":213,""dx"":33,""dy"":-68,""t"":1633},{""x"":531,""y"":215,""dx"":40,""dy"":-66,""t"":1670},{""x"":529,""y"":212,""dx"":38,""dy"":-69,""t"":1702},{""x"":584,""y"":229,""dx"":93,""dy"":-52,""t"":1736},{""x"":558,""y"":219,""dx"":67,""dy"":-62,""t"":1771},{""x"":610,""y"":235,""dx"":119,""dy"":-46,""t"":1803},{""x"":613,""y"":243,""dx"":122,""dy"":-38,""t"":1839},{""x"":584,""y"":233,""dx"":93,""dy"":-48,""t"":1873},{""x"":573,""y"":239,""dx"":82,""dy"":-42,""t"":1906},{""x"":557,""y"":226,""dx"":66,""dy"":-55,""t"":1941},{""x"":549,""y"":211,""dx"":58,""dy"":-70,""t"":1976},{""x"":588,""y"":220,""dx"":97,""dy"":-61,""t"":2008},{""x"":572,""y"":202,""dx"":81,""dy"":-79,""t"":2043},{""x"":547,""y"":190,""dx"":56,""dy"":-91,""t"":2078},{""x"":571,""y"":230,""dx"":80,""dy"":-51,""t"":2109},{""x"":563,""y"":234,""dx"":72,""dy"":-47,""t"":2144},{""x"":587,""y"":232,""dx"":96,""dy"":-49,""t"":2179},{""x"":563,""y"":232,""dx"":72,""dy"":-49,""t"":2212},{""x"":584,""y"":247,""dx"":93,""dy"":-34,""t"":2246},{""x"":601,""y"":261,""dx"":110,""dy"":-20,""t"":2282},{""x"":634,""y"":269,""dx"":143,""dy"":-12,""t"":2314},{""x"":601,""y"":254,""dx"":110,""dy"":-27,""t"":2348},{""x"":581,""y"":241,""dx"":90,""dy"":-40,""t"":2383},{""x"":554,""y"":237,""dx"":63,""dy"":-44,""t"":2417},{""x"":534,""y"":232,""dx"":43,""dy"":-49,""t"":2450},{""x"":535,""y"":256,""dx"":44,""dy"":-25,""t"":2485},{""x"":529,""y"":264,""dx"":38,""dy"":-17,""t"":2518},{""x"":527,""y"":272,""dx"":36,""dy"":-9,""t"":2552},{""x"":521,""y"":275,""dx"":30,""dy"":-6,""t"":2589},{""x"":507,""y"":275,""dx"":16,""dy"":-6,""t"":2620},{""x"":510,""y"":278,""dx"":19,""dy"":-3,""t"":2654},{""x"":491,""y"":276,""dx"":0,""dy"":-5,""t"":2689},{""x"":502,""y"":292,""dx"":11,""dy"":11,""t"":2721},{""x"":511,""y"":275,""dx"":20,""dy"":-6,""t"":2755},{""x"":525,""y"":278,""dx"":34,""dy"":-3,""t"":2791},{""x"":579,""y"":298,""dx"":88,""dy"":17,""t"":2823},{""x"":589,""y"":291,""dx"":98,""dy"":10,""t"":2858},{""x"":609,""y"":310,""dx"":118,""dy"":29,""t"":2891},{""x"":619,""y"":317,""dx"":128,""dy"":36,""t"":2925},{""x"":636,""y"":315,""dx"":145,""dy"":34,""t"":2961},{""x"":614,""y"":308,""dx"":123,""dy"":27,""t"":2993}],[{""x"":1616,""y"":297,""dx"":165,""dy"":16,""t"":4015},{""x"":1620,""y"":328,""dx"":169,""dy"":47,""t"":4047},{""x"":1624,""y"":348,""dx"":173,""dy"":67,""t"":4081},{""x"":1608,""y"":368,""dx"":157,""dy"":87,""t"":4118},{""x"":1591,""y"":391,""dx"":140,""dy"":110,""t"":4149},{""x"":1586,""y"":386,""dx"":135,""dy"":105,""t"":4184},{""x"":1562,""y"":367,""dx"":111,""dy"":86,""t"":4219},{""x"":1579,""y"":372,""dx"":128,""dy"":91,""t"":4251},{""x"":1574,""y"":367,""dx"":123,""dy"":86,""t"":4286},{""x"":1567,""y"":348,""dx"":116,""dy"":67,""t"":4322},{""x"":1561,""y"":347,""dx"":110,""dy"":66,""t"":4354},{""x"":1563,""y"":356,""dx"":112,""dy"":75,""t"":4387},{""x"":1569,""y"":368,""dx"":118,""dy"":87,""t"":4423},{""x"":1562,""y"":415,""dx"":111,""dy"":134,""t"":4456},{""x"":1533,""y"":386,""dx"":82,""dy"":105,""t"":4489},{""x"":1538,""y"":391,""dx"":87,""dy"":110,""t"":4522},{""x"":1542,""y"":388,""dx"":91,""dy"":107,""t"":4559},{""x"":1553,""y"":379,""dx"":102,""dy"":98,""t"":4593},{""x"":1575,""y"":368,""dx"":124,""dy"":87,""t"":4626},{""x"":1587,""y"":371,""dx"":136,""dy"":90,""t"":4662},{""x"":1592,""y"":379,""dx"":141,""dy"":98,""t"":4694},{""x"":1563,""y"":320,""dx"":112,""dy"":39,""t"":4727},{""x"":1515,""y"":269,""dx"":64,""dy"":-12,""t"":4763},{""x"":1472,""y"":236,""dx"":21,""dy"":-45,""t"":4796},{""x"":1435,""y"":197,""dx"":-16,""dy"":-84,""t"":4829},{""x"":1442,""y"":191,""dx"":-9,""dy"":-90,""t"":4864},{""x"":1443,""y"":187,""dx"":-8,""dy"":-94,""t"":4899},{""x"":1446,""y"":187,""dx"":-5,""dy"":-94,""t"":4931},{""x"":1469,""y"":249,""dx"":18,""dy"":-32,""t"":4966},{""x"":1478,""y"":286,""dx"":27,""dy"":5,""t"":5000},{""x"":1483,""y"":328,""dx"":32,""dy"":47,""t"":5036},{""x"":1495,""y"":324,""dx"":44,""dy"":43,""t"":5068},{""x"":1498,""y"":357,""dx"":47,""dy"":76,""t"":5102},{""x"":1502,""y"":324,""dx"":51,""dy"":43,""t"":5138},{""x"":1519,""y"":346,""dx"":68,""dy"":65,""t"":5171},{""x"":1530,""y"":317,""dx"":79,""dy"":36,""t"":5204},{""x"":1562,""y"":349,""dx"":111,""dy"":68,""t"":5240},{""x"":1571,""y"":388,""dx"":120,""dy"":107,""t"":5273},{""x"":1571,""y"":414,""dx"":120,""dy"":133,""t"":5306},{""x"":1561,""y"":463,""dx"":110,""dy"":182,""t"":5341},{""x"":1569,""y"":486,""dx"":118,""dy"":205,""t"":5373},{""x"":1571,""y"":500,""dx"":120,""dy"":219,""t"":5408},{""x"":1562,""y"":486,""dx"":111,""dy"":205,""t"":5444},{""x"":1555,""y"":501,""dx"":104,""dy"":220,""t"":5476},{""x"":1564,""y"":488,""dx"":113,""dy"":207,""t"":5511},{""x"":1580,""y"":486,""dx"":129,""dy"":205,""t"":5546},{""x"":1590,""y"":456,""dx"":139,""dy"":175,""t"":5578},{""x"":1598,""y"":437,""dx"":147,""dy"":156,""t"":5612},{""x"":1599,""y"":418,""dx"":148,""dy"":137,""t"":5647},{""x"":1604,""y"":391,""dx"":153,""dy"":110,""t"":5680},{""x"":1607,""y"":410,""dx"":156,""dy"":129,""t"":5713},{""x"":1606,""y"":397,""dx"":155,""dy"":116,""t"":5749},{""x"":1609,""y"":399,""dx"":158,""dy"":118,""t"":5782},{""x"":1596,""y"":406,""dx"":145,""dy"":125,""t"":5816},{""x"":1588,""y"":413,""dx"":137,""dy"":132,""t"":5851},{""x"":1579,""y"":422,""dx"":128,""dy"":141,""t"":5884},{""x"":1592,""y"":418,""dx"":141,""dy"":137,""t"":5918},{""x"":1594,""y"":412,""dx"":143,""dy"":131,""t"":5954},{""x"":1597,""y"":402,""dx"":146,""dy"":121,""t"":5986}],[{""x"":972,""y"":338,""dx"":1,""dy"":-213,""t"":7007},{""x"":966,""y"":346,""dx"":-5,""dy"":-205,""t"":7039},{""x"":960,""y"":332,""dx"":-11,""dy"":-219,""t"":7074},{""x"":964,""y"":323,""dx"":-7,""dy"":-228,""t"":7110},{""x"":976,""y"":308,""dx"":5,""dy"":-243,""t"":7141},{""x"":991,""y"":311,""dx"":20,""dy"":-240,""t"":7176},{""x"":1031,""y"":318,""dx"":60,""dy"":-233,""t"":7211},{""x"":1057,""y"":345,""dx"":86,""dy"":-206,""t"":7244},{""x"":1088,""y"":362,""dx"":117,""dy"":-189,""t"":7278},{""x"":1112,""y"":372,""dx"":141,""dy"":-179,""t"":7313},{""x"":1131,""y"":404,""dx"":160,""dy"":-147,""t"":7345},{""x"":1153,""y"":428,""dx"":182,""dy"":-123,""t"":7379},{""x"":1157,""y"":481,""dx"":186,""dy"":-70,""t"":7415},{""x"":1123,""y"":474,""dx"":152,""dy"":-77,""t"":7447},{""x"":1130,""y"":502,""dx"":159,""dy"":-49,""t"":7482},{""x"":1108,""y"":519,""dx"":137,""dy"":-32,""t"":7517},{""x"":1096,""y"":540,""dx"":125,""dy"":-11,""t"":7550},{""x"":1070,""y"":530,""dx"":99,""dy"":-21,""t"":7584},{""x"":1039,""y"":511,""dx"":68,""dy"":-40,""t"":7619},{""x"":1006,""y"":503,""dx"":35,""dy"":-48,""t"":7652},{""x"":976,""y"":501,""dx"":5,""dy"":-50,""t"":7685},{""x"":951,""y"":499,""dx"":-20,""dy"":-52,""t"":7719},{""x"":933,""y"":497,""dx"":-38,""dy"":-54,""t"":7756},{""x"":910,""y"":489,""dx"":-61,""dy"":-62,""t"":7788},{""x"":899,""y"":489,""dx"":-72,""dy"":-62,""t"":7821},{""x"":887,""y"":479,""dx"":-84,""dy"":-72,""t"":7857},{""x"":913,""y"":473,""dx"":-58,""dy"":-78,""t"":7889},{""x"":933,""y"":489,""dx"":-38,""dy"":-62,""t"":7923},{""x"":974,""y"":459,""dx"":3,""dy"":-92,""t"":7959},{""x"":968,""y"":444,""dx"":-3,""dy"":-107,""t"":7991},{""x"":955,""y"":441,""dx"":-16,""dy"":-110,""t"":8024},{""x"":938,""y"":438,""dx"":-33,""dy"":-113,""t"":8059},{""x"":951,""y"":458,""dx"":-20,""dy"":-93,""t"":8095},{""x"":989,""y"":469,""dx"":18,""dy"":-82,""t"":8127},{""x"":1024,""y"":479,""dx"":53,""dy"":-72,""t"":8161},{""x"":1038,""y"":475,""dx"":67,""dy"":-76,""t"":8195},{""x"":1076,""y"":500,""dx"":105,""dy"":-51,""t"":8231},{""x"":1102,""y"":523,""dx"":131,""dy"":-28,""t"":8263},{""x"":1112,""y"":539,""dx"":141,""dy"":-12,""t"":8297},{""x"":1117,""y"":552,""dx"":146,""dy"":1,""t"":8333},{""x"":1118,""y"":559,""dx"":147,""dy"":8,""t"":8365},{""x"":1106,""y"":553,""dx"":135,""dy"":2,""t"":8400},{""x"":1095,""y"":546,""dx"":124,""dy"":-5,""t"":8433},{""x"":1089,""y"":548,""dx"":118,""dy"":-3,""t"":8469},{""x"":1084,""y"":541,""dx"":113,""dy"":-10,""t"":8502},{""x"":1083,""y"":543,""dx"":112,""dy"":-8,""t"":8536},{""x"":1078,""y"":548,""dx"":107,""dy"":-3,""t"":8571},{""x"":1072,""y"":545,""dx"":101,""dy"":-6,""t"":8605},{""x"":1078,""y"":551,""dx"":107,""dy"":0,""t"":8638},{""x"":1071,""y"":551,""dx"":100,""dy"":0,""t"":8673},{""x"":1081,""y"":551,""dx"":110,""dy"":0,""t"":8706},{""x"":1091,""y"":552,""dx"":120,""dy"":1,""t"":8739},{""x"":1068,""y"":533,""dx"":97,""dy"":-18,""t"":8775},{""x"":1048,""y"":530,""dx"":77,""dy"":-21,""t"":8807},{""x"":1019,""y"":528,""dx"":48,""dy"":-23,""t"":8842},{""x"":989,""y"":517,""dx"":18,""dy"":-34,""t"":8877},{""x"":995,""y"":527,""dx"":24,""dy"":-24,""t"":8910},{""x"":979,""y"":519,""dx"":8,""dy"":-32,""t"":8943},{""x"":1045,""y"":556,""dx"":74,""dy"":5,""t"":8979}],[{""x"":561,""y"":881,""dx"":70,""dy"":60,""t"":10031},{""x"":549,""y"":855,""dx"":58,""dy"":34,""t"":10066},{""x"":547,""y"":841,""dx"":56,""dy"":20,""t"":10101},{""x"":559,""y"":848,""dx"":68,""dy"":27,""t"":10135},{""x"":554,""y"":822,""dx"":63,""dy"":1,""t"":10167},{""x"":548,""y"":804,""dx"":57,""dy"":-17,""t"":10203},{""x"":550,""y"":802,""dx"":59,""dy"":-19,""t"":10235},{""x"":527,""y"":783,""dx"":36,""dy"":-38,""t"":10269},{""x"":532,""y"":786,""dx"":41,""dy"":-35,""t"":10305},{""x"":511,""y"":777,""dx"":20,""dy"":-44,""t"":10337},{""x"":508,""y"":781,""dx"":17,""dy"":-40,""t"":10372},{""x"":543,""y"":825,""dx"":52,""dy"":4,""t"":10408},{""x"":553,""y"":839,""dx"":62,""dy"":18,""t"":10439},{""x"":582,""y"":871,""dx"":91,""dy"":50,""t"":10473},{""x"":584,""y"":861,""dx"":93,""dy"":40,""t"":10509},{""x"":592,""y"":865,""dx"":101,""dy"":44,""t"":10541},{""x"":573,""y"":845,""dx"":82,""dy"":24,""t"":10575},{""x"":564,""y"":845,""dx"":73,""dy"":24,""t"":10611},{""x"":590,""y"":886,""dx"":99,""dy"":65,""t"":10643},{""x"":587,""y"":906,""dx"":96,""dy"":85,""t"":10677},{""x"":591,""y"":923,""dx"":100,""dy"":102,""t"":10713},{""x"":608,""y"":950,""dx"":117,""dy"":129,""t"":10745},{""x"":596,""y"":955,""dx"":105,""dy"":134,""t"":10780},{""x"":592,""y"":954,""dx"":101,""dy"":133,""t"":10815},{""x"":603,""y"":978,""dx"":112,""dy"":157,""t"":10847},{""x"":585,""y"":954,""dx"":94,""dy"":133,""t"":10882},{""x"":580,""y"":958,""dx"":89,""dy"":137,""t"":10918},{""x"":594,""y"":959,""dx"":103,""dy"":138,""t"":10949},{""x"":602,""y"":964,""dx"":111,""dy"":143,""t"":10984},{""x"":617,""y"":972,""dx"":126,""dy"":151,""t"":11020},{""x"":618,""y"":974,""dx"":127,""dy"":153,""t"":11052},{""x"":634,""y"":984,""dx"":143,""dy"":163,""t"":11086},{""x"":649,""y"":987,""dx"":158,""dy"":166,""t"":11122},{""x"":656,""y"":988,""dx"":165,""dy"":167,""t"":11154},{""x"":659,""y"":994,""dx"":168,""dy"":173,""t"":11189},{""x"":654,""y"":988,""dx"":163,""dy"":167,""t"":11221},{""x"":644,""y"":976,""dx"":153,""dy"":155,""t"":11258},{""x"":646,""y"":978,""dx"":155,""dy"":157,""t"":11290},{""x"":630,""y"":963,""dx"":139,""dy"":142,""t"":11322},{""x"":603,""y"":945,""dx"":112,""dy"":124,""t"":11357},{""x"":579,""y"":926,""dx"":88,""dy"":105,""t"":11393},{""x"":572,""y"":925,""dx"":81,""dy"":104,""t"":11425},{""x"":556,""y"":925,""dx"":65,""dy"":104,""t"":11459},{""x"":559,""y"":919,""dx"":68,""dy"":98,""t"":11495},{""x"":565,""y"":897,""dx"":74,""dy"":76,""t"":11528},{""x"":557,""y"":902,""dx"":66,""dy"":81,""t"":11562},{""x"":582,""y"":914,""dx"":91,""dy"":93,""t"":11598},{""x"":569,""y"":925,""dx"":78,""dy"":104,""t"":11629},{""x"":573,""y"":940,""dx"":82,""dy"":119,""t"":11664},{""x"":560,""y"":935,""dx"":69,""dy"":114,""t"":11697},{""x"":556,""y"":936,""dx"":65,""dy"":115,""t"":11733},{""x"":560,""y"":946,""dx"":69,""dy"":125,""t"":11766},{""x"":557,""y"":932,""dx"":66,""dy"":111,""t"":11799},{""x"":551,""y"":933,""dx"":60,""dy"":112,""t"":11835},{""x"":551,""y"":928,""dx"":60,""dy"":107,""t"":11868},{""x"":551,""y"":923,""dx"":60,""dy"":102,""t"":11903},{""x"":546,""y"":909,""dx"":55,""dy"":88,""t"":11937},{""x"":540,""y"":899,""dx"":49,""dy"":78,""t"":11969},{""x"":534,""y"":901,""dx"":43,""dy"":80,""t"":12003}],[{""x"":1572,""y"":837,""dx"":121,""dy"":16,""t"":13023},{""x"":1575,""y"":828,""dx"":124,""dy"":7,""t"":13057},{""x"":1556,""y"":825,""dx"":105,""dy"":4,""t"":13093},{""x"":1540,""y"":807,""dx"":89,""dy"":-14,""t"":13126},{""x"":1524,""y"":791,""dx"":73,""dy"":-30,""t"":13160},{""x"":1508,""y"":801,""dx"":57,""dy"":-20,""t"":13195},{""x"":1499,""y"":781,""dx"":48,""dy"":-40,""t"":13227},{""x"":1463,""y"":741,""dx"":12,""dy"":-80,""t"":13261},{""x"":1466,""y"":755,""dx"":15,""dy"":-66,""t"":13295},{""x"":1447,""y"":762,""dx"":-4,""dy"":-59,""t"":13329},{""x"":1465,""y"":770,""dx"":14,""dy"":-51,""t"":13366},{""x"":1452,""y"":767,""dx"":1,""dy"":-54,""t"":13397},{""x"":1464,""y"":786,""dx"":13,""dy"":-35,""t"":13432},{""x"":1473,""y"":783,""dx"":22,""dy"":-38,""t"":13468},{""x"":1483,""y"":794,""dx"":32,""dy"":-27,""t"":13499},{""x"":1485,""y"":797,""dx"":34,""dy"":-24,""t"":13534},{""x"":1450,""y"":785,""dx"":-1,""dy"":-36,""t"":13570},{""x"":1456,""y"":786,""dx"":5,""dy"":-35,""t"":13601},{""x"":1489,""y"":797,""dx"":38,""dy"":-24,""t"":13636},{""x"":1506,""y"":801,""dx"":55,""dy"":-20,""t"":13672},{""x"":1521,""y"":825,""dx"":70,""dy"":4,""t"":13704},{""x"":1489,""y"":819,""dx"":38,""dy"":-2,""t"":13738},{""x"":1487,""y"":809,""dx"":36,""dy"":-12,""t"":13773},{""x"":1468,""y"":809,""dx"":17,""dy"":-12,""t"":13806},{""x"":1455,""y"":794,""dx"":4,""dy"":-27,""t"":13840},{""x"":1443,""y"":791,""dx"":-8,""dy"":-30,""t"":13876},{""x"":1423,""y"":795,""dx"":-28,""dy"":-26,""t"":13907},{""x"":1401,""y"":797,""dx"":-50,""dy"":-24,""t"":13941},{""x"":1386,""y"":794,""dx"":-65,""dy"":-27,""t"":13977},{""x"":1363,""y"":782,""dx"":-88,""dy"":-39,""t"":14009},{""x"":1360,""y"":771,""dx"":-91,""dy"":-50,""t"":14045},{""x"":1360,""y"":774,""dx"":-91,""dy"":-47,""t"":14079},{""x"":1373,""y"":779,""dx"":-78,""dy"":-42,""t"":14111},{""x"":1385,""y"":776,""dx"":-66,""dy"":-45,""t"":14147},{""x"":1406,""y"":789,""dx"":-45,""dy"":-32,""t"":14182},{""x"":1421,""y"":790,""dx"":-30,""dy"":-31,""t"":14214},{""x"":1379,""y"":736,""dx"":-72,""dy"":-85,""t"":14248},{""x"":1386,""y"":738,""dx"":-65,""dy"":-83,""t"":14284},{""x"":1377,""y"":707,""dx"":-74,""dy"":-114,""t"":14316},{""x"":1384,""y"":714,""dx"":-67,""dy"":-107,""t"":14350},{""x"":1413,""y"":736,""dx"":-38,""dy"":-85,""t"":14385},{""x"":1441,""y"":768,""dx"":-10,""dy"":-53,""t"":14418},{""x"":1457,""y"":769,""dx"":6,""dy"":-52,""t"":14452},{""x"":1437,""y"":789,""dx"":-14,""dy"":-32,""t"":14488},{""x"":1443,""y"":793,""dx"":-8,""dy"":-28,""t"":14519},{""x"":1468,""y"":819,""dx"":17,""dy"":-2,""t"":14553},{""x"":1447,""y"":780,""dx"":-4,""dy"":-41,""t"":14588},{""x"":1479,""y"":784,""dx"":28,""dy"":-37,""t"":14623},{""x"":1494,""y"":802,""dx"":43,""dy"":-19,""t"":14656},{""x"":1478,""y"":783,""dx"":27,""dy"":-38,""t"":14689},{""x"":1483,""y"":774,""dx"":32,""dy"":-47,""t"":14725},{""x"":1470,""y"":753,""dx"":19,""dy"":-68,""t"":14758},{""x"":1473,""y"":746,""dx"":22,""dy"":-75,""t"":14792},{""x"":1438,""y"":738,""dx"":-13,""dy"":-83,""t"":14825},{""x"":1435,""y"":718,""dx"":-16,""dy"":-103,""t"":14862},{""x"":1413,""y"":694,""dx"":-38,""dy"":-127,""t"":14893},{""x"":1392,""y"":662,""dx"":-59,""dy"":-159,""t"":14926},{""x"":1383,""y"":676,""dx"":-68,""dy"":-145,""t"":14962},{""x"":1370,""y"":633,""dx"":-81,""dy"":-188,""t"":14997}]]","[100,81.35593220338984,79.66101694915254,88.13559322033898,98.30508474576271]","[{""x"":62.355932203389834,""y"":-29.033898305084747,""r"":41.19703427965012},{""x"":105.22033898305085,""y"":88.15254237288136,""r"":57.5479516029651},{""x"":62.30508474576271,""y"":-72.38983050847457,""r"":87.74601807828792},{""x"":86.84745762711864,""y"":87.16949152542372,""r"":49.87697879284458},{""x"":-0.9322033898305084,""y"":-48.11864406779661,""r"":49.48225185929153}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","9","45038","0.0-5.0-0.0","","","","","2433"," ","","","<p>回忆实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是 2500 毫秒的样本展示，1000毫秒的空白间隔后，会有一个目标刺激的提示。</p> <p>要求：记忆所呈现刺激物的位置，根据提示选择对应刺激的位置，根据数字键盘的  "" 1 "","" 4 "" ,"" 7 "","" 9 "","" 6 "","" 3 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续。</p>","","","","","","","","","","","","","","","",""
