"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","webgazer_data","webgazer_targets","size","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2341","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2348","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","22551","0.0-2.0-0.0","","","","","20201","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","24631","0.0-2.0-1.0","","","","","2078","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","49821","0.0-3.0","","","","","","","","1406","","","","","","","","","","","","","","","","",""
"","html-button-response","5","51102","0.0-4.0-0.0","","","","","1279","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","62276","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","64614","0.0-4.0-2.0","","","","","2338","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","90332","0.0-4.0-3.0","","","","","","","","","","[[{""x"":501,""y"":487,""dx"":10,""dy"":206,""t"":990},{""x"":462,""y"":499,""dx"":-29,""dy"":218,""t"":1024},{""x"":421,""y"":434,""dx"":-70,""dy"":153,""t"":1058},{""x"":397,""y"":412,""dx"":-94,""dy"":131,""t"":1092},{""x"":400,""y"":403,""dx"":-91,""dy"":122,""t"":1127},{""x"":389,""y"":405,""dx"":-102,""dy"":124,""t"":1160},{""x"":394,""y"":435,""dx"":-97,""dy"":154,""t"":1194},{""x"":386,""y"":401,""dx"":-105,""dy"":120,""t"":1228},{""x"":342,""y"":396,""dx"":-149,""dy"":115,""t"":1264},{""x"":328,""y"":385,""dx"":-163,""dy"":104,""t"":1296},{""x"":333,""y"":387,""dx"":-158,""dy"":106,""t"":1330},{""x"":319,""y"":359,""dx"":-172,""dy"":78,""t"":1364},{""x"":297,""y"":355,""dx"":-194,""dy"":74,""t"":1398},{""x"":353,""y"":377,""dx"":-138,""dy"":96,""t"":1432},{""x"":349,""y"":398,""dx"":-142,""dy"":117,""t"":1464},{""x"":358,""y"":381,""dx"":-133,""dy"":100,""t"":1500},{""x"":349,""y"":375,""dx"":-142,""dy"":94,""t"":1534},{""x"":371,""y"":342,""dx"":-120,""dy"":61,""t"":1568},{""x"":378,""y"":351,""dx"":-113,""dy"":70,""t"":1603},{""x"":371,""y"":357,""dx"":-120,""dy"":76,""t"":1635},{""x"":326,""y"":364,""dx"":-165,""dy"":83,""t"":1670},{""x"":374,""y"":411,""dx"":-117,""dy"":130,""t"":1705},{""x"":379,""y"":429,""dx"":-112,""dy"":148,""t"":1739},{""x"":396,""y"":414,""dx"":-95,""dy"":133,""t"":1772},{""x"":402,""y"":423,""dx"":-89,""dy"":142,""t"":1806},{""x"":402,""y"":388,""dx"":-89,""dy"":107,""t"":1841},{""x"":402,""y"":358,""dx"":-89,""dy"":77,""t"":1872},{""x"":398,""y"":399,""dx"":-93,""dy"":118,""t"":1908},{""x"":390,""y"":382,""dx"":-101,""dy"":101,""t"":1942},{""x"":417,""y"":419,""dx"":-74,""dy"":138,""t"":1976},{""x"":427,""y"":434,""dx"":-64,""dy"":153,""t"":2010},{""x"":435,""y"":426,""dx"":-56,""dy"":145,""t"":2044},{""x"":444,""y"":438,""dx"":-47,""dy"":157,""t"":2078},{""x"":458,""y"":443,""dx"":-33,""dy"":162,""t"":2112},{""x"":457,""y"":383,""dx"":-34,""dy"":102,""t"":2145},{""x"":437,""y"":391,""dx"":-54,""dy"":110,""t"":2179},{""x"":469,""y"":391,""dx"":-22,""dy"":110,""t"":2214},{""x"":448,""y"":410,""dx"":-43,""dy"":129,""t"":2248},{""x"":449,""y"":414,""dx"":-42,""dy"":133,""t"":2282},{""x"":405,""y"":400,""dx"":-86,""dy"":119,""t"":2316},{""x"":410,""y"":411,""dx"":-81,""dy"":130,""t"":2349},{""x"":383,""y"":414,""dx"":-108,""dy"":133,""t"":2384},{""x"":380,""y"":410,""dx"":-111,""dy"":129,""t"":2418},{""x"":400,""y"":415,""dx"":-91,""dy"":134,""t"":2452},{""x"":391,""y"":399,""dx"":-100,""dy"":118,""t"":2485},{""x"":371,""y"":429,""dx"":-120,""dy"":148,""t"":2520},{""x"":377,""y"":399,""dx"":-114,""dy"":118,""t"":2554},{""x"":381,""y"":414,""dx"":-110,""dy"":133,""t"":2588},{""x"":398,""y"":420,""dx"":-93,""dy"":139,""t"":2622},{""x"":399,""y"":408,""dx"":-92,""dy"":127,""t"":2656},{""x"":425,""y"":416,""dx"":-66,""dy"":135,""t"":2690},{""x"":417,""y"":418,""dx"":-74,""dy"":137,""t"":2724},{""x"":384,""y"":407,""dx"":-107,""dy"":126,""t"":2758},{""x"":415,""y"":410,""dx"":-76,""dy"":129,""t"":2792},{""x"":386,""y"":368,""dx"":-105,""dy"":87,""t"":2826},{""x"":404,""y"":363,""dx"":-87,""dy"":82,""t"":2860},{""x"":408,""y"":367,""dx"":-83,""dy"":86,""t"":2894},{""x"":433,""y"":353,""dx"":-58,""dy"":72,""t"":2927},{""x"":431,""y"":375,""dx"":-60,""dy"":94,""t"":2962},{""x"":427,""y"":362,""dx"":-64,""dy"":81,""t"":2996}],[{""x"":1595,""y"":373,""dx"":144,""dy"":92,""t"":4016},{""x"":1591,""y"":366,""dx"":140,""dy"":85,""t"":4050},{""x"":1565,""y"":382,""dx"":114,""dy"":101,""t"":4083},{""x"":1552,""y"":388,""dx"":101,""dy"":107,""t"":4118},{""x"":1556,""y"":401,""dx"":105,""dy"":120,""t"":4152},{""x"":1561,""y"":399,""dx"":110,""dy"":118,""t"":4185},{""x"":1536,""y"":397,""dx"":85,""dy"":116,""t"":4220},{""x"":1554,""y"":389,""dx"":103,""dy"":108,""t"":4255},{""x"":1563,""y"":384,""dx"":112,""dy"":103,""t"":4288},{""x"":1569,""y"":388,""dx"":118,""dy"":107,""t"":4322},{""x"":1527,""y"":381,""dx"":76,""dy"":100,""t"":4356},{""x"":1527,""y"":368,""dx"":76,""dy"":87,""t"":4389},{""x"":1515,""y"":368,""dx"":64,""dy"":87,""t"":4424},{""x"":1479,""y"":376,""dx"":28,""dy"":95,""t"":4458},{""x"":1491,""y"":361,""dx"":40,""dy"":80,""t"":4493},{""x"":1452,""y"":352,""dx"":1,""dy"":71,""t"":4527},{""x"":1438,""y"":352,""dx"":-13,""dy"":71,""t"":4560},{""x"":1445,""y"":342,""dx"":-6,""dy"":61,""t"":4594},{""x"":1413,""y"":336,""dx"":-38,""dy"":55,""t"":4628},{""x"":1416,""y"":328,""dx"":-35,""dy"":47,""t"":4662},{""x"":1476,""y"":353,""dx"":25,""dy"":72,""t"":4696},{""x"":1480,""y"":347,""dx"":29,""dy"":66,""t"":4730},{""x"":1484,""y"":360,""dx"":33,""dy"":79,""t"":4764},{""x"":1523,""y"":348,""dx"":72,""dy"":67,""t"":4798},{""x"":1499,""y"":323,""dx"":48,""dy"":42,""t"":4832},{""x"":1537,""y"":313,""dx"":86,""dy"":32,""t"":4866},{""x"":1497,""y"":308,""dx"":46,""dy"":27,""t"":4900},{""x"":1474,""y"":289,""dx"":23,""dy"":8,""t"":4933},{""x"":1452,""y"":266,""dx"":1,""dy"":-15,""t"":4968},{""x"":1464,""y"":273,""dx"":13,""dy"":-8,""t"":5002},{""x"":1474,""y"":280,""dx"":23,""dy"":-1,""t"":5033},{""x"":1456,""y"":317,""dx"":5,""dy"":36,""t"":5070},{""x"":1443,""y"":326,""dx"":-8,""dy"":45,""t"":5103},{""x"":1421,""y"":345,""dx"":-30,""dy"":64,""t"":5138},{""x"":1442,""y"":366,""dx"":-9,""dy"":85,""t"":5172},{""x"":1414,""y"":340,""dx"":-37,""dy"":59,""t"":5206},{""x"":1376,""y"":292,""dx"":-75,""dy"":11,""t"":5239},{""x"":1397,""y"":310,""dx"":-54,""dy"":29,""t"":5274},{""x"":1448,""y"":309,""dx"":-3,""dy"":28,""t"":5308},{""x"":1454,""y"":335,""dx"":3,""dy"":54,""t"":5342},{""x"":1451,""y"":343,""dx"":0,""dy"":62,""t"":5376},{""x"":1471,""y"":347,""dx"":20,""dy"":66,""t"":5410},{""x"":1488,""y"":351,""dx"":37,""dy"":70,""t"":5442},{""x"":1499,""y"":364,""dx"":48,""dy"":83,""t"":5479},{""x"":1497,""y"":389,""dx"":46,""dy"":108,""t"":5513},{""x"":1502,""y"":376,""dx"":51,""dy"":95,""t"":5546},{""x"":1516,""y"":364,""dx"":65,""dy"":83,""t"":5580},{""x"":1548,""y"":395,""dx"":97,""dy"":114,""t"":5614},{""x"":1524,""y"":415,""dx"":73,""dy"":134,""t"":5648},{""x"":1514,""y"":387,""dx"":63,""dy"":106,""t"":5682},{""x"":1524,""y"":401,""dx"":73,""dy"":120,""t"":5716},{""x"":1528,""y"":389,""dx"":77,""dy"":108,""t"":5749},{""x"":1469,""y"":397,""dx"":18,""dy"":116,""t"":5785},{""x"":1510,""y"":411,""dx"":59,""dy"":130,""t"":5818},{""x"":1541,""y"":423,""dx"":90,""dy"":142,""t"":5852},{""x"":1521,""y"":417,""dx"":70,""dy"":136,""t"":5885},{""x"":1496,""y"":410,""dx"":45,""dy"":129,""t"":5921},{""x"":1484,""y"":370,""dx"":33,""dy"":89,""t"":5955},{""x"":1509,""y"":397,""dx"":58,""dy"":116,""t"":5988}],[{""x"":1147,""y"":564,""dx"":176,""dy"":13,""t"":7039},{""x"":1145,""y"":591,""dx"":174,""dy"":40,""t"":7076},{""x"":1127,""y"":612,""dx"":156,""dy"":61,""t"":7109},{""x"":1140,""y"":585,""dx"":169,""dy"":34,""t"":7143},{""x"":1135,""y"":593,""dx"":164,""dy"":42,""t"":7178},{""x"":1091,""y"":584,""dx"":120,""dy"":33,""t"":7212},{""x"":1090,""y"":578,""dx"":119,""dy"":27,""t"":7246},{""x"":1085,""y"":597,""dx"":114,""dy"":46,""t"":7280},{""x"":1075,""y"":597,""dx"":104,""dy"":46,""t"":7314},{""x"":1053,""y"":581,""dx"":82,""dy"":30,""t"":7348},{""x"":1036,""y"":566,""dx"":65,""dy"":15,""t"":7382},{""x"":1052,""y"":581,""dx"":81,""dy"":30,""t"":7416},{""x"":1056,""y"":574,""dx"":85,""dy"":23,""t"":7449},{""x"":1010,""y"":563,""dx"":39,""dy"":12,""t"":7484},{""x"":1014,""y"":572,""dx"":43,""dy"":21,""t"":7525},{""x"":1031,""y"":580,""dx"":60,""dy"":29,""t"":7552},{""x"":1026,""y"":565,""dx"":55,""dy"":14,""t"":7585},{""x"":1020,""y"":547,""dx"":49,""dy"":-4,""t"":7621},{""x"":1017,""y"":544,""dx"":46,""dy"":-7,""t"":7653},{""x"":1014,""y"":548,""dx"":43,""dy"":-3,""t"":7689},{""x"":1025,""y"":574,""dx"":54,""dy"":23,""t"":7722},{""x"":1006,""y"":565,""dx"":35,""dy"":14,""t"":7756},{""x"":1036,""y"":587,""dx"":65,""dy"":36,""t"":7790},{""x"":1038,""y"":591,""dx"":67,""dy"":40,""t"":7824},{""x"":1044,""y"":588,""dx"":73,""dy"":37,""t"":7858},{""x"":1040,""y"":575,""dx"":69,""dy"":24,""t"":7893},{""x"":1052,""y"":575,""dx"":81,""dy"":24,""t"":7927},{""x"":1058,""y"":585,""dx"":87,""dy"":34,""t"":7960},{""x"":1059,""y"":576,""dx"":88,""dy"":25,""t"":7994},{""x"":1046,""y"":544,""dx"":75,""dy"":-7,""t"":8028},{""x"":1037,""y"":554,""dx"":66,""dy"":3,""t"":8062},{""x"":1054,""y"":526,""dx"":83,""dy"":-25,""t"":8096},{""x"":1056,""y"":540,""dx"":85,""dy"":-11,""t"":8130},{""x"":1083,""y"":548,""dx"":112,""dy"":-3,""t"":8164},{""x"":1090,""y"":571,""dx"":119,""dy"":20,""t"":8198},{""x"":1080,""y"":545,""dx"":109,""dy"":-6,""t"":8232},{""x"":1092,""y"":546,""dx"":121,""dy"":-5,""t"":8266},{""x"":1072,""y"":573,""dx"":101,""dy"":22,""t"":8299},{""x"":1066,""y"":570,""dx"":95,""dy"":19,""t"":8334},{""x"":1075,""y"":547,""dx"":104,""dy"":-4,""t"":8368},{""x"":1058,""y"":559,""dx"":87,""dy"":8,""t"":8402},{""x"":1034,""y"":566,""dx"":63,""dy"":15,""t"":8435},{""x"":1034,""y"":587,""dx"":63,""dy"":36,""t"":8470},{""x"":1047,""y"":602,""dx"":76,""dy"":51,""t"":8505},{""x"":1081,""y"":598,""dx"":110,""dy"":47,""t"":8538},{""x"":1090,""y"":620,""dx"":119,""dy"":69,""t"":8573},{""x"":1098,""y"":639,""dx"":127,""dy"":88,""t"":8604},{""x"":1085,""y"":611,""dx"":114,""dy"":60,""t"":8640},{""x"":1078,""y"":606,""dx"":107,""dy"":55,""t"":8674},{""x"":1064,""y"":627,""dx"":93,""dy"":76,""t"":8708},{""x"":1046,""y"":645,""dx"":75,""dy"":94,""t"":8741},{""x"":1068,""y"":637,""dx"":97,""dy"":86,""t"":8776},{""x"":1044,""y"":614,""dx"":73,""dy"":63,""t"":8810},{""x"":1029,""y"":594,""dx"":58,""dy"":43,""t"":8844},{""x"":1011,""y"":575,""dx"":40,""dy"":24,""t"":8878},{""x"":1015,""y"":556,""dx"":44,""dy"":5,""t"":8912},{""x"":1035,""y"":581,""dx"":64,""dy"":30,""t"":8946},{""x"":1030,""y"":571,""dx"":59,""dy"":20,""t"":8980}],[{""x"":680,""y"":652,""dx"":189,""dy"":-169,""t"":10034},{""x"":643,""y"":677,""dx"":152,""dy"":-144,""t"":10068},{""x"":628,""y"":672,""dx"":137,""dy"":-149,""t"":10102},{""x"":664,""y"":674,""dx"":173,""dy"":-147,""t"":10135},{""x"":683,""y"":662,""dx"":192,""dy"":-159,""t"":10170},{""x"":699,""y"":652,""dx"":208,""dy"":-169,""t"":10202},{""x"":683,""y"":669,""dx"":192,""dy"":-152,""t"":10238},{""x"":642,""y"":675,""dx"":151,""dy"":-146,""t"":10272},{""x"":634,""y"":691,""dx"":143,""dy"":-130,""t"":10306},{""x"":647,""y"":705,""dx"":156,""dy"":-116,""t"":10339},{""x"":611,""y"":682,""dx"":120,""dy"":-139,""t"":10374},{""x"":575,""y"":659,""dx"":84,""dy"":-162,""t"":10408},{""x"":536,""y"":635,""dx"":45,""dy"":-186,""t"":10442},{""x"":528,""y"":624,""dx"":37,""dy"":-197,""t"":10477},{""x"":506,""y"":621,""dx"":15,""dy"":-200,""t"":10510},{""x"":545,""y"":619,""dx"":54,""dy"":-202,""t"":10544},{""x"":591,""y"":642,""dx"":100,""dy"":-179,""t"":10579},{""x"":616,""y"":652,""dx"":125,""dy"":-169,""t"":10612},{""x"":640,""y"":664,""dx"":149,""dy"":-157,""t"":10646},{""x"":615,""y"":665,""dx"":124,""dy"":-156,""t"":10682},{""x"":621,""y"":661,""dx"":130,""dy"":-160,""t"":10714},{""x"":638,""y"":685,""dx"":147,""dy"":-136,""t"":10748},{""x"":646,""y"":695,""dx"":155,""dy"":-126,""t"":10781},{""x"":655,""y"":706,""dx"":164,""dy"":-115,""t"":10816},{""x"":642,""y"":690,""dx"":151,""dy"":-131,""t"":10850},{""x"":635,""y"":678,""dx"":144,""dy"":-143,""t"":10884},{""x"":632,""y"":672,""dx"":141,""dy"":-149,""t"":10918},{""x"":631,""y"":671,""dx"":140,""dy"":-150,""t"":10952},{""x"":645,""y"":673,""dx"":154,""dy"":-148,""t"":10986},{""x"":623,""y"":672,""dx"":132,""dy"":-149,""t"":11019},{""x"":648,""y"":678,""dx"":157,""dy"":-143,""t"":11054},{""x"":612,""y"":644,""dx"":121,""dy"":-177,""t"":11088},{""x"":605,""y"":650,""dx"":114,""dy"":-171,""t"":11122},{""x"":585,""y"":634,""dx"":94,""dy"":-187,""t"":11156},{""x"":609,""y"":646,""dx"":118,""dy"":-175,""t"":11190},{""x"":615,""y"":651,""dx"":124,""dy"":-170,""t"":11225},{""x"":635,""y"":657,""dx"":144,""dy"":-164,""t"":11258},{""x"":681,""y"":658,""dx"":190,""dy"":-163,""t"":11291},{""x"":679,""y"":665,""dx"":188,""dy"":-156,""t"":11326},{""x"":670,""y"":674,""dx"":179,""dy"":-147,""t"":11360},{""x"":694,""y"":651,""dx"":203,""dy"":-170,""t"":11393},{""x"":700,""y"":653,""dx"":209,""dy"":-168,""t"":11428},{""x"":670,""y"":627,""dx"":179,""dy"":-194,""t"":11462},{""x"":670,""y"":647,""dx"":179,""dy"":-174,""t"":11497},{""x"":630,""y"":639,""dx"":139,""dy"":-182,""t"":11530},{""x"":627,""y"":657,""dx"":136,""dy"":-164,""t"":11564},{""x"":610,""y"":662,""dx"":119,""dy"":-159,""t"":11599},{""x"":626,""y"":658,""dx"":135,""dy"":-163,""t"":11632},{""x"":619,""y"":665,""dx"":128,""dy"":-156,""t"":11666},{""x"":598,""y"":651,""dx"":107,""dy"":-170,""t"":11699},{""x"":656,""y"":686,""dx"":165,""dy"":-135,""t"":11735},{""x"":706,""y"":716,""dx"":215,""dy"":-105,""t"":11765},{""x"":742,""y"":732,""dx"":251,""dy"":-89,""t"":11802},{""x"":773,""y"":725,""dx"":282,""dy"":-96,""t"":11836},{""x"":774,""y"":726,""dx"":283,""dy"":-95,""t"":11871},{""x"":807,""y"":716,""dx"":316,""dy"":-105,""t"":11903},{""x"":802,""y"":713,""dx"":311,""dy"":-108,""t"":11937},{""x"":784,""y"":692,""dx"":293,""dy"":-129,""t"":11972},{""x"":758,""y"":668,""dx"":267,""dy"":-153,""t"":12007}],[{""x"":1264,""y"":803,""dx"":-187,""dy"":-18,""t"":13026},{""x"":1311,""y"":788,""dx"":-140,""dy"":-33,""t"":13060},{""x"":1327,""y"":824,""dx"":-124,""dy"":3,""t"":13094},{""x"":1347,""y"":859,""dx"":-104,""dy"":38,""t"":13128},{""x"":1379,""y"":842,""dx"":-72,""dy"":21,""t"":13162},{""x"":1383,""y"":867,""dx"":-68,""dy"":46,""t"":13197},{""x"":1382,""y"":875,""dx"":-69,""dy"":54,""t"":13230},{""x"":1345,""y"":848,""dx"":-106,""dy"":27,""t"":13264},{""x"":1335,""y"":850,""dx"":-116,""dy"":29,""t"":13298},{""x"":1318,""y"":834,""dx"":-133,""dy"":13,""t"":13332},{""x"":1290,""y"":810,""dx"":-161,""dy"":-11,""t"":13366},{""x"":1267,""y"":795,""dx"":-184,""dy"":-26,""t"":13400},{""x"":1257,""y"":755,""dx"":-194,""dy"":-66,""t"":13434},{""x"":1248,""y"":719,""dx"":-203,""dy"":-102,""t"":13468},{""x"":1230,""y"":696,""dx"":-221,""dy"":-125,""t"":13502},{""x"":1231,""y"":663,""dx"":-220,""dy"":-158,""t"":13535},{""x"":1249,""y"":634,""dx"":-202,""dy"":-187,""t"":13569},{""x"":1230,""y"":616,""dx"":-221,""dy"":-205,""t"":13604},{""x"":1254,""y"":638,""dx"":-197,""dy"":-183,""t"":13638},{""x"":1270,""y"":658,""dx"":-181,""dy"":-163,""t"":13672},{""x"":1283,""y"":618,""dx"":-168,""dy"":-203,""t"":13706},{""x"":1254,""y"":639,""dx"":-197,""dy"":-182,""t"":13741},{""x"":1228,""y"":657,""dx"":-223,""dy"":-164,""t"":13772},{""x"":1223,""y"":628,""dx"":-228,""dy"":-193,""t"":13808},{""x"":1244,""y"":642,""dx"":-207,""dy"":-179,""t"":13843},{""x"":1278,""y"":649,""dx"":-173,""dy"":-172,""t"":13876},{""x"":1267,""y"":638,""dx"":-184,""dy"":-183,""t"":13910},{""x"":1271,""y"":653,""dx"":-180,""dy"":-168,""t"":13944},{""x"":1253,""y"":659,""dx"":-198,""dy"":-162,""t"":13978},{""x"":1262,""y"":663,""dx"":-189,""dy"":-158,""t"":14012},{""x"":1265,""y"":673,""dx"":-186,""dy"":-148,""t"":14046},{""x"":1244,""y"":650,""dx"":-207,""dy"":-171,""t"":14080},{""x"":1253,""y"":642,""dx"":-198,""dy"":-179,""t"":14114},{""x"":1274,""y"":623,""dx"":-177,""dy"":-198,""t"":14147},{""x"":1276,""y"":636,""dx"":-175,""dy"":-185,""t"":14183},{""x"":1291,""y"":643,""dx"":-160,""dy"":-178,""t"":14216},{""x"":1271,""y"":667,""dx"":-180,""dy"":-154,""t"":14250},{""x"":1277,""y"":661,""dx"":-174,""dy"":-160,""t"":14284},{""x"":1297,""y"":715,""dx"":-154,""dy"":-106,""t"":14318},{""x"":1328,""y"":698,""dx"":-123,""dy"":-123,""t"":14352},{""x"":1328,""y"":728,""dx"":-123,""dy"":-93,""t"":14386},{""x"":1323,""y"":763,""dx"":-128,""dy"":-58,""t"":14419},{""x"":1311,""y"":761,""dx"":-140,""dy"":-60,""t"":14453},{""x"":1301,""y"":769,""dx"":-150,""dy"":-52,""t"":14488},{""x"":1290,""y"":779,""dx"":-161,""dy"":-42,""t"":14522},{""x"":1274,""y"":773,""dx"":-177,""dy"":-48,""t"":14556},{""x"":1271,""y"":742,""dx"":-180,""dy"":-79,""t"":14591},{""x"":1271,""y"":719,""dx"":-180,""dy"":-102,""t"":14625},{""x"":1268,""y"":684,""dx"":-183,""dy"":-137,""t"":14658},{""x"":1273,""y"":693,""dx"":-178,""dy"":-128,""t"":14692},{""x"":1285,""y"":652,""dx"":-166,""dy"":-169,""t"":14727},{""x"":1289,""y"":644,""dx"":-162,""dy"":-177,""t"":14760},{""x"":1273,""y"":641,""dx"":-178,""dy"":-180,""t"":14794},{""x"":1277,""y"":624,""dx"":-174,""dy"":-197,""t"":14828},{""x"":1276,""y"":622,""dx"":-175,""dy"":-199,""t"":14862},{""x"":1282,""y"":642,""dx"":-169,""dy"":-179,""t"":14896},{""x"":1285,""y"":639,""dx"":-166,""dy"":-182,""t"":14930},{""x"":1287,""y"":665,""dx"":-164,""dy"":-156,""t"":14963},{""x"":1300,""y"":673,""dx"":-151,""dy"":-148,""t"":14997},{""x"":1280,""y"":697,""dx"":-171,""dy"":-124,""t"":15031}]]","[95,100,100,16.94915254237288,35]","[{""x"":-93.78333333333333,""y"":119.23333333333333,""r"":57.30663711146914},{""x"":43.03389830508475,""y"":77.9322033898305,""r"":54.46073674832497},{""x"":87.96551724137932,""y"":28.137931034482758,""r"":50.62462900535657},{""x"":158.47457627118644,""y"":-152.59322033898306,""r"":35.27063666811045},{""x"":-167.66666666666666,""y"":-115.36666666666666,""r"":101.50602379232882}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","",""
"","html-button-response","9","91606","0.0-4.0-4.0-0.0-0.0","","","","","1274","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","",""
