"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2020","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2027","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","4352","0.0-2.0-0.0","","","","","2323","{""name"":""scc"",""age"":""24\\""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6756","0.0-2.0-1.0","","","","","2403","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","11777","0.0-3.0","","","","","","","","2142","","","","","","","","","","","","","","","","",""
"","html-button-response","5","12749","0.0-4.0-0.0","","","","","970","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","23916","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","24693","0.0-4.0-2.0","","","","","776","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","42060","0.0-4.0-3.0","","","","","","","","","","[[{""x"":585,""y"":267,""dx"":94,""dy"":-14,""t"":990},{""x"":542,""y"":316,""dx"":51,""dy"":35,""t"":1024},{""x"":524,""y"":337,""dx"":33,""dy"":56,""t"":1058},{""x"":530,""y"":305,""dx"":39,""dy"":24,""t"":1092},{""x"":525,""y"":271,""dx"":34,""dy"":-10,""t"":1124},{""x"":493,""y"":313,""dx"":2,""dy"":32,""t"":1160},{""x"":515,""y"":299,""dx"":24,""dy"":18,""t"":1194},{""x"":493,""y"":363,""dx"":2,""dy"":82,""t"":1228},{""x"":507,""y"":303,""dx"":16,""dy"":22,""t"":1262},{""x"":526,""y"":250,""dx"":35,""dy"":-31,""t"":1297},{""x"":484,""y"":288,""dx"":-7,""dy"":7,""t"":1330},{""x"":502,""y"":204,""dx"":11,""dy"":-77,""t"":1365},{""x"":527,""y"":194,""dx"":36,""dy"":-87,""t"":1397},{""x"":553,""y"":207,""dx"":62,""dy"":-74,""t"":1432},{""x"":522,""y"":250,""dx"":31,""dy"":-31,""t"":1467},{""x"":486,""y"":317,""dx"":-5,""dy"":36,""t"":1499},{""x"":524,""y"":360,""dx"":33,""dy"":79,""t"":1534},{""x"":557,""y"":395,""dx"":66,""dy"":114,""t"":1565},{""x"":513,""y"":431,""dx"":22,""dy"":150,""t"":1602},{""x"":560,""y"":410,""dx"":69,""dy"":129,""t"":1637},{""x"":525,""y"":396,""dx"":34,""dy"":115,""t"":1670},{""x"":570,""y"":400,""dx"":79,""dy"":119,""t"":1704},{""x"":521,""y"":449,""dx"":30,""dy"":168,""t"":1738},{""x"":474,""y"":451,""dx"":-17,""dy"":170,""t"":1773},{""x"":457,""y"":447,""dx"":-34,""dy"":166,""t"":1806},{""x"":426,""y"":440,""dx"":-65,""dy"":159,""t"":1840},{""x"":485,""y"":424,""dx"":-6,""dy"":143,""t"":1875},{""x"":493,""y"":408,""dx"":2,""dy"":127,""t"":1909},{""x"":475,""y"":398,""dx"":-16,""dy"":117,""t"":1942},{""x"":522,""y"":432,""dx"":31,""dy"":151,""t"":1976},{""x"":501,""y"":465,""dx"":10,""dy"":184,""t"":2010},{""x"":513,""y"":429,""dx"":22,""dy"":148,""t"":2044},{""x"":519,""y"":426,""dx"":28,""dy"":145,""t"":2078},{""x"":559,""y"":428,""dx"":68,""dy"":147,""t"":2112},{""x"":573,""y"":401,""dx"":82,""dy"":120,""t"":2147},{""x"":547,""y"":440,""dx"":56,""dy"":159,""t"":2180},{""x"":516,""y"":450,""dx"":25,""dy"":169,""t"":2214},{""x"":512,""y"":430,""dx"":21,""dy"":149,""t"":2248},{""x"":485,""y"":407,""dx"":-6,""dy"":126,""t"":2282},{""x"":516,""y"":400,""dx"":25,""dy"":119,""t"":2317},{""x"":542,""y"":408,""dx"":51,""dy"":127,""t"":2349},{""x"":508,""y"":381,""dx"":17,""dy"":100,""t"":2384},{""x"":560,""y"":423,""dx"":69,""dy"":142,""t"":2419},{""x"":520,""y"":432,""dx"":29,""dy"":151,""t"":2452},{""x"":478,""y"":406,""dx"":-13,""dy"":125,""t"":2486},{""x"":434,""y"":398,""dx"":-57,""dy"":117,""t"":2520},{""x"":489,""y"":396,""dx"":-2,""dy"":115,""t"":2554},{""x"":453,""y"":389,""dx"":-38,""dy"":108,""t"":2587},{""x"":455,""y"":431,""dx"":-36,""dy"":150,""t"":2622},{""x"":416,""y"":388,""dx"":-75,""dy"":107,""t"":2656},{""x"":467,""y"":360,""dx"":-24,""dy"":79,""t"":2689},{""x"":497,""y"":327,""dx"":6,""dy"":46,""t"":2725},{""x"":466,""y"":338,""dx"":-25,""dy"":57,""t"":2758},{""x"":466,""y"":321,""dx"":-25,""dy"":40,""t"":2792},{""x"":440,""y"":313,""dx"":-51,""dy"":32,""t"":2827},{""x"":487,""y"":336,""dx"":-4,""dy"":55,""t"":2860},{""x"":451,""y"":382,""dx"":-40,""dy"":101,""t"":2895},{""x"":495,""y"":420,""dx"":4,""dy"":139,""t"":2927},{""x"":488,""y"":454,""dx"":-3,""dy"":173,""t"":2962}],[{""x"":1552,""y"":383,""dx"":101,""dy"":102,""t"":4017},{""x"":1505,""y"":354,""dx"":54,""dy"":73,""t"":4050},{""x"":1454,""y"":352,""dx"":3,""dy"":71,""t"":4083},{""x"":1385,""y"":364,""dx"":-66,""dy"":83,""t"":4118},{""x"":1388,""y"":372,""dx"":-63,""dy"":91,""t"":4153},{""x"":1385,""y"":373,""dx"":-66,""dy"":92,""t"":4186},{""x"":1387,""y"":335,""dx"":-64,""dy"":54,""t"":4220},{""x"":1347,""y"":310,""dx"":-104,""dy"":29,""t"":4255},{""x"":1324,""y"":326,""dx"":-127,""dy"":45,""t"":4288},{""x"":1338,""y"":321,""dx"":-113,""dy"":40,""t"":4322},{""x"":1307,""y"":311,""dx"":-144,""dy"":30,""t"":4356},{""x"":1292,""y"":326,""dx"":-159,""dy"":45,""t"":4390},{""x"":1290,""y"":351,""dx"":-161,""dy"":70,""t"":4425},{""x"":1271,""y"":371,""dx"":-180,""dy"":90,""t"":4457},{""x"":1284,""y"":387,""dx"":-167,""dy"":106,""t"":4492},{""x"":1311,""y"":390,""dx"":-140,""dy"":109,""t"":4526},{""x"":1305,""y"":384,""dx"":-146,""dy"":103,""t"":4560},{""x"":1323,""y"":356,""dx"":-128,""dy"":75,""t"":4594},{""x"":1315,""y"":327,""dx"":-136,""dy"":46,""t"":4629},{""x"":1304,""y"":297,""dx"":-147,""dy"":16,""t"":4662},{""x"":1322,""y"":304,""dx"":-129,""dy"":23,""t"":4695},{""x"":1327,""y"":347,""dx"":-124,""dy"":66,""t"":4728},{""x"":1295,""y"":366,""dx"":-156,""dy"":85,""t"":4764},{""x"":1293,""y"":375,""dx"":-158,""dy"":94,""t"":4798},{""x"":1287,""y"":345,""dx"":-164,""dy"":64,""t"":4831},{""x"":1259,""y"":355,""dx"":-192,""dy"":74,""t"":4866},{""x"":1279,""y"":348,""dx"":-172,""dy"":67,""t"":4901},{""x"":1273,""y"":307,""dx"":-178,""dy"":26,""t"":4934},{""x"":1267,""y"":310,""dx"":-184,""dy"":29,""t"":4968},{""x"":1261,""y"":321,""dx"":-190,""dy"":40,""t"":5002},{""x"":1268,""y"":318,""dx"":-183,""dy"":37,""t"":5037},{""x"":1286,""y"":321,""dx"":-165,""dy"":40,""t"":5070},{""x"":1290,""y"":339,""dx"":-161,""dy"":58,""t"":5105},{""x"":1287,""y"":339,""dx"":-164,""dy"":58,""t"":5137},{""x"":1281,""y"":334,""dx"":-170,""dy"":53,""t"":5172},{""x"":1282,""y"":335,""dx"":-169,""dy"":54,""t"":5206},{""x"":1307,""y"":330,""dx"":-144,""dy"":49,""t"":5240},{""x"":1271,""y"":366,""dx"":-180,""dy"":85,""t"":5275},{""x"":1249,""y"":403,""dx"":-202,""dy"":122,""t"":5308},{""x"":1275,""y"":412,""dx"":-176,""dy"":131,""t"":5342},{""x"":1257,""y"":412,""dx"":-194,""dy"":131,""t"":5376},{""x"":1260,""y"":413,""dx"":-191,""dy"":132,""t"":5410},{""x"":1247,""y"":386,""dx"":-204,""dy"":105,""t"":5444},{""x"":1240,""y"":364,""dx"":-211,""dy"":83,""t"":5478},{""x"":1259,""y"":399,""dx"":-192,""dy"":118,""t"":5512},{""x"":1256,""y"":407,""dx"":-195,""dy"":126,""t"":5547},{""x"":1272,""y"":402,""dx"":-179,""dy"":121,""t"":5579},{""x"":1295,""y"":381,""dx"":-156,""dy"":100,""t"":5614},{""x"":1308,""y"":391,""dx"":-143,""dy"":110,""t"":5648},{""x"":1310,""y"":419,""dx"":-141,""dy"":138,""t"":5683},{""x"":1308,""y"":451,""dx"":-143,""dy"":170,""t"":5717},{""x"":1285,""y"":433,""dx"":-166,""dy"":152,""t"":5750},{""x"":1231,""y"":434,""dx"":-220,""dy"":153,""t"":5784},{""x"":1181,""y"":458,""dx"":-270,""dy"":177,""t"":5818},{""x"":1143,""y"":454,""dx"":-308,""dy"":173,""t"":5852},{""x"":1091,""y"":443,""dx"":-360,""dy"":162,""t"":5887},{""x"":1056,""y"":411,""dx"":-395,""dy"":130,""t"":5920},{""x"":1051,""y"":387,""dx"":-400,""dy"":106,""t"":5954},{""x"":1063,""y"":384,""dx"":-388,""dy"":103,""t"":5988}],[{""x"":872,""y"":544,""dx"":-99,""dy"":-7,""t"":7008},{""x"":870,""y"":556,""dx"":-101,""dy"":5,""t"":7042},{""x"":877,""y"":547,""dx"":-94,""dy"":-4,""t"":7076},{""x"":901,""y"":542,""dx"":-70,""dy"":-9,""t"":7110},{""x"":915,""y"":540,""dx"":-56,""dy"":-11,""t"":7145},{""x"":942,""y"":553,""dx"":-29,""dy"":2,""t"":7179},{""x"":979,""y"":579,""dx"":8,""dy"":28,""t"":7212},{""x"":1014,""y"":556,""dx"":43,""dy"":5,""t"":7246},{""x"":1031,""y"":553,""dx"":60,""dy"":2,""t"":7280},{""x"":1034,""y"":535,""dx"":63,""dy"":-16,""t"":7313},{""x"":1038,""y"":532,""dx"":67,""dy"":-19,""t"":7348},{""x"":1054,""y"":507,""dx"":83,""dy"":-44,""t"":7381},{""x"":1064,""y"":522,""dx"":93,""dy"":-29,""t"":7415},{""x"":1075,""y"":541,""dx"":104,""dy"":-10,""t"":7450},{""x"":1075,""y"":540,""dx"":104,""dy"":-11,""t"":7485},{""x"":1080,""y"":520,""dx"":109,""dy"":-31,""t"":7518},{""x"":1074,""y"":544,""dx"":103,""dy"":-7,""t"":7552},{""x"":1058,""y"":535,""dx"":87,""dy"":-16,""t"":7586},{""x"":1047,""y"":539,""dx"":76,""dy"":-12,""t"":7620},{""x"":1033,""y"":526,""dx"":62,""dy"":-25,""t"":7656},{""x"":996,""y"":526,""dx"":25,""dy"":-25,""t"":7688},{""x"":998,""y"":505,""dx"":27,""dy"":-46,""t"":7722},{""x"":980,""y"":495,""dx"":9,""dy"":-56,""t"":7756},{""x"":968,""y"":483,""dx"":-3,""dy"":-68,""t"":7790},{""x"":982,""y"":486,""dx"":11,""dy"":-65,""t"":7825},{""x"":983,""y"":473,""dx"":12,""dy"":-78,""t"":7857},{""x"":999,""y"":483,""dx"":28,""dy"":-68,""t"":7889},{""x"":1001,""y"":488,""dx"":30,""dy"":-63,""t"":7926},{""x"":1027,""y"":469,""dx"":56,""dy"":-82,""t"":7960},{""x"":1042,""y"":479,""dx"":71,""dy"":-72,""t"":7994},{""x"":1051,""y"":481,""dx"":80,""dy"":-70,""t"":8028},{""x"":1062,""y"":471,""dx"":91,""dy"":-80,""t"":8062},{""x"":1093,""y"":470,""dx"":122,""dy"":-81,""t"":8096},{""x"":1114,""y"":512,""dx"":143,""dy"":-39,""t"":8130},{""x"":1069,""y"":507,""dx"":98,""dy"":-44,""t"":8165},{""x"":1066,""y"":509,""dx"":95,""dy"":-42,""t"":8198},{""x"":1094,""y"":505,""dx"":123,""dy"":-46,""t"":8231},{""x"":1098,""y"":512,""dx"":127,""dy"":-39,""t"":8267},{""x"":1092,""y"":527,""dx"":121,""dy"":-24,""t"":8297},{""x"":1080,""y"":517,""dx"":109,""dy"":-34,""t"":8334},{""x"":1072,""y"":509,""dx"":101,""dy"":-42,""t"":8368},{""x"":1048,""y"":493,""dx"":77,""dy"":-58,""t"":8402},{""x"":1040,""y"":490,""dx"":69,""dy"":-61,""t"":8436},{""x"":1049,""y"":505,""dx"":78,""dy"":-46,""t"":8470},{""x"":1066,""y"":517,""dx"":95,""dy"":-34,""t"":8505},{""x"":1035,""y"":524,""dx"":64,""dy"":-27,""t"":8538},{""x"":1042,""y"":488,""dx"":71,""dy"":-63,""t"":8572},{""x"":1024,""y"":524,""dx"":53,""dy"":-27,""t"":8607},{""x"":1031,""y"":525,""dx"":60,""dy"":-26,""t"":8640},{""x"":1045,""y"":516,""dx"":74,""dy"":-35,""t"":8674},{""x"":1029,""y"":528,""dx"":58,""dy"":-23,""t"":8709},{""x"":1029,""y"":481,""dx"":58,""dy"":-70,""t"":8742},{""x"":1034,""y"":505,""dx"":63,""dy"":-46,""t"":8776},{""x"":1034,""y"":490,""dx"":63,""dy"":-61,""t"":8811},{""x"":1036,""y"":493,""dx"":65,""dy"":-58,""t"":8844},{""x"":1046,""y"":497,""dx"":75,""dy"":-54,""t"":8878},{""x"":1032,""y"":493,""dx"":61,""dy"":-58,""t"":8912},{""x"":1067,""y"":474,""dx"":96,""dy"":-77,""t"":8946},{""x"":1064,""y"":457,""dx"":93,""dy"":-94,""t"":8980}],[{""x"":544,""y"":811,""dx"":53,""dy"":-10,""t"":10000},{""x"":561,""y"":793,""dx"":70,""dy"":-28,""t"":10033},{""x"":561,""y"":828,""dx"":70,""dy"":7,""t"":10069},{""x"":541,""y"":820,""dx"":50,""dy"":-1,""t"":10102},{""x"":524,""y"":778,""dx"":33,""dy"":-43,""t"":10136},{""x"":541,""y"":761,""dx"":50,""dy"":-60,""t"":10171},{""x"":531,""y"":764,""dx"":40,""dy"":-57,""t"":10204},{""x"":522,""y"":767,""dx"":31,""dy"":-54,""t"":10236},{""x"":517,""y"":771,""dx"":26,""dy"":-50,""t"":10272},{""x"":523,""y"":762,""dx"":32,""dy"":-59,""t"":10305},{""x"":471,""y"":727,""dx"":-20,""dy"":-94,""t"":10340},{""x"":504,""y"":736,""dx"":13,""dy"":-85,""t"":10374},{""x"":483,""y"":716,""dx"":-8,""dy"":-105,""t"":10408},{""x"":486,""y"":729,""dx"":-5,""dy"":-92,""t"":10443},{""x"":504,""y"":754,""dx"":13,""dy"":-67,""t"":10476},{""x"":498,""y"":723,""dx"":7,""dy"":-98,""t"":10509},{""x"":521,""y"":731,""dx"":30,""dy"":-90,""t"":10544},{""x"":511,""y"":714,""dx"":20,""dy"":-107,""t"":10578},{""x"":520,""y"":702,""dx"":29,""dy"":-119,""t"":10612},{""x"":522,""y"":750,""dx"":31,""dy"":-71,""t"":10647},{""x"":537,""y"":773,""dx"":46,""dy"":-48,""t"":10680},{""x"":523,""y"":785,""dx"":32,""dy"":-36,""t"":10714},{""x"":510,""y"":785,""dx"":19,""dy"":-36,""t"":10748},{""x"":490,""y"":804,""dx"":-1,""dy"":-17,""t"":10782},{""x"":491,""y"":779,""dx"":0,""dy"":-42,""t"":10816},{""x"":469,""y"":786,""dx"":-22,""dy"":-35,""t"":10850},{""x"":494,""y"":783,""dx"":3,""dy"":-38,""t"":10884},{""x"":522,""y"":795,""dx"":31,""dy"":-26,""t"":10918},{""x"":536,""y"":781,""dx"":45,""dy"":-40,""t"":10952},{""x"":535,""y"":774,""dx"":44,""dy"":-47,""t"":10986},{""x"":536,""y"":802,""dx"":45,""dy"":-19,""t"":11019},{""x"":534,""y"":769,""dx"":43,""dy"":-52,""t"":11054},{""x"":528,""y"":746,""dx"":37,""dy"":-75,""t"":11088},{""x"":543,""y"":724,""dx"":52,""dy"":-97,""t"":11122},{""x"":534,""y"":703,""dx"":43,""dy"":-118,""t"":11156},{""x"":524,""y"":711,""dx"":33,""dy"":-110,""t"":11190},{""x"":522,""y"":748,""dx"":31,""dy"":-73,""t"":11224},{""x"":506,""y"":749,""dx"":15,""dy"":-72,""t"":11258},{""x"":520,""y"":762,""dx"":29,""dy"":-59,""t"":11292},{""x"":533,""y"":785,""dx"":42,""dy"":-36,""t"":11326},{""x"":516,""y"":771,""dx"":25,""dy"":-50,""t"":11360},{""x"":505,""y"":767,""dx"":14,""dy"":-54,""t"":11394},{""x"":496,""y"":764,""dx"":5,""dy"":-57,""t"":11429},{""x"":477,""y"":747,""dx"":-14,""dy"":-74,""t"":11462},{""x"":460,""y"":754,""dx"":-31,""dy"":-67,""t"":11496},{""x"":449,""y"":782,""dx"":-42,""dy"":-39,""t"":11529},{""x"":434,""y"":766,""dx"":-57,""dy"":-55,""t"":11564},{""x"":418,""y"":743,""dx"":-73,""dy"":-78,""t"":11598},{""x"":420,""y"":732,""dx"":-71,""dy"":-89,""t"":11632},{""x"":428,""y"":709,""dx"":-63,""dy"":-112,""t"":11665},{""x"":421,""y"":699,""dx"":-70,""dy"":-122,""t"":11699},{""x"":399,""y"":726,""dx"":-92,""dy"":-95,""t"":11734},{""x"":413,""y"":736,""dx"":-78,""dy"":-85,""t"":11768},{""x"":454,""y"":759,""dx"":-37,""dy"":-62,""t"":11802},{""x"":421,""y"":736,""dx"":-70,""dy"":-85,""t"":11834},{""x"":462,""y"":769,""dx"":-29,""dy"":-52,""t"":11870},{""x"":455,""y"":803,""dx"":-36,""dy"":-18,""t"":11904},{""x"":527,""y"":804,""dx"":36,""dy"":-17,""t"":11937},{""x"":508,""y"":843,""dx"":17,""dy"":22,""t"":11972},{""x"":473,""y"":864,""dx"":-18,""dy"":43,""t"":12006}],[{""x"":1579,""y"":729,""dx"":128,""dy"":-92,""t"":13026},{""x"":1548,""y"":743,""dx"":97,""dy"":-78,""t"":13060},{""x"":1507,""y"":738,""dx"":56,""dy"":-83,""t"":13094},{""x"":1446,""y"":704,""dx"":-5,""dy"":-117,""t"":13127},{""x"":1458,""y"":684,""dx"":7,""dy"":-137,""t"":13162},{""x"":1456,""y"":680,""dx"":5,""dy"":-141,""t"":13196},{""x"":1441,""y"":686,""dx"":-10,""dy"":-135,""t"":13230},{""x"":1462,""y"":693,""dx"":11,""dy"":-128,""t"":13264},{""x"":1419,""y"":665,""dx"":-32,""dy"":-156,""t"":13298},{""x"":1395,""y"":637,""dx"":-56,""dy"":-184,""t"":13331},{""x"":1419,""y"":664,""dx"":-32,""dy"":-157,""t"":13367},{""x"":1404,""y"":699,""dx"":-47,""dy"":-122,""t"":13400},{""x"":1392,""y"":729,""dx"":-59,""dy"":-92,""t"":13433},{""x"":1384,""y"":731,""dx"":-67,""dy"":-90,""t"":13467},{""x"":1378,""y"":728,""dx"":-73,""dy"":-93,""t"":13502},{""x"":1374,""y"":728,""dx"":-77,""dy"":-93,""t"":13536},{""x"":1387,""y"":706,""dx"":-64,""dy"":-115,""t"":13570},{""x"":1371,""y"":711,""dx"":-80,""dy"":-110,""t"":13604},{""x"":1386,""y"":690,""dx"":-65,""dy"":-131,""t"":13637},{""x"":1394,""y"":670,""dx"":-57,""dy"":-151,""t"":13672},{""x"":1419,""y"":659,""dx"":-32,""dy"":-162,""t"":13706},{""x"":1430,""y"":660,""dx"":-21,""dy"":-161,""t"":13740},{""x"":1419,""y"":673,""dx"":-32,""dy"":-148,""t"":13775},{""x"":1422,""y"":697,""dx"":-29,""dy"":-124,""t"":13805},{""x"":1433,""y"":704,""dx"":-18,""dy"":-117,""t"":13841},{""x"":1443,""y"":715,""dx"":-8,""dy"":-106,""t"":13876},{""x"":1448,""y"":699,""dx"":-3,""dy"":-122,""t"":13910},{""x"":1450,""y"":687,""dx"":-1,""dy"":-134,""t"":13944},{""x"":1426,""y"":669,""dx"":-25,""dy"":-152,""t"":13978},{""x"":1440,""y"":668,""dx"":-11,""dy"":-153,""t"":14012},{""x"":1423,""y"":685,""dx"":-28,""dy"":-136,""t"":14047},{""x"":1433,""y"":671,""dx"":-18,""dy"":-150,""t"":14080},{""x"":1436,""y"":656,""dx"":-15,""dy"":-165,""t"":14115},{""x"":1425,""y"":681,""dx"":-26,""dy"":-140,""t"":14147},{""x"":1418,""y"":682,""dx"":-33,""dy"":-139,""t"":14182},{""x"":1393,""y"":681,""dx"":-58,""dy"":-140,""t"":14215},{""x"":1407,""y"":665,""dx"":-44,""dy"":-156,""t"":14250},{""x"":1406,""y"":694,""dx"":-45,""dy"":-127,""t"":14285},{""x"":1394,""y"":695,""dx"":-57,""dy"":-126,""t"":14318},{""x"":1385,""y"":686,""dx"":-66,""dy"":-135,""t"":14352},{""x"":1390,""y"":674,""dx"":-61,""dy"":-147,""t"":14386},{""x"":1452,""y"":683,""dx"":1,""dy"":-138,""t"":14420},{""x"":1451,""y"":684,""dx"":0,""dy"":-137,""t"":14454},{""x"":1446,""y"":688,""dx"":-5,""dy"":-133,""t"":14487},{""x"":1451,""y"":685,""dx"":0,""dy"":-136,""t"":14522},{""x"":1448,""y"":696,""dx"":-3,""dy"":-125,""t"":14556},{""x"":1477,""y"":679,""dx"":26,""dy"":-142,""t"":14590},{""x"":1463,""y"":680,""dx"":12,""dy"":-141,""t"":14624},{""x"":1519,""y"":682,""dx"":68,""dy"":-139,""t"":14659},{""x"":1501,""y"":688,""dx"":50,""dy"":-133,""t"":14693},{""x"":1477,""y"":692,""dx"":26,""dy"":-129,""t"":14726},{""x"":1486,""y"":661,""dx"":35,""dy"":-160,""t"":14760},{""x"":1463,""y"":677,""dx"":12,""dy"":-144,""t"":14794},{""x"":1463,""y"":659,""dx"":12,""dy"":-162,""t"":14829},{""x"":1468,""y"":671,""dx"":17,""dy"":-150,""t"":14862},{""x"":1464,""y"":664,""dx"":13,""dy"":-157,""t"":14896},{""x"":1474,""y"":689,""dx"":23,""dy"":-132,""t"":14929},{""x"":1453,""y"":695,""dx"":2,""dy"":-126,""t"":14963},{""x"":1434,""y"":700,""dx"":-17,""dy"":-121,""t"":14996}]]","[100,66.10169491525424,100,100,100]","[{""x"":13.559322033898304,""y"":90.2542372881356,""r"":63.34279502142382},{""x"":-165.59322033898306,""y"":86.69491525423729,""r"":50.713929192987244},{""x"":56.983050847457626,""y"":-38.83050847457627,""r"":40.94181730799783},{""x"":7.466666666666667,""y"":-58.416666666666664,""r"":60.64372475766909},{""x"":-13.203389830508474,""y"":-133.05084745762713,""r"":31.999627439658283}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
"","html-keyboard-response","9","45589","0.0-5.0-0.0","","","","","3527"," ","","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个多个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘进行选择响应。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
