"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2385","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2390","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5768","0.0-2.0-0.0","","","","","3374","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7280","0.0-2.0-1.0","","","","","1511","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","12755","0.0-3.0","","","","","","","","2229","","","","","","","","","","","","","","","","",""
"","html-button-response","5","13737","0.0-4.0-0.0","","","","","979","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","26683","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","27472","0.0-4.0-2.0","","","","","788","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","45096","0.0-4.0-3.0","","","","","","","","","","[[{""x"":679,""y"":692,""dx"":188,""dy"":411,""t"":991},{""x"":652,""y"":614,""dx"":161,""dy"":333,""t"":1024},{""x"":613,""y"":553,""dx"":122,""dy"":272,""t"":1058},{""x"":587,""y"":498,""dx"":96,""dy"":217,""t"":1092},{""x"":559,""y"":443,""dx"":68,""dy"":162,""t"":1125},{""x"":500,""y"":419,""dx"":9,""dy"":138,""t"":1160},{""x"":451,""y"":400,""dx"":-40,""dy"":119,""t"":1194},{""x"":407,""y"":379,""dx"":-84,""dy"":98,""t"":1228},{""x"":374,""y"":360,""dx"":-117,""dy"":79,""t"":1263},{""x"":344,""y"":349,""dx"":-147,""dy"":68,""t"":1296},{""x"":335,""y"":332,""dx"":-156,""dy"":51,""t"":1330},{""x"":341,""y"":328,""dx"":-150,""dy"":47,""t"":1364},{""x"":322,""y"":323,""dx"":-169,""dy"":42,""t"":1398},{""x"":320,""y"":313,""dx"":-171,""dy"":32,""t"":1433},{""x"":338,""y"":311,""dx"":-153,""dy"":30,""t"":1466},{""x"":358,""y"":284,""dx"":-133,""dy"":3,""t"":1500},{""x"":378,""y"":274,""dx"":-113,""dy"":-7,""t"":1534},{""x"":415,""y"":258,""dx"":-76,""dy"":-23,""t"":1568},{""x"":428,""y"":256,""dx"":-63,""dy"":-25,""t"":1605},{""x"":426,""y"":247,""dx"":-65,""dy"":-34,""t"":1639},{""x"":425,""y"":240,""dx"":-66,""dy"":-41,""t"":1669},{""x"":423,""y"":237,""dx"":-68,""dy"":-44,""t"":1705},{""x"":417,""y"":283,""dx"":-74,""dy"":2,""t"":1739},{""x"":415,""y"":315,""dx"":-76,""dy"":34,""t"":1774},{""x"":413,""y"":353,""dx"":-78,""dy"":72,""t"":1879},{""x"":416,""y"":390,""dx"":-75,""dy"":109,""t"":1908},{""x"":409,""y"":411,""dx"":-82,""dy"":130,""t"":1942},{""x"":406,""y"":428,""dx"":-85,""dy"":147,""t"":1975},{""x"":391,""y"":453,""dx"":-100,""dy"":172,""t"":2011},{""x"":392,""y"":461,""dx"":-99,""dy"":180,""t"":2044},{""x"":394,""y"":466,""dx"":-97,""dy"":185,""t"":2075},{""x"":379,""y"":471,""dx"":-112,""dy"":190,""t"":2112},{""x"":396,""y"":457,""dx"":-95,""dy"":176,""t"":2146},{""x"":399,""y"":402,""dx"":-92,""dy"":121,""t"":2180},{""x"":400,""y"":411,""dx"":-91,""dy"":130,""t"":2222},{""x"":420,""y"":427,""dx"":-71,""dy"":146,""t"":2261},{""x"":423,""y"":451,""dx"":-68,""dy"":170,""t"":2285},{""x"":430,""y"":463,""dx"":-61,""dy"":182,""t"":2316},{""x"":543,""y"":663,""dx"":52,""dy"":382,""t"":2349},{""x"":633,""y"":904,""dx"":142,""dy"":623,""t"":2385},{""x"":753,""y"":1095,""dx"":262,""dy"":814,""t"":2419},{""x"":771,""y"":1155,""dx"":280,""dy"":874,""t"":2452},{""x"":731,""y"":1087,""dx"":240,""dy"":806,""t"":2485},{""x"":672,""y"":989,""dx"":181,""dy"":708,""t"":2519},{""x"":617,""y"":873,""dx"":126,""dy"":592,""t"":2556},{""x"":592,""y"":791,""dx"":101,""dy"":510,""t"":2588},{""x"":554,""y"":734,""dx"":63,""dy"":453,""t"":2622},{""x"":533,""y"":680,""dx"":42,""dy"":399,""t"":2656},{""x"":506,""y"":613,""dx"":15,""dy"":332,""t"":2690},{""x"":483,""y"":565,""dx"":-8,""dy"":284,""t"":2724},{""x"":466,""y"":528,""dx"":-25,""dy"":247,""t"":2758},{""x"":466,""y"":490,""dx"":-25,""dy"":209,""t"":2792},{""x"":458,""y"":471,""dx"":-33,""dy"":190,""t"":2826},{""x"":408,""y"":476,""dx"":-83,""dy"":195,""t"":2860},{""x"":389,""y"":444,""dx"":-102,""dy"":163,""t"":2894},{""x"":385,""y"":422,""dx"":-106,""dy"":141,""t"":2928},{""x"":411,""y"":420,""dx"":-80,""dy"":139,""t"":2962}],[{""x"":1542,""y"":271,""dx"":91,""dy"":-10,""t"":4016},{""x"":1536,""y"":273,""dx"":85,""dy"":-8,""t"":4049},{""x"":1520,""y"":286,""dx"":69,""dy"":5,""t"":4084},{""x"":1500,""y"":294,""dx"":49,""dy"":13,""t"":4118},{""x"":1511,""y"":316,""dx"":60,""dy"":35,""t"":4153},{""x"":1504,""y"":324,""dx"":53,""dy"":43,""t"":4186},{""x"":1501,""y"":323,""dx"":50,""dy"":42,""t"":4220},{""x"":1503,""y"":332,""dx"":52,""dy"":51,""t"":4255},{""x"":1490,""y"":330,""dx"":39,""dy"":49,""t"":4287},{""x"":1507,""y"":337,""dx"":56,""dy"":56,""t"":4323},{""x"":1509,""y"":342,""dx"":58,""dy"":61,""t"":4357},{""x"":1496,""y"":319,""dx"":45,""dy"":38,""t"":4390},{""x"":1491,""y"":318,""dx"":40,""dy"":37,""t"":4424},{""x"":1473,""y"":314,""dx"":22,""dy"":33,""t"":4458},{""x"":1462,""y"":310,""dx"":11,""dy"":29,""t"":4492},{""x"":1466,""y"":331,""dx"":15,""dy"":50,""t"":4525},{""x"":1468,""y"":329,""dx"":17,""dy"":48,""t"":4561},{""x"":1470,""y"":321,""dx"":19,""dy"":40,""t"":4594},{""x"":1481,""y"":335,""dx"":30,""dy"":54,""t"":4628},{""x"":1478,""y"":350,""dx"":27,""dy"":69,""t"":4662},{""x"":1480,""y"":372,""dx"":29,""dy"":91,""t"":4696},{""x"":1465,""y"":360,""dx"":14,""dy"":79,""t"":4730},{""x"":1452,""y"":366,""dx"":1,""dy"":85,""t"":4763},{""x"":1473,""y"":378,""dx"":22,""dy"":97,""t"":4799},{""x"":1462,""y"":373,""dx"":11,""dy"":92,""t"":4833},{""x"":1447,""y"":372,""dx"":-4,""dy"":91,""t"":4866},{""x"":1447,""y"":353,""dx"":-4,""dy"":72,""t"":4900},{""x"":1446,""y"":330,""dx"":-5,""dy"":49,""t"":4934},{""x"":1430,""y"":319,""dx"":-21,""dy"":38,""t"":4968},{""x"":1434,""y"":326,""dx"":-17,""dy"":45,""t"":5002},{""x"":1439,""y"":337,""dx"":-12,""dy"":56,""t"":5036},{""x"":1434,""y"":335,""dx"":-17,""dy"":54,""t"":5071},{""x"":1431,""y"":337,""dx"":-20,""dy"":56,""t"":5104},{""x"":1448,""y"":355,""dx"":-3,""dy"":74,""t"":5137},{""x"":1446,""y"":332,""dx"":-5,""dy"":51,""t"":5172},{""x"":1452,""y"":328,""dx"":1,""dy"":47,""t"":5206},{""x"":1458,""y"":325,""dx"":7,""dy"":44,""t"":5238},{""x"":1459,""y"":324,""dx"":8,""dy"":43,""t"":5274},{""x"":1437,""y"":324,""dx"":-14,""dy"":43,""t"":5307},{""x"":1436,""y"":312,""dx"":-15,""dy"":31,""t"":5342},{""x"":1446,""y"":313,""dx"":-5,""dy"":32,""t"":5376},{""x"":1449,""y"":323,""dx"":-2,""dy"":42,""t"":5409},{""x"":1442,""y"":327,""dx"":-9,""dy"":46,""t"":5443},{""x"":1434,""y"":326,""dx"":-17,""dy"":45,""t"":5477},{""x"":1436,""y"":337,""dx"":-15,""dy"":56,""t"":5513},{""x"":1450,""y"":358,""dx"":-1,""dy"":77,""t"":5546},{""x"":1454,""y"":363,""dx"":3,""dy"":82,""t"":5580},{""x"":1459,""y"":366,""dx"":8,""dy"":85,""t"":5614},{""x"":1463,""y"":368,""dx"":12,""dy"":87,""t"":5646},{""x"":1468,""y"":378,""dx"":17,""dy"":97,""t"":5682},{""x"":1481,""y"":377,""dx"":30,""dy"":96,""t"":5716},{""x"":1483,""y"":364,""dx"":32,""dy"":83,""t"":5751},{""x"":1485,""y"":369,""dx"":34,""dy"":88,""t"":5784},{""x"":1503,""y"":389,""dx"":52,""dy"":108,""t"":5818},{""x"":1520,""y"":387,""dx"":69,""dy"":106,""t"":5852},{""x"":1512,""y"":384,""dx"":61,""dy"":103,""t"":5887},{""x"":1497,""y"":372,""dx"":46,""dy"":91,""t"":5920},{""x"":1481,""y"":364,""dx"":30,""dy"":83,""t"":5953},{""x"":1471,""y"":350,""dx"":20,""dy"":69,""t"":5988}],[{""x"":848,""y"":409,""dx"":-123,""dy"":-142,""t"":7008},{""x"":870,""y"":380,""dx"":-101,""dy"":-171,""t"":7042},{""x"":890,""y"":372,""dx"":-81,""dy"":-179,""t"":7076},{""x"":885,""y"":355,""dx"":-86,""dy"":-196,""t"":7110},{""x"":905,""y"":337,""dx"":-66,""dy"":-214,""t"":7144},{""x"":914,""y"":364,""dx"":-57,""dy"":-187,""t"":7178},{""x"":900,""y"":386,""dx"":-71,""dy"":-165,""t"":7213},{""x"":887,""y"":405,""dx"":-84,""dy"":-146,""t"":7243},{""x"":903,""y"":383,""dx"":-68,""dy"":-168,""t"":7281},{""x"":899,""y"":412,""dx"":-72,""dy"":-139,""t"":7313},{""x"":918,""y"":402,""dx"":-53,""dy"":-149,""t"":7349},{""x"":918,""y"":424,""dx"":-53,""dy"":-127,""t"":7382},{""x"":926,""y"":434,""dx"":-45,""dy"":-117,""t"":7415},{""x"":907,""y"":450,""dx"":-64,""dy"":-101,""t"":7450},{""x"":893,""y"":463,""dx"":-78,""dy"":-88,""t"":7484},{""x"":916,""y"":448,""dx"":-55,""dy"":-103,""t"":7518},{""x"":922,""y"":434,""dx"":-49,""dy"":-117,""t"":7552},{""x"":891,""y"":436,""dx"":-80,""dy"":-115,""t"":7586},{""x"":890,""y"":420,""dx"":-81,""dy"":-131,""t"":7620},{""x"":887,""y"":439,""dx"":-84,""dy"":-112,""t"":7653},{""x"":865,""y"":446,""dx"":-106,""dy"":-105,""t"":7688},{""x"":856,""y"":454,""dx"":-115,""dy"":-97,""t"":7722},{""x"":849,""y"":476,""dx"":-122,""dy"":-75,""t"":7756},{""x"":850,""y"":478,""dx"":-121,""dy"":-73,""t"":7790},{""x"":837,""y"":469,""dx"":-134,""dy"":-82,""t"":7824},{""x"":835,""y"":473,""dx"":-136,""dy"":-78,""t"":7858},{""x"":850,""y"":449,""dx"":-121,""dy"":-102,""t"":7892},{""x"":843,""y"":451,""dx"":-128,""dy"":-100,""t"":7925},{""x"":860,""y"":464,""dx"":-111,""dy"":-87,""t"":7959},{""x"":862,""y"":465,""dx"":-109,""dy"":-86,""t"":7994},{""x"":858,""y"":464,""dx"":-113,""dy"":-87,""t"":8029},{""x"":863,""y"":458,""dx"":-108,""dy"":-93,""t"":8062},{""x"":879,""y"":461,""dx"":-92,""dy"":-90,""t"":8096},{""x"":869,""y"":467,""dx"":-102,""dy"":-84,""t"":8130},{""x"":855,""y"":474,""dx"":-116,""dy"":-77,""t"":8164},{""x"":853,""y"":473,""dx"":-118,""dy"":-78,""t"":8198},{""x"":858,""y"":482,""dx"":-113,""dy"":-69,""t"":8232},{""x"":858,""y"":487,""dx"":-113,""dy"":-64,""t"":8266},{""x"":856,""y"":483,""dx"":-115,""dy"":-68,""t"":8300},{""x"":847,""y"":484,""dx"":-124,""dy"":-67,""t"":8334},{""x"":856,""y"":469,""dx"":-115,""dy"":-82,""t"":8368},{""x"":866,""y"":443,""dx"":-105,""dy"":-108,""t"":8402},{""x"":870,""y"":425,""dx"":-101,""dy"":-126,""t"":8435},{""x"":872,""y"":439,""dx"":-99,""dy"":-112,""t"":8470},{""x"":875,""y"":451,""dx"":-96,""dy"":-100,""t"":8505},{""x"":885,""y"":463,""dx"":-86,""dy"":-88,""t"":8538},{""x"":891,""y"":462,""dx"":-80,""dy"":-89,""t"":8571},{""x"":891,""y"":461,""dx"":-80,""dy"":-90,""t"":8606},{""x"":889,""y"":459,""dx"":-82,""dy"":-92,""t"":8640},{""x"":893,""y"":463,""dx"":-78,""dy"":-88,""t"":8673},{""x"":888,""y"":468,""dx"":-83,""dy"":-83,""t"":8708},{""x"":891,""y"":476,""dx"":-80,""dy"":-75,""t"":8741},{""x"":884,""y"":472,""dx"":-87,""dy"":-79,""t"":8776},{""x"":878,""y"":469,""dx"":-93,""dy"":-82,""t"":8808},{""x"":866,""y"":468,""dx"":-105,""dy"":-83,""t"":8844},{""x"":864,""y"":473,""dx"":-107,""dy"":-78,""t"":8878},{""x"":861,""y"":475,""dx"":-110,""dy"":-76,""t"":8913},{""x"":859,""y"":472,""dx"":-112,""dy"":-79,""t"":8946},{""x"":861,""y"":481,""dx"":-110,""dy"":-70,""t"":8981}],[{""x"":573,""y"":683,""dx"":82,""dy"":-138,""t"":10033},{""x"":573,""y"":688,""dx"":82,""dy"":-133,""t"":10068},{""x"":572,""y"":686,""dx"":81,""dy"":-135,""t"":10102},{""x"":580,""y"":679,""dx"":89,""dy"":-142,""t"":10136},{""x"":588,""y"":678,""dx"":97,""dy"":-143,""t"":10170},{""x"":576,""y"":678,""dx"":85,""dy"":-143,""t"":10203},{""x"":570,""y"":675,""dx"":79,""dy"":-146,""t"":10238},{""x"":590,""y"":670,""dx"":99,""dy"":-151,""t"":10272},{""x"":586,""y"":664,""dx"":95,""dy"":-157,""t"":10305},{""x"":586,""y"":660,""dx"":95,""dy"":-161,""t"":10340},{""x"":580,""y"":661,""dx"":89,""dy"":-160,""t"":10373},{""x"":575,""y"":662,""dx"":84,""dy"":-159,""t"":10406},{""x"":577,""y"":666,""dx"":86,""dy"":-155,""t"":10443},{""x"":587,""y"":671,""dx"":96,""dy"":-150,""t"":10475},{""x"":590,""y"":673,""dx"":99,""dy"":-148,""t"":10510},{""x"":580,""y"":669,""dx"":89,""dy"":-152,""t"":10544},{""x"":587,""y"":669,""dx"":96,""dy"":-152,""t"":10578},{""x"":599,""y"":677,""dx"":108,""dy"":-144,""t"":10611},{""x"":599,""y"":673,""dx"":108,""dy"":-148,""t"":10646},{""x"":596,""y"":673,""dx"":105,""dy"":-148,""t"":10680},{""x"":592,""y"":671,""dx"":101,""dy"":-150,""t"":10714},{""x"":601,""y"":672,""dx"":110,""dy"":-149,""t"":10747},{""x"":595,""y"":674,""dx"":104,""dy"":-147,""t"":10783},{""x"":591,""y"":676,""dx"":100,""dy"":-145,""t"":10814},{""x"":599,""y"":679,""dx"":108,""dy"":-142,""t"":10850},{""x"":594,""y"":676,""dx"":103,""dy"":-145,""t"":10884},{""x"":600,""y"":674,""dx"":109,""dy"":-147,""t"":10917},{""x"":596,""y"":671,""dx"":105,""dy"":-150,""t"":10953},{""x"":589,""y"":673,""dx"":98,""dy"":-148,""t"":10986},{""x"":595,""y"":676,""dx"":104,""dy"":-145,""t"":11020},{""x"":585,""y"":673,""dx"":94,""dy"":-148,""t"":11054},{""x"":578,""y"":671,""dx"":87,""dy"":-150,""t"":11088},{""x"":586,""y"":679,""dx"":95,""dy"":-142,""t"":11122},{""x"":595,""y"":681,""dx"":104,""dy"":-140,""t"":11156},{""x"":592,""y"":685,""dx"":101,""dy"":-136,""t"":11189},{""x"":588,""y"":682,""dx"":97,""dy"":-139,""t"":11224},{""x"":585,""y"":684,""dx"":94,""dy"":-137,""t"":11258},{""x"":577,""y"":691,""dx"":86,""dy"":-130,""t"":11292},{""x"":575,""y"":697,""dx"":84,""dy"":-124,""t"":11326},{""x"":577,""y"":703,""dx"":86,""dy"":-118,""t"":11360},{""x"":580,""y"":707,""dx"":89,""dy"":-114,""t"":11394},{""x"":570,""y"":742,""dx"":79,""dy"":-79,""t"":11428},{""x"":585,""y"":738,""dx"":94,""dy"":-83,""t"":11461},{""x"":595,""y"":741,""dx"":104,""dy"":-80,""t"":11496},{""x"":603,""y"":740,""dx"":112,""dy"":-81,""t"":11530},{""x"":601,""y"":731,""dx"":110,""dy"":-90,""t"":11563},{""x"":592,""y"":724,""dx"":101,""dy"":-97,""t"":11597},{""x"":584,""y"":725,""dx"":93,""dy"":-96,""t"":11632},{""x"":585,""y"":725,""dx"":94,""dy"":-96,""t"":11666},{""x"":587,""y"":719,""dx"":96,""dy"":-102,""t"":11738},{""x"":579,""y"":717,""dx"":88,""dy"":-104,""t"":11768},{""x"":578,""y"":709,""dx"":87,""dy"":-112,""t"":11801},{""x"":593,""y"":707,""dx"":102,""dy"":-114,""t"":11836},{""x"":594,""y"":702,""dx"":103,""dy"":-119,""t"":11870},{""x"":596,""y"":709,""dx"":105,""dy"":-112,""t"":11904},{""x"":599,""y"":713,""dx"":108,""dy"":-108,""t"":11937},{""x"":601,""y"":717,""dx"":110,""dy"":-104,""t"":11970},{""x"":596,""y"":713,""dx"":105,""dy"":-108,""t"":12006}],[{""x"":1341,""y"":703,""dx"":-110,""dy"":-118,""t"":13026},{""x"":1368,""y"":729,""dx"":-83,""dy"":-92,""t"":13060},{""x"":1371,""y"":738,""dx"":-80,""dy"":-83,""t"":13095},{""x"":1376,""y"":754,""dx"":-75,""dy"":-67,""t"":13129},{""x"":1391,""y"":772,""dx"":-60,""dy"":-49,""t"":13162},{""x"":1393,""y"":793,""dx"":-58,""dy"":-28,""t"":13195},{""x"":1381,""y"":790,""dx"":-70,""dy"":-31,""t"":13231},{""x"":1365,""y"":781,""dx"":-86,""dy"":-40,""t"":13264},{""x"":1372,""y"":804,""dx"":-79,""dy"":-17,""t"":13298},{""x"":1376,""y"":784,""dx"":-75,""dy"":-37,""t"":13332},{""x"":1382,""y"":787,""dx"":-69,""dy"":-34,""t"":13366},{""x"":1398,""y"":795,""dx"":-53,""dy"":-26,""t"":13401},{""x"":1399,""y"":794,""dx"":-52,""dy"":-27,""t"":13435},{""x"":1412,""y"":825,""dx"":-39,""dy"":4,""t"":13468},{""x"":1413,""y"":837,""dx"":-38,""dy"":16,""t"":13503},{""x"":1428,""y"":848,""dx"":-23,""dy"":27,""t"":13536},{""x"":1444,""y"":853,""dx"":-7,""dy"":32,""t"":13569},{""x"":1448,""y"":866,""dx"":-3,""dy"":45,""t"":13605},{""x"":1454,""y"":873,""dx"":3,""dy"":52,""t"":13638},{""x"":1435,""y"":871,""dx"":-16,""dy"":50,""t"":13673},{""x"":1441,""y"":873,""dx"":-10,""dy"":52,""t"":13706},{""x"":1461,""y"":887,""dx"":10,""dy"":66,""t"":13740},{""x"":1458,""y"":897,""dx"":7,""dy"":76,""t"":13774},{""x"":1406,""y"":870,""dx"":-45,""dy"":49,""t"":13807},{""x"":1405,""y"":849,""dx"":-46,""dy"":28,""t"":13842},{""x"":1405,""y"":842,""dx"":-46,""dy"":21,""t"":13876},{""x"":1361,""y"":835,""dx"":-90,""dy"":14,""t"":13910},{""x"":1350,""y"":838,""dx"":-101,""dy"":17,""t"":13945},{""x"":1342,""y"":841,""dx"":-109,""dy"":20,""t"":13976},{""x"":1346,""y"":833,""dx"":-105,""dy"":12,""t"":14013},{""x"":1389,""y"":850,""dx"":-62,""dy"":29,""t"":14046},{""x"":1372,""y"":849,""dx"":-79,""dy"":28,""t"":14081},{""x"":1356,""y"":821,""dx"":-95,""dy"":0,""t"":14113},{""x"":1395,""y"":833,""dx"":-56,""dy"":12,""t"":14150},{""x"":1401,""y"":834,""dx"":-50,""dy"":13,""t"":14183},{""x"":1410,""y"":825,""dx"":-41,""dy"":4,""t"":14216},{""x"":1416,""y"":833,""dx"":-35,""dy"":12,""t"":14250},{""x"":1409,""y"":829,""dx"":-42,""dy"":8,""t"":14284},{""x"":1365,""y"":835,""dx"":-86,""dy"":14,""t"":14318},{""x"":1348,""y"":818,""dx"":-103,""dy"":-3,""t"":14352},{""x"":1381,""y"":819,""dx"":-70,""dy"":-2,""t"":14383},{""x"":1404,""y"":824,""dx"":-47,""dy"":3,""t"":14420},{""x"":1406,""y"":837,""dx"":-45,""dy"":16,""t"":14454},{""x"":1414,""y"":841,""dx"":-37,""dy"":20,""t"":14488},{""x"":1411,""y"":836,""dx"":-40,""dy"":15,""t"":14522},{""x"":1409,""y"":846,""dx"":-42,""dy"":25,""t"":14556},{""x"":1415,""y"":863,""dx"":-36,""dy"":42,""t"":14590},{""x"":1398,""y"":866,""dx"":-53,""dy"":45,""t"":14624},{""x"":1396,""y"":865,""dx"":-55,""dy"":44,""t"":14658},{""x"":1420,""y"":878,""dx"":-31,""dy"":57,""t"":14692},{""x"":1409,""y"":864,""dx"":-42,""dy"":43,""t"":14726},{""x"":1420,""y"":867,""dx"":-31,""dy"":46,""t"":14760},{""x"":1420,""y"":875,""dx"":-31,""dy"":54,""t"":14795},{""x"":1411,""y"":871,""dx"":-40,""dy"":50,""t"":14828},{""x"":1404,""y"":864,""dx"":-47,""dy"":43,""t"":14862},{""x"":1400,""y"":858,""dx"":-51,""dy"":37,""t"":14897},{""x"":1397,""y"":857,""dx"":-54,""dy"":36,""t"":14930},{""x"":1395,""y"":858,""dx"":-56,""dy"":37,""t"":14964},{""x"":1378,""y"":855,""dx"":-73,""dy"":34,""t"":14997}]]","[59.64912280701754,100,96.61016949152543,100,100]","[{""x"":-25.280701754385966,""y"":212.89473684210526,""r"":158.69794340894396},{""x"":20.491525423728813,""y"":58.45762711864407,""r"":32.58433911275647},{""x"":-94.52542372881356,""y"":-105.23728813559322,""r"":31.523897356888675},{""x"":96.44827586206897,""y"":-130.9655172413793,""r"":29.66931087213296},{""x"":-53.186440677966104,""y"":11.76271186440678,""r"":37.76317210564559}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.10","validate","","","","","","","","","",""
"","html-keyboard-response","9","46280","0.0-5.0-0.0","","","","","1184"," ","","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，1000毫秒的空白间隔后，会呈现一个多个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应,如果不记得或者不存在选择""5""。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
