"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2017","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2023","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","19019","0.0-2.0-0.0","","","","","16994","{""name"":""张梦洋"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","23171","0.0-2.0-1.0","","","","","4150","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","29963","0.0-3.0","","","","","","","","2212","","","","","","","","","","","","","","","","",""
"","html-button-response","5","32507","0.0-4.0-0.0","","","","","2542","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","46644","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","47762","0.0-4.0-2.0","","","","","1117","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","66849","0.0-4.0-3.0","","","","","","","","","","[[{""x"":457,""y"":323,""dx"":-34,""dy"":42,""t"":990},{""x"":458,""y"":320,""dx"":-33,""dy"":39,""t"":1023},{""x"":469,""y"":332,""dx"":-22,""dy"":51,""t"":1059},{""x"":478,""y"":339,""dx"":-13,""dy"":58,""t"":1093},{""x"":494,""y"":362,""dx"":3,""dy"":81,""t"":1126},{""x"":485,""y"":363,""dx"":-6,""dy"":82,""t"":1160},{""x"":479,""y"":355,""dx"":-12,""dy"":74,""t"":1194},{""x"":476,""y"":359,""dx"":-15,""dy"":78,""t"":1228},{""x"":472,""y"":361,""dx"":-19,""dy"":80,""t"":1260},{""x"":480,""y"":358,""dx"":-11,""dy"":77,""t"":1296},{""x"":479,""y"":356,""dx"":-12,""dy"":75,""t"":1329},{""x"":476,""y"":360,""dx"":-15,""dy"":79,""t"":1364},{""x"":474,""y"":356,""dx"":-17,""dy"":75,""t"":1398},{""x"":476,""y"":353,""dx"":-15,""dy"":72,""t"":1431},{""x"":473,""y"":346,""dx"":-18,""dy"":65,""t"":1467},{""x"":487,""y"":367,""dx"":-4,""dy"":86,""t"":1501},{""x"":478,""y"":363,""dx"":-13,""dy"":82,""t"":1534},{""x"":473,""y"":354,""dx"":-18,""dy"":73,""t"":1568},{""x"":468,""y"":351,""dx"":-23,""dy"":70,""t"":1603},{""x"":472,""y"":347,""dx"":-19,""dy"":66,""t"":1636},{""x"":479,""y"":346,""dx"":-12,""dy"":65,""t"":1670},{""x"":487,""y"":343,""dx"":-4,""dy"":62,""t"":1704},{""x"":470,""y"":328,""dx"":-21,""dy"":47,""t"":1738},{""x"":456,""y"":325,""dx"":-35,""dy"":44,""t"":1772},{""x"":458,""y"":321,""dx"":-33,""dy"":40,""t"":1806},{""x"":452,""y"":314,""dx"":-39,""dy"":33,""t"":1840},{""x"":463,""y"":323,""dx"":-28,""dy"":42,""t"":1874},{""x"":463,""y"":314,""dx"":-28,""dy"":33,""t"":1908},{""x"":457,""y"":325,""dx"":-34,""dy"":44,""t"":1942},{""x"":447,""y"":319,""dx"":-44,""dy"":38,""t"":1976},{""x"":431,""y"":323,""dx"":-60,""dy"":42,""t"":2010},{""x"":425,""y"":325,""dx"":-66,""dy"":44,""t"":2044},{""x"":412,""y"":315,""dx"":-79,""dy"":34,""t"":2078},{""x"":407,""y"":299,""dx"":-84,""dy"":18,""t"":2112},{""x"":415,""y"":300,""dx"":-76,""dy"":19,""t"":2146},{""x"":426,""y"":301,""dx"":-65,""dy"":20,""t"":2180},{""x"":436,""y"":301,""dx"":-55,""dy"":20,""t"":2214},{""x"":425,""y"":305,""dx"":-66,""dy"":24,""t"":2248},{""x"":432,""y"":322,""dx"":-59,""dy"":41,""t"":2282},{""x"":441,""y"":336,""dx"":-50,""dy"":55,""t"":2317},{""x"":438,""y"":334,""dx"":-53,""dy"":53,""t"":2350},{""x"":444,""y"":345,""dx"":-47,""dy"":64,""t"":2383},{""x"":455,""y"":355,""dx"":-36,""dy"":74,""t"":2418},{""x"":464,""y"":364,""dx"":-27,""dy"":83,""t"":2450},{""x"":480,""y"":368,""dx"":-11,""dy"":87,""t"":2487},{""x"":491,""y"":368,""dx"":0,""dy"":87,""t"":2520},{""x"":491,""y"":367,""dx"":0,""dy"":86,""t"":2554},{""x"":472,""y"":367,""dx"":-19,""dy"":86,""t"":2589},{""x"":471,""y"":368,""dx"":-20,""dy"":87,""t"":2622},{""x"":462,""y"":363,""dx"":-29,""dy"":82,""t"":2656},{""x"":465,""y"":364,""dx"":-26,""dy"":83,""t"":2690},{""x"":444,""y"":367,""dx"":-47,""dy"":86,""t"":2725},{""x"":437,""y"":376,""dx"":-54,""dy"":95,""t"":2758},{""x"":444,""y"":370,""dx"":-47,""dy"":89,""t"":2792},{""x"":448,""y"":366,""dx"":-43,""dy"":85,""t"":2827},{""x"":451,""y"":363,""dx"":-40,""dy"":82,""t"":2858},{""x"":449,""y"":352,""dx"":-42,""dy"":71,""t"":2894},{""x"":451,""y"":345,""dx"":-40,""dy"":64,""t"":2927},{""x"":438,""y"":353,""dx"":-53,""dy"":72,""t"":2963}],[{""x"":1490,""y"":467,""dx"":39,""dy"":186,""t"":4017},{""x"":1471,""y"":457,""dx"":20,""dy"":176,""t"":4050},{""x"":1456,""y"":448,""dx"":5,""dy"":167,""t"":4084},{""x"":1442,""y"":418,""dx"":-9,""dy"":137,""t"":4118},{""x"":1434,""y"":401,""dx"":-17,""dy"":120,""t"":4152},{""x"":1404,""y"":393,""dx"":-47,""dy"":112,""t"":4187},{""x"":1373,""y"":393,""dx"":-78,""dy"":112,""t"":4220},{""x"":1352,""y"":396,""dx"":-99,""dy"":115,""t"":4254},{""x"":1344,""y"":414,""dx"":-107,""dy"":133,""t"":4287},{""x"":1368,""y"":446,""dx"":-83,""dy"":165,""t"":4323},{""x"":1362,""y"":436,""dx"":-89,""dy"":155,""t"":4356},{""x"":1366,""y"":452,""dx"":-85,""dy"":171,""t"":4390},{""x"":1385,""y"":469,""dx"":-66,""dy"":188,""t"":4421},{""x"":1364,""y"":471,""dx"":-87,""dy"":190,""t"":4458},{""x"":1349,""y"":476,""dx"":-102,""dy"":195,""t"":4492},{""x"":1341,""y"":488,""dx"":-110,""dy"":207,""t"":4526},{""x"":1349,""y"":493,""dx"":-102,""dy"":212,""t"":4561},{""x"":1352,""y"":499,""dx"":-99,""dy"":218,""t"":4595},{""x"":1335,""y"":509,""dx"":-116,""dy"":228,""t"":4628},{""x"":1312,""y"":493,""dx"":-139,""dy"":212,""t"":4662},{""x"":1301,""y"":490,""dx"":-150,""dy"":209,""t"":4696},{""x"":1286,""y"":485,""dx"":-165,""dy"":204,""t"":4730},{""x"":1273,""y"":481,""dx"":-178,""dy"":200,""t"":4764},{""x"":1275,""y"":467,""dx"":-176,""dy"":186,""t"":4798},{""x"":1282,""y"":444,""dx"":-169,""dy"":163,""t"":4832},{""x"":1281,""y"":426,""dx"":-170,""dy"":145,""t"":4867},{""x"":1270,""y"":408,""dx"":-181,""dy"":127,""t"":4901},{""x"":1265,""y"":407,""dx"":-186,""dy"":126,""t"":4934},{""x"":1279,""y"":403,""dx"":-172,""dy"":122,""t"":4968},{""x"":1287,""y"":388,""dx"":-164,""dy"":107,""t"":5002},{""x"":1298,""y"":382,""dx"":-153,""dy"":101,""t"":5036},{""x"":1304,""y"":386,""dx"":-147,""dy"":105,""t"":5070},{""x"":1303,""y"":391,""dx"":-148,""dy"":110,""t"":5104},{""x"":1304,""y"":397,""dx"":-147,""dy"":116,""t"":5138},{""x"":1308,""y"":399,""dx"":-143,""dy"":118,""t"":5172},{""x"":1312,""y"":407,""dx"":-139,""dy"":126,""t"":5206},{""x"":1318,""y"":407,""dx"":-133,""dy"":126,""t"":5240},{""x"":1327,""y"":414,""dx"":-124,""dy"":133,""t"":5275},{""x"":1326,""y"":418,""dx"":-125,""dy"":137,""t"":5308},{""x"":1333,""y"":429,""dx"":-118,""dy"":148,""t"":5342},{""x"":1336,""y"":432,""dx"":-115,""dy"":151,""t"":5376},{""x"":1343,""y"":425,""dx"":-108,""dy"":144,""t"":5411},{""x"":1342,""y"":423,""dx"":-109,""dy"":142,""t"":5444},{""x"":1347,""y"":426,""dx"":-104,""dy"":145,""t"":5478},{""x"":1364,""y"":423,""dx"":-87,""dy"":142,""t"":5512},{""x"":1359,""y"":406,""dx"":-92,""dy"":125,""t"":5546},{""x"":1372,""y"":421,""dx"":-79,""dy"":140,""t"":5582},{""x"":1381,""y"":428,""dx"":-70,""dy"":147,""t"":5616},{""x"":1393,""y"":433,""dx"":-58,""dy"":152,""t"":5648},{""x"":1396,""y"":432,""dx"":-55,""dy"":151,""t"":5683},{""x"":1394,""y"":419,""dx"":-57,""dy"":138,""t"":5717},{""x"":1398,""y"":420,""dx"":-53,""dy"":139,""t"":5750},{""x"":1395,""y"":428,""dx"":-56,""dy"":147,""t"":5784},{""x"":1362,""y"":443,""dx"":-89,""dy"":162,""t"":5818},{""x"":1347,""y"":447,""dx"":-104,""dy"":166,""t"":5853},{""x"":1318,""y"":449,""dx"":-133,""dy"":168,""t"":5886},{""x"":1330,""y"":510,""dx"":-121,""dy"":229,""t"":5920},{""x"":1191,""y"":726,""dx"":-260,""dy"":445,""t"":5955},{""x"":1113,""y"":852,""dx"":-338,""dy"":571,""t"":5988}],[{""x"":984,""y"":704,""dx"":13,""dy"":153,""t"":7008},{""x"":975,""y"":731,""dx"":4,""dy"":180,""t"":7042},{""x"":978,""y"":716,""dx"":7,""dy"":165,""t"":7077},{""x"":989,""y"":697,""dx"":18,""dy"":146,""t"":7111},{""x"":1008,""y"":685,""dx"":37,""dy"":134,""t"":7144},{""x"":993,""y"":703,""dx"":22,""dy"":152,""t"":7178},{""x"":1012,""y"":686,""dx"":41,""dy"":135,""t"":7212},{""x"":986,""y"":712,""dx"":15,""dy"":161,""t"":7246},{""x"":1016,""y"":669,""dx"":45,""dy"":118,""t"":7279},{""x"":1032,""y"":656,""dx"":61,""dy"":105,""t"":7313},{""x"":1026,""y"":655,""dx"":55,""dy"":104,""t"":7349},{""x"":1014,""y"":650,""dx"":43,""dy"":99,""t"":7382},{""x"":986,""y"":681,""dx"":15,""dy"":130,""t"":7416},{""x"":1002,""y"":670,""dx"":31,""dy"":119,""t"":7451},{""x"":1030,""y"":641,""dx"":59,""dy"":90,""t"":7484},{""x"":1005,""y"":668,""dx"":34,""dy"":117,""t"":7517},{""x"":984,""y"":687,""dx"":13,""dy"":136,""t"":7552},{""x"":966,""y"":715,""dx"":-5,""dy"":164,""t"":7586},{""x"":1005,""y"":686,""dx"":34,""dy"":135,""t"":7620},{""x"":1038,""y"":661,""dx"":67,""dy"":110,""t"":7654},{""x"":1042,""y"":651,""dx"":71,""dy"":100,""t"":7688},{""x"":1011,""y"":683,""dx"":40,""dy"":132,""t"":7723},{""x"":1037,""y"":651,""dx"":66,""dy"":100,""t"":7757},{""x"":1042,""y"":647,""dx"":71,""dy"":96,""t"":7790},{""x"":1063,""y"":621,""dx"":92,""dy"":70,""t"":7825},{""x"":1086,""y"":616,""dx"":115,""dy"":65,""t"":7859},{""x"":1102,""y"":609,""dx"":131,""dy"":58,""t"":7893},{""x"":1124,""y"":606,""dx"":153,""dy"":55,""t"":7926},{""x"":1130,""y"":606,""dx"":159,""dy"":55,""t"":7960},{""x"":1133,""y"":607,""dx"":162,""dy"":56,""t"":7992},{""x"":1140,""y"":605,""dx"":169,""dy"":54,""t"":8029},{""x"":1136,""y"":608,""dx"":165,""dy"":57,""t"":8062},{""x"":1126,""y"":608,""dx"":155,""dy"":57,""t"":8096},{""x"":1130,""y"":607,""dx"":159,""dy"":56,""t"":8129},{""x"":1142,""y"":607,""dx"":171,""dy"":56,""t"":8164},{""x"":1140,""y"":612,""dx"":169,""dy"":61,""t"":8198},{""x"":1138,""y"":619,""dx"":167,""dy"":68,""t"":8232},{""x"":1138,""y"":619,""dx"":167,""dy"":68,""t"":8266},{""x"":1136,""y"":618,""dx"":165,""dy"":67,""t"":8300},{""x"":1137,""y"":626,""dx"":166,""dy"":75,""t"":8335},{""x"":1133,""y"":626,""dx"":162,""dy"":75,""t"":8368},{""x"":1123,""y"":619,""dx"":152,""dy"":68,""t"":8402},{""x"":1114,""y"":615,""dx"":143,""dy"":64,""t"":8437},{""x"":1116,""y"":622,""dx"":145,""dy"":71,""t"":8471},{""x"":1121,""y"":630,""dx"":150,""dy"":79,""t"":8505},{""x"":1115,""y"":631,""dx"":144,""dy"":80,""t"":8537},{""x"":1092,""y"":638,""dx"":121,""dy"":87,""t"":8573},{""x"":1103,""y"":645,""dx"":132,""dy"":94,""t"":8606},{""x"":1097,""y"":639,""dx"":126,""dy"":88,""t"":8640},{""x"":1087,""y"":648,""dx"":116,""dy"":97,""t"":8675},{""x"":1091,""y"":647,""dx"":120,""dy"":96,""t"":8707},{""x"":1098,""y"":648,""dx"":127,""dy"":97,""t"":8742},{""x"":1098,""y"":651,""dx"":127,""dy"":100,""t"":8776},{""x"":1100,""y"":646,""dx"":129,""dy"":95,""t"":8810},{""x"":1112,""y"":649,""dx"":141,""dy"":98,""t"":8843},{""x"":1111,""y"":647,""dx"":140,""dy"":96,""t"":8878},{""x"":1115,""y"":650,""dx"":144,""dy"":99,""t"":8912},{""x"":1120,""y"":653,""dx"":149,""dy"":102,""t"":8946},{""x"":1119,""y"":659,""dx"":148,""dy"":108,""t"":8980}],[{""x"":555,""y"":700,""dx"":64,""dy"":-121,""t"":10035},{""x"":551,""y"":698,""dx"":60,""dy"":-123,""t"":10068},{""x"":551,""y"":694,""dx"":60,""dy"":-127,""t"":10103},{""x"":546,""y"":691,""dx"":55,""dy"":-130,""t"":10136},{""x"":555,""y"":698,""dx"":64,""dy"":-123,""t"":10170},{""x"":579,""y"":699,""dx"":88,""dy"":-122,""t"":10204},{""x"":585,""y"":718,""dx"":94,""dy"":-103,""t"":10238},{""x"":577,""y"":719,""dx"":86,""dy"":-102,""t"":10272},{""x"":592,""y"":735,""dx"":101,""dy"":-86,""t"":10305},{""x"":610,""y"":754,""dx"":119,""dy"":-67,""t"":10340},{""x"":622,""y"":755,""dx"":131,""dy"":-66,""t"":10374},{""x"":608,""y"":758,""dx"":117,""dy"":-63,""t"":10408},{""x"":621,""y"":773,""dx"":130,""dy"":-48,""t"":10442},{""x"":601,""y"":786,""dx"":110,""dy"":-35,""t"":10477},{""x"":623,""y"":801,""dx"":132,""dy"":-20,""t"":10510},{""x"":629,""y"":806,""dx"":138,""dy"":-15,""t"":10545},{""x"":629,""y"":814,""dx"":138,""dy"":-7,""t"":10579},{""x"":625,""y"":826,""dx"":134,""dy"":5,""t"":10612},{""x"":631,""y"":839,""dx"":140,""dy"":18,""t"":10646},{""x"":581,""y"":801,""dx"":90,""dy"":-20,""t"":10679},{""x"":586,""y"":813,""dx"":95,""dy"":-8,""t"":10714},{""x"":589,""y"":825,""dx"":98,""dy"":4,""t"":10749},{""x"":579,""y"":819,""dx"":88,""dy"":-2,""t"":10783},{""x"":564,""y"":817,""dx"":73,""dy"":-4,""t"":10816},{""x"":562,""y"":809,""dx"":71,""dy"":-12,""t"":10850},{""x"":560,""y"":804,""dx"":69,""dy"":-17,""t"":10884},{""x"":559,""y"":800,""dx"":68,""dy"":-21,""t"":10918},{""x"":564,""y"":804,""dx"":73,""dy"":-17,""t"":10953},{""x"":572,""y"":814,""dx"":81,""dy"":-7,""t"":10986},{""x"":576,""y"":818,""dx"":85,""dy"":-3,""t"":11020},{""x"":593,""y"":838,""dx"":102,""dy"":17,""t"":11054},{""x"":583,""y"":839,""dx"":92,""dy"":18,""t"":11088},{""x"":592,""y"":844,""dx"":101,""dy"":23,""t"":11122},{""x"":601,""y"":847,""dx"":110,""dy"":26,""t"":11154},{""x"":597,""y"":841,""dx"":106,""dy"":20,""t"":11190},{""x"":553,""y"":804,""dx"":62,""dy"":-17,""t"":11224},{""x"":520,""y"":770,""dx"":29,""dy"":-51,""t"":11259},{""x"":539,""y"":784,""dx"":48,""dy"":-37,""t"":11293},{""x"":564,""y"":807,""dx"":73,""dy"":-14,""t"":11326},{""x"":566,""y"":816,""dx"":75,""dy"":-5,""t"":11359},{""x"":582,""y"":821,""dx"":91,""dy"":0,""t"":11395},{""x"":580,""y"":818,""dx"":89,""dy"":-3,""t"":11429},{""x"":589,""y"":817,""dx"":98,""dy"":-4,""t"":11462},{""x"":594,""y"":818,""dx"":103,""dy"":-3,""t"":11496},{""x"":583,""y"":812,""dx"":92,""dy"":-9,""t"":11530},{""x"":573,""y"":807,""dx"":82,""dy"":-14,""t"":11561},{""x"":570,""y"":802,""dx"":79,""dy"":-19,""t"":11599},{""x"":566,""y"":808,""dx"":75,""dy"":-13,""t"":11632},{""x"":566,""y"":815,""dx"":75,""dy"":-6,""t"":11666},{""x"":570,""y"":811,""dx"":79,""dy"":-10,""t"":11701},{""x"":576,""y"":809,""dx"":85,""dy"":-12,""t"":11735},{""x"":577,""y"":809,""dx"":86,""dy"":-12,""t"":11769},{""x"":575,""y"":804,""dx"":84,""dy"":-17,""t"":11802},{""x"":582,""y"":804,""dx"":91,""dy"":-17,""t"":11836},{""x"":586,""y"":809,""dx"":95,""dy"":-12,""t"":11871},{""x"":598,""y"":802,""dx"":107,""dy"":-19,""t"":11904},{""x"":603,""y"":802,""dx"":112,""dy"":-19,""t"":11937},{""x"":592,""y"":796,""dx"":101,""dy"":-25,""t"":11972},{""x"":588,""y"":802,""dx"":97,""dy"":-19,""t"":12006}],[{""x"":1292,""y"":1018,""dx"":-159,""dy"":197,""t"":13026},{""x"":1287,""y"":1019,""dx"":-164,""dy"":198,""t"":13059},{""x"":1290,""y"":1020,""dx"":-161,""dy"":199,""t"":13093},{""x"":1283,""y"":1016,""dx"":-168,""dy"":195,""t"":13128},{""x"":1277,""y"":1013,""dx"":-174,""dy"":192,""t"":13160},{""x"":1275,""y"":1008,""dx"":-176,""dy"":187,""t"":13196},{""x"":1277,""y"":1010,""dx"":-174,""dy"":189,""t"":13229},{""x"":1273,""y"":1003,""dx"":-178,""dy"":182,""t"":13265},{""x"":1262,""y"":995,""dx"":-189,""dy"":174,""t"":13299},{""x"":1254,""y"":988,""dx"":-197,""dy"":167,""t"":13332},{""x"":1253,""y"":978,""dx"":-198,""dy"":157,""t"":13366},{""x"":1254,""y"":980,""dx"":-197,""dy"":159,""t"":13400},{""x"":1253,""y"":984,""dx"":-198,""dy"":163,""t"":13434},{""x"":1248,""y"":979,""dx"":-203,""dy"":158,""t"":13468},{""x"":1270,""y"":938,""dx"":-181,""dy"":117,""t"":13502},{""x"":1271,""y"":888,""dx"":-180,""dy"":67,""t"":13536},{""x"":1297,""y"":852,""dx"":-154,""dy"":31,""t"":13571},{""x"":1283,""y"":858,""dx"":-168,""dy"":37,""t"":13604},{""x"":1290,""y"":878,""dx"":-161,""dy"":57,""t"":13639},{""x"":1296,""y"":910,""dx"":-155,""dy"":89,""t"":13672},{""x"":1290,""y"":906,""dx"":-161,""dy"":85,""t"":13706},{""x"":1268,""y"":933,""dx"":-183,""dy"":112,""t"":13741},{""x"":1283,""y"":948,""dx"":-168,""dy"":127,""t"":13774},{""x"":1302,""y"":951,""dx"":-149,""dy"":130,""t"":13808},{""x"":1322,""y"":946,""dx"":-129,""dy"":125,""t"":13842},{""x"":1343,""y"":936,""dx"":-108,""dy"":115,""t"":13877},{""x"":1355,""y"":909,""dx"":-96,""dy"":88,""t"":13910},{""x"":1380,""y"":890,""dx"":-71,""dy"":69,""t"":13944},{""x"":1405,""y"":878,""dx"":-46,""dy"":57,""t"":13978},{""x"":1401,""y"":864,""dx"":-50,""dy"":43,""t"":14013},{""x"":1407,""y"":853,""dx"":-44,""dy"":32,""t"":14046},{""x"":1405,""y"":848,""dx"":-46,""dy"":27,""t"":14079},{""x"":1399,""y"":883,""dx"":-52,""dy"":62,""t"":14114},{""x"":1412,""y"":834,""dx"":-39,""dy"":13,""t"":14148},{""x"":1425,""y"":795,""dx"":-26,""dy"":-26,""t"":14182},{""x"":1422,""y"":782,""dx"":-29,""dy"":-39,""t"":14216},{""x"":1430,""y"":782,""dx"":-21,""dy"":-39,""t"":14251},{""x"":1429,""y"":784,""dx"":-22,""dy"":-37,""t"":14284},{""x"":1413,""y"":802,""dx"":-38,""dy"":-19,""t"":14317},{""x"":1410,""y"":806,""dx"":-41,""dy"":-15,""t"":14352},{""x"":1416,""y"":816,""dx"":-35,""dy"":-5,""t"":14386},{""x"":1410,""y"":831,""dx"":-41,""dy"":10,""t"":14420},{""x"":1430,""y"":818,""dx"":-21,""dy"":-3,""t"":14455},{""x"":1415,""y"":844,""dx"":-36,""dy"":23,""t"":14488},{""x"":1398,""y"":872,""dx"":-53,""dy"":51,""t"":14522},{""x"":1376,""y"":888,""dx"":-75,""dy"":67,""t"":14556},{""x"":1382,""y"":893,""dx"":-69,""dy"":72,""t"":14590},{""x"":1379,""y"":893,""dx"":-72,""dy"":72,""t"":14624},{""x"":1376,""y"":887,""dx"":-75,""dy"":66,""t"":14658},{""x"":1387,""y"":873,""dx"":-64,""dy"":52,""t"":14692},{""x"":1396,""y"":860,""dx"":-55,""dy"":39,""t"":14724},{""x"":1412,""y"":863,""dx"":-39,""dy"":42,""t"":14760},{""x"":1414,""y"":850,""dx"":-37,""dy"":29,""t"":14794},{""x"":1402,""y"":844,""dx"":-49,""dy"":23,""t"":14828},{""x"":1382,""y"":836,""dx"":-69,""dy"":15,""t"":14862},{""x"":1370,""y"":854,""dx"":-81,""dy"":33,""t"":14895},{""x"":1363,""y"":871,""dx"":-88,""dy"":50,""t"":14930},{""x"":1377,""y"":840,""dx"":-74,""dy"":19,""t"":14965},{""x"":1374,""y"":865,""dx"":-77,""dy"":44,""t"":14998}]]","[100,66.10169491525424,100,100,71.1864406779661]","[{""x"":-32,""y"":62.47457627118644,""r"":23.495866255827845},{""x"":-110.96610169491525,""y"":166.3050847457627,""r"":57.848949907999206},{""x"":100.64406779661017,""y"":97.50847457627118,""r"":59.29725874899339},{""x"":91.03389830508475,""y"":-28.728813559322035,""r"":28.638129963230224},{""x"":-104.47457627118644,""y"":76.67796610169492,""r"":77.19295730364519}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","9","70123","0.0-5.0-0.0","","","","","3273"," ","","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个多个项目的阵列。</p> <p>要求：记忆单个项目，并在多个项目阵列中快速找到，并根据数字键盘进行选择响应。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","",""
